KeywordCount, Counter, Storage(Bytes)
1,1,3.49152
2,2,6.98304
3,3,10.47456
4,4,13.96608
5,5,17.4576
6,6,20.94912
7,7,24.44064
8,8,27.93216
9,9,31.423679999999997
10,10,34.9152
11,11,38.40672
12,12,41.89824
13,13,45.389759999999995
14,14,48.88128
15,15,52.3728
16,16,55.86432
17,17,59.35584
18,18,62.847359999999995
19,19,66.33888
20,20,69.8304
21,21,73.32192
22,22,76.81344
23,23,80.30496
24,24,83.79648
25,25,87.288
26,26,90.77951999999999
27,27,94.27104
28,28,97.76256
29,29,101.25408
30,30,104.7456
31,31,108.23712
32,32,111.72864
33,33,115.22015999999999
34,34,118.71168
35,35,122.2032
36,36,125.69471999999999
37,37,129.18624
38,38,132.67776
39,39,136.16928
40,40,139.6608
41,41,143.15232
42,42,146.64384
43,43,150.13536
44,44,153.62688
45,45,157.1184
46,46,160.60992
47,47,164.10144
48,48,167.59296
49,49,171.08447999999999
50,50,174.576
51,51,178.06752
52,52,181.55903999999998
53,53,185.05056
54,54,188.54208
55,55,192.0336
56,56,195.52512
57,57,199.01664
58,58,202.50816
59,59,205.99968
60,60,209.4912
61,61,212.98272
62,62,216.47424
63,63,219.96576
64,64,223.45728
65,65,226.9488
66,66,230.44031999999999
67,67,233.93184
68,68,237.42336
69,69,240.91487999999998
70,70,244.4064
71,71,247.89792
72,72,251.38943999999998
73,73,254.88096
74,74,258.37248
75,75,261.864
76,76,265.35552
77,77,268.84704
78,78,272.33856
79,79,275.83008
80,80,279.3216
81,81,282.81312
82,82,286.30464
83,83,289.79616
84,84,293.28768
85,85,296.7792
86,86,300.27072
87,87,303.76224
88,88,307.25376
89,89,310.74528
90,90,314.2368
91,91,317.72832
92,92,321.21984
93,93,324.71136
94,94,328.20288
95,95,331.6944
96,96,335.18592
97,97,338.67744
98,98,342.16895999999997
99,99,345.66048
100,100,349.152
101,101,352.64351999999997
102,102,356.13504
103,103,359.62656
104,104,363.11807999999996
105,105,366.6096
106,106,370.10112
107,107,373.59264
108,108,377.08416
109,109,380.57568
110,110,384.0672
111,111,387.55872
112,112,391.05024
113,113,394.54176
114,114,398.03328
115,115,401.52479999999997
116,116,405.01632
117,117,408.50784
118,118,411.99936
119,119,415.49088
120,120,418.9824
121,121,422.47392
122,122,425.96544
123,123,429.45696
124,124,432.94848
125,125,436.44
126,126,439.93152
127,127,443.42304
128,128,446.91456
129,129,450.40608
130,130,453.8976
131,131,457.38912
132,132,460.88063999999997
133,133,464.37216
134,134,467.86368
135,135,471.35519999999997
136,136,474.84672
137,137,478.33824
138,138,481.82975999999996
139,139,485.32128
140,140,488.8128
141,141,492.30431999999996
142,142,495.79584
143,143,499.28736
144,144,502.77887999999996
145,145,506.2704
146,146,509.76192
147,147,513.25344
148,148,516.74496
149,149,520.23648
150,150,523.728
151,151,527.21952
152,152,530.71104
153,153,534.20256
154,154,537.69408
155,155,541.1856
156,156,544.67712
157,157,548.16864
158,158,551.66016
159,159,555.1516799999999
160,160,558.6432
161,161,562.13472
162,162,565.62624
163,163,569.11776
164,164,572.60928
165,165,576.1007999999999
166,166,579.59232
167,167,583.08384
168,168,586.57536
169,169,590.06688
170,170,593.5584
171,171,597.0499199999999
172,172,600.54144
173,173,604.03296
174,174,607.52448
175,175,611.016
176,176,614.50752
177,177,617.99904
178,178,621.49056
179,179,624.98208
180,180,628.4736
181,181,631.96512
182,182,635.45664
183,183,638.94816
184,184,642.43968
185,185,645.9312
186,186,649.42272
187,187,652.91424
188,188,656.40576
189,189,659.89728
190,190,663.3888
191,191,666.88032
192,192,670.37184
193,193,673.86336
194,194,677.35488
195,195,680.8464
196,196,684.3379199999999
197,197,687.82944
198,198,691.32096
199,199,694.81248
200,200,698.304
201,201,701.79552
202,202,705.2870399999999
203,203,708.77856
204,204,712.27008
205,205,715.7616
206,206,719.25312
207,207,722.74464
208,208,726.2361599999999
209,209,729.72768
210,210,733.2192
211,211,736.71072
212,212,740.20224
213,213,743.69376
214,214,747.18528
215,215,750.6768
216,216,754.16832
217,217,757.65984
218,218,761.15136
219,219,764.64288
220,220,768.1344
221,221,771.62592
222,222,775.11744
223,223,778.60896
224,224,782.10048
225,225,785.592
226,226,789.08352
227,227,792.57504
228,228,796.06656
229,229,799.55808
230,230,803.0495999999999
231,231,806.54112
232,232,810.03264
233,233,813.5241599999999
234,234,817.01568
235,235,820.5072
236,236,823.99872
237,237,827.49024
238,238,830.98176
239,239,834.4732799999999
240,240,837.9648
241,241,841.45632
242,242,844.94784
243,243,848.43936
244,244,851.93088
245,245,855.4224
246,246,858.91392
247,247,862.40544
248,248,865.89696
249,249,869.38848
250,250,872.88
251,251,876.37152
252,252,879.86304
253,253,883.35456
254,254,886.84608
255,255,890.3376
256,256,1661.8291199999999
257,257,1668.32064
258,258,1674.81216
259,259,1681.30368
260,260,1687.7952
261,261,1694.28672
262,262,1700.77824
263,263,1707.26976
264,264,1713.76128
265,265,1720.2528
266,266,1726.74432
267,267,1733.23584
268,268,1739.7273599999999
269,269,1746.21888
270,270,1752.7104
271,271,1759.20192
272,272,1765.69344
273,273,1772.18496
274,274,1778.67648
275,275,1785.168
276,276,1791.65952
277,277,1798.15104
278,278,1804.64256
279,279,1811.13408
280,280,1817.6256
281,281,1824.1171199999999
282,282,1830.60864
283,283,1837.10016
284,284,1843.59168
285,285,1850.0832
286,286,1856.57472
287,287,1863.06624
288,288,1869.55776
289,289,1876.04928
290,290,1882.5408
291,291,1889.03232
292,292,1895.52384
293,293,1902.0153599999999
294,294,1908.50688
295,295,1914.9984
296,296,1921.48992
297,297,1927.98144
298,298,1934.47296
299,299,1940.96448
300,300,1947.456
301,301,1953.94752
302,302,1960.43904
303,303,1966.93056
304,304,1973.42208
305,305,1979.9135999999999
306,306,1986.40512
307,307,1992.89664
308,308,1999.38816
309,309,2005.87968
310,310,2012.3712
311,311,2018.86272
312,312,2025.35424
313,313,2031.84576
314,314,2038.33728
315,315,2044.8288
316,316,2051.32032
317,317,2057.81184
318,318,2064.30336
319,319,2070.79488
320,320,2077.2864
321,321,2083.77792
322,322,2090.26944
323,323,2096.76096
324,324,2103.25248
325,325,2109.744
326,326,2116.23552
327,327,2122.7270399999998
328,328,2129.21856
329,329,2135.71008
330,330,2142.2016
331,331,2148.69312
332,332,2155.18464
333,333,2161.67616
334,334,2168.16768
335,335,2174.6592
336,336,2181.15072
337,337,2187.64224
338,338,2194.13376
339,339,2200.62528
340,340,2207.1168
341,341,2213.60832
342,342,2220.09984
343,343,2226.59136
344,344,2233.08288
345,345,2239.5744
346,346,2246.06592
347,347,2252.55744
348,348,2259.04896
349,349,2265.54048
350,350,2272.032
351,351,2278.52352
352,352,2285.01504
353,353,2291.50656
354,354,2297.99808
355,355,2304.4896
356,356,2310.98112
357,357,2317.47264
358,358,2323.96416
359,359,2330.45568
360,360,2336.9472
361,361,2343.43872
362,362,2349.93024
363,363,2356.42176
364,364,2362.9132799999998
365,365,2369.4048
366,366,2375.89632
367,367,2382.38784
368,368,2388.87936
369,369,2395.37088
370,370,2401.8624
371,371,2408.35392
372,372,2414.84544
373,373,2421.33696
374,374,2427.82848
375,375,2434.32
376,376,2440.81152
377,377,2447.30304
378,378,2453.79456
379,379,2460.28608
380,380,2466.7776
381,381,2473.26912
382,382,2479.76064
383,383,2486.25216
384,384,2492.74368
385,385,2499.2352
386,386,2505.72672
387,387,2512.21824
388,388,2518.70976
389,389,2525.20128
390,390,2531.6928
391,391,2538.18432
392,392,2544.67584
393,393,2551.16736
394,394,2557.65888
395,395,2564.1504
396,396,2570.64192
397,397,2577.13344
398,398,2583.62496
399,399,2590.11648
400,400,2596.608
401,401,2603.0995199999998
402,402,2609.59104
403,403,2616.08256
404,404,2622.57408
405,405,2629.0656
406,406,2635.55712
407,407,2642.04864
408,408,2648.54016
409,409,2655.03168
410,410,2661.5232
411,411,2668.01472
412,412,2674.50624
413,413,2680.99776
414,414,2687.48928
415,415,2693.9808
416,416,2700.47232
417,417,2706.96384
418,418,2713.45536
419,419,2719.94688
420,420,2726.4384
421,421,2732.92992
422,422,2739.42144
423,423,2745.91296
424,424,2752.40448
425,425,2758.896
426,426,2765.38752
427,427,2771.87904
428,428,2778.37056
429,429,2784.86208
430,430,2791.3536
431,431,2797.84512
432,432,2804.33664
433,433,2810.82816
434,434,2817.31968
435,435,2823.8112
436,436,2830.30272
437,437,2836.79424
438,438,2843.2857599999998
439,439,2849.77728
440,440,2856.2688
441,441,2862.76032
442,442,2869.25184
443,443,2875.74336
444,444,2882.23488
445,445,2888.7264
446,446,2895.21792
447,447,2901.70944
448,448,2908.20096
449,449,2914.69248
450,450,2921.184
451,451,2927.67552
452,452,2934.16704
453,453,2940.65856
454,454,2947.15008
455,455,2953.6416
456,456,2960.13312
457,457,2966.62464
458,458,2973.11616
459,459,2979.60768
460,460,2986.0992
461,461,2992.59072
462,462,2999.08224
463,463,3005.57376
464,464,3012.06528
465,465,3018.5568
466,466,3025.04832
467,467,3031.53984
468,468,3038.03136
469,469,3044.52288
470,470,3051.0144
471,471,3057.50592
472,472,3063.99744
473,473,3070.48896
474,474,3076.98048
475,475,3083.4719999999998
476,476,3089.96352
477,477,3096.45504
478,478,3102.94656
479,479,3109.43808
480,480,3115.9296
481,481,3122.42112
482,482,3128.91264
483,483,3135.40416
484,484,3141.89568
485,485,3148.3872
486,486,3154.87872
487,487,3161.37024
488,488,3167.86176
489,489,3174.35328
490,490,3180.8448
491,491,3187.33632
492,492,3193.82784
493,493,3200.31936
494,494,3206.81088
495,495,3213.3024
496,496,3219.79392
497,497,3226.28544
498,498,3232.77696
499,499,3239.26848
500,500,3245.76
501,501,3252.25152
502,502,3258.74304
503,503,3265.23456
504,504,3271.72608
505,505,3278.2176
506,506,3284.70912
507,507,3291.20064
508,508,3297.69216
509,509,3304.18368
510,510,3310.6752
511,511,3317.16672
512,512,3323.6582399999998
513,513,3330.14976
514,514,3336.64128
515,515,3343.1328
516,516,3349.62432
517,517,3356.11584
518,518,3362.60736
519,519,3369.09888
520,520,3375.5904
521,521,3382.08192
522,522,3388.57344
523,523,3395.06496
524,524,3401.55648
525,525,3408.048
526,526,3414.53952
527,527,3421.03104
528,528,3427.52256
529,529,3434.01408
530,530,3440.5056
531,531,3446.99712
532,532,3453.48864
533,533,3459.98016
534,534,3466.47168
535,535,3472.9632
536,536,3479.4547199999997
537,537,3485.94624
538,538,3492.43776
539,539,3498.92928
540,540,3505.4208
541,541,3511.91232
542,542,3518.40384
543,543,3524.89536
544,544,3531.38688
545,545,3537.8784
546,546,3544.36992
547,547,3550.86144
548,548,3557.35296
549,549,3563.8444799999997
550,550,3570.336
551,551,3576.82752
552,552,3583.31904
553,553,3589.81056
554,554,3596.30208
555,555,3602.7936
556,556,3609.28512
557,557,3615.77664
558,558,3622.26816
559,559,3628.75968
560,560,3635.2512
561,561,3641.74272
562,562,3648.2342399999998
