KeywordCount, Counter, Storage(Bits)
1,1,64647.710399999996
2,2,129295.42079999999
3,3,193943.1312
4,4,258590.84159999999
5,5,323238.55199999997
6,6,387886.26239999995
7,7,452533.97279999993
8,8,517181.6831999999
9,9,581829.3936
10,10,646477.1039999999
11,11,711124.8143999999
12,12,775772.5247999999
13,13,840420.2351999999
14,14,905067.9455999999
15,15,969715.6559999998
16,16,1034363.3663999998
17,17,1099011.0768
18,18,1163658.7872
19,19,1228306.4976
20,20,1292954.2079999999
21,21,1357601.9183999998
22,22,1422249.6287999998
23,23,1486897.3391999998
24,24,1551545.0495999998
25,25,1616192.7599999998
26,26,1680840.4703999998
27,27,1745488.1807999997
28,28,1810135.8911999997
29,29,1874783.6015999997
30,30,1939431.3119999997
31,31,2004079.0223999997
32,32,2068726.7327999996
33,33,2133374.4431999996
34,34,2198022.1536
35,35,2262669.864
36,36,2327317.5744000003
37,37,2391965.2848000005
38,38,2456612.9952000007
39,39,2521260.705600001
40,40,2585908.416000001
41,41,2650556.1264000013
42,42,2715203.8368000016
43,43,2779851.547200002
44,44,2844499.257600002
45,45,2909146.968000002
46,46,2973794.6784000024
47,47,3038442.3888000026
48,48,3103090.099200003
49,49,3167737.809600003
50,50,3232385.5200000033
51,51,3297033.2304000035
52,52,3361680.9408000037
53,53,3426328.651200004
54,54,3490976.361600004
55,55,3555624.0720000044
56,56,3620271.7824000046
57,57,3684919.492800005
58,58,3749567.203200005
59,59,3814214.913600005
60,60,3878862.6240000054
61,61,3943510.3344000056
62,62,4008158.044800006
63,63,4072805.755200006
64,64,4137453.4656000063
65,65,4202101.1760000065
66,66,4266748.886400007
67,67,4331396.596800007
68,68,4396044.307200007
69,69,4460692.017600007
70,70,4525339.728000008
71,71,4589987.438400008
72,72,4654635.148800008
73,73,4719282.859200008
74,74,4783930.569600008
75,75,4848578.280000009
76,76,4913225.990400009
77,77,4977873.700800009
78,78,5042521.411200009
79,79,5107169.1216000095
80,80,5171816.83200001
81,81,5236464.54240001
82,82,5301112.25280001
83,83,5365759.96320001
84,84,5430407.673600011
85,85,5495055.384000011
86,86,5559703.094400011
87,87,5624350.804800011
88,88,5688998.515200011
89,89,5753646.225600012
90,90,5818293.936000012
91,91,5882941.646400012
92,92,5947589.356800012
93,93,6012237.0672000125
94,94,6076884.777600013
95,95,6141532.488000013
96,96,6206180.198400013
97,97,6270827.908800013
98,98,6335475.619200014
99,99,6400123.329600014
100,100,6464771.040000014
101,101,6529418.750400014
102,102,6594066.460800014
103,103,6658714.171200015
104,104,6723361.881600015
105,105,6788009.592000015
106,106,6852657.302400015
107,107,6917305.0128000155
108,108,6981952.723200016
109,109,7046600.433600016
110,110,7111248.144000016
111,111,7175895.854400016
112,112,7240543.564800017
113,113,7305191.275200017
114,114,7369838.985600017
115,115,7434486.696000017
116,116,7499134.406400017
117,117,7563782.116800018
118,118,7628429.827200018
119,119,7693077.537600018
120,120,7757725.248000018
121,121,7822372.9584000185
122,122,7887020.668800019
123,123,7951668.379200019
124,124,8016316.089600019
125,125,8080963.800000019
126,126,8145611.51040002
127,127,8210259.22080002
128,128,8274906.93120002
129,129,8339554.64160002
130,130,8404202.35200002
131,131,8468850.06240002
132,132,8533497.77280002
133,133,8598145.483200021
134,134,8662793.193600021
135,135,8727440.904000022
136,136,8792088.614400022
137,137,8856736.324800022
138,138,8921384.035200022
139,139,8986031.745600022
140,140,9050679.456000023
141,141,9115327.166400023
142,142,9179974.876800023
143,143,9244622.587200023
144,144,9309270.297600023
145,145,9373918.008000024
146,146,9438565.718400024
