KeywordCount, Counter, Storage(Bytes)
1,10,1
2,47,2
3,84,3
4,121,4
5,158,5
6,196,6
7,234,7
8,272,16
9,310,18
10,348,20
11,387,22
12,426,24
13,465,26
14,504,28
15,543,30
16,582,32
17,621,34
18,660,36
19,699,38
20,738,40
21,777,42
22,816,44
23,855,46
24,894,48
25,933,50
26,972,52
27,1011,54
28,1050,56
29,1089,58
30,1129,60
31,1169,62
32,1209,64
33,1249,66
34,1289,68
35,1329,70
36,1369,72
37,1409,74
38,1449,76
39,1489,78
40,1529,80
41,1569,82
42,1609,84
43,1649,86
44,1689,88
45,1729,90
46,1769,92
47,1809,94
48,1849,96
49,1889,98
50,1929,100
51,1969,102
52,2009,104
53,2050,106
54,2091,108
55,2132,110
56,2173,112
57,2214,114
58,2255,116
59,2296,118
60,2337,120
61,2378,122
62,2419,124
63,2460,126
64,2501,128
65,2542,130
66,2583,132
67,2624,134
68,2665,136
69,2706,138
70,2747,140
71,2788,142
72,2829,144
73,2870,146
74,2911,148
75,2952,150
76,2993,152
77,3034,154
78,3075,156
79,3116,158
80,3157,160
81,3198,162
82,3239,164
83,3280,166
84,3321,168
85,3362,170
86,3403,172
87,3445,174
88,3487,176
89,3529,178
90,3571,180
91,3613,182
92,3655,184
93,3697,186
94,3739,188
95,3781,190
96,3823,192
97,3865,194
98,3907,196
99,3949,198
100,3991,200
101,4033,202
102,4075,204
103,4117,206
104,4159,208
105,4201,210
106,4243,212
107,4285,214
108,4327,216
109,4369,218
110,4411,220
111,4453,222
112,4495,224
113,4537,226
114,4579,228
115,4621,230
116,4663,232
117,4705,234
118,4747,236
119,4789,238
120,4831,240
121,4873,242
122,4915,244
123,4957,246
124,4999,248
125,5041,250
126,5083,252
127,5125,254
128,5168,256
129,5211,258
130,5254,260
131,5297,262
132,5340,264
133,5383,266
134,5426,268
135,5469,270
136,5512,272
137,5555,274
138,5598,276
139,5641,278
140,5684,280
141,5727,282
142,5770,284
143,5813,286
144,5856,288
145,5899,290
146,5942,292
147,5985,294
148,6028,296
149,6071,298
150,6114,300
151,6157,302
152,6200,304
153,6243,306
154,6286,308
155,6329,310
156,6372,312
157,6415,314
158,6458,316
159,6501,318
160,6544,320
161,6587,322
162,6630,324
163,6673,326
164,6716,328
165,6759,330
166,6802,332
167,6845,334
168,6888,336
169,6931,338
170,6974,340
171,7017,342
172,7060,344
173,7103,346
174,7146,348
175,7189,350
176,7232,352
177,7275,354
178,7318,356
179,7361,358
180,7404,360
181,7447,362
182,7490,364
183,7533,366
184,7576,368
185,7619,370
186,7662,372
187,7706,374
188,7750,376
189,7794,378
190,7838,380
191,7882,382
192,7926,384
193,7970,386
194,8014,388
195,8058,390
196,8102,392
197,8146,394
198,8190,396
199,8234,398
200,8278,400
201,8322,402
202,8366,404
203,8410,406
204,8454,408
205,8498,410
206,8542,412
207,8586,414
208,8630,416
209,8674,418
210,8718,420
211,8762,422
212,8806,424
213,8850,426
214,8894,428
215,8938,430
216,8982,432
217,9026,434
218,9070,436
219,9114,438
220,9158,440
221,9202,442
222,9246,444
223,9290,446
224,9334,448
225,9378,450
226,9422,452
227,9466,454
228,9510,456
229,9554,458
230,9598,460
231,9642,462
232,9686,464
233,9730,466
234,9774,468
235,9818,470
236,9862,472
237,9906,474
238,9950,476
239,9994,478
240,10038,480
241,10082,482
242,10126,484
243,10170,486
244,10214,488
245,10258,490
246,10302,492
247,10346,494
248,10390,496
249,10434,498
250,10478,500
251,10522,502
252,10566,504
253,10610,506
254,10654,508
255,10698,510
256,10742,512
257,10786,514
258,10830,516
259,10874,518
260,10918,520
261,10963,522
262,11008,524
263,11053,526
264,11098,528
265,11143,530
266,11188,532
267,11233,534
268,11278,536
269,11323,538
270,11368,540
271,11413,542
272,11458,544
273,11503,546
274,11548,548
275,11593,550
276,11638,552
277,11683,554
278,11728,556
279,11773,558
280,11818,560
281,11863,562
282,11908,564
283,11953,566
284,11998,568
285,12043,570
286,12088,572
287,12133,574
288,12178,576
289,12223,578
290,12268,580
291,12313,582
292,12358,584
293,12403,586
294,12448,588
295,12493,590
296,12538,592
297,12583,594
298,12628,596
299,12673,598
300,12718,600
301,12763,602
302,12808,604
303,12853,606
304,12898,608
305,12943,610
306,12988,612
307,13033,614
308,13078,616
309,13123,618
310,13168,620
311,13213,622
312,13258,624
313,13303,626
314,13348,628
315,13393,630
316,13438,632
317,13483,634
318,13528,636
319,13573,638
320,13618,640
321,13663,642
322,13708,644
323,13753,646
324,13798,648
325,13843,650
326,13888,652
327,13934,654
328,13980,656
329,14026,658
330,14072,660
331,14118,662
332,14164,664
333,14210,666
334,14256,668
335,14302,670
336,14348,672
337,14394,674
338,14440,676
339,14486,678
340,14532,680
341,14578,682
342,14624,684
343,14670,686
344,14716,688
345,14762,690
346,14808,692
347,14854,694
348,14900,696
349,14946,698
350,14992,700
351,15038,702
352,15084,704
353,15130,706
354,15176,708
355,15222,710
356,15268,712
357,15314,714
358,15360,716
359,15406,718
360,15452,720
361,15498,722
362,15544,724
363,15590,726
364,15636,728
365,15682,730
366,15728,732
367,15774,734
368,15820,736
369,15866,738
370,15912,740
371,15958,742
372,16004,744
373,16050,746
374,16096,748
375,16142,750
376,16188,752
377,16234,754
378,16280,756
379,16326,758
380,16372,760
381,16418,762
382,16464,764
383,16510,766
384,16556,768
385,16602,770
386,16648,772
387,16695,774
388,16742,776
389,16789,778
390,16836,780
391,16883,782
392,16930,784
393,16977,786
394,17024,788
395,17071,790
396,17118,792
397,17165,794
398,17212,796
399,17259,798
