KeywordCount, Counter, Storage(Bits)
1,10,4
2,37,12
3,37,18
4,37,24
5,37,30
6,38,36
7,38,42
8,38,48
9,38,54
10,38,60
11,39,66
12,39,72
13,39,78
14,39,84
15,39,90
16,39,96
17,39,102
18,39,108
19,39,114
20,39,120
21,39,126
22,39,132
23,39,138
24,39,144
25,39,150
26,39,156
27,39,162
28,39,168
29,39,174
30,40,180
31,40,186
32,40,192
33,40,198
34,40,204
35,40,210
36,40,216
37,40,222
38,40,228
39,40,234
40,40,240
41,40,246
42,40,252
43,40,258
44,40,264
45,40,270
46,40,276
47,40,282
48,40,288
49,40,294
50,40,300
51,40,306
52,40,312
53,41,318
54,41,324
55,41,330
56,41,336
57,41,342
58,41,348
59,41,354
60,41,360
61,41,366
62,41,372
63,41,378
64,41,384
65,41,390
66,41,396
67,41,402
68,41,408
69,41,414
70,41,420
71,41,426
72,41,432
73,41,438
74,41,444
75,41,450
76,41,456
77,41,462
78,41,468
79,41,474
80,41,480
81,41,486
82,41,492
83,41,498
84,41,504
85,41,510
86,41,516
87,42,522
88,42,528
89,42,534
90,42,540
91,42,546
92,42,552
93,42,558
94,42,564
95,42,570
96,42,576
97,42,582
98,42,588
99,42,594
100,42,600
101,42,606
102,42,612
103,42,618
104,42,624
105,42,630
106,42,636
107,42,642
108,42,648
109,42,654
110,42,660
111,42,666
112,42,672
113,42,678
114,42,684
115,42,690
116,42,696
117,42,702
118,42,708
119,42,714
120,42,720
121,42,726
122,42,732
123,42,738
124,42,744
125,42,750
126,42,756
127,42,762
128,43,768
129,43,774
130,43,780
131,43,786
132,43,792
133,43,798
134,43,804
135,43,810
136,43,816
137,43,822
138,43,828
139,43,834
140,43,840
141,43,846
142,43,852
143,43,858
144,43,864
145,43,870
146,43,876
147,43,882
148,43,888
149,43,894
150,43,900
151,43,906
152,43,912
153,43,918
154,43,924
155,43,930
156,43,936
157,43,942
158,43,948
159,43,954
160,43,960
161,43,966
162,43,972
163,43,978
164,43,984
165,43,990
166,43,996
167,43,1002
168,43,1008
169,43,1014
170,43,1020
171,43,1026
172,43,1032
173,43,1038
174,43,1044
175,43,1050
176,43,1056
177,43,1062
178,43,1068
179,43,1074
180,43,1080
181,43,1086
182,43,1092
183,43,1098
184,43,1104
185,43,1110
186,43,1116
187,44,1122
188,44,1128
189,44,1134
190,44,1140
191,44,1146
192,44,1152
193,44,1158
194,44,1164
195,44,1170
196,44,1176
197,44,1182
198,44,1188
199,44,1194
200,44,1200
201,44,1206
202,44,1212
203,44,1218
204,44,1224
205,44,1230
206,44,1236
207,44,1242
208,44,1248
209,44,1254
210,44,1260
211,44,1266
212,44,1272
213,44,1278
214,44,1284
215,44,1290
216,44,1296
217,44,1302
218,44,1308
219,44,1314
220,44,1320
221,44,1326
222,44,1332
223,44,1338
224,44,1344
225,44,1350
226,44,1356
227,44,1362
228,44,1368
229,44,1374
230,44,1380
231,44,1386
232,44,1392
233,44,1398
234,44,1404
235,44,1410
236,44,1416
237,44,1422
238,44,1428
239,44,1434
240,44,1440
241,44,1446
242,44,1452
243,44,1458
244,44,1464
245,44,1470
246,44,1476
247,44,1482
248,44,1488
249,44,1494
250,44,1500
251,44,1506
252,44,1512
253,44,1518
254,44,1524
255,44,1530
256,44,1536
257,44,1542
258,44,1548
259,44,1554
260,44,1560
261,45,1566
262,45,1572
263,45,1578
264,45,1584
265,45,1590
266,45,1596
267,45,1602
268,45,1608
269,45,1614
270,45,1620
271,45,1626
272,45,1632
273,45,1638
274,45,1644
275,45,1650
276,45,1656
277,45,1662
278,45,1668
279,45,1674
280,45,1680
281,45,1686
282,45,1692
283,45,1698
284,45,1704
285,45,1710
286,45,1716
287,45,1722
288,45,1728
289,45,1734
290,45,1740
291,45,1746
292,45,1752
293,45,1758
294,45,1764
295,45,1770
296,45,1776
297,45,1782
298,45,1788
299,45,1794
300,45,1800
301,45,1806
302,45,1812
303,45,1818
304,45,1824
305,45,1830
306,45,1836
307,45,1842
308,45,1848
309,45,1854
310,45,1860
311,45,1866
312,45,1872
313,45,1878
314,45,1884
315,45,1890
316,45,1896
317,45,1902
318,45,1908
319,45,1914
320,45,1920
321,45,1926
322,45,1932
323,45,1938
324,45,1944
325,45,1950
326,45,1956
327,46,1962
328,46,1968
329,46,1974
330,46,1980
331,46,1986
332,46,1992
333,46,1998
334,46,2004
335,46,2010
336,46,2016
337,46,2022
338,46,2028
339,46,2034
340,46,2040
341,46,2046
342,46,2052
343,46,2058
344,46,2064
345,46,2070
346,46,2076
347,46,2082
348,46,2088
349,46,2094
350,46,2100
351,46,2106
352,46,2112
353,46,2118
354,46,2124
355,46,2130
356,46,2136
357,46,2142
358,46,2148
359,46,2154
360,46,2160
361,46,2166
362,46,2172
363,46,2178
364,46,2184
365,46,2190
366,46,2196
367,46,2202
368,46,2208
369,46,2214
370,46,2220
371,46,2226
372,46,2232
373,46,2238
374,46,2244
375,46,2250
376,46,2256
377,46,2262
378,46,2268
379,46,2274
380,46,2280
381,46,2286
382,46,2292
383,46,2298
384,46,2304
385,46,2310
386,46,2316
387,47,2322
388,47,2328
389,47,2334
390,47,2340
391,47,2346
392,47,2352
393,47,2358
394,47,2364
395,47,2370
396,47,2376
397,47,2382
398,47,2388
399,47,2394
400,47,2400
401,47,2406
402,47,2412
403,47,2418
404,47,2424
405,47,2430
406,47,2436
407,47,2442
408,47,2448
409,47,2454
410,47,2460
411,47,2466
412,47,2472
413,47,2478
414,47,2484
415,47,2490
416,47,2496
417,47,2502
418,47,2508
419,47,2514
420,47,2520
421,47,2526
422,47,2532
423,47,2538
424,47,2544
425,47,2550
426,47,2556
427,47,2562
428,47,2568
429,47,2574
430,47,2580
431,47,2586
432,47,2592
433,47,2598
434,47,2604
435,47,2610
436,47,2616
437,47,2622
438,47,2628
439,47,2634
440,47,2640
441,47,2646
442,47,2652
443,47,2658
444,47,2664
445,47,2670
446,47,2676
447,47,2682
448,48,2688
449,48,2694
450,48,2700
451,48,2706
452,48,2712
453,48,2718
454,48,2724
455,48,2730
456,48,2736
457,48,2742
458,48,2748
459,48,2754
460,48,2760
461,48,2766
462,48,2772
463,48,2778
464,48,2784
465,48,2790
466,48,2796
467,48,2802
468,48,2808
469,48,2814
470,48,2820
471,48,2826
472,48,2832
473,48,2838
474,48,2844
475,48,2850
476,48,2856
477,48,2862
478,48,2868
479,48,2874
480,48,2880
481,48,2886
482,48,2892
483,48,2898
484,48,2904
485,48,2910
486,48,2916
487,48,2922
488,48,2928
489,48,2934
490,48,2940
491,48,2946
492,48,2952
493,48,2958
494,48,2964
495,48,2970
496,48,2976
497,48,2982
498,48,2988
499,48,2994
500,48,3000
501,48,3006
502,48,3012
503,48,3018
504,48,3024
505,48,3030
506,48,3036
507,48,3042
508,48,3048
509,48,3054
510,48,3060
511,48,3066
512,48,3072
513,48,3078
514,48,3084
515,48,3090
516,48,3096
517,48,3102
518,48,3108
519,48,3114
520,48,3120
521,48,3126
522,48,3132
523,48,3138
524,48,3144
525,49,3150
526,49,3156
527,49,3162
528,49,3168
529,49,3174
530,49,3180
531,49,3186
532,49,3192
533,49,3198
534,49,3204
535,49,3210
536,49,3216
537,49,3222
538,49,3228
539,49,3234
540,49,3240
541,49,3246
542,49,3252
543,49,3258
544,49,3264
545,49,3270
546,49,3276
547,49,3282
548,49,3288
549,49,3294
550,49,3300
551,49,3306
552,49,3312
