KeywordCount, Counter, Storage(Bytes)
1,10,2
2,47,4
3,84,6
4,121,8
5,158,10
6,196,12
7,234,14
8,272,32
9,310,36
10,348,40
11,387,44
12,426,48
13,465,52
14,504,56
15,543,60
16,582,64
17,621,68
18,660,72
19,699,76
20,738,80
21,777,84
22,816,88
23,855,92
24,894,96
25,933,100
26,972,104
27,1011,108
28,1050,112
29,1089,116
30,1129,120
31,1169,124
32,1209,128
33,1249,132
34,1289,136
35,1329,140
36,1369,144
37,1409,148
38,1449,152
39,1489,156
40,1529,160
41,1569,164
42,1609,168
43,1649,172
44,1689,176
45,1729,180
46,1769,184
47,1809,188
48,1849,192
49,1889,196
50,1929,200
51,1969,204
52,2009,208
53,2050,212
54,2091,216
55,2132,220
56,2173,224
57,2214,228
58,2255,232
59,2296,236
60,2337,240
61,2378,244
62,2419,248
63,2460,252
64,2501,256
65,2542,260
66,2583,264
67,2624,268
68,2665,272
69,2706,276
70,2747,280
71,2788,284
72,2829,288
73,2870,292
74,2911,296
75,2952,300
76,2993,304
77,3034,308
78,3075,312
79,3116,316
80,3157,320
81,3198,324
82,3239,328
83,3280,332
84,3321,336
85,3362,340
86,3403,344
87,3445,348
88,3487,352
89,3529,356
90,3571,360
91,3613,364
92,3655,368
93,3697,372
94,3739,376
95,3781,380
96,3823,384
97,3865,388
98,3907,392
99,3949,396
100,3991,400
101,4033,404
102,4075,408
103,4117,412
104,4159,416
105,4201,420
106,4243,424
107,4285,428
108,4327,432
109,4369,436
110,4411,440
111,4453,444
112,4495,448
113,4537,452
114,4579,456
115,4621,460
116,4663,464
117,4705,468
118,4747,472
119,4789,476
120,4831,480
121,4873,484
122,4915,488
123,4957,492
124,4999,496
125,5041,500
126,5083,504
127,5125,508
128,5168,512
129,5211,516
130,5254,520
131,5297,524
132,5340,528
133,5383,532
134,5426,536
135,5469,540
136,5512,544
137,5555,548
138,5598,552
139,5641,556
140,5684,560
141,5727,564
142,5770,568
143,5813,572
144,5856,576
145,5899,580
146,5942,584
147,5985,588
148,6028,592
149,6071,596
150,6114,600
151,6157,604
152,6200,608
153,6243,612
154,6286,616
155,6329,620
156,6372,624
157,6415,628
158,6458,632
159,6501,636
160,6544,640
161,6587,644
162,6630,648
163,6673,652
164,6716,656
165,6759,660
166,6802,664
167,6845,668
168,6888,672
169,6931,676
170,6974,680
171,7017,684
172,7060,688
173,7103,692
174,7146,696
175,7189,700
176,7232,704
177,7275,708
178,7318,712
179,7361,716
180,7404,720
181,7447,724
182,7490,728
183,7533,732
184,7576,736
185,7619,740
186,7662,744
187,7706,748
188,7750,752
189,7794,756
190,7838,760
191,7882,764
192,7926,768
193,7970,772
194,8014,776
195,8058,780
196,8102,784
197,8146,788
198,8190,792
199,8234,796
200,8278,800
201,8322,804
202,8366,808
203,8410,812
204,8454,816
205,8498,820
206,8542,824
207,8586,828
208,8630,832
209,8674,836
210,8718,840
211,8762,844
212,8806,848
213,8850,852
214,8894,856
215,8938,860
216,8982,864
217,9026,868
218,9070,872
219,9114,876
220,9158,880
221,9202,884
222,9246,888
223,9290,892
224,9334,896
225,9378,900
226,9422,904
227,9466,908
228,9510,912
229,9554,916
230,9598,920
231,9642,924
232,9686,928
233,9730,932
234,9774,936
235,9818,940
236,9862,944
237,9906,948
238,9950,952
239,9994,956
240,10038,960
241,10082,964
242,10126,968
243,10170,972
244,10214,976
245,10258,980
246,10302,984
247,10346,988
248,10390,992
249,10434,996
250,10478,1000
251,10522,1004
252,10566,1008
253,10610,1012
254,10654,1016
255,10698,1020
256,10742,1024
257,10786,1028
258,10830,1032
259,10874,1036
260,10918,1040
261,10963,1044
262,11008,1048
263,11053,1052
264,11098,1056
265,11143,1060
266,11188,1064
267,11233,1068
268,11278,1072
269,11323,1076
270,11368,1080
271,11413,1084
272,11458,1088
273,11503,1092
274,11548,1096
275,11593,1100
276,11638,1104
277,11683,1108
278,11728,1112
279,11773,1116
280,11818,1120
281,11863,1124
282,11908,1128
283,11953,1132
284,11998,1136
285,12043,1140
286,12088,1144
287,12133,1148
288,12178,1152
289,12223,1156
290,12268,1160
291,12313,1164
292,12358,1168
293,12403,1172
294,12448,1176
295,12493,1180
296,12538,1184
297,12583,1188
298,12628,1192
299,12673,1196
300,12718,1200
301,12763,1204
302,12808,1208
303,12853,1212
304,12898,1216
305,12943,1220
306,12988,1224
307,13033,1228
308,13078,1232
309,13123,1236
310,13168,1240
311,13213,1244
312,13258,1248
313,13303,1252
314,13348,1256
315,13393,1260
316,13438,1264
317,13483,1268
318,13528,1272
319,13573,1276
320,13618,1280
321,13663,1284
322,13708,1288
323,13753,1292
324,13798,1296
325,13843,1300
326,13888,1304
327,13934,1308
328,13980,1312
329,14026,1316
330,14072,1320
331,14118,1324
332,14164,1328
333,14210,1332
334,14256,1336
335,14302,1340
336,14348,1344
337,14394,1348
338,14440,1352
339,14486,1356
340,14532,1360
341,14578,1364
342,14624,1368
343,14670,1372
344,14716,1376
345,14762,1380
346,14808,1384
347,14854,1388
348,14900,1392
349,14946,1396
350,14992,1400
351,15038,1404
352,15084,1408
353,15130,1412
354,15176,1416
355,15222,1420
356,15268,1424
357,15314,1428
358,15360,1432
359,15406,1436
360,15452,1440
361,15498,1444
362,15544,1448
363,15590,1452
364,15636,1456
365,15682,1460
366,15728,1464
367,15774,1468
368,15820,1472
369,15866,1476
370,15912,1480
371,15958,1484
372,16004,1488
373,16050,1492
374,16096,1496
375,16142,1500
376,16188,1504
377,16234,1508
378,16280,1512
379,16326,1516
380,16372,1520
381,16418,1524
382,16464,1528
383,16510,1532
384,16556,1536
385,16602,1540
386,16648,1544
387,16695,1548
388,16742,1552
389,16789,1556
390,16836,1560
391,16883,1564
392,16930,1568
393,16977,1572
394,17024,1576
395,17071,1580
396,17118,1584
397,17165,1588
398,17212,1592
399,17259,1596
400,17306,1600
401,17353,1604
402,17400,1608
403,17447,1612
404,17494,1616
405,17541,1620
406,17588,1624
407,17635,1628
408,17682,1632
409,17729,1636
410,17776,1640
411,17823,1644
412,17870,1648
413,17917,1652
414,17964,1656
415,18011,1660
416,18058,1664
417,18105,1668
418,18152,1672
419,18199,1676
420,18246,1680
421,18293,1684
422,18340,1688
423,18387,1692
424,18434,1696
425,18481,1700
426,18528,1704
427,18575,1708
428,18622,1712
429,18669,1716
430,18716,1720
431,18763,1724
432,18810,1728
433,18857,1732
434,18904,1736
435,18951,1740
436,18998,1744
437,19045,1748
438,19092,1752
439,19139,1756
440,19186,1760
441,19233,1764
442,19280,1768
443,19327,1772
444,19374,1776
445,19421,1780
446,19468,1784
447,19515,1788
448,19563,1792
449,19611,1796
450,19659,1800
451,19707,1804
452,19755,1808
453,19803,1812
454,19851,1816
455,19899,1820
456,19947,1824
457,19995,1828
458,20043,1832
459,20091,1836
460,20139,1840
461,20187,1844
462,20235,1848
463,20283,1852
464,20331,1856
465,20379,1860
466,20427,1864
467,20475,1868
468,20523,1872
469,20571,1876
470,20619,1880
471,20667,1884
472,20715,1888
473,20763,1892
474,20811,1896
475,20859,1900
476,20907,1904
477,20955,1908
478,21003,1912
479,21051,1916
480,21099,1920
481,21147,1924
482,21195,1928
483,21243,1932
484,21291,1936
485,21339,1940
486,21387,1944
487,21435,1948
488,21483,1952
489,21531,1956
490,21579,1960
491,21627,1964
492,21675,1968
493,21723,1972
494,21771,1976
495,21819,1980
496,21867,1984
497,21915,1988
498,21963,1992
499,22011,1996
500,22059,2000
501,22107,2004
502,22155,2008
503,22203,2012
504,22251,2016
505,22299,2020
506,22347,2024
507,22395,2028
508,22443,2032
509,22491,2036
510,22539,2040
511,22587,2044
512,22635,2048
513,22683,2052
514,22731,2056
515,22779,2060
516,22827,2064
517,22875,2068
518,22923,2072
519,22971,2076
520,23019,2080
521,23067,2084
522,23115,2088
523,23163,2092
524,23211,2096
525,23260,2100
526,23309,2104
527,23358,2108
528,23407,2112
529,23456,2116
530,23505,2120
531,23554,2124
532,23603,2128
533,23652,2132
534,23701,2136
535,23750,2140
536,23799,2144
537,23848,2148
538,23897,2152
539,23946,2156
540,23995,2160
541,24044,2164
542,24093,2168
543,24142,2172
544,24191,2176
545,24240,2180
546,24289,2184
547,24338,2188
548,24387,2192
549,24436,2196
550,24485,2200
551,24534,2204
552,24583,2208
553,24632,2212
554,24681,2216
555,24730,2220
556,24779,2224
557,24828,2228
558,24877,2232
559,24926,2236
560,24975,2240
561,25024,2244
562,25073,2248
563,25122,2252
564,25171,2256
565,25220,2260
566,25269,2264
567,25318,2268
568,25367,2272
569,25416,2276
570,25465,2280
571,25514,2284
572,25563,2288
573,25612,2292
574,25661,2296
575,25710,2300
576,25759,2304
577,25808,2308
578,25857,2312
579,25906,2316
580,25955,2320
581,26004,2324
582,26053,2328
583,26102,2332
584,26151,2336
585,26200,2340
586,26249,2344
587,26298,2348
588,26347,2352
589,26396,2356
590,26445,2360
591,26494,2364
592,26543,2368
593,26592,2372
594,26642,2376
595,26692,2380
596,26742,2384
597,26792,2388
598,26842,2392
599,26892,2396
600,26942,2400
601,26992,2404
602,27042,2408
603,27092,2412
604,27142,2416
605,27192,2420
606,27242,2424
607,27292,2428
608,27342,2432
609,27392,2436
610,27442,2440
611,27492,2444
612,27542,2448
613,27592,2452
614,27642,2456
615,27692,2460
616,27742,2464
617,27792,2468
618,27842,2472
619,27892,2476
620,27942,2480
621,27992,2484
622,28042,2488
623,28092,2492
624,28142,2496
625,28192,2500
626,28242,2504
627,28292,2508
628,28342,2512
629,28392,2516
630,28442,2520
631,28492,2524
632,28542,2528
633,28592,2532
634,28642,2536
635,28692,2540
636,28742,2544
637,28792,2548
638,28842,2552
639,28892,2556
640,28942,2560
641,28992,2564
642,29042,2568
643,29092,2572
644,29142,2576
645,29192,2580
646,29242,2584
647,29292,2588
648,29342,2592
649,29392,2596
650,29442,2600
651,29492,2604
652,29542,2608
653,29592,2612
654,29642,2616
655,29692,2620
656,29742,2624
657,29792,2628
658,29842,2632
659,29892,2636
660,29942,2640
661,29992,2644
662,30042,2648
663,30092,2652
664,30142,2656
665,30192,2660
666,30242,2664
667,30292,2668
668,30342,2672
669,30392,2676
670,30442,2680
671,30492,2684
672,30542,2688
673,30592,2692
674,30642,2696
675,30692,2700
676,30743,2704
677,30794,2708
678,30845,2712
679,30896,2716
680,30947,2720
681,30998,2724
682,31049,2728
683,31100,2732
684,31151,2736
685,31202,2740
686,31253,2744
687,31304,2748
688,31355,2752
689,31406,2756
690,31457,2760
691,31508,2764
692,31559,2768
693,31610,2772
694,31661,2776
695,31712,2780
696,31763,2784
697,31814,2788
698,31865,2792
699,31916,2796
700,31967,2800
701,32018,2804
702,32069,2808
703,32120,2812
704,32171,2816
705,32222,2820
706,32273,2824
707,32324,2828
708,32375,2832
709,32426,2836
710,32477,2840
711,32528,2844
712,32579,2848
713,32630,2852
714,32681,2856
715,32732,2860
716,32783,2864
717,32834,2868
718,32885,2872
719,32936,2876
720,32987,2880
721,33038,2884
722,33089,2888
723,33140,2892
724,33191,2896
725,33242,2900
726,33293,2904
727,33344,2908
728,33395,2912
729,33446,2916
730,33497,2920
731,33548,2924
732,33599,2928
733,33650,2932
734,33701,2936
735,33752,2940
736,33803,2944
737,33854,2948
738,33905,2952
739,33956,2956
740,34007,2960
741,34058,2964
742,34109,2968
743,34160,2972
744,34211,2976
745,34262,2980
746,34313,2984
747,34364,2988
748,34415,2992
749,34467,2996
750,34519,3000
751,34571,3004
752,34623,3008
753,34675,3012
754,34727,3016
755,34779,3020
756,34831,3024
757,34883,3028
