KeywordCount, Counter, Storage(Bits)
1,10,8
2,37,24
3,37,36
4,37,48
5,37,60
6,38,72
7,38,84
8,38,96
9,38,108
10,38,120
11,39,132
12,39,144
13,39,156
14,39,168
15,39,180
16,39,192
17,39,204
18,39,216
19,39,228
20,39,240
21,39,252
22,39,264
23,39,276
24,39,288
25,39,300
26,39,312
27,39,324
28,39,336
29,39,348
30,40,360
31,40,372
32,40,384
33,40,396
34,40,408
35,40,420
36,40,432
37,40,444
38,40,456
39,40,468
40,40,480
41,40,492
42,40,504
43,40,516
44,40,528
45,40,540
46,40,552
47,40,564
48,40,576
49,40,588
50,40,600
51,40,612
52,40,624
53,41,636
54,41,648
55,41,660
56,41,672
57,41,684
58,41,696
59,41,708
60,41,720
61,41,732
62,41,744
63,41,756
64,41,768
65,41,780
66,41,792
67,41,804
68,41,816
69,41,828
70,41,840
71,41,852
72,41,864
73,41,876
74,41,888
75,41,900
76,41,912
77,41,924
78,41,936
79,41,948
80,41,960
81,41,972
82,41,984
83,41,996
84,41,1008
85,41,1020
86,41,1032
87,42,1044
88,42,1056
89,42,1068
90,42,1080
91,42,1092
92,42,1104
93,42,1116
94,42,1128
95,42,1140
96,42,1152
97,42,1164
98,42,1176
99,42,1188
100,42,1200
101,42,1212
102,42,1224
103,42,1236
104,42,1248
105,42,1260
106,42,1272
107,42,1284
108,42,1296
109,42,1308
110,42,1320
111,42,1332
112,42,1344
113,42,1356
114,42,1368
115,42,1380
116,42,1392
117,42,1404
118,42,1416
119,42,1428
120,42,1440
121,42,1452
122,42,1464
123,42,1476
124,42,1488
125,42,1500
126,42,1512
127,42,1524
128,43,1536
129,43,1548
130,43,1560
131,43,1572
132,43,1584
133,43,1596
134,43,1608
135,43,1620
136,43,1632
137,43,1644
138,43,1656
139,43,1668
140,43,1680
141,43,1692
142,43,1704
143,43,1716
144,43,1728
145,43,1740
146,43,1752
147,43,1764
148,43,1776
149,43,1788
150,43,1800
151,43,1812
152,43,1824
153,43,1836
154,43,1848
155,43,1860
156,43,1872
157,43,1884
158,43,1896
159,43,1908
160,43,1920
161,43,1932
162,43,1944
163,43,1956
164,43,1968
165,43,1980
166,43,1992
167,43,2004
168,43,2016
169,43,2028
170,43,2040
171,43,2052
172,43,2064
173,43,2076
174,43,2088
175,43,2100
176,43,2112
177,43,2124
178,43,2136
179,43,2148
180,43,2160
181,43,2172
182,43,2184
183,43,2196
184,43,2208
185,43,2220
186,43,2232
187,44,2244
188,44,2256
189,44,2268
190,44,2280
191,44,2292
192,44,2304
193,44,2316
194,44,2328
195,44,2340
196,44,2352
197,44,2364
198,44,2376
199,44,2388
200,44,2400
201,44,2412
202,44,2424
203,44,2436
204,44,2448
205,44,2460
206,44,2472
207,44,2484
208,44,2496
209,44,2508
210,44,2520
211,44,2532
212,44,2544
213,44,2556
214,44,2568
215,44,2580
216,44,2592
217,44,2604
218,44,2616
219,44,2628
220,44,2640
221,44,2652
222,44,2664
223,44,2676
224,44,2688
225,44,2700
226,44,2712
227,44,2724
228,44,2736
229,44,2748
230,44,2760
231,44,2772
232,44,2784
233,44,2796
234,44,2808
235,44,2820
236,44,2832
237,44,2844
238,44,2856
239,44,2868
240,44,2880
241,44,2892
242,44,2904
243,44,2916
244,44,2928
245,44,2940
246,44,2952
247,44,2964
248,44,2976
249,44,2988
250,44,3000
251,44,3012
252,44,3024
253,44,3036
254,44,3048
255,44,3060
256,44,3072
257,44,3084
258,44,3096
259,44,3108
260,44,3120
261,45,3132
262,45,3144
263,45,3156
264,45,3168
265,45,3180
266,45,3192
267,45,3204
268,45,3216
269,45,3228
270,45,3240
271,45,3252
272,45,3264
273,45,3276
274,45,3288
275,45,3300
276,45,3312
277,45,3324
278,45,3336
279,45,3348
280,45,3360
281,45,3372
282,45,3384
283,45,3396
284,45,3408
285,45,3420
286,45,3432
287,45,3444
288,45,3456
289,45,3468
290,45,3480
291,45,3492
292,45,3504
293,45,3516
294,45,3528
295,45,3540
296,45,3552
297,45,3564
298,45,3576
299,45,3588
300,45,3600
301,45,3612
302,45,3624
303,45,3636
304,45,3648
305,45,3660
306,45,3672
307,45,3684
308,45,3696
309,45,3708
310,45,3720
311,45,3732
312,45,3744
313,45,3756
314,45,3768
315,45,3780
316,45,3792
317,45,3804
318,45,3816
319,45,3828
320,45,3840
321,45,3852
322,45,3864
323,45,3876
324,45,3888
325,45,3900
326,45,3912
327,46,3924
328,46,3936
329,46,3948
330,46,3960
331,46,3972
332,46,3984
333,46,3996
334,46,4008
335,46,4020
336,46,4032
337,46,4044
338,46,4056
339,46,4068
340,46,4080
341,46,4092
342,46,4104
343,46,4116
344,46,4128
345,46,4140
346,46,4152
347,46,4164
348,46,4176
349,46,4188
350,46,4200
351,46,4212
352,46,4224
353,46,4236
354,46,4248
355,46,4260
356,46,4272
357,46,4284
358,46,4296
359,46,4308
360,46,4320
361,46,4332
362,46,4344
363,46,4356
364,46,4368
365,46,4380
366,46,4392
367,46,4404
368,46,4416
369,46,4428
370,46,4440
371,46,4452
372,46,4464
373,46,4476
374,46,4488
375,46,4500
376,46,4512
377,46,4524
378,46,4536
379,46,4548
380,46,4560
381,46,4572
382,46,4584
383,46,4596
384,46,4608
385,46,4620
386,46,4632
387,47,4644
388,47,4656
389,47,4668
390,47,4680
391,47,4692
392,47,4704
393,47,4716
394,47,4728
395,47,4740
396,47,4752
397,47,4764
398,47,4776
399,47,4788
400,47,4800
401,47,4812
402,47,4824
403,47,4836
404,47,4848
405,47,4860
406,47,4872
407,47,4884
408,47,4896
409,47,4908
410,47,4920
411,47,4932
412,47,4944
413,47,4956
414,47,4968
415,47,4980
416,47,4992
417,47,5004
418,47,5016
419,47,5028
420,47,5040
421,47,5052
422,47,5064
423,47,5076
424,47,5088
425,47,5100
426,47,5112
427,47,5124
428,47,5136
429,47,5148
430,47,5160
431,47,5172
432,47,5184
433,47,5196
434,47,5208
435,47,5220
436,47,5232
437,47,5244
438,47,5256
439,47,5268
440,47,5280
441,47,5292
442,47,5304
443,47,5316
444,47,5328
445,47,5340
446,47,5352
447,47,5364
448,48,5376
449,48,5388
450,48,5400
451,48,5412
452,48,5424
453,48,5436
454,48,5448
455,48,5460
456,48,5472
457,48,5484
458,48,5496
459,48,5508
460,48,5520
461,48,5532
462,48,5544
463,48,5556
464,48,5568
465,48,5580
466,48,5592
467,48,5604
468,48,5616
469,48,5628
470,48,5640
471,48,5652
472,48,5664
473,48,5676
474,48,5688
475,48,5700
476,48,5712
477,48,5724
478,48,5736
479,48,5748
480,48,5760
481,48,5772
482,48,5784
483,48,5796
484,48,5808
485,48,5820
486,48,5832
487,48,5844
488,48,5856
489,48,5868
490,48,5880
491,48,5892
492,48,5904
493,48,5916
494,48,5928
495,48,5940
496,48,5952
497,48,5964
498,48,5976
499,48,5988
500,48,6000
501,48,6012
502,48,6024
503,48,6036
504,48,6048
505,48,6060
506,48,6072
507,48,6084
508,48,6096
509,48,6108
510,48,6120
511,48,6132
512,48,6144
513,48,6156
514,48,6168
515,48,6180
516,48,6192
517,48,6204
518,48,6216
519,48,6228
520,48,6240
521,48,6252
522,48,6264
523,48,6276
524,48,6288
525,49,6300
526,49,6312
527,49,6324
528,49,6336
529,49,6348
530,49,6360
531,49,6372
532,49,6384
533,49,6396
534,49,6408
535,49,6420
536,49,6432
537,49,6444
538,49,6456
539,49,6468
540,49,6480
541,49,6492
542,49,6504
543,49,6516
544,49,6528
545,49,6540
546,49,6552
547,49,6564
548,49,6576
549,49,6588
550,49,6600
551,49,6612
552,49,6624
553,49,6636
554,49,6648
555,49,6660
556,49,6672
557,49,6684
558,49,6696
559,49,6708
560,49,6720
561,49,6732
562,49,6744
563,49,6756
564,49,6768
565,49,6780
566,49,6792
567,49,6804
568,49,6816
569,49,6828
570,49,6840
571,49,6852
572,49,6864
573,49,6876
574,49,6888
575,49,6900
576,49,6912
577,49,6924
578,49,6936
579,49,6948
580,49,6960
581,49,6972
582,49,6984
583,49,6996
584,49,7008
585,49,7020
586,49,7032
587,49,7044
588,49,7056
589,49,7068
590,49,7080
591,49,7092
592,49,7104
593,49,7116
594,50,7128
595,50,7140
596,50,7152
597,50,7164
598,50,7176
599,50,7188
600,50,7200
601,50,7212
602,50,7224
603,50,7236
604,50,7248
605,50,7260
606,50,7272
607,50,7284
608,50,7296
609,50,7308
610,50,7320
611,50,7332
612,50,7344
613,50,7356
614,50,7368
615,50,7380
616,50,7392
617,50,7404
618,50,7416
619,50,7428
620,50,7440
621,50,7452
622,50,7464
623,50,7476
624,50,7488
625,50,7500
626,50,7512
627,50,7524
628,50,7536
629,50,7548
630,50,7560
631,50,7572
632,50,7584
633,50,7596
634,50,7608
635,50,7620
636,50,7632
637,50,7644
638,50,7656
639,50,7668
640,50,7680
641,50,7692
642,50,7704
643,50,7716
644,50,7728
645,50,7740
646,50,7752
647,50,7764
648,50,7776
649,50,7788
650,50,7800
651,50,7812
652,50,7824
653,50,7836
654,50,7848
655,50,7860
656,50,7872
657,50,7884
658,50,7896
659,50,7908
660,50,7920
661,50,7932
662,50,7944
663,50,7956
664,50,7968
665,50,7980
666,50,7992
667,50,8004
668,50,8016
669,50,8028
670,50,8040
671,50,8052
672,50,8064
673,50,8076
674,50,8088
675,50,8100
676,51,8112
677,51,8124
678,51,8136
679,51,8148
680,51,8160
681,51,8172
682,51,8184
683,51,8196
684,51,8208
685,51,8220
686,51,8232
687,51,8244
688,51,8256
689,51,8268
690,51,8280
691,51,8292
692,51,8304
693,51,8316
694,51,8328
695,51,8340
696,51,8352
697,51,8364
698,51,8376
699,51,8388
700,51,8400
701,51,8412
702,51,8424
703,51,8436
704,51,8448
705,51,8460
706,51,8472
707,51,8484
708,51,8496
709,51,8508
710,51,8520
711,51,8532
712,51,8544
713,51,8556
714,51,8568
715,51,8580
716,51,8592
717,51,8604
718,51,8616
719,51,8628
720,51,8640
721,51,8652
722,51,8664
723,51,8676
724,51,8688
725,51,8700
726,51,8712
727,51,8724
728,51,8736
729,51,8748
730,51,8760
731,51,8772
732,51,8784
733,51,8796
734,51,8808
735,51,8820
736,51,8832
737,51,8844
738,51,8856
739,51,8868
740,51,8880
741,51,8892
742,51,8904
743,51,8916
744,51,8928
745,51,8940
746,51,8952
747,51,8964
748,51,8976
749,52,8988
750,52,9000
751,52,9012
752,52,9024
753,52,9036
754,52,9048
755,52,9060
756,52,9072
757,52,9084
758,52,9096
759,52,9108
760,52,9120
761,52,9132
762,52,9144
763,52,9156
764,52,9168
765,52,9180
766,52,9192
767,52,9204
768,52,9216
769,52,9228
770,52,9240
771,52,9252
772,52,9264
773,52,9276
774,52,9288
775,52,9300
776,52,9312
777,52,9324
778,52,9336
779,52,9348
780,52,9360
781,52,9372
782,52,9384
783,52,9396
784,52,9408
785,52,9420
786,52,9432
787,52,9444
788,52,9456
789,52,9468
790,52,9480
791,52,9492
792,52,9504
793,52,9516
794,52,9528
795,52,9540
796,52,9552
797,52,9564
798,52,9576
799,52,9588
800,52,9600
801,52,9612
802,52,9624
803,52,9636
804,52,9648
805,52,9660
806,52,9672
807,52,9684
808,52,9696
809,52,9708
810,52,9720
811,52,9732
812,52,9744
813,52,9756
814,52,9768
815,52,9780
816,52,9792
817,52,9804
818,52,9816
819,52,9828
820,52,9840
821,53,9852
822,53,9864
823,53,9876
824,53,9888
825,53,9900
826,53,9912
827,53,9924
828,53,9936
829,53,9948
830,53,9960
831,53,9972
832,53,9984
833,53,9996
834,53,10008
835,53,10020
836,53,10032
837,53,10044
838,53,10056
839,53,10068
840,53,10080
841,53,10092
842,53,10104
843,53,10116
844,53,10128
845,53,10140
846,53,10152
847,53,10164
848,53,10176
849,53,10188
850,53,10200
851,53,10212
852,53,10224
853,53,10236
854,53,10248
855,53,10260
856,53,10272
857,53,10284
858,53,10296
859,53,10308
860,53,10320
861,53,10332
862,53,10344
863,53,10356
864,53,10368
865,53,10380
866,53,10392
867,53,10404
868,53,10416
869,53,10428
870,53,10440
871,53,10452
872,53,10464
873,53,10476
874,53,10488
875,53,10500
876,53,10512
877,53,10524
878,53,10536
879,53,10548
880,53,10560
881,53,10572
882,53,10584
883,53,10596
884,53,10608
885,53,10620
886,53,10632
887,54,10644
888,54,10656
889,54,10668
890,54,10680
891,54,10692
892,54,10704
893,54,10716
894,54,10728
895,54,10740
896,54,10752
897,54,10764
898,54,10776
899,54,10788
900,54,10800
901,54,10812
902,54,10824
903,54,10836
904,54,10848
905,54,10860
906,54,10872
907,54,10884
908,54,10896
909,54,10908
910,54,10920
911,54,10932
912,54,10944
913,54,10956
914,54,10968
915,54,10980
916,54,10992
917,54,11004
918,54,11016
919,54,11028
920,54,11040
921,54,11052
922,54,11064
923,54,11076
924,54,11088
925,54,11100
926,54,11112
927,54,11124
928,54,11136
929,54,11148
930,54,11160
931,54,11172
932,54,11184
933,54,11196
934,54,11208
935,54,11220
936,54,11232
937,54,11244
938,54,11256
939,54,11268
940,54,11280
941,54,11292
942,54,11304
943,54,11316
944,54,11328
945,54,11340
946,54,11352
947,54,11364
948,54,11376
949,54,11388
950,54,11400
951,54,11412
952,54,11424
953,54,11436
954,54,11448
955,54,11460
956,54,11472
957,54,11484
958,54,11496
959,54,11508
960,54,11520
961,54,11532
962,54,11544
963,54,11556
964,55,11568
965,55,11580
966,55,11592
967,55,11604
968,55,11616
969,55,11628
970,55,11640
971,55,11652
972,55,11664
973,55,11676
974,55,11688
975,55,11700
976,55,11712
977,55,11724
978,55,11736
979,55,11748
980,55,11760
981,55,11772
982,55,11784
983,55,11796
984,55,11808
985,55,11820
986,55,11832
987,55,11844
988,55,11856
989,55,11868
990,55,11880
991,55,11892
992,55,11904
993,55,11916
994,55,11928
995,55,11940
996,55,11952
997,55,11964
998,55,11976
999,55,11988
1000,55,12000
1001,55,12012
1002,55,12024
1003,55,12036
1004,55,12048
1005,55,12060
1006,55,12072
1007,55,12084
1008,55,12096
1009,55,12108
1010,55,12120
1011,55,12132
1012,55,12144
1013,55,12156
1014,55,12168
1015,55,12180
1016,55,12192
1017,55,12204
1018,55,12216
1019,55,12228
1020,55,12240
1021,55,12252
1022,55,12264
1023,55,12276
1024,55,12288
1025,55,12300
1026,55,12312
1027,55,12324
1028,55,12336
1029,55,12348
1030,55,12360
1031,55,12372
1032,55,12384
1033,55,12396
1034,55,12408
1035,55,12420
1036,55,12432
1037,55,12444
1038,55,12456
1039,55,12468
