KeywordCount, Counter, Storage(Bytes)
1,10,7.9152
2,47,42.372479999999996
3,84,63.558719999999994
4,121,84.74495999999999
5,158,105.93119999999999
6,196,130.06655999999998
7,234,151.74432
8,272,197.42208
9,310,222.09984
10,348,246.7776
11,387,276.86208
12,426,302.03136
13,465,327.20064
14,504,352.36992
15,543,377.5392
16,582,402.70848
17,621,427.87776
18,660,453.04704000000004
19,699,478.21632
20,738,503.3856
21,777,528.55488
22,816,553.72416
23,855,578.89344
24,894,604.06272
25,933,629.232
26,972,654.40128
27,1011,679.57056
28,1050,704.73984
29,1089,729.90912
30,1129,769.824
31,1169,795.4848
32,1209,821.1456
33,1249,846.8063999999999
34,1289,872.4671999999999
35,1329,898.1279999999999
36,1369,923.7887999999999
37,1409,949.4495999999999
38,1449,975.1103999999999
39,1489,1000.7711999999999
40,1529,1026.4319999999998
41,1569,1052.0928
42,1609,1077.7536
43,1649,1103.4144
44,1689,1129.0751999999998
45,1729,1154.7359999999999
46,1769,1180.3968
47,1809,1206.0575999999999
48,1849,1231.7184
49,1889,1257.3791999999999
50,1929,1283.04
51,1969,1308.7008
52,2009,1334.3616
53,2050,1386.07296
54,2091,1412.2252799999999
55,2132,1438.3776
56,2173,1464.52992
57,2214,1490.6822399999999
58,2255,1516.83456
59,2296,1542.98688
60,2337,1569.1392
61,2378,1595.29152
62,2419,1621.44384
63,2460,1647.59616
64,2501,1673.74848
65,2542,1699.9008
66,2583,1726.05312
67,2624,1752.20544
68,2665,1778.3577599999999
69,2706,1804.51008
70,2747,1830.6624
71,2788,1856.81472
72,2829,1882.96704
73,2870,1909.11936
74,2911,1935.27168
75,2952,1961.424
76,2993,1987.57632
77,3034,2013.72864
78,3075,2039.88096
79,3116,2066.0332799999996
80,3157,2092.1856
81,3198,2118.33792
82,3239,2144.49024
83,3280,2170.6425600000002
84,3321,2196.79488
85,3362,2222.9472
86,3403,2249.0995199999998
87,3445,2318.01408
88,3487,2344.6579199999996
89,3529,2371.30176
90,3571,2397.9456
91,3613,2424.5894399999997
92,3655,2451.2332799999995
93,3697,2477.8771199999996
94,3739,2504.52096
95,3781,2531.1647999999996
96,3823,2557.8086399999997
97,3865,2584.45248
98,3907,2611.0963199999997
99,3949,2637.74016
100,3991,2664.3839999999996
101,4033,2691.0278399999997
102,4075,2717.67168
103,4117,2744.3155199999997
104,4159,2770.95936
105,4201,2797.6031999999996
106,4243,2824.2470399999997
107,4285,2850.89088
108,4327,2877.5347199999997
109,4369,2904.17856
110,4411,2930.8223999999996
111,4453,2957.4662399999997
112,4495,2984.1100799999995
113,4537,3010.7539199999997
114,4579,3037.39776
115,4621,3064.0415999999996
116,4663,3090.6854399999997
117,4705,3117.3292799999995
118,4747,3143.9731199999997
119,4789,3170.61696
120,4831,3197.2607999999996
121,4873,3223.9046399999997
122,4915,3250.5484799999995
123,4957,3277.1923199999997
124,4999,3303.83616
125,5041,3330.4799999999996
126,5083,3357.1238399999997
127,5125,3383.7676799999995
128,5168,3473.32608
129,5211,3500.46144
130,5254,3527.5968
131,5297,3554.73216
132,5340,3581.86752
133,5383,3609.00288
134,5426,3636.1382399999998
135,5469,3663.2736
136,5512,3690.4089599999998
137,5555,3717.54432
138,5598,3744.6796799999997
139,5641,3771.81504
140,5684,3798.9503999999997
141,5727,3826.08576
142,5770,3853.2211199999997
143,5813,3880.35648
144,5856,3907.4918399999997
145,5899,3934.6272
146,5942,3961.7625599999997
147,5985,3988.89792
148,6028,4016.0332799999996
149,6071,4043.16864
150,6114,4070.3039999999996
151,6157,4097.43936
152,6200,4124.57472
153,6243,4151.71008
154,6286,4178.845439999999
155,6329,4205.980799999999
156,6372,4233.11616
157,6415,4260.25152
158,6458,4287.38688
159,6501,4314.52224
160,6544,4341.6576
161,6587,4368.79296
162,6630,4395.92832
163,6673,4423.063679999999
164,6716,4450.1990399999995
165,6759,4477.3344
166,6802,4504.46976
167,6845,4531.60512
168,6888,4558.74048
169,6931,4585.87584
170,6974,4613.0112
171,7017,4640.146559999999
172,7060,4667.281919999999
173,7103,4694.41728
174,7146,4721.55264
175,7189,4748.688
176,7232,4775.82336
177,7275,4802.95872
178,7318,4830.09408
179,7361,4857.229439999999
180,7404,4884.364799999999
181,7447,4911.50016
182,7490,4938.63552
183,7533,4965.77088
184,7576,4992.90624
185,7619,5020.0416
186,7662,5047.17696
187,7706,5166.22656
188,7750,5193.85344
189,7794,5221.480320000001
190,7838,5249.1072
