KeywordCount, Counter, Storage(Bits)
1,10,64656.710399999996
2,47,129325.42079999999
3,84,193988.1312
4,121,258650.84159999999
5,158,323313.55199999997
6,196,387976.26239999995
7,234,452638.97279999993
8,272,517301.6831999999
9,310,581964.3936
10,348,646627.1039999999
11,387,711289.8143999999
12,426,775952.5247999999
13,465,840615.2351999999
14,504,905277.9455999999
15,543,969940.6559999998
16,582,1034603.3663999998
17,621,1099266.0768
18,660,1163928.7872
19,699,1228591.4976
20,738,1293254.2079999999
21,777,1357916.9183999998
22,816,1422579.6287999998
23,855,1487242.3391999998
24,894,1551905.0495999998
25,933,1616567.7599999998
26,972,1681230.4703999998
27,1011,1745893.1807999997
28,1050,1810555.8911999997
29,1089,1875218.6015999997
30,1129,1939881.3119999997
31,1169,2004544.0223999997
32,1209,2069206.7327999996
33,1249,2133869.4431999996
34,1289,2198532.1536
35,1329,2263194.864
36,1369,2327857.5744000003
37,1409,2392520.2848000005
38,1449,2457182.9952000007
39,1489,2521845.705600001
40,1529,2586508.416000001
41,1569,2651171.1264000013
42,1609,2715833.8368000016
43,1649,2780496.547200002
44,1689,2845159.257600002
45,1729,2909821.968000002
46,1769,2974484.6784000024
47,1809,3039147.3888000026
48,1849,3103810.099200003
49,1889,3168472.809600003
50,1929,3233135.5200000033
51,1969,3297798.2304000035
52,2009,3362460.9408000037
53,2050,3427123.651200004
54,2091,3491786.361600004
55,2132,3556449.0720000044
56,2173,3621111.7824000046
57,2214,3685774.492800005
58,2255,3750437.203200005
59,2296,3815099.913600005
60,2337,3879762.6240000054
61,2378,3944425.3344000056
62,2419,4009088.044800006
63,2460,4073750.755200006
64,2501,4138413.4656000063
65,2542,4203076.1760000065
66,2583,4267738.886400007
67,2624,4332401.596800007
68,2665,4397064.307200007
69,2706,4461727.017600007
70,2747,4526389.728000008
71,2788,4591052.438400008
72,2829,4655715.148800008
73,2870,4720377.859200008
74,2911,4785040.569600008
75,2952,4849703.280000009
76,2993,4914365.990400009
77,3034,4979028.700800009
78,3075,5043691.411200009
79,3116,5108354.1216000095
80,3157,5173016.83200001
81,3198,5237679.54240001
82,3239,5302342.25280001
83,3280,5367004.96320001
84,3321,5431667.673600011
85,3362,5496330.384000011
86,3403,5560993.094400011
87,3445,5625655.804800011
88,3487,5690318.515200011
89,3529,5754981.225600012
90,3571,5819643.936000012
91,3613,5884306.646400012
92,3655,5948969.356800012
93,3697,6013632.0672000125
94,3739,6078294.777600013
95,3781,6142957.488000013
96,3823,6207620.198400013
97,3865,6272282.908800013
98,3907,6336945.619200014
99,3949,6401608.329600014
100,3991,6466271.040000014
101,4033,6530933.750400014
102,4075,6595596.460800014
103,4117,6660259.171200015
104,4159,6724921.881600015
105,4201,6789584.592000015
106,4243,6854247.302400015
107,4285,6918910.0128000155
108,4327,6983572.723200016
109,4369,7048235.433600016
110,4411,7112898.144000016
111,4453,7177560.854400016
112,4495,7242223.564800017
113,4537,7306886.275200017
114,4579,7371548.985600017
115,4621,7436211.696000017
116,4663,7500874.406400017
117,4705,7565537.116800018
118,4747,7630199.827200018
119,4789,7694862.537600018
120,4831,7759525.248000018
121,4873,7824187.9584000185
122,4915,7888850.668800019
123,4957,7953513.379200019
124,4999,8018176.089600019
125,5041,8082838.800000019
126,5083,8147501.51040002
127,5125,8212164.22080002
128,5168,8276826.93120002
129,5211,8341489.64160002
130,5254,8406152.35200002
131,5297,8470815.06240002
132,5340,8535477.77280002
133,5383,8600140.483200021
134,5426,8664803.193600021
135,5469,8729465.904000022
136,5512,8794128.614400022
137,5555,8858791.324800022
138,5598,8923454.035200022
139,5641,8988116.745600022
140,5684,9052779.456000023
141,5727,9117442.166400023
142,5770,9182104.876800023
143,5813,9246767.587200023
144,5856,9311430.297600023
145,5899,9376093.008000024
146,5942,9440755.718400024
147,5985,9505418.428800024
148,6028,9570081.139200024
149,6071,9634743.849600025
150,6114,9699406.560000025
151,6157,9764069.270400025
152,6200,9828731.980800025
153,6243,9893394.691200025
154,6286,9958057.401600026
155,6329,10022720.112000026
156,6372,10087382.822400026
157,6415,10152045.532800026
158,6458,10216708.243200026
159,6501,10281370.953600027
160,6544,10346033.664000027
161,6587,10410696.374400027
162,6630,10475359.084800027
163,6673,10540021.795200028
164,6716,10604684.505600028
165,6759,10669347.216000028
166,6802,10734009.926400028
167,6845,10798672.636800028
168,6888,10863335.347200029
169,6931,10927998.057600029
170,6974,10992660.768000029
171,7017,11057323.47840003
172,7060,11121986.18880003
173,7103,11186648.89920003
174,7146,11251311.60960003
175,7189,11315974.32000003
176,7232,11380637.03040003
177,7275,11445299.74080003
178,7318,11509962.45120003
179,7361,11574625.161600031
180,7404,11639287.872000031
181,7447,11703950.582400031
182,7490,11768613.292800032
183,7533,11833276.003200032
184,7576,11897938.713600032
185,7619,11962601.424000032
186,7662,12027264.134400032
187,7706,12091926.844800033
188,7750,12156589.555200033
189,7794,12221252.265600033
190,7838,12285914.976000033
191,7882,12350577.686400034
192,7926,12415240.396800034
193,7970,12479903.107200034
194,8014,12544565.817600034
195,8058,12609228.528000034
196,8102,12673891.238400035
197,8146,12738553.948800035
198,8190,12803216.659200035
199,8234,12867879.369600035
200,8278,12932542.080000035
201,8322,12997204.790400036
202,8366,13061867.500800036
203,8410,13126530.211200036
204,8454,13191192.921600036
205,8498,13255855.632000037
206,8542,13320518.342400037
207,8586,13385181.052800037
208,8630,13449843.763200037
209,8674,13514506.473600037
210,8718,13579169.184000038
211,8762,13643831.894400038
212,8806,13708494.604800038
213,8850,13773157.315200038
214,8894,13837820.025600038
215,8938,13902482.736000039
216,8982,13967145.446400039
217,9026,14031808.15680004
218,9070,14096470.86720004
219,9114,14161133.57760004
220,9158,14225796.28800004
221,9202,14290458.99840004
222,9246,14355121.70880004
223,9290,14419784.41920004
224,9334,14484447.12960004
225,9378,14549109.84000004
226,9422,14613772.550400041
227,9466,14678435.260800041
228,9510,14743097.971200041
229,9554,14807760.681600042
230,9598,14872423.392000042
231,9642,14937086.102400042
232,9686,15001748.812800042
233,9730,15066411.523200043
234,9774,15131074.233600043
235,9818,15195736.944000043
236,9862,15260399.654400043
237,9906,15325062.364800043
238,9950,15389725.075200044
239,9994,15454387.785600044
240,10038,15519050.496000044
241,10082,15583713.206400044
242,10126,15648375.916800044
243,10170,15713038.627200045
244,10214,15777701.337600045
245,10258,15842364.048000045
246,10302,15907026.758400045
247,10346,15971689.468800046
248,10390,16036352.179200046
249,10434,16101014.889600046
250,10478,16165677.600000046
251,10522,16230340.310400046
252,10566,16295003.020800047
253,10610,16359665.731200047
254,10654,16424328.441600047
255,10698,16488991.152000047
256,10742,16553653.862400047
257,10786,16618316.572800048
258,10830,16682979.283200048
259,10874,16747641.993600048
260,10918,16812304.70400005
261,10963,16876967.41440005
262,11008,16941630.12480005
263,11053,17006292.83520005
264,11098,17070955.54560005
265,11143,17135618.25600005
266,11188,17200280.96640005
267,11233,17264943.67680005
268,11278,17329606.38720005
269,11323,17394269.09760005
270,11368,17458931.80800005
271,11413,17523594.51840005
272,11458,17588257.22880005
273,11503,17652919.93920005
274,11548,17717582.64960005
275,11593,17782245.36000005
276,11638,17846908.07040005
277,11683,17911570.780800052
278,11728,17976233.491200052
279,11773,18040896.201600052
280,11818,18105558.912000053
281,11863,18170221.622400053
282,11908,18234884.332800053
283,11953,18299547.043200053
284,11998,18364209.753600053
285,12043,18428872.464000054
286,12088,18493535.174400054
287,12133,18558197.884800054
288,12178,18622860.595200054
289,12223,18687523.305600055
290,12268,18752186.016000055
291,12313,18816848.726400055
292,12358,18881511.436800055
293,12403,18946174.147200055
294,12448,19010836.857600056
295,12493,19075499.568000056
296,12538,19140162.278400056
297,12583,19204824.988800056
298,12628,19269487.699200056
299,12673,19334150.409600057
300,12718,19398813.120000057
301,12763,19463475.830400057
302,12808,19528138.540800057
303,12853,19592801.251200058
304,12898,19657463.961600058
305,12943,19722126.672000058
306,12988,19786789.38240006
307,13033,19851452.09280006
308,13078,19916114.80320006
309,13123,19980777.51360006
310,13168,20045440.22400006
311,13213,20110102.93440006
312,13258,20174765.64480006
313,13303,20239428.35520006
314,13348,20304091.06560006
315,13393,20368753.77600006
316,13438,20433416.48640006
317,13483,20498079.19680006
318,13528,20562741.90720006
319,13573,20627404.61760006
320,13618,20692067.32800006
321,13663,20756730.03840006
322,13708,20821392.74880006
323,13753,20886055.45920006
324,13798,20950718.169600062
325,13843,21015380.880000062
326,13888,21080043.590400063
327,13934,21144706.300800063
328,13980,21209369.011200063
329,14026,21274031.721600063
330,14072,21338694.432000063
331,14118,21403357.142400064
332,14164,21468019.852800064
333,14210,21532682.563200064
334,14256,21597345.273600064
335,14302,21662007.984000064
336,14348,21726670.694400065
337,14394,21791333.404800065
338,14440,21855996.115200065
339,14486,21920658.825600065
340,14532,21985321.536000066
341,14578,22049984.246400066
342,14624,22114646.956800066
343,14670,22179309.667200066
344,14716,22243972.377600066
345,14762,22308635.088000067
346,14808,22373297.798400067
347,14854,22437960.508800067
348,14900,22502623.219200067
349,14946,22567285.929600067
350,14992,22631948.640000068
351,15038,22696611.350400068
352,15084,22761274.060800068
353,15130,22825936.77120007
354,15176,22890599.48160007
355,15222,22955262.19200007
356,15268,23019924.90240007
357,15314,23084587.61280007
358,15360,23149250.32320007
359,15406,23213913.03360007
360,15452,23278575.74400007
361,15498,23343238.45440007
362,15544,23407901.16480007
363,15590,23472563.87520007
364,15636,23537226.58560007
365,15682,23601889.29600007
366,15728,23666552.00640007
367,15774,23731214.71680007
368,15820,23795877.42720007
369,15866,23860540.13760007
370,15912,23925202.848000072
371,15958,23989865.558400072
372,16004,24054528.268800072
373,16050,24119190.979200073
374,16096,24183853.689600073
375,16142,24248516.400000073
376,16188,24313179.110400073
377,16234,24377841.820800073
378,16280,24442504.531200074
379,16326,24507167.241600074
380,16372,24571829.952000074
381,16418,24636492.662400074
382,16464,24701155.372800075
383,16510,24765818.083200075
384,16556,24830480.793600075
385,16602,24895143.504000075
386,16648,24959806.214400075
387,16695,25024468.924800076
388,16742,25089131.635200076
389,16789,25153794.345600076
390,16836,25218457.056000076
391,16883,25283119.766400076
392,16930,25347782.476800077
393,16977,25412445.187200077
394,17024,25477107.897600077
395,17071,25541770.608000077
396,17118,25606433.318400078
397,17165,25671096.028800078
398,17212,25735758.739200078
399,17259,25800421.44960008
400,17306,25865084.16000008
401,17353,25929746.87040008
402,17400,25994409.58080008
403,17447,26059072.29120008
404,17494,26123735.00160008
405,17541,26188397.71200008
406,17588,26253060.42240008
407,17635,26317723.13280008
408,17682,26382385.84320008
409,17729,26447048.55360008
410,17776,26511711.26400008
411,17823,26576373.97440008
412,17870,26641036.68480008
413,17917,26705699.39520008
414,17964,26770362.10560008
415,18011,26835024.81600008
416,18058,26899687.52640008
417,18105,26964350.236800082
418,18152,27029012.947200082
419,18199,27093675.657600082
420,18246,27158338.368000083
421,18293,27223001.078400083
422,18340,27287663.788800083
423,18387,27352326.499200083
424,18434,27416989.209600084
425,18481,27481651.920000084
426,18528,27546314.630400084
427,18575,27610977.340800084
428,18622,27675640.051200084
429,18669,27740302.761600085
430,18716,27804965.472000085
431,18763,27869628.182400085
432,18810,27934290.892800085
433,18857,27998953.603200085
434,18904,28063616.313600086
435,18951,28128279.024000086
436,18998,28192941.734400086
437,19045,28257604.444800086
438,19092,28322267.155200087
439,19139,28386929.865600087
440,19186,28451592.576000087
441,19233,28516255.286400087
442,19280,28580917.996800087
443,19327,28645580.707200088
444,19374,28710243.417600088
445,19421,28774906.128000088
446,19468,28839568.83840009
447,19515,28904231.54880009
448,19563,28968894.25920009
449,19611,29033556.96960009
450,19659,29098219.68000009
451,19707,29162882.39040009
452,19755,29227545.10080009
453,19803,29292207.81120009
454,19851,29356870.52160009
455,19899,29421533.23200009
456,19947,29486195.94240009
457,19995,29550858.65280009
458,20043,29615521.36320009
459,20091,29680184.07360009
460,20139,29744846.78400009
461,20187,29809509.49440009
462,20235,29874172.20480009
463,20283,29938834.915200092
464,20331,30003497.625600092
465,20379,30068160.336000092
466,20427,30132823.046400093
467,20475,30197485.756800093
468,20523,30262148.467200093
469,20571,30326811.177600093
470,20619,30391473.888000093
471,20667,30456136.598400094
472,20715,30520799.308800094
473,20763,30585462.019200094
474,20811,30650124.729600094
475,20859,30714787.440000094
476,20907,30779450.150400095
477,20955,30844112.860800095
478,21003,30908775.571200095
479,21051,30973438.281600095
480,21099,31038100.992000096
481,21147,31102763.702400096
482,21195,31167426.412800096
483,21243,31232089.123200096
484,21291,31296751.833600096
485,21339,31361414.544000097
486,21387,31426077.254400097
487,21435,31490739.964800097
488,21483,31555402.675200097
489,21531,31620065.385600097
490,21579,31684728.096000098
491,21627,31749390.806400098
492,21675,31814053.516800098
493,21723,31878716.2272001
494,21771,31943378.9376001
495,21819,32008041.6480001
496,21867,32072704.3584001
497,21915,32137367.0688001
498,21963,32202029.7792001
499,22011,32266692.4896001
500,22059,32331355.2000001
501,22107,32396017.9104001
502,22155,32460680.6208001
503,22203,32525343.3312001
504,22251,32590006.0416001
505,22299,32654668.7520001
506,22347,32719331.4624001
507,22395,32783994.1728001
508,22443,32848656.8832001
509,22491,32913319.5936001
510,22539,32977982.304000102
511,22587,33042645.014400102
512,22635,33107307.724800102
513,22683,33171970.435200103
514,22731,33236633.145600103
515,22779,33301295.856000103
516,22827,33365958.566400103
517,22875,33430621.276800103
518,22923,33495283.987200104
519,22971,33559946.697600104
520,23019,33624609.408000104
521,23067,33689272.118400104
522,23115,33753934.828800105
523,23163,33818597.539200105
524,23211,33883260.249600105
525,23260,33947922.960000105
526,23309,34012585.670400105
527,23358,34077248.380800106
528,23407,34141911.091200106
529,23456,34206573.801600106
530,23505,34271236.51200011
531,23554,34335899.22240011
532,23603,34400561.93280011
533,23652,34465224.64320011
534,23701,34529887.35360011
535,23750,34594550.06400011
536,23799,34659212.77440011
537,23848,34723875.48480011
538,23897,34788538.19520011
539,23946,34853200.90560011
540,23995,34917863.61600011
541,24044,34982526.32640011
542,24093,35047189.03680011
543,24142,35111851.74720011
544,24191,35176514.45760011
545,24240,35241177.16800011
546,24289,35305839.87840011
547,24338,35370502.58880011
548,24387,35435165.29920011
549,24436,35499828.00960011
550,24485,35564490.72000011
551,24534,35629153.43040011
552,24583,35693816.14080011
553,24632,35758478.85120011
554,24681,35823141.56160011
555,24730,35887804.27200011
556,24779,35952466.98240011
557,24828,36017129.69280011
558,24877,36081792.40320011
559,24926,36146455.11360011
560,24975,36211117.82400011
561,25024,36275780.53440011
562,25073,36340443.24480011
563,25122,36405105.95520011
564,25171,36469768.66560011
565,25220,36534431.376000114
566,25269,36599094.086400114
567,25318,36663756.796800114
568,25367,36728419.507200114
569,25416,36793082.217600115
570,25465,36857744.928000115
571,25514,36922407.638400115
572,25563,36987070.348800115
573,25612,37051733.059200116
574,25661,37116395.769600116
575,25710,37181058.480000116
576,25759,37245721.190400116
577,25808,37310383.90080012
578,25857,37375046.61120012
579,25906,37439709.32160012
580,25955,37504372.03200012
581,26004,37569034.74240012
582,26053,37633697.45280012
583,26102,37698360.16320012
584,26151,37763022.87360012
585,26200,37827685.58400012
586,26249,37892348.29440012
587,26298,37957011.00480012
588,26347,38021673.71520012
589,26396,38086336.42560012
590,26445,38150999.13600012
591,26494,38215661.84640012
592,26543,38280324.55680012
593,26592,38344987.26720012
594,26642,38409649.97760012
595,26692,38474312.68800012
596,26742,38538975.39840012
597,26792,38603638.10880012
598,26842,38668300.81920012
599,26892,38732963.52960012
600,26942,38797626.24000012
601,26992,38862288.95040012
602,27042,38926951.66080012
603,27092,38991614.37120012
604,27142,39056277.08160012
605,27192,39120939.79200012
606,27242,39185602.50240012
607,27292,39250265.21280012
608,27342,39314927.92320012
609,27392,39379590.63360012
610,27442,39444253.34400012
611,27492,39508916.05440012
612,27542,39573578.764800124
613,27592,39638241.475200124
614,27642,39702904.185600124
615,27692,39767566.896000125
616,27742,39832229.606400125
617,27792,39896892.316800125
618,27842,39961555.027200125
619,27892,40026217.737600125
620,27942,40090880.448000126
621,27992,40155543.158400126
622,28042,40220205.868800126
623,28092,40284868.579200126
624,28142,40349531.28960013
625,28192,40414194.00000013
626,28242,40478856.71040013
627,28292,40543519.42080013
628,28342,40608182.13120013
629,28392,40672844.84160013
630,28442,40737507.55200013
631,28492,40802170.26240013
632,28542,40866832.97280013
633,28592,40931495.68320013
634,28642,40996158.39360013
635,28692,41060821.10400013
636,28742,41125483.81440013
637,28792,41190146.52480013
638,28842,41254809.23520013
639,28892,41319471.94560013
640,28942,41384134.65600013
641,28992,41448797.36640013
642,29042,41513460.07680013
643,29092,41578122.78720013
644,29142,41642785.49760013
645,29192,41707448.20800013
646,29242,41772110.91840013
647,29292,41836773.62880013
648,29342,41901436.33920013
649,29392,41966099.04960013
650,29442,42030761.76000013
651,29492,42095424.47040013
652,29542,42160087.18080013
653,29592,42224749.89120013
654,29642,42289412.60160013
655,29692,42354075.31200013
656,29742,42418738.02240013
657,29792,42483400.73280013
658,29842,42548063.443200134
659,29892,42612726.153600134
660,29942,42677388.864000134
661,29992,42742051.574400134
662,30042,42806714.284800135
663,30092,42871376.995200135
664,30142,42936039.705600135
665,30192,43000702.416000135
666,30242,43065365.126400135
667,30292,43130027.836800136
668,30342,43194690.547200136
669,30392,43259353.257600136
670,30442,43324015.96800014
671,30492,43388678.67840014
672,30542,43453341.38880014
673,30592,43518004.09920014
674,30642,43582666.80960014
675,30692,43647329.52000014
676,30743,43711992.23040014
677,30794,43776654.94080014
678,30845,43841317.65120014
679,30896,43905980.36160014
680,30947,43970643.07200014
681,30998,44035305.78240014
682,31049,44099968.49280014
683,31100,44164631.20320014
684,31151,44229293.91360014
685,31202,44293956.62400014
686,31253,44358619.33440014
687,31304,44423282.04480014
688,31355,44487944.75520014
689,31406,44552607.46560014
690,31457,44617270.17600014
691,31508,44681932.88640014
692,31559,44746595.59680014
693,31610,44811258.30720014
694,31661,44875921.01760014
695,31712,44940583.72800014
696,31763,45005246.43840014
697,31814,45069909.14880014
698,31865,45134571.85920014
699,31916,45199234.56960014
700,31967,45263897.28000014
701,32018,45328559.99040014
702,32069,45393222.70080014
703,32120,45457885.41120014
704,32171,45522548.12160014
705,32222,45587210.832000144
706,32273,45651873.542400144
707,32324,45716536.252800144
708,32375,45781198.963200144
709,32426,45845861.673600145
710,32477,45910524.384000145
711,32528,45975187.094400145
712,32579,46039849.804800145
713,32630,46104512.515200146
714,32681,46169175.225600146
715,32732,46233837.936000146
716,32783,46298500.646400146
717,32834,46363163.35680015
718,32885,46427826.06720015
719,32936,46492488.77760015
720,32987,46557151.48800015
721,33038,46621814.19840015
722,33089,46686476.90880015
723,33140,46751139.61920015
724,33191,46815802.32960015
725,33242,46880465.04000015
726,33293,46945127.75040015
727,33344,47009790.46080015
728,33395,47074453.17120015
729,33446,47139115.88160015
730,33497,47203778.59200015
