KeywordCount, Counter, Storage(Bits)
1,1,1
2,2,4
3,2,6
4,2,8
5,2,10
6,2,12
7,2,14
8,2,16
9,2,18
10,2,20
11,2,22
12,2,24
13,2,26
14,2,28
15,2,30
16,2,32
17,2,34
18,2,36
19,2,38
20,2,40
21,2,42
22,2,44
23,2,46
24,2,48
25,3,50
26,3,52
27,3,54
28,3,56
29,3,58
30,3,60
31,3,62
32,3,64
33,3,66
34,3,68
35,3,70
36,3,72
37,3,74
38,3,76
39,3,78
40,3,80
41,3,82
42,3,84
43,3,86
44,3,88
45,3,90
46,3,92
47,3,94
48,3,96
49,3,98
50,3,100
51,3,102
52,3,104
53,3,106
54,3,108
55,3,110
56,3,112
57,3,114
58,3,116
59,3,118
60,3,120
61,3,122
62,3,124
63,3,126
64,3,128
65,3,130
66,3,132
67,3,134
68,3,136
69,3,138
70,3,140
71,3,142
72,3,144
73,3,146
74,3,148
75,3,150
76,3,152
77,3,154
78,3,156
79,3,158
80,3,160
81,3,162
82,3,164
83,3,166
84,3,168
85,3,170
86,3,172
87,3,174
88,3,176
89,3,178
90,3,180
91,3,182
92,3,184
93,3,186
94,3,188
95,3,190
96,3,192
97,3,194
98,3,196
99,3,198
100,3,200
101,3,202
102,3,204
103,3,206
104,3,208
105,3,210
106,3,212
107,3,214
108,3,216
109,3,218
110,3,220
111,3,222
112,3,224
113,3,226
114,3,228
115,3,230
116,3,232
117,3,234
118,3,236
119,3,238
120,3,240
121,3,242
122,3,244
123,3,246
124,3,248
125,3,250
126,3,252
127,3,254
128,3,256
129,3,258
130,3,260
131,3,262
132,3,264
133,3,266
134,3,268
135,3,270
136,3,272
137,3,274
138,3,276
139,3,278
140,3,280
141,3,282
142,3,284
143,3,286
144,3,288
145,3,290
146,3,292
147,3,294
148,3,296
149,3,298
150,3,300
151,3,302
152,3,304
153,3,306
154,3,308
155,3,310
156,3,312
157,3,314
158,3,316
159,3,318
160,3,320
161,3,322
162,3,324
163,3,326
164,3,328
165,3,330
166,3,332
167,3,334
168,3,336
169,3,338
170,3,340
171,3,342
172,3,344
173,3,346
174,3,348
175,3,350
176,3,352
177,3,354
178,3,356
179,3,358
180,3,360
181,3,362
182,3,364
183,3,366
184,3,368
185,3,370
186,3,372
187,3,374
188,3,376
189,3,378
190,3,380
191,3,382
192,3,384
193,3,386
194,3,388
195,3,390
196,3,392
197,3,394
198,3,396
199,3,398
200,3,400
201,3,402
202,3,404
203,3,406
204,3,408
205,3,410
206,3,412
207,3,414
208,3,416
209,3,418
210,3,420
211,3,422
212,3,424
213,3,426
214,3,428
215,3,430
216,3,432
217,3,434
218,3,436
219,3,438
220,3,440
221,3,442
222,3,444
223,3,446
224,3,448
225,3,450
226,3,452
227,3,454
228,3,456
229,3,458
230,3,460
231,3,462
232,3,464
233,3,466
234,3,468
235,3,470
236,3,472
237,3,474
238,3,476
239,3,478
240,3,480
241,3,482
242,3,484
243,3,486
244,3,488
245,3,490
246,3,492
247,3,494
248,3,496
249,3,498
250,3,500
251,3,502
252,3,504
253,3,506
254,3,508
255,3,510
256,3,512
257,3,514
258,3,516
259,3,518
260,3,520
261,3,522
262,3,524
263,3,526
264,3,528
265,3,530
266,3,532
267,3,534
268,3,536
269,3,538
270,3,540
271,3,542
272,3,544
273,3,546
274,3,548
275,3,550
276,3,552
277,3,554
278,3,556
279,3,558
280,3,560
281,3,562
282,3,564
283,3,566
284,3,568
285,3,570
286,3,572
287,3,574
288,3,576
289,3,578
290,3,580
291,3,582
292,3,584
293,3,586
294,3,588
295,3,590
296,3,592
297,3,594
298,3,596
299,3,598
300,3,600
301,3,602
302,3,604
303,3,606
304,3,608
305,3,610
306,3,612
307,3,614
308,4,924
309,4,927
310,4,930
311,4,933
312,4,936
313,4,939
314,4,942
315,4,945
316,4,948
317,4,951
318,4,954
319,4,957
320,4,960
321,4,963
322,4,966
323,4,969
324,4,972
325,4,975
326,4,978
327,4,981
328,4,984
329,4,987
330,4,990
331,4,993
332,4,996
333,4,999
334,4,1002
335,4,1005
336,4,1008
337,4,1011
338,4,1014
339,4,1017
340,4,1020
341,4,1023
342,4,1026
343,4,1029
344,4,1032
345,4,1035
346,4,1038
347,4,1041
348,4,1044
349,4,1047
350,4,1050
351,4,1053
352,4,1056
353,4,1059
354,4,1062
355,4,1065
356,4,1068
357,4,1071
358,4,1074
359,4,1077
360,4,1080
361,4,1083
362,4,1086
363,4,1089
364,4,1092
365,4,1095
366,4,1098
367,4,1101
368,4,1104
369,4,1107
370,4,1110
371,4,1113
372,4,1116
373,4,1119
374,4,1122
375,4,1125
376,4,1128
377,4,1131
378,4,1134
379,4,1137
380,4,1140
381,4,1143
382,4,1146
383,4,1149
384,4,1152
385,4,1155
386,4,1158
387,4,1161
388,4,1164
389,4,1167
390,4,1170
391,4,1173
392,4,1176
393,4,1179
394,4,1182
395,4,1185
396,4,1188
397,4,1191
398,4,1194
399,4,1197
400,4,1200
401,4,1203
402,4,1206
403,4,1209
404,4,1212
405,4,1215
406,4,1218
407,4,1221
408,4,1224
409,4,1227
410,4,1230
411,4,1233
412,4,1236
413,4,1239
414,4,1242
415,4,1245
416,4,1248
417,4,1251
418,4,1254
419,4,1257
420,4,1260
421,4,1263
422,4,1266
423,4,1269
424,4,1272
425,4,1275
426,4,1278
427,4,1281
428,4,1284
429,4,1287
430,4,1290
431,4,1293
432,4,1296
433,4,1299
434,4,1302
435,4,1305
436,4,1308
437,4,1311
438,4,1314
439,4,1317
440,4,1320
441,4,1323
442,4,1326
443,4,1329
444,4,1332
445,4,1335
446,4,1338
447,4,1341
448,4,1344
449,4,1347
450,4,1350
451,4,1353
452,4,1356
453,4,1359
454,4,1362
455,4,1365
456,4,1368
457,4,1371
458,4,1374
459,4,1377
460,4,1380
461,4,1383
462,4,1386
463,4,1389
464,4,1392
465,4,1395
466,4,1398
467,4,1401
468,4,1404
469,4,1407
470,4,1410
471,4,1413
472,4,1416
473,4,1419
474,4,1422
475,4,1425
476,4,1428
477,4,1431
478,4,1434
479,4,1437
480,4,1440
481,4,1443
482,4,1446
483,4,1449
484,4,1452
485,4,1455
486,4,1458
487,4,1461
488,4,1464
489,4,1467
490,4,1470
491,4,1473
492,4,1476
493,4,1479
494,4,1482
495,4,1485
496,4,1488
497,4,1491
498,4,1494
499,4,1497
500,4,1500
501,4,1503
502,4,1506
503,4,1509
504,4,1512
505,4,1515
506,4,1518
507,4,1521
508,4,1524
509,4,1527
510,4,1530
511,4,1533
512,4,1536
513,4,1539
514,4,1542
515,4,1545
516,4,1548
517,4,1551
518,4,1554
519,4,1557
520,4,1560
521,4,1563
522,4,1566
523,4,1569
524,4,1572
525,4,1575
526,4,1578
527,4,1581
528,4,1584
529,4,1587
530,4,1590
531,4,1593
532,4,1596
533,4,1599
534,4,1602
535,4,1605
536,5,1608
537,5,1611
538,5,1614
539,5,1617
540,5,1620
541,5,1623
542,5,1626
543,5,1629
544,5,1632
545,5,1635
546,5,1638
547,5,1641
548,5,1644
549,5,1647
550,5,1650
551,5,1653
552,5,1656
553,5,1659
554,5,1662
555,5,1665
556,5,1668
557,5,1671
558,5,1674
559,5,1677
560,5,1680
561,5,1683
562,5,1686
563,5,1689
564,5,1692
565,5,1695
566,5,1698
567,5,1701
568,5,1704
569,5,1707
