KeywordCount, Counter, Storage(Bytes)
1,1,2
2,3,4
3,5,6
4,7,8
5,9,10
6,11,12
7,13,14
8,15,16
9,17,18
10,19,20
11,21,22
12,23,24
13,25,26
14,27,28
15,29,30
16,31,32
17,33,34
18,35,36
19,37,38
20,39,40
21,41,42
22,43,44
23,45,46
24,47,48
25,50,50
26,53,52
27,56,54
28,59,56
29,62,58
30,65,60
31,68,62
32,71,64
33,74,66
34,77,68
35,80,70
36,83,72
37,86,74
38,89,76
39,92,78
40,95,80
41,98,82
42,101,84
43,104,86
44,107,88
45,110,90
46,113,92
47,116,94
48,119,96
49,122,98
50,125,100
51,128,102
52,131,104
53,134,106
54,137,108
55,140,110
56,143,112
57,146,114
58,149,116
59,152,118
60,155,120
61,158,122
62,161,124
63,164,126
64,167,128
65,170,130
66,173,132
67,176,134
68,179,136
69,182,138
70,185,140
71,188,142
72,191,144
73,194,146
74,197,148
75,200,150
76,203,152
77,206,154
78,209,156
79,212,158
80,215,160
81,218,162
82,221,164
83,224,166
84,227,168
85,230,170
86,233,172
87,236,174
88,239,176
89,242,178
90,245,180
91,248,182
92,251,184
93,254,186
94,257,376
95,260,380
96,263,384
97,266,388
98,269,392
99,272,396
100,275,400
101,278,404
102,281,408
103,284,412
104,287,416
105,290,420
106,293,424
107,296,428
108,299,432
109,302,436
110,305,440
111,308,444
112,311,448
113,314,452
114,317,456
115,320,460
116,323,464
117,326,468
118,329,472
119,332,476
120,335,480
121,338,484
122,341,488
123,344,492
124,347,496
125,350,500
126,353,504
127,356,508
128,359,512
129,362,516
130,365,520
131,368,524
132,371,528
133,374,532
134,377,536
135,380,540
136,383,544
137,386,548
138,389,552
139,392,556
140,395,560
141,398,564
142,401,568
143,404,572
144,407,576
145,410,580
146,413,584
147,416,588
148,419,592
149,422,596
150,425,600
151,428,604
152,431,608
153,434,612
154,437,616
155,440,620
156,443,624
157,446,628
158,449,632
159,452,636
160,455,640
161,458,644
162,461,648
163,464,652
164,467,656
165,470,660
166,473,664
167,476,668
168,479,672
169,482,676
170,485,680
171,488,684
172,491,688
173,494,692
174,497,696
175,500,700
176,503,704
177,506,708
178,509,712
179,512,716
180,515,720
181,518,724
182,521,728
183,524,732
184,527,736
185,530,740
186,533,744
187,536,748
188,539,752
189,542,756
190,545,760
191,548,764
192,551,768
193,554,772
194,557,776
195,560,780
196,563,784
197,566,788
198,569,792
199,572,796
200,575,800
201,578,804
202,581,808
203,584,812
204,587,816
205,590,820
206,593,824
207,596,828
208,599,832
209,602,836
210,605,840
211,608,844
212,611,848
213,614,852
214,617,856
215,620,860
216,623,864
217,626,868
218,629,872
219,632,876
220,635,880
221,638,884
222,641,888
223,644,892
224,647,896
225,650,900
226,653,904
227,656,908
228,659,912
229,662,916
230,665,920
231,668,924
232,671,928
233,674,932
234,677,936
235,680,940
236,683,944
237,686,948
238,689,952
239,692,956
240,695,960
241,698,964
242,701,968
243,704,972
244,707,976
245,710,980
246,713,984
247,716,988
248,719,992
249,722,996
250,725,1000
251,728,1004
252,731,1008
253,734,1012
254,737,1016
255,740,1020
256,743,1024
257,746,1028
258,749,1032
259,752,1036
260,755,1040
261,758,1044
262,761,1048
263,764,1052
264,767,1056
265,770,1060
266,773,1064
267,776,1068
268,779,1072
269,782,1076
270,785,1080
271,788,1084
272,791,1088
273,794,1092
274,797,1096
275,800,1100
276,803,1104
277,806,1108
278,809,1112
279,812,1116
280,815,1120
281,818,1124
282,821,1128
283,824,1132
284,827,1136
285,830,1140
286,833,1144
287,836,1148
288,839,1152
289,842,1156
290,845,1160
291,848,1164
292,851,1168
293,854,1172
294,857,1176
295,860,1180
296,863,1184
297,866,1188
298,869,1192
299,872,1196
300,875,1200
301,878,1204
302,881,1208
303,884,1212
304,887,1216
305,890,1220
306,893,1224
307,896,1228
308,900,1232
309,904,1236
310,908,1240
311,912,1244
312,916,1248
313,920,1252
314,924,1256
315,928,1260
316,932,1264
317,936,1268
318,940,1272
319,944,1276
320,948,1280
321,952,1284
322,956,1288
323,960,1292
324,964,1296
325,968,1300
326,972,1304
327,976,1308
328,980,1312
329,984,1316
330,988,1320
331,992,1324
332,996,1328
333,1000,1332
334,1004,1336
335,1008,1340
336,1012,1344
337,1016,1348
338,1020,1352
339,1024,1356
340,1028,1360
341,1032,1364
342,1036,1368
343,1040,1372
344,1044,1376
345,1048,1380
346,1052,1384
347,1056,1388
348,1060,1392
349,1064,1396
350,1068,1400
351,1072,1404
352,1076,1408
353,1080,1412
354,1084,1416
355,1088,1420
356,1092,1424
357,1096,1428
358,1100,1432
359,1104,1436
360,1108,1440
361,1112,1444
362,1116,1448
363,1120,1452
364,1124,1456
365,1128,1460
366,1132,1464
367,1136,1468
368,1140,1472
369,1144,1476
370,1148,1480
371,1152,1484
372,1156,1488
373,1160,1492
374,1164,1496
375,1168,1500
376,1172,1504
377,1176,1508
378,1180,1512
379,1184,1516
380,1188,1520
381,1192,1524
382,1196,1528
383,1200,1532
384,1204,1536
385,1208,1540
386,1212,1544
387,1216,1548
388,1220,1552
389,1224,1556
390,1228,1560
391,1232,1564
392,1236,1568
393,1240,1572
394,1244,1576
395,1248,1580
396,1252,1584
397,1256,1588
398,1260,1592
399,1264,1596
400,1268,1600
401,1272,1604
402,1276,1608
403,1280,1612
404,1284,1616
405,1288,1620
406,1292,1624
407,1296,1628
408,1300,1632
409,1304,1636
410,1308,1640
411,1312,1644
412,1316,1648
413,1320,1652
414,1324,1656
415,1328,1660
416,1332,1664
417,1336,1668
418,1340,1672
419,1344,1676
420,1348,1680
421,1352,1684
422,1356,1688
423,1360,1692
424,1364,1696
425,1368,1700
426,1372,1704
427,1376,1708
428,1380,1712
429,1384,1716
430,1388,1720
431,1392,1724
432,1396,1728
433,1400,1732
434,1404,1736
435,1408,1740
436,1412,1744
437,1416,1748
438,1420,1752
439,1424,1756
440,1428,1760
441,1432,1764
442,1436,1768
443,1440,1772
444,1444,1776
445,1448,1780
446,1452,1784
447,1456,1788
448,1460,1792
449,1464,1796
450,1468,1800
451,1472,1804
452,1476,1808
453,1480,1812
454,1484,1816
455,1488,1820
456,1492,1824
457,1496,1828
458,1500,1832
459,1504,1836
460,1508,1840
461,1512,1844
462,1516,1848
463,1520,1852
464,1524,1856
465,1528,1860
466,1532,1864
467,1536,1868
468,1540,1872
469,1544,1876
470,1548,1880
471,1552,1884
472,1556,1888
473,1560,1892
