KeywordCount, Counter, Storage(Bits)
1,1,2
2,2,8
3,2,12
4,2,16
5,2,20
6,2,24
7,2,28
8,2,32
9,2,36
10,2,40
11,2,44
12,2,48
13,2,52
14,2,56
15,2,60
16,2,64
17,2,68
18,2,72
19,2,76
20,2,80
21,2,84
22,2,88
23,2,92
24,2,96
25,3,100
26,3,104
27,3,108
28,3,112
29,3,116
30,3,120
31,3,124
32,3,128
33,3,132
34,3,136
35,3,140
36,3,144
37,3,148
38,3,152
39,3,156
40,3,160
41,3,164
42,3,168
43,3,172
44,3,176
45,3,180
46,3,184
47,3,188
48,3,192
49,3,196
50,3,200
51,3,204
52,3,208
53,3,212
54,3,216
55,3,220
56,3,224
57,3,228
58,3,232
59,3,236
60,3,240
61,3,244
62,3,248
63,3,252
64,3,256
65,3,260
66,3,264
67,3,268
68,3,272
69,3,276
70,3,280
71,3,284
72,3,288
73,3,292
74,3,296
75,3,300
76,3,304
77,3,308
78,3,312
79,3,316
80,3,320
81,3,324
82,3,328
83,3,332
84,3,336
85,3,340
86,3,344
87,3,348
88,3,352
89,3,356
90,3,360
91,3,364
92,3,368
93,3,372
94,3,376
95,3,380
96,3,384
97,3,388
98,3,392
99,3,396
100,3,400
101,3,404
102,3,408
103,3,412
104,3,416
105,3,420
106,3,424
107,3,428
108,3,432
109,3,436
110,3,440
111,3,444
112,3,448
113,3,452
114,3,456
115,3,460
116,3,464
117,3,468
118,3,472
119,3,476
120,3,480
121,3,484
122,3,488
123,3,492
124,3,496
125,3,500
126,3,504
127,3,508
128,3,512
129,3,516
130,3,520
131,3,524
132,3,528
133,3,532
134,3,536
135,3,540
136,3,544
137,3,548
138,3,552
139,3,556
140,3,560
141,3,564
142,3,568
143,3,572
144,3,576
145,3,580
146,3,584
147,3,588
148,3,592
149,3,596
150,3,600
151,3,604
152,3,608
153,3,612
154,3,616
155,3,620
156,3,624
157,3,628
158,3,632
159,3,636
160,3,640
161,3,644
162,3,648
163,3,652
164,3,656
165,3,660
166,3,664
167,3,668
168,3,672
169,3,676
170,3,680
171,3,684
172,3,688
173,3,692
174,3,696
175,3,700
176,3,704
177,3,708
178,3,712
179,3,716
180,3,720
181,3,724
182,3,728
183,3,732
184,3,736
185,3,740
186,3,744
187,3,748
188,3,752
189,3,756
190,3,760
191,3,764
192,3,768
193,3,772
194,3,776
195,3,780
196,3,784
197,3,788
198,3,792
199,3,796
200,3,800
201,3,804
202,3,808
203,3,812
204,3,816
205,3,820
206,3,824
207,3,828
208,3,832
209,3,836
210,3,840
211,3,844
212,3,848
213,3,852
214,3,856
215,3,860
216,3,864
217,3,868
218,3,872
219,3,876
220,3,880
221,3,884
222,3,888
223,3,892
224,3,896
225,3,900
226,3,904
227,3,908
228,3,912
229,3,916
230,3,920
231,3,924
232,3,928
233,3,932
234,3,936
235,3,940
236,3,944
237,3,948
238,3,952
239,3,956
240,3,960
241,3,964
242,3,968
243,3,972
244,3,976
245,3,980
246,3,984
247,3,988
248,3,992
249,3,996
250,3,1000
251,3,1004
252,3,1008
253,3,1012
254,3,1016
255,3,1020
256,3,1024
257,3,1028
258,3,1032
259,3,1036
260,3,1040
261,3,1044
262,3,1048
263,3,1052
264,3,1056
265,3,1060
266,3,1064
267,3,1068
268,3,1072
269,3,1076
270,3,1080
271,3,1084
272,3,1088
273,3,1092
274,3,1096
275,3,1100
276,3,1104
277,3,1108
278,3,1112
279,3,1116
280,3,1120
281,3,1124
282,3,1128
283,3,1132
284,3,1136
285,3,1140
286,3,1144
287,3,1148
288,3,1152
289,3,1156
290,3,1160
291,3,1164
292,3,1168
293,3,1172
294,3,1176
295,3,1180
296,3,1184
297,3,1188
298,3,1192
299,3,1196
300,3,1200
301,3,1204
302,3,1208
303,3,1212
304,3,1216
305,3,1220
306,3,1224
307,3,1228
308,4,1848
309,4,1854
310,4,1860
311,4,1866
312,4,1872
313,4,1878
314,4,1884
315,4,1890
316,4,1896
317,4,1902
318,4,1908
319,4,1914
320,4,1920
321,4,1926
322,4,1932
323,4,1938
324,4,1944
325,4,1950
326,4,1956
327,4,1962
328,4,1968
329,4,1974
330,4,1980
331,4,1986
332,4,1992
333,4,1998
334,4,2004
335,4,2010
336,4,2016
337,4,2022
338,4,2028
339,4,2034
340,4,2040
341,4,2046
342,4,2052
343,4,2058
344,4,2064
345,4,2070
346,4,2076
347,4,2082
348,4,2088
349,4,2094
350,4,2100
351,4,2106
352,4,2112
353,4,2118
354,4,2124
355,4,2130
356,4,2136
357,4,2142
358,4,2148
359,4,2154
360,4,2160
361,4,2166
362,4,2172
363,4,2178
364,4,2184
365,4,2190
