KeywordCount, Counter, Storage(Bytes)
1,1,3.49152
2,3,7.96608
3,5,11.94912
4,7,15.93216
5,9,19.9152
6,11,23.89824
7,13,27.88128
8,15,31.86432
9,17,35.847359999999995
10,19,39.8304
11,21,43.81344
12,23,47.79648
13,25,51.77952
14,27,55.76256
15,29,59.745599999999996
16,31,63.72864
17,33,67.71168
18,35,71.69471999999999
19,37,75.67776
20,39,79.6608
21,41,83.64384
22,43,87.62688
23,45,91.60992
24,47,95.59296
25,50,111.864
26,53,116.33856
27,56,120.81312
28,59,125.28768
29,62,129.76224000000002
30,65,134.23680000000002
31,68,138.71136
32,71,143.18592
33,74,147.66048
34,77,152.13504
35,80,156.6096
36,83,161.08416
37,86,165.55872
38,89,170.03328
39,92,174.50784
40,95,178.9824
41,98,183.45696
42,101,187.93152
43,104,192.40608
44,107,196.88064
45,110,201.35520000000002
46,113,205.82976000000002
47,116,210.30432000000002
48,119,214.77888000000002
49,122,219.25344
50,125,223.728
51,128,228.20256
52,131,232.67712
53,134,237.15168
54,137,241.62624
55,140,246.1008
56,143,250.57536
57,146,255.04992
58,149,259.52448000000004
59,152,263.99904000000004
60,155,268.47360000000003
61,158,272.94816000000003
62,161,277.42272
63,164,281.89728
64,167,286.37184
65,170,290.8464
66,173,295.32096
67,176,299.79552
68,179,304.27008
69,182,308.74464
70,185,313.2192
71,188,317.69376
72,191,322.16832
73,194,326.64288
74,197,331.11744
75,200,335.592
76,203,340.06656
77,206,344.54112
78,209,349.01568
79,212,353.49024000000003
80,215,357.9648
81,218,362.43936
82,221,366.91392
83,224,371.38848
84,227,375.86304
85,230,380.3376
86,233,384.81216
87,236,389.28672
88,239,393.76128
89,242,398.23584
90,245,402.71040000000005
91,248,407.18496000000005
92,251,411.65952000000004
93,254,416.13408000000004
94,257,702.60864
95,260,710.0832
96,263,717.55776
97,266,725.03232
98,269,732.50688
99,272,739.98144
100,275,747.456
101,278,754.93056
102,281,762.40512
103,284,769.87968
104,287,777.35424
105,290,784.8288
106,293,792.30336
107,296,799.77792
108,299,807.25248
109,302,814.72704
110,305,822.2016
111,308,829.67616
112,311,837.15072
113,314,844.62528
114,317,852.09984
115,320,859.5744
116,323,867.0489600000001
117,326,874.52352
118,329,881.9980800000001
119,332,889.47264
120,335,896.9472000000001
121,338,904.42176
122,341,911.8963200000001
123,344,919.3708799999999
124,347,926.84544
125,350,934.32
126,353,941.79456
127,356,949.26912
128,359,956.74368
129,362,964.21824
130,365,971.6928
131,368,979.16736
132,371,986.64192
133,374,994.11648
134,377,1001.59104
135,380,1009.0656
136,383,1016.54016
137,386,1024.0147200000001
138,389,1031.48928
139,392,1038.96384
140,395,1046.4384
141,398,1053.91296
142,401,1061.38752
143,404,1068.86208
144,407,1076.33664
145,410,1083.8112
146,413,1091.28576
147,416,1098.76032
148,419,1106.23488
149,422,1113.70944
150,425,1121.184
151,428,1128.65856
152,431,1136.13312
153,434,1143.60768
154,437,1151.08224
155,440,1158.5568
156,443,1166.03136
157,446,1173.50592
158,449,1180.98048
159,452,1188.45504
160,455,1195.9296
161,458,1203.40416
162,461,1210.87872
163,464,1218.35328
164,467,1225.82784
165,470,1233.3024
166,473,1240.77696
167,476,1248.25152
168,479,1255.72608
169,482,1263.20064
170,485,1270.6752000000001
171,488,1278.14976
172,491,1285.62432
173,494,1293.09888
174,497,1300.5734400000001
175,500,1308.048
176,503,1315.5225599999999
177,506,1322.99712
178,509,1330.47168
179,512,1337.94624
180,515,1345.4208
181,518,1352.89536
182,521,1360.36992
183,524,1367.84448
184,527,1375.31904
185,530,1382.7936
186,533,1390.26816
187,536,1397.74272
188,539,1405.21728
189,542,1412.69184
190,545,1420.1664
191,548,1427.64096
192,551,1435.11552
193,554,1442.59008
194,557,1450.06464
195,560,1457.5392
196,563,1465.01376
197,566,1472.48832
198,569,1479.96288
199,572,1487.4374400000002
200,575,1494.912
201,578,1502.38656
202,581,1509.86112
203,584,1517.3356800000001
204,587,1524.81024
205,590,1532.2848
206,593,1539.75936
207,596,1547.2339200000001
208,599,1554.70848
209,602,1562.18304
210,605,1569.6576
211,608,1577.13216
212,611,1584.60672
213,614,1592.0812799999999
214,617,1599.55584
215,620,1607.0304
216,623,1614.50496
217,626,1621.97952
218,629,1629.45408
219,632,1636.92864
220,635,1644.4032
221,638,1651.87776
222,641,1659.35232
223,644,1666.82688
224,647,1674.30144
225,650,1681.776
226,653,1689.25056
227,656,1696.72512
228,659,1704.19968
229,662,1711.67424
230,665,1719.1488
231,668,1726.62336
232,671,1734.0979200000002
233,674,1741.57248
234,677,1749.04704
235,680,1756.5216
236,683,1763.9961600000001
237,686,1771.47072
238,689,1778.94528
239,692,1786.41984
240,695,1793.8944000000001
241,698,1801.36896
242,701,1808.84352
243,704,1816.31808
244,707,1823.7926400000001
245,710,1831.2672
246,713,1838.7417599999999
247,716,1846.21632
248,719,1853.69088
249,722,1861.16544
250,725,1868.64
251,728,1876.11456
252,731,1883.58912
253,734,1891.06368
254,737,1898.53824
255,740,1906.0128
256,743,1913.48736
257,746,1920.96192
258,749,1928.43648
259,752,1935.91104
260,755,1943.3856
261,758,1950.86016
262,761,1958.33472
263,764,1965.80928
264,767,1973.28384
265,770,1980.7584000000002
266,773,1988.23296
267,776,1995.70752
268,779,2003.18208
269,782,2010.6566400000002
270,785,2018.1312
271,788,2025.60576
272,791,2033.08032
273,794,2040.5548800000001
274,797,2048.0294400000002
275,800,2055.504
276,803,2062.97856
277,806,2070.45312
278,809,2077.92768
279,812,2085.40224
280,815,2092.8768
281,818,2100.35136
282,821,2107.82592
283,824,2115.30048
284,827,2122.77504
285,830,2130.2496
286,833,2137.72416
287,836,2145.19872
288,839,2152.67328
289,842,2160.14784
290,845,2167.6224
291,848,2175.09696
292,851,2182.57152
293,854,2190.04608
294,857,2197.52064
295,860,2204.9952
296,863,2212.46976
297,866,2219.94432
298,869,2227.41888
299,872,2234.89344
300,875,2242.368
301,878,2249.84256
302,881,2257.31712
303,884,2264.7916800000003
304,887,2272.26624
305,890,2279.7408
306,893,2287.21536
307,896,2294.68992
308,900,2453.55264
309,904,2461.51872
310,908,2469.4848
311,912,2477.45088
312,916,2485.41696
313,920,2493.3830399999997
314,924,2501.34912
315,928,2509.3152
316,932,2517.28128
