KeywordCount, Counter, Storage(Bits)
1,1,64647.710399999996
2,3,129301.42079999999
3,5,193952.1312
4,7,258602.84159999999
5,9,323253.55199999997
6,11,387904.26239999995
7,13,452554.97279999993
8,15,517205.6831999999
9,17,581856.3936
10,19,646507.1039999999
11,21,711157.8143999999
12,23,775808.5247999999
13,25,840459.2351999999
14,27,905109.9455999999
15,29,969760.6559999998
16,31,1034411.3663999998
17,33,1099062.0768
18,35,1163712.7872
19,37,1228363.4976
20,39,1293014.2079999999
21,41,1357664.9183999998
22,43,1422315.6287999998
23,45,1486966.3391999998
24,47,1551617.0495999998
25,50,1616267.7599999998
26,53,1680918.4703999998
27,56,1745569.1807999997
28,59,1810219.8911999997
29,62,1874870.6015999997
30,65,1939521.3119999997
31,68,2004172.0223999997
32,71,2068822.7327999996
33,74,2133473.4431999996
34,77,2198124.1536
35,80,2262774.864
36,83,2327425.5744000003
37,86,2392076.2848000005
38,89,2456726.9952000007
39,92,2521377.705600001
40,95,2586028.416000001
41,98,2650679.1264000013
42,101,2715329.8368000016
43,104,2779980.547200002
44,107,2844631.257600002
45,110,2909281.968000002
46,113,2973932.6784000024
47,116,3038583.3888000026
48,119,3103234.099200003
49,122,3167884.809600003
50,125,3232535.5200000033
51,128,3297186.2304000035
52,131,3361836.9408000037
53,134,3426487.651200004
54,137,3491138.361600004
55,140,3555789.0720000044
56,143,3620439.7824000046
57,146,3685090.492800005
58,149,3749741.203200005
59,152,3814391.913600005
60,155,3879042.6240000054
61,158,3943693.3344000056
62,161,4008344.044800006
63,164,4072994.755200006
64,167,4137645.4656000063
65,170,4202296.1760000065
66,173,4266946.886400007
67,176,4331597.596800007
68,179,4396248.307200007
69,182,4460899.017600007
70,185,4525549.728000008
71,188,4590200.438400008
72,191,4654851.148800008
73,194,4719501.859200008
74,197,4784152.569600008
75,200,4848803.280000009
76,203,4913453.990400009
77,206,4978104.700800009
78,209,5042755.411200009
79,212,5107406.1216000095
80,215,5172056.83200001
81,218,5236707.54240001
82,221,5301358.25280001
83,224,5366008.96320001
84,227,5430659.673600011
85,230,5495310.384000011
86,233,5559961.094400011
87,236,5624611.804800011
88,239,5689262.515200011
89,242,5753913.225600012
90,245,5818563.936000012
91,248,5883214.646400012
92,251,5947865.356800012
93,254,6012516.0672000125
94,257,6077166.777600013
95,260,6141817.488000013
96,263,6206468.198400013
97,266,6271118.908800013
98,269,6335769.619200014
99,272,6400420.329600014
100,275,6465071.040000014
101,278,6529721.750400014
102,281,6594372.460800014
103,284,6659023.171200015
104,287,6723673.881600015
105,290,6788324.592000015
106,293,6852975.302400015
107,296,6917626.0128000155
108,299,6982276.723200016
109,302,7046927.433600016
110,305,7111578.144000016
111,308,7176228.854400016
112,311,7240879.564800017
113,314,7305530.275200017
114,317,7370180.985600017
115,320,7434831.696000017
116,323,7499482.406400017
117,326,7564133.116800018
118,329,7628783.827200018
119,332,7693434.537600018
120,335,7758085.248000018
121,338,7822735.9584000185
122,341,7887386.668800019
123,344,7952037.379200019
124,347,8016688.089600019
125,350,8081338.800000019
126,353,8145989.51040002
127,356,8210640.22080002
128,359,8275290.93120002
129,362,8339941.64160002
130,365,8404592.35200002
131,368,8469243.06240002
132,371,8533893.77280002
133,374,8598544.483200021
134,377,8663195.193600021
135,380,8727845.904000022
136,383,8792496.614400022
137,386,8857147.324800022
138,389,8921798.035200022
139,392,8986448.745600022
140,395,9051099.456000023
141,398,9115750.166400023
142,401,9180400.876800023
143,404,9245051.587200023
144,407,9309702.297600023
145,410,9374353.008000024
146,413,9439003.718400024
147,416,9503654.428800024
148,419,9568305.139200024
149,422,9632955.849600025
150,425,9697606.560000025
151,428,9762257.270400025
152,431,9826907.980800025
153,434,9891558.691200025
154,437,9956209.401600026
155,440,10020860.112000026
156,443,10085510.822400026
157,446,10150161.532800026
158,449,10214812.243200026
159,452,10279462.953600027
160,455,10344113.664000027
161,458,10408764.374400027
162,461,10473415.084800027
163,464,10538065.795200028
164,467,10602716.505600028
165,470,10667367.216000028
166,473,10732017.926400028
167,476,10796668.636800028
168,479,10861319.347200029
169,482,10925970.057600029
170,485,10990620.768000029
171,488,11055271.47840003
172,491,11119922.18880003
173,494,11184572.89920003
174,497,11249223.60960003
175,500,11313874.32000003
176,503,11378525.03040003
177,506,11443175.74080003
178,509,11507826.45120003
179,512,11572477.161600031
180,515,11637127.872000031
181,518,11701778.582400031
182,521,11766429.292800032
183,524,11831080.003200032
184,527,11895730.713600032
185,530,11960381.424000032
186,533,12025032.134400032
187,536,12089682.844800033
188,539,12154333.555200033
189,542,12218984.265600033
190,545,12283634.976000033
191,548,12348285.686400034
192,551,12412936.396800034
193,554,12477587.107200034
194,557,12542237.817600034
195,560,12606888.528000034
196,563,12671539.238400035
197,566,12736189.948800035
198,569,12800840.659200035
199,572,12865491.369600035
200,575,12930142.080000035
201,578,12994792.790400036
202,581,13059443.500800036
203,584,13124094.211200036
204,587,13188744.921600036
205,590,13253395.632000037
206,593,13318046.342400037
207,596,13382697.052800037
208,599,13447347.763200037
209,602,13511998.473600037
210,605,13576649.184000038
211,608,13641299.894400038
212,611,13705950.604800038
213,614,13770601.315200038
214,617,13835252.025600038
215,620,13899902.736000039
216,623,13964553.446400039
217,626,14029204.15680004
218,629,14093854.86720004
219,632,14158505.57760004
220,635,14223156.28800004
221,638,14287806.99840004
222,641,14352457.70880004
223,644,14417108.41920004
224,647,14481759.12960004
225,650,14546409.84000004
226,653,14611060.550400041
227,656,14675711.260800041
228,659,14740361.971200041
229,662,14805012.681600042
230,665,14869663.392000042
231,668,14934314.102400042
232,671,14998964.812800042
233,674,15063615.523200043
234,677,15128266.233600043
235,680,15192916.944000043
236,683,15257567.654400043
237,686,15322218.364800043
238,689,15386869.075200044
239,692,15451519.785600044
240,695,15516170.496000044
241,698,15580821.206400044
242,701,15645471.916800044
243,704,15710122.627200045
244,707,15774773.337600045
245,710,15839424.048000045
246,713,15904074.758400045
247,716,15968725.468800046
248,719,16033376.179200046
249,722,16098026.889600046
250,725,16162677.600000046
251,728,16227328.310400046
252,731,16291979.020800047
253,734,16356629.731200047
254,737,16421280.441600047
255,740,16485931.152000047
256,743,16550581.862400047
257,746,16615232.572800048
258,749,16679883.283200048
259,752,16744533.993600048
260,755,16809184.70400005
261,758,16873835.41440005
262,761,16938486.12480005
263,764,17003136.83520005
264,767,17067787.54560005
265,770,17132438.25600005
266,773,17197088.96640005
267,776,17261739.67680005
268,779,17326390.38720005
269,782,17391041.09760005
270,785,17455691.80800005
271,788,17520342.51840005
272,791,17584993.22880005
273,794,17649643.93920005
274,797,17714294.64960005
