KeywordCount,Storage(Bits)
1,74
2,148
3,222
4,296
5,370
6,444
7,518
8,592
9,666
10,740
11,814
12,888
13,962
14,1036
15,1110
16,1184
17,1258
18,1332
19,1406
20,1480
21,1554
22,1628
23,1702
24,1776
25,1850
26,1924
27,1998
28,2072
29,2146
30,2220
31,2294
32,2368
33,2442
34,2516
35,2590
36,2664
37,2738
38,2812
39,2886
40,2960
41,3034
42,3108
43,3182
44,3256
45,3330
46,3404
47,3478
48,3552
49,3626
50,3700
51,3774
52,3848
53,3922
54,3996
55,4070
56,4144
57,4218
58,4292
59,4366
60,4440
61,4514
62,4588
63,4662
64,4736
65,4810
66,4884
67,4958
68,5032
69,5106
70,5180
71,5254
72,5328
73,5402
74,5476
75,5550
76,5624
77,5698
78,5772
79,5846
80,5920
81,5994
82,6068
83,6142
84,6216
85,6290
86,6364
87,6438
88,6512
89,6586
90,6660
91,6734
92,6808
93,6882
94,6956
95,7030
96,7104
97,7178
98,7252
99,7326
100,7400
101,7474
102,7548
103,7622
104,7696
105,7770
106,7844
107,7918
108,7992
109,8066
110,8140
111,8214
112,8288
113,8362
114,8436
115,8510
116,8584
117,8658
118,8732
119,8806
120,8880
121,8954
122,9028
123,9102
124,9176
125,9250
126,9324
127,9398
128,9472
129,9546
130,9620
131,9694
132,9768
133,9842
134,9916
135,9990
136,10064
137,10138
138,10212
139,10286
140,10360
141,10434
142,10508
143,10582
144,10656
145,10730
146,10804
147,10878
148,10952
149,11026
150,11100
151,11174
152,11248
153,11322
154,11396
155,11470
156,11544
157,11618
158,11692
159,11766
160,11840
161,11914
162,11988
163,12062
164,12136
165,12210
166,12284
167,12358
168,12432
169,12506
170,12580
171,12654
172,12728
173,12802
174,12876
175,12950
176,13024
177,13098
178,13172
179,13246
180,13320
181,13394
182,13468
183,13542
184,13616
185,13690
186,13764
187,13838
188,13912
189,13986
190,14060
191,14134
192,14208
193,14282
194,14356
195,14430
196,14504
197,14578
198,14652
199,14726
200,14800
201,14874
202,14948
203,15022
204,15096
205,15170
206,15244
207,15318
208,15392
209,15466
210,15540
211,15614
212,15688
213,15762
214,15836
215,15910
216,15984
217,16058
218,16132
219,16206
220,16280
221,16354
222,16428
223,16502
224,16576
225,16650
226,16724
227,16798
228,16872
229,16946
230,17020
231,17094
232,17168
233,17242
234,17316
235,17390
236,17464
237,17538
238,17612
239,17686
240,17760
241,17834
242,17908
243,17982
244,18056
245,18130
246,18204
247,18278
248,18352
249,18426
250,18500
251,18574
252,18648
253,18722
254,18796
255,18870
256,18944
257,19018
258,19092
259,19166
260,19240
261,19314
262,19388
263,19462
264,19536
265,19610
266,19684
267,19758
268,19832
269,19906
270,19980
271,20054
272,20128
273,20202
274,20276
275,20350
276,20424
277,20498
278,20572
279,20646
280,20720
281,20794
282,20868
283,20942
284,21016
285,21090
286,21164
