KeywordCount,Storage(Bits)
1,80
2,164
3,248
4,332
5,416
6,500
7,584
8,668
9,752
10,836
11,920
12,1004
13,1088
14,1172
15,1256
16,1340
17,1424
18,1508
19,1592
20,1676
21,1760
22,1844
23,1928
24,2012
25,2096
26,2180
27,2264
28,2348
29,2432
30,2516
31,2600
32,2684
33,2768
34,2852
35,2936
36,3020
37,3104
38,3188
39,3272
40,3356
41,3440
42,3524
43,3608
44,3692
45,3776
46,3860
47,3944
48,4028
49,4112
50,4196
51,4280
52,4364
53,4448
54,4532
55,4616
56,4700
57,4784
58,4868
59,4952
60,5036
61,5120
62,5204
63,5288
64,5372
65,5456
66,5540
67,5624
68,5708
69,5792
70,5876
71,5960
72,6044
73,6128
74,6212
75,6296
76,6380
77,6464
78,6548
79,6632
80,6716
81,6800
82,6884
83,6968
84,7052
85,7136
86,7220
87,7304
88,7388
89,7472
90,7556
91,7640
92,7724
93,7808
94,7892
95,7976
96,8060
97,8144
98,8228
99,8312
100,8396
101,8480
102,8564
103,8648
104,8732
105,8816
106,8900
107,8984
108,9068
109,9152
110,9236
111,9320
112,9404
113,9488
114,9572
115,9656
116,9740
117,9824
118,9908
119,9992
120,10076
121,10160
122,10244
123,10328
124,10412
125,10496
126,10580
127,10664
128,10748
129,10832
130,10916
131,11000
132,11084
133,11168
134,11252
135,11336
136,11420
137,11504
138,11588
139,11672
140,11756
141,11840
142,11924
143,12008
144,12092
145,12176
146,12260
147,12344
148,12428
149,12512
150,12596
151,12680
152,12764
153,12848
154,12932
155,13016
156,13100
157,13184
158,13268
159,13352
160,13436
161,13520
162,13604
163,13688
164,13772
165,13856
166,13940
167,14024
168,14108
169,14192
170,14276
171,14360
172,14444
173,14528
174,14612
175,14696
176,14780
177,14864
178,14948
179,15032
180,15116
181,15200
182,15284
183,15368
184,15452
185,15536
186,15620
187,15704
188,15788
189,15872
190,15956
191,16040
192,16124
193,16208
194,16292
195,16376
196,16460
197,16544
198,16628
199,16712
200,16796
201,16880
202,16964
203,17048
204,17132
205,17216
206,17300
207,17384
208,17468
209,17552
210,17636
211,17720
212,17804
213,17888
214,17972
215,18056
216,18140
217,18224
218,18308
219,18392
220,18476
221,18560
222,18644
223,18728
224,18812
225,18896
226,18980
227,19064
228,19148
229,19232
230,19316
231,19400
232,19484
233,19568
234,19652
235,19736
236,19820
237,19904
238,19988
239,20072
240,20156
241,20240
242,20324
243,20408
244,20492
245,20576
246,20660
247,20744
248,20828
249,20912
250,20996
251,21080
252,21164
253,21248
254,21332
255,21416
256,21500
257,21584
258,21668
259,21752
260,21836
261,21920
262,22004
263,22088
264,22172
265,22256
266,22340
267,22424
268,22508
269,22592
270,22676
271,22760
272,22844
273,22928
274,23012
275,23096
276,23180
277,23264
278,23348
279,23432
280,23516
281,23600
282,23684
283,23768
284,23852
285,23936
286,24020
287,24104
288,24188
289,24272
290,24356
291,24440
292,24524
293,24608
294,24692
295,24776
296,24860
297,24944
298,25028
299,25112
300,25196
301,25280
302,25364
303,25448
304,25532
305,25616
306,25700
307,25784
308,25868
309,25952
310,26036
311,26120
312,26204
313,26288
314,26372
315,26456
316,26540
317,26624
318,26708
319,26792
320,26876
321,26960
322,27044
323,27128
324,27212
325,27296
326,27380
327,27464
328,27548
329,27632
330,27716
331,27800
332,27884
333,27968
334,28052
335,28136
336,28220
337,28304
338,28388
339,28472
340,28556
341,28640
342,28724
343,28808
344,28892
345,28976
346,29060
347,29144
348,29228
349,29312
350,29396
351,29480
352,29564
353,29648
354,29732
355,29816
356,29900
357,29984
358,30068
359,30152
360,30236
361,30320
362,30404
363,30488
364,30572
365,30656
366,30740
367,30824
368,30908
369,30992
370,31076
371,31160
372,31244
373,31328
374,31412
375,31496
376,31580
377,31664
378,31748
379,31832
380,31916
381,32000
382,32084
383,32168
384,32252
385,32336
386,32420
387,32504
388,32588
389,32672
390,32756
391,32840
392,32924
393,33008
394,33092
395,33176
396,33260
397,33344
398,33428
399,33512
400,33596
401,33680
402,33764
403,33848
404,33932
405,34016
406,34100
407,34184
408,34268
409,34352
410,34436
411,34520
412,34604
413,34688
414,34772
415,34856
416,34940
417,35024
418,35108
419,35192
420,35276
421,35360
422,35444
423,35528
424,35612
425,35696
426,35780
427,35864
428,35948
429,36032
430,36116
431,36200
432,36284
433,36368
434,36452
435,36536
436,36620
437,36704
438,36788
439,36872
440,36956
441,37040
442,37124
443,37208
444,37292
445,37376
446,37460
447,37544
448,37628
449,37712
450,37796
451,37880
452,37964
453,38048
454,38132
455,38216
456,38300
457,38384
458,38468
459,38552
460,38636
461,38720
462,38804
463,38888
464,38972
465,39056
466,39140
467,39224
468,39308
469,39392
470,39476
471,39560
472,39644
473,39728
474,39812
475,39896
476,39980
477,40064
478,40148
479,40232
480,40316
481,40400
482,40484
483,40568
484,40652
485,40736
486,40820
487,40904
