KeywordCount,Storage(Bits)
1,74
2,150
3,226
4,302
5,378
6,454
7,530
8,606
9,682
10,758
11,834
12,910
13,986
14,1062
15,1138
16,1214
17,1290
18,1366
19,1442
20,1518
21,1594
22,1670
23,1746
24,1822
25,1898
26,1974
27,2050
28,2126
29,2202
30,2278
31,2354
32,2430
33,2506
34,2582
35,2658
36,2734
37,2810
38,2886
39,2962
40,3038
41,3114
42,3190
43,3266
44,3342
45,3418
46,3494
47,3570
48,3646
49,3722
50,3798
51,3874
52,3950
53,4026
54,4102
55,4178
56,4254
57,4330
58,4406
59,4482
60,4558
61,4634
62,4710
63,4786
64,4862
65,4938
66,5014
67,5090
68,5166
69,5242
70,5318
71,5394
72,5470
73,5546
74,5622
75,5698
76,5774
77,5850
78,5926
79,6002
80,6078
81,6154
82,6230
83,6306
84,6382
85,6458
86,6534
87,6610
88,6686
89,6762
90,6838
91,6914
92,6990
93,7066
94,7142
95,7218
96,7294
97,7370
98,7446
99,7522
100,7598
101,7674
102,7750
103,7826
104,7902
105,7978
106,8054
107,8130
108,8206
109,8282
110,8358
111,8434
112,8510
113,8586
114,8662
115,8738
116,8814
117,8890
118,8966
119,9042
120,9118
121,9194
122,9270
123,9346
124,9422
125,9498
126,9574
127,9650
128,9726
129,9802
130,9878
131,9954
132,10030
133,10106
134,10182
135,10258
136,10334
137,10410
138,10486
139,10562
140,10638
141,10714
142,10790
143,10866
144,10942
145,11018
146,11094
147,11170
148,11246
149,11322
150,11398
151,11474
152,11550
153,11626
154,11702
155,11778
156,11854
157,11930
158,12006
159,12082
160,12158
161,12234
162,12310
163,12386
164,12462
165,12538
166,12614
167,12690
168,12766
169,12842
170,12918
171,12994
172,13070
173,13146
174,13222
175,13298
176,13374
177,13450
178,13526
179,13602
180,13678
181,13754
182,13830
183,13906
184,13982
185,14058
186,14134
187,14210
188,14286
189,14362
190,14438
191,14514
192,14590
193,14666
194,14742
195,14818
196,14894
197,14970
198,15046
199,15122
200,15198
201,15274
202,15350
203,15426
204,15502
205,15578
206,15654
207,15730
208,15806
209,15882
210,15958
211,16034
212,16110
213,16186
214,16262
215,16338
216,16414
217,16490
218,16566
219,16642
220,16718
221,16794
222,16870
223,16946
224,17022
225,17098
226,17174
227,17250
228,17326
229,17402
230,17478
231,17554
232,17630
233,17706
234,17782
235,17858
236,17934
237,18010
238,18086
239,18162
240,18238
241,18314
242,18390
243,18466
244,18542
245,18618
246,18694
247,18770
248,18846
249,18922
250,18998
251,19074
252,19150
253,19226
254,19302
255,19378
256,19454
257,19530
