KeywordCount,Storage(Bits)
1,76
2,154
3,232
4,310
5,388
6,466
7,544
8,622
9,700
10,778
11,856
12,934
13,1012
14,1090
15,1168
16,1246
17,1324
18,1402
19,1480
20,1558
21,1636
22,1714
23,1792
24,1870
25,1948
26,2026
27,2104
28,2182
29,2260
30,2338
31,2416
32,2494
33,2572
34,2650
35,2728
36,2806
37,2884
38,2962
39,3040
40,3118
41,3196
42,3274
43,3352
44,3430
45,3508
46,3586
47,3664
48,3742
49,3820
50,3898
51,3976
52,4054
53,4132
54,4210
55,4288
56,4366
57,4444
58,4522
59,4600
60,4678
61,4756
62,4834
63,4912
64,4990
65,5068
66,5146
67,5224
68,5302
69,5380
70,5458
71,5536
72,5614
73,5692
74,5770
75,5848
76,5926
77,6004
78,6082
79,6160
80,6238
81,6316
82,6394
83,6472
84,6550
85,6628
86,6706
87,6784
88,6862
89,6940
90,7018
91,7096
92,7174
93,7252
94,7330
95,7408
96,7486
97,7564
98,7642
99,7720
100,7798
101,7876
102,7954
103,8032
104,8110
105,8188
106,8266
107,8344
108,8422
109,8500
110,8578
111,8656
112,8734
113,8812
114,8890
115,8968
116,9046
117,9124
118,9202
119,9280
120,9358
121,9436
122,9514
123,9592
124,9670
125,9748
126,9826
127,9904
128,9982
129,10060
130,10138
131,10216
132,10294
133,10372
134,10450
135,10528
136,10606
137,10684
138,10762
139,10840
140,10918
141,10996
142,11074
143,11152
144,11230
145,11308
146,11386
147,11464
148,11542
149,11620
150,11698
151,11776
152,11854
153,11932
154,12010
155,12088
156,12166
157,12244
158,12322
159,12400
160,12478
161,12556
162,12634
163,12712
164,12790
165,12868
166,12946
167,13024
168,13102
169,13180
170,13258
171,13336
172,13414
173,13492
174,13570
175,13648
176,13726
177,13804
178,13882
179,13960
180,14038
181,14116
182,14194
183,14272
184,14350
185,14428
186,14506
187,14584
188,14662
189,14740
190,14818
191,14896
192,14974
193,15052
194,15130
195,15208
196,15286
197,15364
198,15442
199,15520
200,15598
201,15676
202,15754
203,15832
204,15910
205,15988
206,16066
207,16144
208,16222
209,16300
210,16378
211,16456
212,16534
213,16612
214,16690
215,16768
216,16846
217,16924
218,17002
219,17080
220,17158
221,17236
222,17314
223,17392
224,17470
225,17548
226,17626
227,17704
228,17782
229,17860
230,17938
231,18016
232,18094
233,18172
234,18250
235,18328
236,18406
237,18484
238,18562
239,18640
240,18718
241,18796
242,18874
243,18952
244,19030
245,19108
246,19186
247,19264
248,19342
249,19420
250,19498
251,19576
252,19654
253,19732
254,19810
255,19888
256,19966
257,20044
258,20122
259,20200
260,20278
261,20356
262,20434
263,20512
264,20590
265,20668
266,20746
267,20824
268,20902
269,20980
270,21058
271,21136
272,21214
273,21292
274,21370
275,21448
276,21526
277,21604
278,21682
279,21760
280,21838
281,21916
282,21994
283,22072
284,22150
285,22228
286,22306
287,22384
288,22462
289,22540
290,22618
291,22696
292,22774
293,22852
294,22930
295,23008
296,23086
297,23164
298,23242
299,23320
300,23398
301,23476
302,23554
303,23632
304,23710
305,23788
306,23866
307,23944
308,24022
309,24100
310,24178
311,24256
312,24334
313,24412
314,24490
315,24568
316,24646
317,24724
318,24802
319,24880
320,24958
321,25036
322,25114
323,25192
324,25270
325,25348
326,25426
327,25504
328,25582
329,25660
330,25738
331,25816
332,25894
333,25972
334,26050
335,26128
336,26206
337,26284
338,26362
339,26440
340,26518
341,26596
342,26674
343,26752
344,26830
345,26908
346,26986
347,27064
348,27142
349,27220
350,27298
351,27376
352,27454
353,27532
354,27610
355,27688
356,27766
357,27844
358,27922
359,28000
360,28078
361,28156
362,28234
363,28312
364,28390
365,28468
366,28546
367,28624
368,28702
369,28780
370,28858
371,28936
372,29014
373,29092
374,29170
375,29248
376,29326
377,29404
378,29482
379,29560
380,29638
381,29716
382,29794
383,29872
384,29950
385,30028
386,30106
387,30184
388,30262
389,30340
390,30418
391,30496
392,30574
393,30652
394,30730
395,30808
396,30886
397,30964
398,31042
399,31120
400,31198
401,31276
402,31354
403,31432
404,31510
405,31588
406,31666
407,31744
408,31822
409,31900
410,31978
411,32056
412,32134
413,32212
414,32290
415,32368
416,32446
417,32524
418,32602
419,32680
420,32758
421,32836
422,32914
423,32992
424,33070
425,33148
426,33226
427,33304
428,33382
429,33460
430,33538
431,33616
432,33694
433,33772
434,33850
435,33928
436,34006
437,34084
438,34162
439,34240
440,34318
441,34396
442,34474
443,34552
444,34630
445,34708
446,34786
447,34864
448,34942
449,35020
450,35098
451,35176
452,35254
453,35332
454,35410
455,35488
456,35566
457,35644
458,35722
459,35800
460,35878
461,35956
462,36034
463,36112
464,36190
465,36268
466,36346
467,36424
468,36502
469,36580
470,36658
471,36736
472,36814
473,36892
474,36970
475,37048
476,37126
477,37204
478,37282
479,37360
480,37438
481,37516
482,37594
483,37672
484,37750
485,37828
486,37906
487,37984
488,38062
489,38140
490,38218
491,38296
492,38374
493,38452
494,38530
495,38608
496,38686
497,38764
498,38842
499,38920
500,38998
501,39076
502,39154
503,39232
504,39310
505,39388
506,39466
507,39544
508,39622
509,39700
510,39778
511,39856
512,39934
513,40012
514,40090
515,40168
516,40246
517,40324
518,40402
519,40480
520,40558
521,40636
522,40714
523,40792
524,40870
525,40948
526,41026
527,41104
528,41182
529,41260
530,41338
531,41416
532,41494
533,41572
534,41650
535,41728
536,41806
537,41884
538,41962
539,42040
540,42118
541,42196
542,42274
543,42352
544,42430
545,42508
546,42586
547,42664
548,42742
549,42820
550,42898
551,42976
552,43054
553,43132
554,43210
555,43288
556,43366
557,43444
558,43522
559,43600
560,43678
561,43756
562,43834
563,43912
564,43990
565,44068
566,44146
567,44224
568,44302
569,44380
570,44458
571,44536
572,44614
573,44692
574,44770
575,44848
576,44926
577,45004
578,45082
579,45160
580,45238
581,45316
582,45394
583,45472
584,45550
585,45628
586,45706
587,45784
588,45862
589,45940
590,46018
591,46096
592,46174
593,46252
594,46330
595,46408
596,46486
597,46564
598,46642
599,46720
600,46798
601,46876
602,46954
603,47032
604,47110
605,47188
606,47266
607,47344
608,47422
609,47500
610,47578
611,47656
612,47734
613,47812
614,47890
615,47968
616,48046
617,48124
618,48202
619,48280
620,48358
621,48436
622,48514
623,48592
624,48670
625,48748
626,48826
627,48904
628,48982
629,49060
630,49138
631,49216
632,49294
633,49372
634,49450
635,49528
636,49606
637,49684
638,49762
639,49840
640,49918
641,49996
642,50074
643,50152
644,50230
645,50308
646,50386
647,50464
648,50542
649,50620
650,50698
651,50776
652,50854
653,50932
654,51010
655,51088
656,51166
657,51244
658,51322
659,51400
660,51478
661,51556
662,51634
663,51712
664,51790
665,51868
666,51946
667,52024
668,52102
669,52180
670,52258
671,52336
672,52414
673,52492
674,52570
675,52648
676,52726
677,52804
678,52882
679,52960
680,53038
681,53116
682,53194
683,53272
684,53350
685,53428
686,53506
687,53584
688,53662
689,53740
690,53818
691,53896
692,53974
693,54052
694,54130
695,54208
696,54286
697,54364
698,54442
699,54520
700,54598
701,54676
702,54754
703,54832
704,54910
705,54988
706,55066
707,55144
708,55222
709,55300
710,55378
711,55456
712,55534
713,55612
714,55690
715,55768
716,55846
717,55924
718,56002
719,56080
720,56158
721,56236
722,56314
723,56392
724,56470
725,56548
726,56626
727,56704
728,56782
729,56860
730,56938
731,57016
732,57094
733,57172
734,57250
735,57328
736,57406
737,57484
738,57562
739,57640
740,57718
741,57796
742,57874
743,57952
744,58030
745,58108
746,58186
747,58264
748,58342
749,58420
750,58498
751,58576
752,58654
753,58732
754,58810
755,58888
756,58966
757,59044
758,59122
759,59200
760,59278
761,59356
762,59434
763,59512
764,59590
765,59668
766,59746
767,59824
768,59902
769,59980
770,60058
771,60136
772,60214
773,60292
774,60370
775,60448
776,60526
777,60604
778,60682
779,60760
780,60838
781,60916
782,60994
783,61072
784,61150
785,61228
786,61306
787,61384
788,61462
789,61540
790,61618
791,61696
792,61774
793,61852
794,61930
795,62008
796,62086
797,62164
798,62242
799,62320
800,62398
801,62476
802,62554
803,62632
804,62710
805,62788
806,62866
807,62944
808,63022
809,63100
810,63178
811,63256
812,63334
813,63412
814,63490
815,63568
816,63646
817,63724
818,63802
819,63880
820,63958
821,64036
822,64114
823,64192
824,64270
825,64348
826,64426
827,64504
828,64582
829,64660
830,64738
831,64816
832,64894
833,64972
834,65050
835,65128
836,65206
837,65284
838,65362
839,65440
840,65518
841,65596
842,65674
843,65752
844,65830
845,65908
846,65986
847,66064
848,66142
849,66220
850,66298
851,66376
852,66454
853,66532
854,66610
855,66688
856,66766
857,66844
858,66922
859,67000
860,67078
861,67156
862,67234
863,67312
864,67390
865,67468
866,67546
867,67624
868,67702
869,67780
870,67858
871,67936
872,68014
873,68092
874,68170
875,68248
876,68326
877,68404
878,68482
879,68560
880,68638
881,68716
882,68794
883,68872
884,68950
885,69028
886,69106
887,69184
888,69262
889,69340
