KeywordCount,Storage(Bits)
1,64728
2,129462
3,194196
4,258930
5,323664
6,388398
7,453132
8,517866
9,582600
10,647334
11,712068
12,776802
13,841536
14,906270
15,971004
16,1035738
17,1100472
18,1165206
19,1229940
20,1294674
21,1359408
22,1424142
23,1488876
24,1553610
25,1618344
26,1683078
27,1747812
28,1812546
29,1877280
30,1942014
31,2006748
32,2071482
33,2136216
34,2200950
35,2265684
36,2330418
37,2395152
38,2459886
39,2524620
40,2589354
41,2654088
42,2718822
43,2783556
44,2848290
45,2913024
46,2977758
47,3042492
48,3107226
49,3171960
50,3236694
51,3301428
52,3366162
53,3430896
54,3495630
55,3560364
56,3625098
57,3689832
58,3754566
59,3819300
60,3884034
61,3948768
62,4013502
63,4078236
64,4142970
65,4207704
66,4272438
67,4337172
68,4401906
69,4466640
70,4531374
71,4596108
72,4660842
73,4725576
74,4790310
75,4855044
76,4919778
77,4984512
78,5049246
79,5113980
80,5178714
81,5243448
82,5308182
83,5372916
84,5437650
85,5502384
86,5567118
87,5631852
88,5696586
89,5761320
90,5826054
91,5890788
92,5955522
93,6020256
94,6084990
95,6149724
96,6214458
97,6279192
98,6343926
99,6408660
100,6473394
101,6538128
102,6602862
103,6667596
104,6732330
105,6797064
106,6861798
107,6926532
108,6991266
109,7056000
110,7120734
111,7185468
112,7250202
113,7314936
114,7379670
115,7444404
116,7509138
117,7573872
118,7638606
119,7703340
120,7768074
121,7832808
122,7897542
123,7962276
124,8027010
125,8091744
126,8156478
127,8221212
128,8285946
129,8350680
130,8415414
131,8480148
132,8544882
133,8609616
134,8674350
135,8739084
136,8803818
137,8868552
138,8933286
139,8998020
140,9062754
141,9127488
142,9192222
143,9256956
144,9321690
145,9386424
146,9451158
147,9515892
148,9580626
149,9645360
150,9710094
151,9774828
152,9839562
153,9904296
154,9969030
155,10033764
156,10098498
157,10163232
158,10227966
159,10292700
160,10357434
161,10422168
162,10486902
163,10551636
164,10616370
165,10681104
166,10745838
167,10810572
168,10875306
169,10940040
170,11004774
171,11069508
172,11134242
173,11198976
174,11263710
175,11328444
176,11393178
177,11457912
178,11522646
179,11587380
180,11652114
181,11716848
182,11781582
183,11846316
184,11911050
185,11975784
186,12040518
187,12105252
188,12169986
189,12234720
190,12299454
191,12364188
192,12428922
193,12493656
194,12558390
195,12623124
196,12687858
197,12752592
198,12817326
199,12882060
200,12946794
201,13011528
202,13076262
203,13140996
204,13205730
205,13270464
206,13335198
207,13399932
208,13464666
209,13529400
210,13594134
211,13658868
212,13723602
213,13788336
214,13853070
215,13917804
216,13982538
217,14047272
218,14112006
219,14176740
220,14241474
221,14306208
222,14370942
223,14435676
224,14500410
225,14565144
226,14629878
227,14694612
228,14759346
229,14824080
230,14888814
231,14953548
232,15018282
233,15083016
234,15147750
235,15212484
236,15277218
237,15341952
238,15406686
239,15471420
240,15536154
241,15600888
242,15665622
243,15730356
244,15795090
245,15859824
246,15924558
247,15989292
248,16054026
249,16118760
250,16183494
251,16248228
252,16312962
253,16377696
254,16442430
255,16507164
256,16571898
257,16636632
258,16701366
259,16766100
260,16830834
261,16895568
262,16960302
263,17025036
264,17089770
265,17154504
266,17219238
267,17283972
268,17348706
269,17413440
270,17478174
271,17542908
272,17607642
273,17672376
274,17737110
275,17801844
276,17866578
277,17931312
278,17996046
279,18060780
280,18125514
281,18190248
282,18254982
283,18319716
284,18384450
285,18449184
286,18513918
287,18578652
288,18643386
289,18708120
290,18772854
291,18837588
292,18902322
293,18967056
294,19031790
295,19096524
296,19161258
297,19225992
298,19290726
299,19355460
300,19420194
301,19484928
302,19549662
303,19614396
304,19679130
305,19743864
306,19808598
307,19873332
308,19938066
309,20002800
310,20067534
311,20132268
312,20197002
313,20261736
314,20326470
315,20391204
316,20455938
317,20520672
318,20585406
319,20650140
320,20714874
321,20779608
322,20844342
323,20909076
324,20973810
325,21038544
326,21103278
327,21168012
328,21232746
329,21297480
330,21362214
331,21426948
332,21491682
333,21556416
334,21621150
335,21685884
336,21750618
337,21815352
338,21880086
339,21944820
340,22009554
341,22074288
342,22139022
343,22203756
344,22268490
345,22333224
346,22397958
347,22462692
348,22527426
349,22592160
350,22656894
351,22721628
352,22786362
353,22851096
354,22915830
355,22980564
356,23045298
357,23110032
358,23174766
359,23239500
360,23304234
361,23368968
362,23433702
363,23498436
364,23563170
365,23627904
366,23692638
367,23757372
368,23822106
369,23886840
370,23951574
371,24016308
372,24081042
373,24145776
374,24210510
375,24275244
376,24339978
377,24404712
378,24469446
379,24534180
380,24598914
381,24663648
382,24728382
383,24793116
384,24857850
385,24922584
386,24987318
387,25052052
388,25116786
389,25181520
390,25246254
391,25310988
392,25375722
393,25440456
394,25505190
395,25569924
396,25634658
397,25699392
398,25764126
399,25828860
400,25893594
401,25958328
402,26023062
403,26087796
404,26152530
405,26217264
406,26281998
407,26346732
408,26411466
409,26476200
410,26540934
411,26605668
412,26670402
413,26735136
414,26799870
415,26864604
416,26929338
417,26994072
418,27058806
419,27123540
420,27188274
421,27253008
422,27317742
423,27382476
424,27447210
425,27511944
426,27576678
427,27641412
428,27706146
429,27770880
430,27835614
431,27900348
432,27965082
433,28029816
434,28094550
435,28159284
436,28224018
437,28288752
438,28353486
439,28418220
440,28482954
441,28547688
442,28612422
443,28677156
444,28741890
445,28806624
446,28871358
447,28936092
448,29000826
449,29065560
450,29130294
451,29195028
452,29259762
453,29324496
454,29389230
455,29453964
456,29518698
457,29583432
458,29648166
459,29712900
460,29777634
461,29842368
462,29907102
463,29971836
464,30036570
465,30101304
466,30166038
467,30230772
468,30295506
469,30360240
470,30424974
471,30489708
472,30554442
473,30619176
474,30683910
475,30748644
476,30813378
477,30878112
478,30942846
479,31007580
480,31072314
481,31137048
482,31201782
483,31266516
484,31331250
485,31395984
486,31460718
487,31525452
488,31590186
489,31654920
490,31719654
491,31784388
492,31849122
493,31913856
494,31978590
495,32043324
496,32108058
497,32172792
498,32237526
499,32302260
500,32366994
501,32431728
502,32496462
503,32561196
504,32625930
505,32690664
506,32755398
507,32820132
508,32884866
509,32949600
510,33014334
511,33079068
512,33143802
513,33208536
514,33273270
515,33338004
516,33402738
517,33467472
518,33532206
519,33596940
520,33661674
521,33726408
522,33791142
523,33855876
524,33920610
525,33985344
526,34050078
