KeywordCount,Storage(Bits)
1,64719
2,129441
3,194163
4,258885
5,323607
6,388329
7,453051
8,517773
9,582495
10,647217
11,711939
12,776661
13,841383
14,906105
15,970827
16,1035549
17,1100271
18,1164993
19,1229715
20,1294437
21,1359159
22,1423881
23,1488603
24,1553325
25,1618047
26,1682769
27,1747491
28,1812213
29,1876935
30,1941657
31,2006379
32,2071101
33,2135823
34,2200545
35,2265267
36,2329989
37,2394711
38,2459433
39,2524155
40,2588877
41,2653599
42,2718321
43,2783043
44,2847765
45,2912487
46,2977209
47,3041931
48,3106653
49,3171375
50,3236097
51,3300819
52,3365541
53,3430263
54,3494985
55,3559707
56,3624429
57,3689151
58,3753873
59,3818595
60,3883317
61,3948039
62,4012761
63,4077483
64,4142205
65,4206927
66,4271649
67,4336371
68,4401093
69,4465815
70,4530537
71,4595259
72,4659981
73,4724703
74,4789425
75,4854147
76,4918869
77,4983591
78,5048313
79,5113035
80,5177757
81,5242479
82,5307201
83,5371923
84,5436645
85,5501367
86,5566089
87,5630811
88,5695533
89,5760255
90,5824977
91,5889699
92,5954421
93,6019143
94,6083865
95,6148587
96,6213309
97,6278031
98,6342753
99,6407475
100,6472197
101,6536919
102,6601641
103,6666363
104,6731085
105,6795807
106,6860529
107,6925251
108,6989973
109,7054695
110,7119417
111,7184139
112,7248861
113,7313583
114,7378305
115,7443027
116,7507749
117,7572471
118,7637193
119,7701915
120,7766637
121,7831359
122,7896081
123,7960803
124,8025525
125,8090247
126,8154969
127,8219691
128,8284413
129,8349135
130,8413857
131,8478579
132,8543301
133,8608023
134,8672745
135,8737467
136,8802189
137,8866911
138,8931633
139,8996355
140,9061077
141,9125799
142,9190521
143,9255243
144,9319965
145,9384687
146,9449409
147,9514131
148,9578853
149,9643575
150,9708297
151,9773019
152,9837741
153,9902463
154,9967185
155,10031907
156,10096629
157,10161351
158,10226073
159,10290795
160,10355517
161,10420239
162,10484961
163,10549683
164,10614405
165,10679127
166,10743849
167,10808571
168,10873293
169,10938015
170,11002737
171,11067459
172,11132181
173,11196903
174,11261625
175,11326347
176,11391069
177,11455791
178,11520513
179,11585235
180,11649957
181,11714679
182,11779401
183,11844123
184,11908845
185,11973567
186,12038289
187,12103011
188,12167733
189,12232455
190,12297177
191,12361899
192,12426621
193,12491343
194,12556065
195,12620787
196,12685509
197,12750231
198,12814953
199,12879675
200,12944397
201,13009119
202,13073841
203,13138563
204,13203285
205,13268007
206,13332729
207,13397451
208,13462173
209,13526895
210,13591617
211,13656339
212,13721061
213,13785783
214,13850505
215,13915227
216,13979949
217,14044671
218,14109393
219,14174115
220,14238837
221,14303559
222,14368281
223,14433003
224,14497725
225,14562447
226,14627169
227,14691891
228,14756613
229,14821335
230,14886057
231,14950779
232,15015501
233,15080223
234,15144945
235,15209667
236,15274389
237,15339111
238,15403833
239,15468555
240,15533277
241,15597999
242,15662721
243,15727443
244,15792165
245,15856887
246,15921609
247,15986331
248,16051053
249,16115775
250,16180497
251,16245219
252,16309941
253,16374663
254,16439385
255,16504107
256,16568829
257,16633551
258,16698273
259,16762995
260,16827717
261,16892439
262,16957161
263,17021883
264,17086605
265,17151327
266,17216049
267,17280771
268,17345493
269,17410215
270,17474937
271,17539659
272,17604381
273,17669103
274,17733825
275,17798547
276,17863269
277,17927991
278,17992713
279,18057435
280,18122157
281,18186879
282,18251601
283,18316323
284,18381045
285,18445767
286,18510489
287,18575211
288,18639933
