KeywordCount,Storage(Bits)
1,776
2,2328
3,3880
4,5432
5,6984
6,8536
7,10088
8,11640
9,13192
10,14744
11,16296
12,17848
13,19400
14,20952
15,22504
16,24056
17,25608
18,27160
19,28712
20,30264
21,31816
22,33368
23,34920
24,36472
25,38800
26,41128
27,43456
28,45784
29,48112
30,50440
31,52768
32,55096
33,57424
34,59752
35,62080
36,64408
37,66736
38,69064
39,71392
40,73720
41,76048
42,78376
43,80704
44,83032
45,85360
46,87688
47,90016
48,92344
49,94672
50,97000
51,99328
52,101656
53,103984
54,106312
55,108640
56,110968
57,113296
58,115624
59,117952
60,120280
61,122608
62,124936
63,127264
64,129592
65,131920
66,134248
67,136576
68,138904
69,141232
70,143560
71,145888
72,148216
73,150544
74,152872
75,155200
76,157528
77,159856
78,162184
79,164512
80,166840
81,169168
82,171496
83,173824
84,176152
85,178480
86,180808
87,183136
88,185464
89,187792
90,190120
91,192448
92,194776
93,197104
94,199432
95,201760
96,204088
97,206416
98,208744
99,211072
100,213400
101,215728
102,218056
103,220384
104,222712
105,225040
106,227368
107,229696
108,232024
109,234352
110,236680
111,239008
112,241336
113,243664
114,245992
115,248320
116,250648
117,252976
118,255304
119,257632
120,259960
121,262288
122,264616
123,266944
124,269272
125,271600
126,273928
127,276256
128,278584
129,280912
130,283240
131,285568
132,287896
133,290224
134,292552
135,294880
136,297208
137,299536
138,301864
139,304192
140,306520
141,308848
142,311176
143,313504
144,315832
145,318160
146,320488
147,322816
148,325144
149,327472
150,329800
151,332128
152,334456
153,336784
154,339112
155,341440
156,343768
157,346096
158,348424
159,350752
160,353080
161,355408
162,357736
163,360064
164,362392
165,364720
166,367048
167,369376
168,371704
169,374032
170,376360
171,378688
172,381016
173,383344
174,385672
175,388000
176,390328
177,392656
178,394984
179,397312
180,399640
181,401968
182,404296
183,406624
184,408952
185,411280
186,413608
187,415936
188,418264
189,420592
190,422920
191,425248
192,427576
193,429904
194,432232
195,434560
196,436888
197,439216
198,441544
199,443872
200,446200
201,448528
202,450856
203,453184
204,455512
205,457840
206,460168
207,462496
208,464824
209,467152
210,469480
211,471808
212,474136
213,476464
214,478792
215,481120
216,483448
217,485776
218,488104
219,490432
220,492760
221,495088
222,497416
223,499744
224,502072
225,504400
226,506728
227,509056
228,511384
229,513712
230,516040
231,518368
232,520696
233,523024
234,525352
235,527680
236,530008
237,532336
238,534664
239,536992
240,539320
241,541648
242,543976
243,546304
244,548632
245,550960
246,553288
247,555616
248,557944
249,560272
250,562600
251,564928
252,567256
253,569584
254,571912
255,574240
256,576568
257,578896
258,581224
259,583552
260,585880
261,588208
262,590536
263,592864
264,595192
265,597520
266,599848
267,602176
268,604504
269,606832
270,609160
271,611488
272,613816
273,616144
274,618472
275,620800
276,623128
277,625456
278,627784
279,630112
280,632440
281,634768
282,637096
283,639424
284,641752
285,644080
286,646408
287,648736
288,651064
289,653392
290,655720
291,658048
292,660376
293,662704
294,665032
295,667360
296,669688
297,672016
298,674344
299,676672
300,679000
301,681328
302,683656
303,685984
304,688312
305,690640
306,692968
307,695296
308,698400
309,701504
310,704608
311,707712
312,710816
313,713920
314,717024
315,720128
316,723232
317,726336
318,729440
319,732544
320,735648
321,738752
322,741856
323,744960
324,748064
325,751168
326,754272
327,757376
328,760480
329,763584
330,766688
331,769792
332,772896
333,776000
334,779104
335,782208
336,785312
337,788416
338,791520
339,794624
340,797728
341,800832
342,803936
343,807040
344,810144
345,813248
346,816352
347,819456
348,822560
349,825664
350,828768
351,831872
352,834976
353,838080
354,841184
355,844288
356,847392
357,850496
358,853600
359,856704
360,859808
361,862912
362,866016
363,869120
364,872224
365,875328
366,878432
367,881536
368,884640
369,887744
370,890848
371,893952
372,897056
373,900160
374,903264
375,906368
376,909472
377,912576
378,915680
379,918784
380,921888
381,924992
382,928096
383,931200
384,934304
385,937408
386,940512
387,943616
388,946720
389,949824
390,952928
391,956032
392,959136
393,962240
394,965344
395,968448
396,971552
397,974656
398,977760
399,980864
400,983968
401,987072
402,990176
403,993280
404,996384
405,999488
406,1002592
407,1005696
408,1008800
409,1011904
410,1015008
411,1018112
412,1021216
413,1024320
414,1027424
415,1030528
416,1033632
417,1036736
418,1039840
419,1042944
420,1046048
421,1049152
422,1052256
423,1055360
424,1058464
425,1061568
426,1064672
427,1067776
428,1070880
429,1073984
430,1077088
431,1080192
432,1083296
433,1086400
434,1089504
435,1092608
436,1095712
437,1098816
438,1101920
439,1105024
440,1108128
441,1111232
442,1114336
443,1117440
444,1120544
445,1123648
446,1126752
447,1129856
448,1132960
449,1136064
450,1139168
451,1142272
452,1145376
453,1148480
454,1151584
455,1154688
456,1157792
457,1160896
458,1164000
459,1167104
460,1170208
461,1173312
462,1176416
463,1179520
464,1182624
465,1185728
466,1188832
467,1191936
468,1195040
469,1198144
470,1201248
471,1204352
472,1207456
473,1210560
474,1213664
475,1216768
476,1219872
477,1222976
478,1226080
479,1229184
480,1232288
481,1235392
482,1238496
483,1241600
484,1244704
485,1247808
486,1250912
487,1254016
488,1257120
489,1260224
490,1263328
491,1266432
492,1269536
493,1272640
494,1275744
495,1278848
496,1281952
497,1285056
498,1288160
499,1291264
500,1294368
501,1297472
502,1300576
503,1303680
504,1306784
505,1309888
506,1312992
507,1316096
508,1319200
509,1322304
510,1325408
511,1328512
512,1331616
513,1334720
514,1337824
515,1340928
516,1344032
517,1347136
518,1350240
519,1353344
520,1356448
521,1359552
522,1362656
523,1365760
524,1368864
525,1371968
526,1375072
527,1378176
528,1381280
529,1384384
530,1387488
531,1390592
532,1393696
533,1396800
534,1399904
535,1403008
536,1406888
537,1410768
538,1414648
539,1418528
540,1422408
541,1426288
542,1430168
543,1434048
544,1437928
545,1441808
546,1445688
547,1449568
548,1453448
549,1457328
550,1461208
551,1465088
552,1468968
553,1472848
554,1476728
555,1480608
556,1484488
557,1488368
558,1492248
559,1496128
560,1500008
561,1503888
562,1507768
563,1511648
564,1515528
565,1519408
566,1523288
567,1527168
568,1531048
569,1534928
570,1538808
571,1542688
572,1546568
573,1550448
574,1554328
575,1558208
576,1562088
577,1565968
578,1569848
579,1573728
580,1577608
581,1581488
582,1585368
583,1589248
584,1593128
