KeywordCount,Storage(Bits)
1,672
2,2016
3,3360
4,4704
5,6048
6,7392
7,8736
8,10080
9,11424
10,12768
11,14112
12,15456
13,16800
14,18144
15,19488
16,20832
17,22176
18,23520
19,24864
20,26208
21,27552
22,28896
23,30240
24,31584
25,33600
26,35616
27,37632
28,39648
29,41664
30,43680
31,45696
32,47712
33,49728
34,51744
35,53760
36,55776
37,57792
38,59808
39,61824
40,63840
41,65856
42,67872
43,69888
44,71904
45,73920
46,75936
47,77952
48,79968
49,81984
50,84000
51,86016
52,88032
53,90048
54,92064
55,94080
56,96096
57,98112
58,100128
59,102144
60,104160
61,106176
62,108192
63,110208
64,112224
65,114240
66,116256
67,118272
68,120288
69,122304
70,124320
71,126336
72,128352
73,130368
74,132384
75,134400
76,136416
77,138432
78,140448
79,142464
80,144480
81,146496
82,148512
83,150528
84,152544
85,154560
86,156576
87,158592
88,160608
89,162624
90,164640
91,166656
92,168672
93,170688
94,172704
95,174720
96,176736
97,178752
98,180768
99,182784
100,184800
101,186816
102,188832
103,190848
104,192864
105,194880
106,196896
107,198912
108,200928
109,202944
110,204960
111,206976
112,208992
113,211008
114,213024
115,215040
116,217056
117,219072
118,221088
119,223104
120,225120
121,227136
122,229152
123,231168
124,233184
125,235200
126,237216
127,239232
128,241248
129,243264
130,245280
131,247296
132,249312
133,251328
134,253344
135,255360
136,257376
137,259392
138,261408
139,263424
140,265440
141,267456
142,269472
143,271488
144,273504
145,275520
146,277536
147,279552
148,281568
149,283584
150,285600
151,287616
152,289632
153,291648
154,293664
155,295680
156,297696
157,299712
158,301728
159,303744
160,305760
161,307776
162,309792
163,311808
164,313824
165,315840
166,317856
167,319872
168,321888
169,323904
170,325920
171,327936
172,329952
173,331968
174,333984
175,336000
176,338016
177,340032
178,342048
179,344064
180,346080
181,348096
182,350112
183,352128
184,354144
185,356160
186,358176
187,360192
188,362208
189,364224
190,366240
191,368256
192,370272
193,372288
194,374304
195,376320
196,378336
197,380352
198,382368
199,384384
200,386400
201,388416
202,390432
203,392448
204,394464
205,396480
206,398496
207,400512
208,402528
209,404544
210,406560
211,408576
212,410592
213,412608
214,414624
215,416640
216,418656
217,420672
218,422688
219,424704
220,426720
221,428736
222,430752
223,432768
224,434784
225,436800
226,438816
227,440832
228,442848
229,444864
230,446880
231,448896
232,450912
233,452928
234,454944
235,456960
236,458976
237,460992
238,463008
239,465024
240,467040
241,469056
242,471072
243,473088
244,475104
245,477120
246,479136
247,481152
248,483168
249,485184
250,487200
251,489216
252,491232
253,493248
254,495264
255,497280
256,499296
257,501312
258,503328
259,505344
260,507360
261,509376
262,511392
263,513408
264,515424
265,517440
266,519456
267,521472
268,523488
269,525504
270,527520
271,529536
272,531552
273,533568
274,535584
275,537600
276,539616
277,541632
278,543648
279,545664
280,547680
281,549696
282,551712
283,553728
284,555744
285,557760
286,559776
287,561792
288,563808
289,565824
290,567840
291,569856
292,571872
293,573888
294,575904
295,577920
296,579936
297,581952
298,583968
299,585984
300,588000
301,590016
302,592032
303,594048
304,596064
305,598080
306,600096
307,602112
308,604800
309,607488
310,610176
311,612864
312,615552
313,618240
314,620928
315,623616
316,626304
317,628992
318,631680
319,634368
320,637056
321,639744
322,642432
323,645120
324,647808
325,650496
326,653184
327,655872
328,658560
329,661248
330,663936
331,666624
332,669312
333,672000
334,674688
335,677376
336,680064
337,682752
338,685440
339,688128
340,690816
341,693504
342,696192
343,698880
344,701568
345,704256
346,706944
347,709632
348,712320
349,715008
350,717696
351,720384
352,723072
353,725760
354,728448
355,731136
356,733824
357,736512
358,739200
359,741888
360,744576
361,747264
362,749952
363,752640
364,755328
365,758016
366,760704
367,763392
368,766080
369,768768
370,771456
371,774144
372,776832
373,779520
374,782208
375,784896
376,787584
377,790272
378,792960
379,795648
380,798336
381,801024
382,803712
383,806400
384,809088
385,811776
386,814464
387,817152
388,819840
389,822528
390,825216
391,827904
392,830592
393,833280
394,835968
395,838656
396,841344
397,844032
398,846720
399,849408
400,852096
401,854784
402,857472
403,860160
404,862848
405,865536
406,868224
407,870912
408,873600
409,876288
410,878976
411,881664
412,884352
413,887040
414,889728
415,892416
416,895104
417,897792
418,900480
419,903168
420,905856
421,908544
422,911232
423,913920
424,916608
425,919296
426,921984
427,924672
428,927360
429,930048
430,932736
431,935424
432,938112
433,940800
434,943488
435,946176
436,948864
437,951552
438,954240
439,956928
440,959616
441,962304
442,964992
443,967680
444,970368
445,973056
446,975744
447,978432
448,981120
449,983808
450,986496
451,989184
452,991872
453,994560
454,997248
455,999936
456,1002624
457,1005312
458,1008000
459,1010688
460,1013376
461,1016064
462,1018752
463,1021440
464,1024128
465,1026816
466,1029504
467,1032192
468,1034880
469,1037568
470,1040256
471,1042944
472,1045632
473,1048320
474,1051008
475,1053696
476,1056384
477,1059072
478,1061760
479,1064448
480,1067136
