KeywordCount,Storage(Bits)
1,512
2,1024
3,1536
4,2048
5,2560
6,3072
7,3584
8,4096
9,4608
10,5120
11,5632
12,6144
13,6656
14,7168
15,7680
16,8192
17,8704
18,9216
19,9728
20,10240
21,10752
22,11264
23,11776
24,12288
25,12800
26,13312
27,13824
28,14336
29,14848
30,15360
31,15872
32,16384
33,16896
34,17408
35,17920
36,18432
37,18944
38,19456
39,19968
40,20480
41,20992
42,21504
43,22016
44,22528
45,23040
46,23552
47,24064
48,24576
49,25088
50,25600
51,26112
52,26624
53,27136
54,27648
55,28160
56,28672
57,29184
58,29696
59,30208
60,30720
61,31232
62,31744
63,32256
64,32768
65,33280
66,33792
67,34304
68,34816
69,35328
70,35840
71,36352
72,36864
73,37376
74,37888
75,38400
76,38912
77,39424
78,39936
79,40448
80,40960
81,41472
82,41984
83,42496
84,43008
85,43520
86,44032
87,44544
88,45056
89,45568
90,46080
91,46592
92,47104
93,47616
94,48128
95,48640
96,49152
97,49664
98,50176
99,50688
100,51200
101,51712
102,52224
103,52736
104,53248
105,53760
106,54272
107,54784
108,55296
109,55808
110,56320
111,56832
112,57344
113,57856
114,58368
115,58880
116,59392
117,59904
118,60416
119,60928
120,61440
121,61952
122,62464
123,62976
124,63488
125,64000
126,64512
127,65024
128,65536
129,66048
130,66560
131,67072
132,67584
133,68096
134,68608
135,69120
136,69632
137,70144
138,70656
139,71168
140,71680
141,72192
142,72704
143,73216
144,73728
145,74240
146,74752
147,75264
148,75776
149,76288
150,76800
151,77312
152,77824
153,78336
154,78848
155,79360
156,79872
157,80384
158,80896
159,81408
160,81920
161,82432
162,82944
163,83456
164,83968
165,84480
166,84992
167,85504
168,86016
169,86528
170,87040
171,87552
172,88064
173,88576
174,89088
175,89600
176,90112
177,90624
178,91136
179,91648
180,92160
181,92672
182,93184
183,93696
184,94208
185,94720
186,95232
187,95744
188,96256
189,96768
190,97280
191,97792
192,98304
193,98816
194,99328
195,99840
196,100352
197,100864
198,101376
199,101888
200,102400
201,102912
202,103424
203,103936
204,104448
205,104960
206,105472
207,105984
208,106496
209,107008
210,107520
211,108032
212,108544
213,109056
214,109568
215,110080
216,110592
217,111104
218,111616
219,112128
220,112640
221,113152
222,113664
223,114176
224,114688
225,115200
226,115712
227,116224
228,116736
229,117248
230,117760
231,118272
232,118784
233,119296
234,119808
235,120320
236,120832
237,121344
238,121856
239,122368
240,122880
241,123392
242,123904
243,124416
244,124928
245,125440
246,125952
247,126464
248,126976
249,127488
250,128000
251,128512
252,129024
253,129536
254,130048
255,130560
256,131072
257,131584
258,132096
259,132608
260,133120
261,133632
262,134144
263,134656
264,135168
265,135680
266,136192
267,136704
268,137216
269,137728
270,138240
271,138752
272,139264
273,139776
274,140288
275,140800
276,141312
277,141824
278,142336
279,142848
280,143360
281,143872
282,144384
283,144896
284,145408
285,145920
286,146432
287,146944
288,147456
289,147968
290,148480
291,148992
292,149504
293,150016
294,150528
295,151040
296,151552
297,152064
298,152576
299,153088
300,153600
301,154112
302,154624
303,155136
304,155648
305,156160
306,156672
307,157184
308,157696
309,158208
310,158720
311,159232
312,159744
313,160256
314,160768
315,161280
316,161792
317,162304
318,162816
319,163328
320,163840
321,164352
322,164864
323,165376
324,165888
325,166400
326,166912
327,167424
328,167936
329,168448
330,168960
331,169472
332,169984
333,170496
334,171008
335,171520
336,172032
337,172544
338,173056
339,173568
340,174080
341,174592
342,175104
343,175616
344,176128
345,176640
346,177152
347,177664
348,178176
349,178688
350,179200
351,179712
352,180224
353,180736
354,181248
355,181760
356,182272
357,182784
358,183296
359,183808
360,184320
361,184832
362,185344
363,185856
364,186368
365,186880
366,187392
367,187904
368,188416
369,188928
370,189440
371,189952
372,190464
373,190976
374,191488
375,192000
376,192512
377,193024
378,193536
379,194048
380,194560
381,195072
382,195584
383,196096
384,196608
385,197120
386,197632
387,198144
388,198656
389,199168
390,199680
391,200192
392,200704
393,201216
394,201728
395,202240
396,202752
397,203264
398,203776
399,204288
400,204800
401,205312
402,205824
403,206336
404,206848
405,207360
406,207872
407,208384
408,208896
409,209408
410,209920
411,210432
412,210944
413,211456
414,211968
415,212480
416,212992
417,213504
418,214016
419,214528
420,215040
421,215552
422,216064
423,216576
424,217088
425,217600
426,218112
427,218624
428,219136
429,219648
430,220160
431,220672
432,221184
433,221696
