KeywordCount,Storage(Bits)
1,5120
2,24064
3,43008
4,61952
5,80896
6,100352
7,119808
8,139264
9,158720
10,178176
11,198144
12,218112
13,238080
14,258048
15,278016
16,297984
17,317952
18,337920
19,357888
20,377856
21,397824
22,417792
23,437760
24,457728
25,477696
26,497664
27,517632
28,537600
29,557568
30,578048
31,598528
32,619008
33,639488
34,659968
35,680448
36,700928
37,721408
38,741888
39,762368
40,782848
41,803328
42,823808
43,844288
44,864768
45,885248
46,905728
47,926208
48,946688
49,967168
50,987648
51,1008128
52,1028608
53,1049600
54,1070592
55,1091584
56,1112576
57,1133568
58,1154560
59,1175552
60,1196544
61,1217536
62,1238528
63,1259520
64,1280512
65,1301504
66,1322496
67,1343488
68,1364480
69,1385472
70,1406464
71,1427456
72,1448448
73,1469440
74,1490432
75,1511424
76,1532416
77,1553408
78,1574400
79,1595392
80,1616384
81,1637376
82,1658368
83,1679360
84,1700352
85,1721344
86,1742336
87,1763840
88,1785344
89,1806848
90,1828352
91,1849856
92,1871360
93,1892864
94,1914368
95,1935872
96,1957376
97,1978880
98,2000384
99,2021888
100,2043392
101,2064896
102,2086400
103,2107904
104,2129408
105,2150912
106,2172416
107,2193920
108,2215424
109,2236928
110,2258432
111,2279936
112,2301440
113,2322944
114,2344448
115,2365952
116,2387456
117,2408960
118,2430464
119,2451968
120,2473472
121,2494976
122,2516480
123,2537984
124,2559488
125,2580992
126,2602496
127,2624000
128,2646016
129,2668032
130,2690048
131,2712064
132,2734080
133,2756096
134,2778112
135,2800128
136,2822144
137,2844160
138,2866176
139,2888192
140,2910208
141,2932224
142,2954240
143,2976256
144,2998272
145,3020288
146,3042304
147,3064320
148,3086336
149,3108352
150,3130368
151,3152384
152,3174400
153,3196416
154,3218432
155,3240448
156,3262464
157,3284480
158,3306496
159,3328512
160,3350528
161,3372544
162,3394560
163,3416576
164,3438592
165,3460608
166,3482624
167,3504640
168,3526656
169,3548672
170,3570688
171,3592704
172,3614720
173,3636736
174,3658752
175,3680768
176,3702784
177,3724800
178,3746816
179,3768832
180,3790848
181,3812864
182,3834880
183,3856896
184,3878912
185,3900928
186,3922944
187,3945472
188,3968000
189,3990528
190,4013056
191,4035584
192,4058112
193,4080640
194,4103168
195,4125696
196,4148224
197,4170752
198,4193280
199,4215808
200,4238336
201,4260864
202,4283392
203,4305920
204,4328448
205,4350976
206,4373504
207,4396032
208,4418560
209,4441088
210,4463616
211,4486144
212,4508672
213,4531200
214,4553728
215,4576256
216,4598784
217,4621312
218,4643840
219,4666368
220,4688896
221,4711424
222,4733952
223,4756480
224,4779008
225,4801536
226,4824064
227,4846592
228,4869120
229,4891648
230,4914176
231,4936704
232,4959232
233,4981760
234,5004288
235,5026816
236,5049344
237,5071872
238,5094400
239,5116928
240,5139456
241,5161984
242,5184512
243,5207040
244,5229568
245,5252096
246,5274624
247,5297152
248,5319680
249,5342208
250,5364736
251,5387264
252,5409792
253,5432320
254,5454848
255,5477376
256,5499904
257,5522432
258,5544960
259,5567488
260,5590016
261,5613056
262,5636096
263,5659136
264,5682176
265,5705216
266,5728256
267,5751296
268,5774336
269,5797376
270,5820416
271,5843456
272,5866496
273,5889536
274,5912576
275,5935616
276,5958656
277,5981696
278,6004736
279,6027776
280,6050816
281,6073856
282,6096896
283,6119936
284,6142976
285,6166016
286,6189056
287,6212096
288,6235136
289,6258176
290,6281216
291,6304256
292,6327296
293,6350336
294,6373376
295,6396416
296,6419456
297,6442496
298,6465536
299,6488576
300,6511616
301,6534656
302,6557696
303,6580736
304,6603776
305,6626816
306,6649856
307,6672896
308,6695936
309,6718976
310,6742016
311,6765056
312,6788096
313,6811136
314,6834176
315,6857216
316,6880256
317,6903296
318,6926336
