KeywordCount,Storage(Bits)
1,512
2,1536
3,2560
4,3584
5,4608
6,5632
7,6656
8,7680
9,8704
10,9728
11,10752
12,11776
13,12800
14,13824
15,14848
16,15872
17,16896
18,17920
19,18944
20,19968
21,20992
22,22016
23,23040
24,24064
25,25600
26,27136
27,28672
28,30208
29,31744
30,33280
31,34816
32,36352
33,37888
34,39424
35,40960
36,42496
37,44032
38,45568
39,47104
40,48640
41,50176
42,51712
43,53248
44,54784
45,56320
46,57856
47,59392
48,60928
49,62464
50,64000
51,65536
52,67072
53,68608
54,70144
55,71680
56,73216
57,74752
58,76288
59,77824
60,79360
61,80896
62,82432
63,83968
64,85504
65,87040
66,88576
67,90112
68,91648
69,93184
70,94720
71,96256
72,97792
73,99328
74,100864
75,102400
76,103936
77,105472
78,107008
79,108544
80,110080
81,111616
82,113152
83,114688
84,116224
85,117760
86,119296
87,120832
88,122368
89,123904
90,125440
91,126976
92,128512
93,130048
94,131584
95,133120
96,134656
97,136192
98,137728
99,139264
100,140800
101,142336
102,143872
103,145408
104,146944
105,148480
106,150016
107,151552
108,153088
109,154624
110,156160
111,157696
112,159232
113,160768
114,162304
115,163840
116,165376
117,166912
118,168448
119,169984
120,171520
121,173056
122,174592
123,176128
124,177664
125,179200
126,180736
127,182272
128,183808
129,185344
130,186880
131,188416
132,189952
133,191488
134,193024
135,194560
136,196096
137,197632
138,199168
139,200704
140,202240
141,203776
142,205312
143,206848
144,208384
145,209920
146,211456
147,212992
148,214528
149,216064
150,217600
151,219136
152,220672
153,222208
154,223744
155,225280
156,226816
157,228352
158,229888
159,231424
160,232960
161,234496
162,236032
163,237568
164,239104
165,240640
166,242176
167,243712
168,245248
169,246784
170,248320
171,249856
172,251392
173,252928
174,254464
175,256000
176,257536
177,259072
178,260608
179,262144
180,263680
181,265216
182,266752
183,268288
184,269824
185,271360
186,272896
187,274432
188,275968
189,277504
190,279040
191,280576
192,282112
193,283648
194,285184
195,286720
196,288256
197,289792
198,291328
199,292864
200,294400
201,295936
202,297472
203,299008
204,300544
205,302080
206,303616
207,305152
208,306688
209,308224
210,309760
211,311296
212,312832
213,314368
214,315904
215,317440
216,318976
217,320512
218,322048
219,323584
220,325120
221,326656
222,328192
223,329728
224,331264
225,332800
226,334336
227,335872
228,337408
229,338944
230,340480
231,342016
232,343552
233,345088
234,346624
235,348160
236,349696
237,351232
238,352768
239,354304
240,355840
241,357376
242,358912
243,360448
244,361984
245,363520
246,365056
247,366592
248,368128
249,369664
250,371200
251,372736
252,374272
253,375808
254,377344
255,378880
256,380416
257,381952
258,383488
259,385024
260,386560
261,388096
262,389632
263,391168
264,392704
265,394240
266,395776
267,397312
268,398848
269,400384
270,401920
271,403456
272,404992
273,406528
274,408064
275,409600
276,411136
277,412672
278,414208
279,415744
280,417280
281,418816
282,420352
283,421888
284,423424
285,424960
286,426496
287,428032
288,429568
289,431104
290,432640
291,434176
292,435712
293,437248
294,438784
295,440320
296,441856
297,443392
298,444928
299,446464
300,448000
301,449536
302,451072
303,452608
304,454144
305,455680
306,457216
307,458752
308,460800
309,462848
310,464896
311,466944
312,468992
313,471040
314,473088
315,475136
316,477184
317,479232
318,481280
319,483328
320,485376
321,487424
322,489472
323,491520
324,493568
325,495616
326,497664
327,499712
328,501760
329,503808
330,505856
331,507904
332,509952
333,512000
334,514048
335,516096
336,518144
337,520192
338,522240
339,524288
340,526336
341,528384
342,530432
343,532480
344,534528
345,536576
346,538624
347,540672
348,542720
349,544768
350,546816
351,548864
352,550912
353,552960
354,555008
355,557056
356,559104
357,561152
358,563200
359,565248
360,567296
361,569344
362,571392
363,573440
364,575488
365,577536
366,579584
367,581632
368,583680
369,585728
370,587776
371,589824
372,591872
373,593920
374,595968
375,598016
376,600064
377,602112
378,604160
379,606208
380,608256
381,610304
382,612352
383,614400
384,616448
385,618496
386,620544
387,622592
388,624640
389,626688
390,628736
391,630784
392,632832
393,634880
394,636928
395,638976
396,641024
397,643072
398,645120
399,647168
400,649216
401,651264
402,653312
403,655360
404,657408
405,659456
406,661504
407,663552
408,665600
409,667648
410,669696
411,671744
412,673792
413,675840
414,677888
415,679936
416,681984
417,684032
418,686080
419,688128
420,690176
421,692224
422,694272
423,696320
424,698368
425,700416
426,702464
427,704512
428,706560
429,708608
430,710656
431,712704
432,714752
433,716800
434,718848
435,720896
436,722944
437,724992
438,727040
439,729088
440,731136
441,733184
442,735232
443,737280
444,739328
445,741376
446,743424
447,745472
448,747520
449,749568
450,751616
451,753664
452,755712
453,757760
454,759808
455,761856
456,763904
457,765952
458,768000
459,770048
460,772096
461,774144
462,776192
463,778240
464,780288
465,782336
466,784384
467,786432
468,788480
469,790528
470,792576
471,794624
472,796672
473,798720
474,800768
475,802816
476,804864
477,806912
478,808960
479,811008
480,813056
481,815104
482,817152
483,819200
484,821248
485,823296
486,825344
487,827392
488,829440
489,831488
490,833536
491,835584
492,837632
493,839680
494,841728
495,843776
496,845824
497,847872
498,849920
499,851968
500,854016
501,856064
502,858112
503,860160
504,862208
505,864256
506,866304
507,868352
508,870400
509,872448
510,874496
511,876544
512,878592
513,880640
514,882688
515,884736
516,886784
517,888832
518,890880
519,892928
520,894976
521,897024
522,899072
523,901120
524,903168
525,905216
526,907264
527,909312
528,911360
529,913408
530,915456
531,917504
532,919552
533,921600
534,923648
535,925696
536,928256
537,930816
538,933376
539,935936
540,938496
541,941056
542,943616
543,946176
544,948736
545,951296
546,953856
547,956416
548,958976
549,961536
550,964096
551,966656
552,969216
553,971776
554,974336
555,976896
556,979456
557,982016
558,984576
559,987136
560,989696
561,992256
562,994816
563,997376
564,999936
565,1002496
566,1005056
567,1007616
568,1010176
569,1012736
570,1015296
571,1017856
572,1020416
573,1022976
574,1025536
575,1028096
576,1030656
577,1033216
578,1035776
579,1038336
580,1040896
581,1043456
582,1046016
583,1048576
584,1051136
585,1053696
586,1056256
587,1058816
588,1061376
589,1063936
590,1066496
591,1069056
592,1071616
593,1074176
594,1077248
595,1080320
596,1083392
597,1086464
598,1089536
599,1092608
600,1095680
601,1098752
602,1101824
603,1104896
604,1107968
605,1111040
606,1114112
607,1117184
608,1120256
609,1123328
610,1126400
611,1129472
612,1132544
613,1135616
614,1138688
615,1141760
616,1144832
617,1147904
618,1150976
619,1154048
620,1157120
621,1160192
622,1163264
623,1166336
624,1169408
625,1172480
626,1175552
627,1178624
628,1181696
629,1184768
630,1187840
631,1190912
632,1193984
633,1197056
634,1200128
635,1203200
636,1206272
637,1209344
638,1212416
639,1215488
640,1218560
641,1221632
642,1224704
643,1227776
644,1230848
645,1233920
646,1236992
647,1240064
648,1243136
649,1246208
650,1249280
651,1252352
652,1255424
653,1258496
654,1261568
655,1264640
656,1267712
657,1270784
658,1273856
659,1276928
660,1280000
661,1283072
662,1286144
663,1289216
664,1292288
665,1295360
666,1298944
667,1302528
668,1306112
669,1309696
670,1313280
671,1316864
672,1320448
673,1324032
674,1327616
675,1331200
676,1334784
677,1338368
678,1341952
679,1345536
680,1349120
681,1352704
682,1356288
683,1359872
684,1363456
685,1367040
686,1370624
687,1374208
688,1377792
689,1381376
690,1384960
691,1388544
692,1392128
693,1395712
694,1399296
695,1402880
696,1406464
697,1410048
698,1413632
699,1417216
700,1420800
701,1424384
702,1427968
703,1431552
704,1435136
705,1439232
706,1443328
707,1447424
708,1451520
709,1455616
710,1459712
711,1463808
712,1467904
713,1472000
714,1476096
715,1480192
716,1484288
717,1488384
718,1492480
719,1496576
720,1500672
721,1504768
722,1508864
723,1512960
724,1517056
725,1521152
726,1525248
727,1529344
728,1533440
729,1537536
730,1541632
731,1545728
732,1549824
733,1553920
734,1558016
735,1562112
736,1566208
737,1570304
738,1574400
739,1578496
740,1583104
741,1587712
742,1592320
743,1596928
744,1601536
745,1606144
746,1610752
747,1615360
748,1619968
749,1624576
750,1629184
751,1633792
752,1638400
753,1643008
754,1647616
755,1652224
756,1656832
757,1661440
758,1666048
759,1670656
760,1675264
761,1679872
762,1684480
763,1689088
764,1693696
765,1698304
766,1702912
767,1707520
768,1712128
769,1716736
770,1721344
771,1726464
772,1731584
773,1736704
774,1741824
775,1746944
776,1752064
777,1757184
778,1762304
779,1767424
780,1772544
781,1777664
782,1782784
783,1787904
784,1793024
785,1798144
786,1803264
787,1808384
788,1813504
789,1818624
790,1823744
791,1828864
792,1833984
793,1839104
794,1844224
795,1849344
796,1854464
797,1859584
798,1864704
799,1869824
800,1875456
801,1881088
802,1886720
803,1892352
804,1897984
805,1903616
806,1909248
807,1914880
808,1920512
809,1926144
810,1931776
811,1937408
812,1943040
813,1948672
814,1954304
815,1959936
816,1965568
817,1971200
818,1976832
819,1982464
820,1988096
821,1993728
822,1999360
823,2004992
824,2010624
825,2016256
826,2021888
827,2027520
828,2033152
829,2038784
830,2044928
831,2051072
832,2057216
833,2063360
834,2069504
835,2075648
836,2081792
837,2087936
838,2094080
839,2100224
840,2106368
841,2112512
842,2118656
843,2124800
844,2130944
845,2137088
846,2143232
847,2149376
848,2155520
849,2161664
850,2167808
851,2174464
852,2181120
853,2187776
854,2194432
855,2201088
856,2207744
857,2214400
858,2221056
859,2227712
860,2234368
861,2241024
862,2247680
863,2254336
864,2260992
865,2267648
866,2274304
867,2280960
868,2287616
869,2294272
870,2300928
871,2307584
872,2314240
873,2320896
874,2327552
875,2334208
876,2340864
877,2347520
878,2354176
879,2360832
880,2368000
881,2375168
882,2382336
883,2389504
884,2396672
885,2403840
886,2411008
887,2418176
888,2425344
889,2432512
890,2439680
891,2446848
892,2454016
893,2461184
894,2468352
895,2475520
896,2482688
897,2489856
898,2497024
899,2504192
900,2511360
901,2518528
902,2525696
903,2532864
904,2540032
905,2547712
906,2555392
907,2563072
908,2570752
909,2578432
910,2586112
911,2593792
912,2601472
913,2609152
914,2616832
915,2624512
916,2632192
917,2639872
918,2647552
919,2655232
920,2662912
921,2670592
922,2678272
923,2685952
924,2694144
925,2702336
926,2710528
927,2718720
928,2726912
929,2735104
930,2743296
931,2751488
932,2759680
933,2767872
934,2776064
935,2784256
936,2792448
937,2800640
938,2808832
939,2817536
940,2826240
941,2834944
942,2843648
943,2852352
944,2861056
945,2869760
946,2878464
947,2887168
948,2895872
949,2904576
950,2913280
951,2921984
952,2930688
953,2939392
954,2948096
955,2956800
956,2965504
957,2974720
958,2983936
959,2993152
960,3002368
961,3011584
962,3020800
963,3030016
964,3039232
965,3048448
966,3057664
967,3066880
968,3076096
969,3085312
970,3094528
971,3103744
972,3112960
973,3122176
974,3131392
975,3140608
976,3150336
977,3160064
978,3169792
979,3179520
980,3189248
981,3198976
982,3208704
983,3218432
984,3228160
985,3237888
986,3247616
987,3257344
988,3267072
989,3276800
990,3287040
991,3297280
992,3307520
993,3317760
994,3328000
995,3338240
996,3348480
997,3358720
