KeywordCount,Storage(Bits)
1,73
2,146
3,219
4,292
5,365
6,438
7,511
8,584
9,657
10,730
11,803
12,876
13,949
14,1022
15,1095
16,1168
17,1241
18,1314
19,1387
20,1460
21,1533
22,1606
23,1679
24,1752
25,1825
26,1898
27,1971
28,2044
29,2117
30,2190
31,2263
32,2336
33,2409
34,2482
35,2555
36,2628
37,2701
38,2774
39,2847
40,2920
41,2993
42,3066
43,3139
44,3212
45,3285
46,3358
47,3431
48,3504
49,3577
50,3650
51,3723
52,3796
53,3869
54,3942
55,4015
56,4088
57,4161
58,4234
59,4307
60,4380
61,4453
62,4526
63,4599
64,4672
65,4745
66,4818
67,4891
68,4964
69,5037
70,5110
71,5183
72,5256
73,5329
74,5402
75,5475
76,5548
77,5621
78,5694
79,5767
80,5840
81,5913
82,5986
83,6059
84,6132
85,6205
86,6278
87,6351
88,6424
89,6497
90,6570
91,6643
92,6716
93,6789
94,6862
95,6935
96,7008
97,7081
98,7154
99,7227
100,7300
101,7373
102,7446
103,7519
104,7592
105,7665
106,7738
107,7811
108,7884
109,7957
110,8030
111,8103
112,8176
113,8249
114,8322
115,8395
116,8468
117,8541
118,8614
119,8687
120,8760
121,8833
122,8906
123,8979
124,9052
125,9125
126,9198
127,9271
128,9344
129,9417
130,9490
131,9563
132,9636
133,9709
134,9782
135,9855
136,9928
137,10001
138,10074
139,10147
140,10220
141,10293
142,10366
143,10439
144,10512
145,10585
146,10658
147,10731
148,10804
149,10877
150,10950
151,11023
152,11096
153,11169
154,11242
155,11315
156,11388
157,11461
158,11534
159,11607
160,11680
161,11753
162,11826
163,11899
164,11972
165,12045
166,12118
167,12191
168,12264
169,12337
170,12410
171,12483
172,12556
173,12629
174,12702
175,12775
176,12848
177,12921
178,12994
179,13067
180,13140
181,13213
182,13286
183,13359
184,13432
185,13505
186,13578
187,13651
188,13724
189,13797
190,13870
191,13943
192,14016
193,14089
194,14162
195,14235
196,14308
197,14381
198,14454
199,14527
200,14600
201,14673
202,14746
203,14819
204,14892
205,14965
206,15038
207,15111
208,15184
209,15257
210,15330
211,15403
212,15476
213,15549
214,15622
215,15695
216,15768
217,15841
218,15914
219,15987
220,16060
221,16133
222,16206
223,16279
224,16352
225,16425
226,16498
227,16571
228,16644
229,16717
230,16790
231,16863
232,16936
233,17009
234,17082
235,17155
236,17228
237,17301
238,17374
239,17447
240,17520
241,17593
242,17666
243,17739
244,17812
245,17885
246,17958
247,18031
248,18104
249,18177
250,18250
251,18323
252,18396
253,18469
254,18542
255,18615
256,18688
257,18761
258,18834
259,18907
260,18980
261,19053
262,19126
263,19199
264,19272
265,19345
266,19418
267,19491
268,19564
269,19637
270,19710
271,19783
272,19856
273,19929
274,20002
275,20075
276,20148
277,20221
278,20294
279,20367
280,20440
281,20513
282,20586
283,20659
284,20732
285,20805
286,20878
287,20951
288,21024
289,21097
290,21170
291,21243
292,21316
293,21389
294,21462
295,21535
296,21608
297,21681
298,21754
299,21827
300,21900
301,21973
302,22046
303,22119
304,22192
305,22265
306,22338
307,22411
308,22484
309,22557
310,22630
311,22703
312,22776
313,22849
314,22922
315,22995
316,23068
317,23141
318,23214
319,23287
320,23360
321,23433
322,23506
323,23579
324,23652
325,23725
326,23798
327,23871
328,23944
329,24017
330,24090
331,24163
332,24236
333,24309
334,24382
335,24455
336,24528
337,24601
338,24674
339,24747
340,24820
341,24893
342,24966
343,25039
344,25112
345,25185
346,25258
347,25331
348,25404
349,25477
350,25550
351,25623
352,25696
353,25769
354,25842
355,25915
356,25988
357,26061
358,26134
359,26207
360,26280
361,26353
362,26426
363,26499
364,26572
365,26645
366,26718
367,26791
368,26864
369,26937
370,27010
371,27083
372,27156
373,27229
374,27302
375,27375
376,27448
377,27521
378,27594
379,27667
380,27740
381,27813
382,27886
383,27959
384,28032
385,28105
386,28178
387,28251
388,28324
389,28397
390,28470
391,28543
392,28616
393,28689
394,28762
395,28835
396,28908
397,28981
398,29054
399,29127
400,29200
401,29273
402,29346
403,29419
404,29492
405,29565
406,29638
407,29711
408,29784
409,29857
410,29930
411,30003
412,30076
413,30149
414,30222
415,30295
416,30368
417,30441
418,30514
419,30587
420,30660
421,30733
422,30806
423,30879
424,30952
425,31025
426,31098
427,31171
428,31244
429,31317
430,31390
431,31463
432,31536
433,31609
434,31682
435,31755
436,31828
437,31901
438,31974
439,32047
440,32120
441,32193
442,32266
443,32339
444,32412
445,32485
446,32558
447,32631
448,32704
449,32777
450,32850
451,32923
452,32996
453,33069
454,33142
455,33215
456,33288
457,33361
458,33434
459,33507
460,33580
461,33653
462,33726
463,33799
464,33872
465,33945
466,34018
467,34091
468,34164
469,34237
470,34310
471,34383
472,34456
473,34529
474,34602
475,34675
476,34748
477,34821
478,34894
479,34967
480,35040
481,35113
482,35186
483,35259
484,35332
485,35405
486,35478
487,35551
488,35624
489,35697
490,35770
491,35843
492,35916
493,35989
494,36062
495,36135
496,36208
497,36281
498,36354
499,36427
500,36500
501,36573
502,36646
503,36719
504,36792
505,36865
506,36938
507,37011
508,37084
509,37157
510,37230
511,37303
512,37376
513,37449
514,37522
515,37595
516,37668
517,37741
518,37814
519,37887
520,37960
521,38033
522,38106
523,38179
524,38252
525,38325
526,38398
527,38471
528,38544
529,38617
530,38690
531,38763
532,38836
533,38909
534,38982
535,39055
536,39128
537,39201
538,39274
539,39347
540,39420
541,39493
542,39566
543,39639
544,39712
545,39785
546,39858
547,39931
548,40004
549,40077
550,40150
551,40223
552,40296
553,40369
554,40442
555,40515
556,40588
557,40661
558,40734
559,40807
560,40880
561,40953
562,41026
563,41099
564,41172
565,41245
566,41318
567,41391
568,41464
569,41537
570,41610
571,41683
572,41756
573,41829
574,41902
575,41975
576,42048
577,42121
578,42194
579,42267
580,42340
581,42413
582,42486
583,42559
584,42632
585,42705
586,42778
587,42851
588,42924
589,42997
590,43070
591,43143
592,43216
593,43289
594,43362
595,43435
596,43508
597,43581
598,43654
599,43727
600,43800
601,43873
602,43946
603,44019
604,44092
605,44165
606,44238
607,44311
608,44384
609,44457
610,44530
611,44603
612,44676
613,44749
614,44822
615,44895
616,44968
617,45041
618,45114
619,45187
620,45260
621,45333
622,45406
623,45479
624,45552
625,45625
626,45698
627,45771
628,45844
629,45917
630,45990
631,46063
632,46136
633,46209
634,46282
635,46355
636,46428
637,46501
638,46574
639,46647
640,46720
641,46793
642,46866
643,46939
644,47012
645,47085
646,47158
647,47231
648,47304
649,47377
650,47450
651,47523
652,47596
653,47669
654,47742
655,47815
656,47888
657,47961
658,48034
659,48107
660,48180
661,48253
662,48326
663,48399
664,48472
665,48545
666,48618
667,48691
668,48764
669,48837
670,48910
671,48983
672,49056
673,49129
674,49202
675,49275
676,49348
677,49421
678,49494
679,49567
680,49640
681,49713
682,49786
683,49859
684,49932
685,50005
686,50078
687,50151
688,50224
689,50297
690,50370
691,50443
692,50516
693,50589
694,50662
695,50735
696,50808
697,50881
698,50954
699,51027
700,51100
701,51173
702,51246
703,51319
704,51392
705,51465
706,51538
707,51611
708,51684
709,51757
710,51830
711,51903
712,51976
713,52049
714,52122
715,52195
716,52268
717,52341
718,52414
719,52487
720,52560
721,52633
722,52706
723,52779
724,52852
725,52925
726,52998
727,53071
728,53144
729,53217
730,53290
731,53363
732,53436
733,53509
734,53582
735,53655
736,53728
737,53801
738,53874
739,53947
740,54020
741,54093
742,54166
743,54239
744,54312
745,54385
746,54458
747,54531
748,54604
749,54677
750,54750
751,54823
752,54896
753,54969
754,55042
755,55115
756,55188
757,55261
758,55334
759,55407
760,55480
761,55553
762,55626
763,55699
764,55772
765,55845
766,55918
767,55991
768,56064
769,56137
770,56210
771,56283
772,56356
773,56429
774,56502
775,56575
776,56648
777,56721
778,56794
779,56867
780,56940
781,57013
782,57086
783,57159
784,57232
785,57305
786,57378
787,57451
788,57524
789,57597
790,57670
791,57743
792,57816
793,57889
794,57962
795,58035
796,58108
797,58181
798,58254
799,58327
800,58400
801,58473
802,58546
803,58619
804,58692
805,58765
806,58838
807,58911
808,58984
809,59057
810,59130
811,59203
812,59276
813,59349
814,59422
815,59495
816,59568
817,59641
818,59714
819,59787
820,59860
821,59933
822,60006
823,60079
824,60152
825,60225
826,60298
827,60371
828,60444
829,60517
830,60590
831,60663
832,60736
833,60809
834,60882
835,60955
836,61028
837,61101
838,61174
839,61247
840,61320
841,61393
842,61466
843,61539
844,61612
845,61685
846,61758
847,61831
848,61904
849,61977
850,62050
851,62123
852,62196
853,62269
854,62342
855,62415
856,62488
857,62561
858,62634
859,62707
860,62780
861,62853
862,62926
863,62999
864,63072
