KeywordCount,Storage(Bits)
1,73
2,147
3,221
4,295
5,369
6,443
7,517
8,591
9,665
10,739
11,813
12,887
13,961
14,1035
15,1109
16,1183
17,1257
18,1331
19,1405
20,1479
21,1553
22,1627
23,1701
24,1775
25,1849
26,1923
27,1997
28,2071
29,2145
30,2219
31,2293
32,2367
33,2441
34,2515
35,2589
36,2663
37,2737
38,2811
39,2885
40,2959
41,3033
42,3107
43,3181
44,3255
45,3329
46,3403
47,3477
48,3551
49,3625
50,3699
51,3773
52,3847
53,3921
54,3995
55,4069
56,4143
57,4217
58,4291
59,4365
60,4439
61,4513
62,4587
63,4661
64,4735
65,4809
66,4883
67,4957
68,5031
69,5105
70,5179
71,5253
72,5327
73,5401
74,5475
75,5549
76,5623
77,5697
78,5771
79,5845
80,5919
81,5993
82,6067
83,6141
84,6215
85,6289
86,6363
87,6437
88,6511
89,6585
90,6659
91,6733
92,6807
93,6881
94,6955
95,7029
96,7103
97,7177
98,7251
99,7325
100,7399
101,7473
102,7547
103,7621
104,7695
105,7769
106,7843
107,7917
108,7991
109,8065
110,8139
111,8213
112,8287
113,8361
114,8435
115,8509
116,8583
117,8657
118,8731
119,8805
120,8879
121,8953
122,9027
123,9101
124,9175
125,9249
126,9323
127,9397
128,9471
129,9545
130,9619
131,9693
132,9767
133,9841
134,9915
135,9989
136,10063
137,10137
138,10211
139,10285
140,10359
141,10433
142,10507
143,10581
144,10655
145,10729
146,10803
147,10877
148,10951
149,11025
150,11099
151,11173
152,11247
153,11321
154,11395
155,11469
156,11543
157,11617
158,11691
159,11765
160,11839
161,11913
162,11987
163,12061
164,12135
165,12209
166,12283
167,12357
168,12431
169,12505
170,12579
171,12653
172,12727
173,12801
174,12875
175,12949
176,13023
177,13097
178,13171
179,13245
180,13319
181,13393
182,13467
183,13541
184,13615
185,13689
186,13763
187,13837
188,13911
189,13985
190,14059
191,14133
192,14207
193,14281
194,14355
195,14429
196,14503
197,14577
198,14651
199,14725
200,14799
201,14873
202,14947
203,15021
204,15095
205,15169
206,15243
207,15317
208,15391
209,15465
210,15539
211,15613
212,15687
213,15761
214,15835
215,15909
216,15983
217,16057
218,16131
219,16205
220,16279
221,16353
222,16427
223,16501
224,16575
225,16649
226,16723
227,16797
228,16871
229,16945
230,17019
231,17093
232,17167
233,17241
234,17315
235,17389
236,17463
237,17537
238,17611
239,17685
240,17759
241,17833
242,17907
243,17981
244,18055
245,18129
246,18203
247,18277
248,18351
249,18425
250,18499
251,18573
252,18647
253,18721
254,18795
255,18869
256,18943
257,19017
258,19091
259,19165
260,19239
261,19313
262,19387
263,19461
264,19535
265,19609
266,19683
267,19757
268,19831
269,19905
270,19979
271,20053
272,20127
273,20201
274,20275
275,20349
276,20423
277,20497
278,20571
279,20645
280,20719
281,20793
282,20867
283,20941
284,21015
285,21089
286,21163
287,21237
288,21311
289,21385
290,21459
291,21533
292,21607
293,21681
294,21755
295,21829
296,21903
297,21977
298,22051
299,22125
300,22199
301,22273
302,22347
303,22421
304,22495
305,22569
306,22643
307,22717
308,22792
309,22867
310,22942
311,23017
312,23092
313,23167
314,23242
315,23317
316,23392
317,23467
318,23542
319,23617
320,23692
321,23767
322,23842
323,23917
324,23992
325,24067
326,24142
327,24217
328,24292
329,24367
330,24442
331,24517
332,24592
333,24667
334,24742
335,24817
336,24892
337,24967
338,25042
339,25117
340,25192
341,25267
342,25342
343,25417
344,25492
345,25567
346,25642
347,25717
348,25792
349,25867
350,25942
351,26017
352,26092
353,26167
354,26242
355,26317
356,26392
357,26467
358,26542
359,26617
360,26692
361,26767
362,26842
363,26917
364,26992
365,27067
366,27142
367,27217
368,27292
369,27367
370,27442
371,27517
372,27592
373,27667
374,27742
375,27817
376,27892
377,27967
378,28042
379,28117
380,28192
381,28267
382,28342
383,28417
384,28492
385,28567
386,28642
387,28717
388,28792
389,28867
390,28942
391,29017
392,29092
393,29167
394,29242
395,29317
396,29392
397,29467
398,29542
399,29617
400,29692
401,29767
402,29842
403,29917
404,29992
405,30067
406,30142
407,30217
408,30292
409,30367
410,30442
411,30517
412,30592
413,30667
414,30742
415,30817
416,30892
417,30967
418,31042
419,31117
420,31192
421,31267
422,31342
423,31417
424,31492
425,31567
426,31642
427,31717
428,31792
429,31867
430,31942
431,32017
432,32092
433,32167
434,32242
435,32317
436,32392
437,32467
438,32542
439,32617
440,32692
441,32767
442,32842
443,32917
444,32992
445,33067
446,33142
447,33217
448,33292
449,33367
450,33442
451,33517
452,33592
453,33667
454,33742
455,33817
456,33892
457,33967
458,34042
459,34117
460,34192
461,34267
462,34342
463,34417
464,34492
465,34567
466,34642
467,34717
468,34792
469,34867
470,34942
471,35017
472,35092
473,35167
474,35242
475,35317
476,35392
477,35467
478,35542
479,35617
480,35692
481,35767
482,35842
483,35917
484,35992
485,36067
486,36142
487,36217
488,36292
489,36367
490,36442
491,36517
492,36592
493,36667
494,36742
495,36817
496,36892
497,36967
498,37042
499,37117
500,37192
501,37267
502,37342
503,37417
504,37492
505,37567
506,37642
507,37717
508,37792
509,37867
510,37942
511,38017
512,38092
513,38167
514,38242
515,38317
516,38392
517,38467
518,38542
519,38617
520,38692
521,38767
522,38842
523,38917
524,38992
525,39067
526,39142
527,39217
528,39292
529,39367
530,39442
531,39517
532,39592
533,39667
534,39742
535,39817
536,39892
537,39967
538,40042
539,40117
540,40192
541,40267
542,40342
543,40417
544,40492
545,40567
546,40642
547,40717
548,40792
549,40867
550,40942
551,41017
552,41092
553,41167
554,41242
555,41317
556,41392
557,41467
558,41542
559,41617
560,41692
561,41767
562,41842
563,41917
564,41992
565,42067
566,42142
567,42217
568,42292
569,42367
570,42442
571,42517
572,42592
573,42667
574,42742
575,42817
576,42892
577,42967
578,43042
579,43117
580,43192
581,43267
582,43342
583,43417
584,43492
585,43567
586,43642
587,43717
588,43792
589,43867
590,43942
591,44017
592,44092
593,44167
594,44242
595,44317
596,44392
597,44467
598,44542
599,44617
600,44692
601,44767
602,44842
603,44917
604,44992
605,45067
606,45142
607,45217
608,45292
609,45367
610,45442
611,45517
612,45592
613,45667
614,45742
615,45817
616,45892
617,45967
618,46042
619,46117
620,46192
621,46267
622,46342
623,46417
624,46492
625,46567
626,46642
627,46717
628,46792
629,46867
630,46942
631,47017
632,47092
633,47167
634,47242
635,47317
636,47392
637,47467
638,47542
639,47617
640,47692
641,47767
642,47842
643,47917
644,47992
645,48067
646,48142
647,48217
648,48292
649,48367
650,48442
651,48517
652,48592
653,48667
654,48742
655,48817
656,48892
657,48967
658,49042
659,49117
660,49192
661,49267
662,49342
663,49417
664,49492
665,49567
666,49642
667,49717
668,49792
669,49867
670,49942
671,50017
672,50092
673,50167
674,50242
675,50317
676,50392
677,50467
678,50542
679,50617
680,50692
681,50767
682,50842
683,50917
684,50992
685,51067
686,51142
687,51217
688,51292
689,51367
690,51442
691,51517
692,51592
693,51667
694,51742
695,51817
696,51892
697,51967
698,52042
699,52117
700,52192
701,52267
702,52342
703,52417
704,52492
705,52568
706,52644
707,52720
708,52796
709,52872
710,52948
711,53024
712,53100
713,53176
714,53252
715,53328
716,53404
717,53480
718,53556
719,53632
720,53708
721,53784
722,53860
723,53936
724,54012
725,54088
726,54164
727,54240
728,54316
729,54392
730,54468
731,54544
732,54620
733,54696
734,54772
735,54848
736,54924
737,55000
738,55076
739,55152
740,55228
741,55304
742,55380
743,55456
744,55532
745,55608
746,55684
747,55760
748,55836
749,55912
750,55988
751,56064
752,56140
753,56216
754,56292
755,56368
756,56444
757,56520
758,56596
759,56672
760,56748
761,56824
762,56900
763,56976
764,57052
765,57128
766,57204
767,57280
768,57356
769,57432
770,57508
771,57584
772,57660
773,57736
774,57812
775,57888
776,57964
777,58040
778,58116
779,58192
780,58268
781,58344
782,58420
783,58496
784,58572
785,58648
786,58724
787,58800
788,58876
789,58952
790,59028
791,59104
792,59180
793,59256
794,59332
795,59408
796,59484
797,59560
798,59636
799,59712
800,59788
801,59864
802,59940
803,60016
804,60092
805,60168
806,60244
807,60320
808,60396
809,60472
810,60548
811,60624
812,60700
813,60776
814,60852
815,60928
816,61004
817,61080
818,61156
819,61232
820,61308
821,61384
822,61460
823,61536
824,61612
825,61688
826,61764
827,61840
828,61916
829,61992
830,62068
831,62144
832,62220
833,62296
834,62372
835,62448
836,62524
837,62600
838,62676
839,62752
840,62828
841,62904
842,62980
843,63056
844,63132
845,63208
846,63284
847,63360
848,63436
849,63512
850,63588
851,63664
852,63740
853,63816
854,63892
855,63968
856,64044
857,64120
858,64196
859,64272
860,64348
861,64424
862,64500
863,64576
864,64652
865,64728
866,64804
867,64880
868,64956
869,65032
870,65108
871,65184
872,65260
873,65336
874,65412
875,65488
876,65564
877,65640
878,65716
879,65792
880,65868
881,65944
882,66020
883,66096
884,66172
885,66248
886,66324
887,66400
888,66476
889,66552
890,66628
891,66704
892,66780
893,66856
894,66932
895,67008
896,67084
897,67160
898,67236
899,67312
900,67388
901,67464
902,67540
903,67616
904,67692
905,67768
906,67844
907,67920
908,67996
909,68072
910,68148
911,68224
912,68300
913,68376
914,68452
915,68528
916,68604
917,68680
918,68756
919,68832
920,68908
921,68984
922,69060
923,69136
924,69213
925,69290
926,69367
927,69444
928,69521
929,69598
930,69675
931,69752
932,69829
933,69906
934,69983
935,70060
936,70137
937,70214
938,70291
939,70368
940,70445
941,70522
942,70599
943,70676
944,70753
945,70830
946,70907
947,70984
948,71061
949,71138
950,71215
951,71292
952,71369
953,71446
954,71523
955,71600
956,71677
957,71754
958,71831
959,71908
960,71985
961,72062
962,72139
963,72216
964,72293
965,72370
966,72447
967,72524
968,72601
969,72678
970,72755
971,72832
972,72909
973,72986
974,73063
975,73140
976,73217
977,73294
978,73371
979,73448
980,73525
981,73602
982,73679
983,73756
984,73833
985,73910
986,73987
987,74064
988,74141
989,74218
990,74295
991,74372
992,74449
993,74526
994,74603
995,74680
996,74757
997,74834
998,74911
999,74988
1000,75065
1001,75142
1002,75219
1003,75296
1004,75373
1005,75450
1006,75527
1007,75604
1008,75681
1009,75758
1010,75835
1011,75912
1012,75989
1013,76066
1014,76143
1015,76220
1016,76297
1017,76374
1018,76451
1019,76528
1020,76605
1021,76682
1022,76759
1023,76836
1024,76913
1025,76990
1026,77067
1027,77144
1028,77221
1029,77298
1030,77375
1031,77452
1032,77529
1033,77606
1034,77683
1035,77760
1036,77837
1037,77914
1038,77991
1039,78068
1040,78145
1041,78222
1042,78299
1043,78376
1044,78453
1045,78530
