KeywordCount,Storage(Bits)
1,905
2,978
3,1051
4,1124
5,1197
6,1270
7,1343
8,1416
9,1489
10,1562
11,1635
12,1708
13,1781
14,1854
15,1927
16,2000
17,2073
18,2146
19,2219
20,2292
21,2365
22,2438
23,2511
24,2584
25,2657
26,2730
27,2803
28,2876
29,2949
30,3022
31,3095
32,3168
33,3241
34,3314
35,3387
36,3460
37,3533
38,3606
39,3679
40,3752
41,3825
42,3898
43,3971
44,4044
45,4117
46,4190
47,4263
48,4336
49,4409
50,4482
51,4555
52,4628
53,4701
54,4774
55,4847
56,4920
57,4993
58,5066
59,5139
60,5212
61,5285
62,5358
63,5431
64,5504
65,5577
66,5650
67,5723
68,5796
69,5869
70,5942
71,6015
72,6088
73,6161
74,6234
75,6307
76,6380
77,6453
78,6526
79,6599
80,6672
81,6745
82,6818
83,6891
84,6964
85,7037
86,7110
87,7183
88,7256
89,7329
90,7402
91,7475
92,7548
93,7621
94,7694
95,7767
96,7840
97,7913
98,7986
99,8059
100,8132
101,8205
102,8278
103,8351
104,8424
105,8497
106,8570
107,8643
108,8716
109,8789
110,8862
111,8935
112,9008
113,9081
114,9154
115,9227
116,9300
117,9373
118,9446
119,9519
120,9592
121,9665
122,9738
123,9811
124,9884
125,9957
126,10030
127,10103
128,10176
129,10249
130,10322
131,10395
132,10468
133,10541
134,10614
135,10687
136,10760
137,10833
138,10906
139,10979
140,11052
141,11125
142,11198
143,11271
144,11344
145,11417
146,11490
147,11563
148,11636
149,11709
150,11782
151,11855
152,11928
153,12001
154,12074
155,12147
156,12220
157,12293
158,12366
159,12439
160,12512
161,12585
162,12658
163,12731
164,12804
165,12877
166,12950
167,13023
168,13096
169,13169
170,13242
171,13315
172,13388
173,13461
174,13534
175,13607
176,13680
177,13753
178,13826
179,13899
180,13972
181,14045
182,14118
183,14191
184,14264
185,14337
186,14410
187,14483
188,14556
189,14629
190,14702
191,14775
192,14848
193,14921
194,14994
195,15067
196,15140
197,15213
198,15286
199,15359
200,15432
201,15505
202,15578
203,15651
204,15724
205,15797
206,15870
207,15943
208,16016
209,16089
210,16162
211,16235
212,16308
213,16381
214,16454
215,16527
216,16600
217,16673
218,16746
219,16819
220,16892
221,16965
222,17038
223,17111
224,17184
225,17257
226,17330
227,17403
228,17476
229,17549
230,17622
231,17695
232,17768
233,17841
234,17914
235,17987
236,18060
237,18133
238,18206
239,18279
240,18352
241,18425
242,18498
243,18571
244,18644
245,18717
246,18790
247,18863
248,18936
249,19009
250,19082
251,19155
252,19228
253,19301
254,19374
255,19447
256,19520
257,19593
258,19666
259,19739
260,19812
261,19885
262,19958
263,20031
264,20104
265,20177
266,20250
267,20323
268,20396
269,20469
270,20542
271,20615
272,20688
273,20761
274,20834
275,20907
276,20980
277,21053
278,21126
279,21199
280,21272
281,21345
282,21418
283,21491
284,21564
285,21637
286,21710
287,21783
288,21856
289,21929
290,22002
291,22075
292,22148
293,22221
294,22294
295,22367
296,22440
297,22513
298,22586
299,22659
300,22732
301,22805
302,22878
303,22951
304,23024
305,23097
306,23170
307,23243
308,23316
309,23389
310,23462
311,23535
312,23608
313,23681
314,23754
315,23827
316,23900
317,23973
318,24046
319,24119
320,24192
321,24265
322,24338
323,24411
324,24484
325,24557
326,24630
327,24703
328,24776
329,24849
330,24922
331,24995
332,25068
333,25141
334,25214
335,25287
336,25360
337,25433
338,25506
339,25579
340,25652
341,25725
342,25798
343,25871
344,25944
345,26017
346,26090
347,26163
348,26236
349,26309
350,26382
351,26455
352,26528
353,26601
354,26674
