KeywordCount,Storage(Bits)
1,908
2,986
3,1064
4,1142
5,1220
6,1298
7,1376
8,1454
9,1532
10,1610
11,1688
12,1766
13,1844
14,1922
15,2000
16,2078
17,2156
18,2234
19,2312
20,2390
21,2468
22,2546
23,2624
24,2702
25,2780
26,2858
27,2936
28,3014
29,3092
30,3170
31,3248
32,3326
33,3404
34,3482
35,3560
36,3638
37,3716
38,3794
39,3872
40,3950
41,4028
42,4106
43,4184
44,4262
45,4340
46,4418
47,4496
48,4574
49,4652
50,4730
51,4808
52,4886
53,4964
54,5042
55,5120
56,5198
57,5276
58,5354
59,5432
60,5510
61,5588
62,5666
63,5744
64,5822
65,5900
66,5978
67,6056
68,6134
69,6212
70,6290
71,6368
72,6446
73,6524
74,6602
75,6680
76,6758
77,6836
78,6914
79,6992
80,7070
81,7148
82,7226
83,7304
84,7382
85,7460
86,7538
87,7616
88,7694
89,7772
90,7850
91,7928
92,8006
93,8084
94,8162
95,8240
96,8318
97,8396
98,8474
99,8552
100,8630
101,8708
102,8786
103,8864
104,8942
105,9020
106,9098
107,9176
108,9254
109,9332
110,9410
111,9488
112,9566
113,9644
114,9722
115,9800
116,9878
117,9956
118,10034
119,10112
120,10190
121,10268
122,10346
123,10424
124,10502
125,10580
126,10658
127,10736
128,10814
129,10892
130,10970
131,11048
132,11126
133,11204
134,11282
135,11360
136,11438
137,11516
138,11594
139,11672
140,11750
141,11828
142,11906
143,11984
144,12062
145,12140
146,12218
147,12296
148,12374
149,12452
150,12530
151,12608
152,12686
153,12764
154,12842
155,12920
156,12998
157,13076
158,13154
159,13232
160,13310
161,13388
162,13466
163,13544
164,13622
165,13700
166,13778
167,13856
168,13934
169,14012
170,14090
171,14168
172,14246
173,14324
174,14402
175,14480
176,14558
177,14636
178,14714
179,14792
180,14870
181,14948
182,15026
183,15104
184,15182
185,15260
186,15338
187,15416
188,15494
189,15572
190,15650
191,15728
192,15806
193,15884
194,15962
195,16040
196,16118
197,16196
198,16274
199,16352
200,16430
201,16508
202,16586
203,16664
204,16742
205,16820
206,16898
207,16976
208,17054
209,17132
210,17210
211,17288
