KeywordCount,Storage(Bits)
1,905
2,979
3,1053
4,1127
5,1201
6,1275
7,1349
8,1423
9,1497
10,1571
11,1645
12,1719
13,1793
14,1867
15,1941
16,2015
17,2089
18,2163
19,2237
20,2311
21,2385
22,2459
23,2533
24,2607
25,2681
26,2755
27,2829
28,2903
29,2977
30,3051
31,3125
32,3199
33,3273
34,3347
35,3421
36,3495
37,3569
38,3643
39,3717
40,3791
41,3865
42,3939
43,4013
44,4087
45,4161
46,4235
47,4309
48,4383
49,4457
50,4531
51,4605
52,4679
53,4753
54,4827
55,4901
56,4975
57,5049
58,5123
59,5197
60,5271
61,5345
62,5419
63,5493
64,5567
65,5641
66,5715
67,5789
68,5863
69,5937
70,6011
71,6085
72,6159
73,6233
74,6307
75,6381
76,6455
77,6529
78,6603
79,6677
80,6751
81,6825
82,6899
83,6973
84,7047
85,7121
86,7195
87,7269
88,7343
89,7417
90,7491
91,7565
92,7639
93,7713
94,7787
95,7861
96,7935
97,8009
98,8083
99,8157
100,8231
101,8305
102,8379
103,8453
104,8527
105,8601
106,8675
107,8749
108,8823
109,8897
110,8971
111,9045
112,9119
113,9193
114,9267
115,9341
116,9415
117,9489
118,9563
119,9637
120,9711
121,9785
122,9859
123,9933
124,10007
125,10081
126,10155
127,10229
128,10303
129,10377
130,10451
131,10525
132,10599
133,10673
134,10747
135,10821
136,10895
137,10969
138,11043
139,11117
140,11191
141,11265
142,11339
143,11413
144,11487
145,11561
146,11635
147,11709
148,11783
149,11857
150,11931
151,12005
152,12079
153,12153
154,12227
155,12301
156,12375
157,12449
158,12523
159,12597
160,12671
161,12745
162,12819
163,12893
164,12967
165,13041
166,13115
167,13189
168,13263
169,13337
170,13411
171,13485
172,13559
173,13633
174,13707
175,13781
176,13855
177,13929
178,14003
179,14077
180,14151
181,14225
182,14299
183,14373
184,14447
185,14521
186,14595
187,14669
188,14743
189,14817
190,14891
191,14965
192,15039
193,15113
194,15187
195,15261
196,15335
197,15409
198,15483
199,15557
200,15631
201,15705
202,15779
203,15853
204,15927
205,16001
206,16075
207,16149
208,16223
209,16297
210,16371
211,16445
212,16519
213,16593
214,16667
215,16741
216,16815
217,16889
218,16963
219,17037
220,17111
221,17185
222,17259
223,17333
224,17407
225,17481
226,17555
227,17629
228,17703
229,17777
230,17851
231,17925
232,17999
233,18073
234,18147
235,18221
236,18295
237,18369
238,18443
239,18517
240,18591
241,18665
242,18739
243,18813
244,18887
245,18961
246,19035
247,19109
248,19183
249,19257
250,19331
251,19405
252,19479
253,19553
254,19627
255,19701
256,19775
257,19849
258,19923
259,19997
260,20071
261,20145
262,20219
263,20293
264,20367
265,20441
266,20515
267,20589
268,20663
269,20737
270,20811
271,20885
272,20959
273,21033
274,21107
275,21181
276,21255
277,21329
278,21403
279,21477
280,21551
281,21625
282,21699
283,21773
284,21847
285,21921
286,21995
287,22069
288,22143
289,22217
290,22291
291,22365
292,22439
293,22513
294,22587
295,22661
296,22735
297,22809
298,22883
299,22957
300,23031
301,23105
302,23179
303,23253
304,23327
305,23401
306,23475
307,23549
308,23624
309,23699
310,23774
311,23849
312,23924
313,23999
314,24074
315,24149
316,24224
317,24299
318,24374
319,24449
320,24524
321,24599
322,24674
323,24749
324,24824
325,24899
326,24974
327,25049
328,25124
329,25199
330,25274
331,25349
332,25424
333,25499
334,25574
335,25649
336,25724
337,25799
338,25874
339,25949
340,26024
341,26099
342,26174
343,26249
344,26324
345,26399
346,26474
347,26549
348,26624
349,26699
350,26774
351,26849
352,26924
353,26999
354,27074
355,27149
356,27224
357,27299
358,27374
359,27449
360,27524
361,27599
362,27674
363,27749
364,27824
365,27899
366,27974
367,28049
368,28124
369,28199
370,28274
371,28349
372,28424
373,28499
374,28574
375,28649
376,28724
377,28799
378,28874
379,28949
380,29024
381,29099
382,29174
383,29249
384,29324
385,29399
386,29474
387,29549
388,29624
389,29699
390,29774
391,29849
392,29924
393,29999
394,30074
395,30149
396,30224
397,30299
398,30374
399,30449
400,30524
401,30599
402,30674
403,30749
404,30824
405,30899
406,30974
407,31049
408,31124
409,31199
410,31274
411,31349
412,31424
413,31499
414,31574
415,31649
416,31724
417,31799
418,31874
419,31949
420,32024
421,32099
422,32174
423,32249
424,32324
425,32399
426,32474
427,32549
428,32624
429,32699
430,32774
431,32849
432,32924
433,32999
434,33074
435,33149
436,33224
437,33299
438,33374
439,33449
440,33524
441,33599
442,33674
443,33749
444,33824
445,33899
446,33974
447,34049
448,34124
449,34199
450,34274
451,34349
452,34424
453,34499
454,34574
455,34649
456,34724
457,34799
458,34874
459,34949
460,35024
461,35099
462,35174
463,35249
464,35324
465,35399
466,35474
467,35549
468,35624
469,35699
470,35774
471,35849
472,35924
473,35999
474,36074
475,36149
476,36224
477,36299
478,36374
479,36449
480,36524
481,36599
482,36674
483,36749
484,36824
485,36899
486,36974
487,37049
488,37124
489,37199
490,37274
491,37349
492,37424
493,37499
494,37574
495,37649
496,37724
497,37799
498,37874
499,37949
500,38024
501,38099
502,38174
503,38249
504,38324
505,38399
506,38474
507,38549
508,38624
509,38699
510,38774
511,38849
512,38924
513,38999
514,39074
515,39149
516,39224
517,39299
518,39374
519,39449
520,39524
521,39599
522,39674
523,39749
524,39824
525,39899
526,39974
527,40049
528,40124
529,40199
530,40274
531,40349
532,40424
533,40499
534,40574
535,40649
536,40724
537,40799
538,40874
539,40949
540,41024
541,41099
542,41174
543,41249
544,41324
545,41399
546,41474
547,41549
548,41624
549,41699
550,41774
551,41849
552,41924
553,41999
554,42074
555,42149
556,42224
557,42299
558,42374
559,42449
560,42524
561,42599
562,42674
563,42749
564,42824
565,42899
566,42974
567,43049
568,43124
569,43199
570,43274
571,43349
572,43424
573,43499
574,43574
575,43649
576,43724
577,43799
578,43874
579,43949
580,44024
581,44099
582,44174
583,44249
584,44324
585,44399
586,44474
587,44549
588,44624
589,44699
590,44774
591,44849
592,44924
593,44999
594,45074
595,45149
596,45224
597,45299
598,45374
599,45449
600,45524
601,45599
602,45674
603,45749
604,45824
605,45899
606,45974
607,46049
608,46124
609,46199
610,46274
611,46349
612,46424
613,46499
614,46574
615,46649
616,46724
617,46799
618,46874
619,46949
620,47024
621,47099
622,47174
623,47249
624,47324
625,47399
626,47474
627,47549
628,47624
629,47699
630,47774
631,47849
632,47924
633,47999
634,48074
635,48149
636,48224
637,48299
638,48374
639,48449
640,48524
641,48599
642,48674
643,48749
644,48824
645,48899
646,48974
647,49049
648,49124
649,49199
650,49274
651,49349
652,49424
653,49499
654,49574
655,49649
656,49724
657,49799
658,49874
659,49949
660,50024
661,50099
662,50174
663,50249
664,50324
665,50399
666,50474
667,50549
668,50624
669,50699
670,50774
671,50849
672,50924
673,50999
674,51074
675,51149
676,51224
677,51299
678,51374
679,51449
680,51524
681,51599
682,51674
683,51749
684,51824
685,51899
686,51974
687,52049
688,52124
689,52199
690,52274
691,52349
692,52424
693,52499
694,52574
695,52649
696,52724
697,52799
698,52874
699,52949
700,53024
701,53099
702,53174
703,53249
704,53324
705,53400
706,53476
707,53552
708,53628
709,53704
710,53780
711,53856
712,53932
713,54008
714,54084
715,54160
716,54236
717,54312
718,54388
719,54464
720,54540
721,54616
722,54692
723,54768
724,54844
725,54920
726,54996
727,55072
728,55148
729,55224
730,55300
731,55376
732,55452
733,55528
734,55604
735,55680
736,55756
737,55832
738,55908
739,55984
740,56060
741,56136
742,56212
743,56288
744,56364
745,56440
746,56516
747,56592
748,56668
749,56744
750,56820
751,56896
752,56972
753,57048
754,57124
755,57200
756,57276
757,57352
758,57428
759,57504
760,57580
761,57656
762,57732
763,57808
764,57884
765,57960
766,58036
767,58112
768,58188
769,58264
770,58340
771,58416
772,58492
773,58568
774,58644
775,58720
776,58796
777,58872
778,58948
779,59024
780,59100
781,59176
782,59252
783,59328
784,59404
785,59480
786,59556
787,59632
788,59708
789,59784
790,59860
791,59936
792,60012
793,60088
794,60164
795,60240
796,60316
797,60392
798,60468
799,60544
800,60620
801,60696
802,60772
803,60848
804,60924
805,61000
806,61076
807,61152
808,61228
809,61304
810,61380
811,61456
812,61532
813,61608
814,61684
815,61760
816,61836
817,61912
818,61988
819,62064
820,62140
821,62216
822,62292
823,62368
824,62444
825,62520
826,62596
827,62672
828,62748
829,62824
830,62900
831,62976
832,63052
833,63128
834,63204
835,63280
836,63356
837,63432
838,63508
839,63584
840,63660
841,63736
842,63812
843,63888
844,63964
845,64040
846,64116
847,64192
848,64268
849,64344
850,64420
851,64496
852,64572
853,64648
854,64724
855,64800
856,64876
857,64952
858,65028
859,65104
860,65180
861,65256
862,65332
863,65408
864,65484
865,65560
866,65636
867,65712
868,65788
869,65864
870,65940
