KeywordCount,Storage(Bits)
1,10240
2,48128
3,86016
4,123904
5,161792
6,200704
7,239616
8,278528
9,317440
10,356352
11,396288
12,436224
13,476160
14,516096
15,556032
16,595968
17,635904
18,675840
19,715776
20,755712
21,795648
22,835584
23,875520
24,915456
25,955392
26,995328
27,1035264
28,1075200
29,1115136
30,1156096
31,1197056
32,1238016
33,1278976
34,1319936
35,1360896
36,1401856
37,1442816
38,1483776
39,1524736
40,1565696
41,1606656
42,1647616
43,1688576
44,1729536
45,1770496
46,1811456
47,1852416
48,1893376
49,1934336
50,1975296
51,2016256
52,2057216
53,2099200
54,2141184
55,2183168
56,2225152
57,2267136
58,2309120
59,2351104
60,2393088
61,2435072
62,2477056
63,2519040
64,2561024
65,2603008
66,2644992
67,2686976
68,2728960
69,2770944
70,2812928
71,2854912
72,2896896
73,2938880
74,2980864
75,3022848
76,3064832
77,3106816
78,3148800
79,3190784
80,3232768
81,3274752
82,3316736
83,3358720
84,3400704
85,3442688
86,3484672
87,3527680
88,3570688
89,3613696
90,3656704
91,3699712
92,3742720
93,3785728
94,3828736
95,3871744
96,3914752
97,3957760
98,4000768
99,4043776
100,4086784
101,4129792
102,4172800
103,4215808
104,4258816
105,4301824
106,4344832
107,4387840
108,4430848
109,4473856
110,4516864
111,4559872
112,4602880
113,4645888
114,4688896
115,4731904
116,4774912
117,4817920
118,4860928
119,4903936
120,4946944
121,4989952
122,5032960
123,5075968
124,5118976
125,5161984
126,5204992
127,5248000
128,5292032
129,5336064
130,5380096
131,5424128
132,5468160
133,5512192
134,5556224
135,5600256
136,5644288
137,5688320
138,5732352
139,5776384
140,5820416
141,5864448
142,5908480
143,5952512
144,5996544
145,6040576
146,6084608
147,6128640
148,6172672
149,6216704
150,6260736
151,6304768
152,6348800
153,6392832
154,6436864
155,6480896
156,6524928
157,6568960
158,6612992
159,6657024
160,6701056
161,6745088
162,6789120
163,6833152
164,6877184
165,6921216
166,6965248
167,7009280
168,7053312
169,7097344
170,7141376
171,7185408
172,7229440
173,7273472
174,7317504
175,7361536
176,7405568
177,7449600
178,7493632
179,7537664
180,7581696
181,7625728
182,7669760
183,7713792
184,7757824
185,7801856
186,7845888
187,7890944
188,7936000
189,7981056
190,8026112
191,8071168
192,8116224
193,8161280
194,8206336
195,8251392
196,8296448
197,8341504
198,8386560
199,8431616
200,8476672
201,8521728
202,8566784
203,8611840
204,8656896
205,8701952
206,8747008
207,8792064
208,8837120
209,8882176
210,8927232
211,8972288
212,9017344
213,9062400
214,9107456
215,9152512
216,9197568
217,9242624
218,9287680
219,9332736
220,9377792
221,9422848
222,9467904
223,9512960
224,9558016
225,9603072
226,9648128
227,9693184
228,9738240
229,9783296
230,9828352
231,9873408
232,9918464
233,9963520
234,10008576
235,10053632
236,10098688
237,10143744
238,10188800
239,10233856
240,10278912
241,10323968
242,10369024
243,10414080
244,10459136
245,10504192
246,10549248
247,10594304
248,10639360
249,10684416
250,10729472
251,10774528
252,10819584
253,10864640
254,10909696
255,10954752
256,10999808
257,11044864
258,11089920
259,11134976
260,11180032
261,11226112
262,11272192
263,11318272
264,11364352
265,11410432
266,11456512
267,11502592
268,11548672
269,11594752
270,11640832
271,11686912
272,11732992
273,11779072
274,11825152
275,11871232
276,11917312
277,11963392
278,12009472
279,12055552
280,12101632
281,12147712
282,12193792
283,12239872
284,12285952
285,12332032
286,12378112
287,12424192
288,12470272
289,12516352
290,12562432
291,12608512
292,12654592
293,12700672
294,12746752
295,12792832
296,12838912
297,12884992
298,12931072
299,12977152
300,13023232
301,13069312
302,13115392
303,13161472
304,13207552
305,13253632
306,13299712
307,13345792
308,13391872
309,13437952
310,13484032
311,13530112
312,13576192
313,13622272
314,13668352
315,13714432
316,13760512
317,13806592
318,13852672
319,13898752
320,13944832
321,13990912
322,14036992
323,14083072
324,14129152
325,14175232
326,14221312
327,14268416
328,14315520
329,14362624
330,14409728
331,14456832
332,14503936
333,14551040
334,14598144
335,14645248
336,14692352
337,14739456
338,14786560
339,14833664
340,14880768
341,14927872
342,14974976
343,15022080
344,15069184
345,15116288
346,15163392
347,15210496
348,15257600
349,15304704
350,15351808
351,15398912
352,15446016
353,15493120
354,15540224
355,15587328
356,15634432
357,15681536
358,15728640
359,15775744
360,15822848
361,15869952
362,15917056
363,15964160
364,16011264
365,16058368
366,16105472
367,16152576
368,16199680
369,16246784
370,16293888
371,16340992
372,16388096
373,16435200
374,16482304
375,16529408
376,16576512
377,16623616
378,16670720
379,16717824
380,16764928
381,16812032
382,16859136
383,16906240
384,16953344
385,17000448
386,17047552
387,17095680
388,17143808
389,17191936
390,17240064
391,17288192
392,17336320
393,17384448
394,17432576
395,17480704
396,17528832
397,17576960
398,17625088
399,17673216
400,17721344
401,17769472
402,17817600
403,17865728
404,17913856
405,17961984
406,18010112
407,18058240
408,18106368
409,18154496
410,18202624
411,18250752
412,18298880
413,18347008
414,18395136
415,18443264
416,18491392
417,18539520
418,18587648
419,18635776
420,18683904
421,18732032
422,18780160
423,18828288
424,18876416
425,18924544
426,18972672
427,19020800
428,19068928
429,19117056
430,19165184
431,19213312
432,19261440
433,19309568
434,19357696
435,19405824
436,19453952
437,19502080
438,19550208
439,19598336
440,19646464
441,19694592
442,19742720
443,19790848
444,19838976
445,19887104
446,19935232
447,19983360
448,20032512
449,20081664
450,20130816
451,20179968
452,20229120
453,20278272
