KeywordCount,Storage(Bits)
1,1024
2,3072
3,5120
4,7168
5,9216
6,11264
7,13312
8,15360
9,17408
10,19456
11,21504
12,23552
13,25600
14,27648
15,29696
16,31744
17,33792
18,35840
19,37888
20,39936
21,41984
22,44032
23,46080
24,48128
25,51200
26,54272
27,57344
28,60416
29,63488
30,66560
31,69632
32,72704
33,75776
34,78848
35,81920
36,84992
37,88064
38,91136
39,94208
40,97280
41,100352
42,103424
43,106496
44,109568
45,112640
46,115712
47,118784
48,121856
49,124928
50,128000
51,131072
52,134144
53,137216
54,140288
55,143360
56,146432
57,149504
58,152576
59,155648
60,158720
61,161792
62,164864
63,167936
64,171008
65,174080
66,177152
67,180224
68,183296
69,186368
70,189440
71,192512
72,195584
73,198656
74,201728
75,204800
76,207872
77,210944
78,214016
79,217088
80,220160
81,223232
82,226304
83,229376
84,232448
85,235520
86,238592
87,241664
88,244736
89,247808
90,250880
91,253952
92,257024
93,260096
94,263168
95,266240
96,269312
97,272384
98,275456
99,278528
100,281600
101,284672
102,287744
103,290816
104,293888
105,296960
106,300032
107,303104
108,306176
109,309248
110,312320
111,315392
112,318464
113,321536
114,324608
115,327680
116,330752
117,333824
118,336896
119,339968
120,343040
121,346112
122,349184
123,352256
124,355328
125,358400
126,361472
127,364544
128,367616
129,370688
130,373760
131,376832
132,379904
133,382976
134,386048
135,389120
136,392192
137,395264
138,398336
139,401408
140,404480
141,407552
142,410624
143,413696
144,416768
145,419840
146,422912
147,425984
148,429056
149,432128
150,435200
151,438272
152,441344
153,444416
154,447488
155,450560
156,453632
157,456704
158,459776
159,462848
160,465920
161,468992
162,472064
163,475136
164,478208
165,481280
166,484352
167,487424
168,490496
169,493568
170,496640
171,499712
172,502784
173,505856
174,508928
175,512000
176,515072
177,518144
178,521216
179,524288
180,527360
181,530432
182,533504
183,536576
184,539648
185,542720
186,545792
187,548864
188,551936
189,555008
190,558080
191,561152
192,564224
193,567296
194,570368
195,573440
196,576512
197,579584
198,582656
199,585728
200,588800
201,591872
202,594944
203,598016
204,601088
205,604160
206,607232
207,610304
208,613376
209,616448
210,619520
211,622592
212,625664
213,628736
214,631808
215,634880
216,637952
217,641024
218,644096
219,647168
220,650240
221,653312
222,656384
223,659456
224,662528
225,665600
226,668672
227,671744
228,674816
229,677888
230,680960
231,684032
232,687104
233,690176
234,693248
235,696320
236,699392
237,702464
238,705536
239,708608
240,711680
241,714752
242,717824
243,720896
244,723968
245,727040
246,730112
247,733184
248,736256
249,739328
250,742400
251,745472
252,748544
253,751616
254,754688
255,757760
256,760832
257,763904
258,766976
259,770048
260,773120
261,776192
262,779264
263,782336
264,785408
265,788480
266,791552
267,794624
268,797696
269,800768
270,803840
271,806912
272,809984
273,813056
274,816128
275,819200
276,822272
277,825344
278,828416
279,831488
280,834560
281,837632
282,840704
283,843776
284,846848
285,849920
286,852992
287,856064
288,859136
289,862208
290,865280
291,868352
292,871424
293,874496
294,877568
295,880640
296,883712
297,886784
298,889856
299,892928
300,896000
301,899072
302,902144
303,905216
304,908288
305,911360
306,914432
307,917504
308,921600
309,925696
310,929792
311,933888
312,937984
313,942080
314,946176
315,950272
316,954368
317,958464
318,962560
319,966656
320,970752
321,974848
322,978944
323,983040
324,987136
325,991232
326,995328
327,999424
328,1003520
329,1007616
330,1011712
331,1015808
332,1019904
333,1024000
334,1028096
335,1032192
336,1036288
337,1040384
338,1044480
339,1048576
340,1052672
341,1056768
342,1060864
343,1064960
344,1069056
345,1073152
346,1077248
347,1081344
348,1085440
349,1089536
350,1093632
351,1097728
352,1101824
353,1105920
354,1110016
355,1114112
356,1118208
357,1122304
358,1126400
359,1130496
360,1134592
361,1138688
362,1142784
363,1146880
364,1150976
365,1155072
366,1159168
367,1163264
368,1167360
369,1171456
370,1175552
371,1179648
372,1183744
373,1187840
374,1191936
375,1196032
376,1200128
377,1204224
378,1208320
379,1212416
380,1216512
381,1220608
382,1224704
383,1228800
384,1232896
385,1236992
386,1241088
387,1245184
388,1249280
389,1253376
390,1257472
391,1261568
392,1265664
393,1269760
394,1273856
395,1277952
396,1282048
397,1286144
398,1290240
399,1294336
400,1298432
401,1302528
402,1306624
403,1310720
404,1314816
405,1318912
406,1323008
407,1327104
408,1331200
409,1335296
410,1339392
411,1343488
412,1347584
413,1351680
414,1355776
415,1359872
416,1363968
417,1368064
418,1372160
419,1376256
420,1380352
421,1384448
422,1388544
423,1392640
424,1396736
425,1400832
426,1404928
427,1409024
428,1413120
429,1417216
430,1421312
431,1425408
432,1429504
