KeywordCount,Storage(Bits)
1,3840
2,7680
3,11520
4,15360
5,19200
6,23040
7,26880
8,30720
9,34560
10,38400
11,42240
12,46080
13,49920
14,53760
15,57600
16,61440
17,65280
18,69120
19,72960
20,76800
21,80640
22,84480
23,88320
24,92160
25,96000
26,99840
27,103680
28,107520
29,111360
30,115200
31,119040
32,122880
33,126720
34,130560
35,134400
36,138240
37,142080
38,145920
39,149760
40,153600
41,157440
42,161280
43,165120
44,168960
45,172800
46,176640
47,180480
48,184320
49,188160
50,192000
51,195840
52,199680
53,203520
54,207360
55,211200
56,215040
57,218880
58,222720
59,226560
60,230400
61,234240
62,238080
63,241920
64,245760
65,249600
66,253440
67,257280
68,261120
69,264960
70,268800
71,272640
72,276480
73,280320
74,284160
75,288000
76,291840
77,295680
78,299520
79,303360
80,307200
81,311040
82,314880
83,318720
84,322560
85,326400
86,330240
87,334080
88,337920
89,341760
90,345600
91,349440
92,353280
93,357120
94,360960
95,364800
96,368640
97,372480
98,376320
99,380160
100,384000
101,387840
102,391680
103,395520
104,399360
105,403200
106,407040
107,410880
108,414720
109,418560
110,422400
111,426240
112,430080
113,433920
114,437760
115,441600
116,445440
117,449280
118,453120
119,456960
120,460800
121,464640
122,468480
123,472320
124,476160
125,480000
126,483840
127,487680
128,491520
129,495360
130,499200
131,503040
132,506880
133,510720
134,514560
135,518400
136,522240
137,526080
138,529920
139,533760
140,537600
141,541440
142,545280
143,549120
144,552960
145,556800
146,560640
147,564480
148,568320
149,572160
150,576000
151,579840
152,583680
153,587520
154,591360
155,595200
156,599040
157,602880
158,606720
159,610560
160,614400
161,618240
162,622080
163,625920
164,629760
165,633600
166,637440
167,641280
168,645120
169,648960
170,652800
171,656640
172,660480
173,664320
174,668160
175,672000
176,675840
177,679680
178,683520
179,687360
180,691200
181,695040
182,698880
183,702720
184,706560
185,710400
186,714240
187,718080
188,721920
189,725760
190,729600
191,733440
192,737280
193,741120
194,744960
195,748800
196,752640
197,756480
198,760320
199,764160
200,768000
201,771840
202,775680
203,779520
204,783360
205,787200
206,791040
207,794880
208,798720
209,802560
210,806400
211,810240
212,814080
213,817920
214,821760
215,825600
216,829440
217,833280
218,837120
219,840960
220,844800
221,848640
222,852480
223,856320
224,860160
225,864000
226,867840
227,871680
228,875520
229,879360
230,883200
231,887040
232,890880
233,894720
234,898560
235,902400
236,906240
237,910080
238,913920
239,917760
240,921600
241,925440
242,929280
243,933120
244,936960
245,940800
246,944640
247,948480
248,952320
249,956160
250,960000
251,963840
252,967680
253,971520
254,975360
255,979200
