KeywordCount,Storage(Bits)
1,38400
2,180480
3,322560
4,464640
5,606720
6,752640
7,898560
8,1044480
9,1190400
10,1336320
11,1486080
12,1635840
13,1785600
14,1935360
15,2085120
16,2234880
17,2384640
18,2534400
19,2684160
20,2833920
21,2983680
22,3133440
23,3283200
24,3432960
25,3582720
26,3732480
27,3882240
28,4032000
29,4181760
30,4335360
31,4488960
32,4642560
33,4796160
34,4949760
35,5103360
36,5256960
37,5410560
38,5564160
39,5717760
40,5871360
41,6024960
42,6178560
43,6332160
44,6485760
45,6639360
46,6792960
47,6946560
48,7100160
49,7253760
50,7407360
51,7560960
52,7714560
53,7872000
54,8029440
55,8186880
56,8344320
57,8501760
58,8659200
59,8816640
60,8974080
61,9131520
62,9288960
63,9446400
64,9603840
65,9761280
66,9918720
67,10076160
68,10233600
69,10391040
70,10548480
71,10705920
72,10863360
73,11020800
74,11178240
75,11335680
76,11493120
77,11650560
78,11808000
79,11965440
80,12122880
81,12280320
82,12437760
83,12595200
84,12752640
85,12910080
86,13067520
87,13228800
88,13390080
89,13551360
90,13712640
91,13873920
92,14035200
93,14196480
94,14357760
95,14519040
96,14680320
97,14841600
98,15002880
99,15164160
100,15325440
101,15486720
102,15648000
103,15809280
104,15970560
105,16131840
106,16293120
107,16454400
108,16615680
109,16776960
110,16938240
111,17099520
112,17260800
113,17422080
114,17583360
115,17744640
116,17905920
117,18067200
118,18228480
119,18389760
120,18551040
121,18712320
122,18873600
123,19034880
124,19196160
125,19357440
126,19518720
127,19680000
128,19845120
129,20010240
130,20175360
131,20340480
132,20505600
133,20670720
134,20835840
135,21000960
136,21166080
137,21331200
138,21496320
139,21661440
140,21826560
141,21991680
142,22156800
143,22321920
144,22487040
145,22652160
146,22817280
147,22982400
148,23147520
149,23312640
150,23477760
151,23642880
152,23808000
153,23973120
154,24138240
155,24303360
156,24468480
157,24633600
158,24798720
159,24963840
160,25128960
161,25294080
162,25459200
163,25624320
164,25789440
165,25954560
166,26119680
167,26284800
168,26449920
169,26615040
170,26780160
171,26945280
172,27110400
173,27275520
174,27440640
175,27605760
176,27770880
177,27936000
178,28101120
179,28266240
180,28431360
181,28596480
182,28761600
183,28926720
184,29091840
185,29256960
186,29422080
187,29591040
188,29760000
189,29928960
190,30097920
191,30266880
192,30435840
193,30604800
194,30773760
195,30942720
196,31111680
197,31280640
198,31449600
199,31618560
200,31787520
201,31956480
202,32125440
203,32294400
204,32463360
205,32632320
206,32801280
207,32970240
208,33139200
209,33308160
210,33477120
211,33646080
212,33815040
213,33984000
214,34152960
215,34321920
216,34490880
217,34659840
218,34828800
219,34997760
220,35166720
221,35335680
222,35504640
223,35673600
224,35842560
225,36011520
226,36180480
227,36349440
228,36518400
229,36687360
230,36856320
231,37025280
232,37194240
233,37363200
234,37532160
235,37701120
236,37870080
237,38039040
238,38208000
239,38376960
240,38545920
241,38714880
242,38883840
243,39052800
244,39221760
245,39390720
246,39559680
247,39728640
248,39897600
249,40066560
250,40235520
251,40404480
252,40573440
253,40742400
254,40911360
255,41080320
256,41249280
257,41418240
258,41587200
259,41756160
260,41925120
261,42097920
262,42270720
263,42443520
264,42616320
265,42789120
266,42961920
267,43134720
268,43307520
269,43480320
270,43653120
271,43825920
272,43998720
273,44171520
274,44344320
275,44517120
276,44689920
277,44862720
278,45035520
279,45208320
280,45381120
281,45553920
282,45726720
283,45899520
284,46072320
285,46245120
286,46417920
287,46590720
288,46763520
289,46936320
290,47109120
291,47281920
292,47454720
293,47627520
294,47800320
295,47973120
296,48145920
297,48318720
298,48491520
299,48664320
300,48837120
301,49009920
302,49182720
303,49355520
304,49528320
305,49701120
306,49873920
307,50046720
308,50219520
309,50392320
310,50565120
311,50737920
312,50910720
313,51083520
314,51256320
315,51429120
316,51601920
317,51774720
318,51947520
319,52120320
320,52293120
321,52465920
322,52638720
323,52811520
324,52984320
