KeywordCount,Storage(Bits)
1,3840
2,11520
3,19200
4,26880
5,34560
6,42240
7,49920
8,57600
9,65280
10,72960
11,80640
12,88320
13,96000
14,103680
15,111360
16,119040
17,126720
18,134400
19,142080
20,149760
21,157440
22,165120
23,172800
24,180480
25,192000
26,203520
27,215040
28,226560
29,238080
30,249600
31,261120
32,272640
33,284160
34,295680
35,307200
36,318720
37,330240
38,341760
39,353280
40,364800
41,376320
42,387840
43,399360
44,410880
45,422400
46,433920
47,445440
48,456960
49,468480
50,480000
51,491520
52,503040
53,514560
54,526080
55,537600
56,549120
57,560640
58,572160
59,583680
60,595200
61,606720
62,618240
63,629760
64,641280
65,652800
66,664320
67,675840
68,687360
69,698880
70,710400
71,721920
72,733440
73,744960
74,756480
75,768000
76,779520
77,791040
78,802560
79,814080
80,825600
81,837120
82,848640
83,860160
84,871680
85,883200
86,894720
87,906240
88,917760
89,929280
90,940800
91,952320
92,963840
93,975360
94,986880
95,998400
96,1009920
97,1021440
98,1032960
99,1044480
100,1056000
101,1067520
102,1079040
103,1090560
104,1102080
105,1113600
106,1125120
107,1136640
108,1148160
109,1159680
110,1171200
111,1182720
112,1194240
113,1205760
114,1217280
115,1228800
116,1240320
117,1251840
118,1263360
119,1274880
120,1286400
121,1297920
122,1309440
123,1320960
124,1332480
125,1344000
126,1355520
127,1367040
128,1378560
129,1390080
130,1401600
131,1413120
132,1424640
133,1436160
134,1447680
135,1459200
136,1470720
137,1482240
138,1493760
139,1505280
140,1516800
141,1528320
142,1539840
143,1551360
144,1562880
145,1574400
146,1585920
147,1597440
148,1608960
149,1620480
150,1632000
151,1643520
152,1655040
153,1666560
154,1678080
155,1689600
156,1701120
157,1712640
158,1724160
159,1735680
160,1747200
161,1758720
162,1770240
163,1781760
164,1793280
165,1804800
166,1816320
167,1827840
168,1839360
169,1850880
170,1862400
171,1873920
172,1885440
173,1896960
174,1908480
175,1920000
176,1931520
177,1943040
178,1954560
179,1966080
180,1977600
181,1989120
182,2000640
183,2012160
184,2023680
185,2035200
186,2046720
187,2058240
188,2069760
189,2081280
190,2092800
191,2104320
192,2115840
193,2127360
194,2138880
195,2150400
196,2161920
197,2173440
198,2184960
199,2196480
200,2208000
201,2219520
202,2231040
203,2242560
204,2254080
205,2265600
206,2277120
207,2288640
208,2300160
209,2311680
210,2323200
211,2334720
212,2346240
213,2357760
214,2369280
215,2380800
216,2392320
217,2403840
218,2415360
219,2426880
220,2438400
221,2449920
222,2461440
223,2472960
224,2484480
225,2496000
226,2507520
227,2519040
228,2530560
229,2542080
230,2553600
231,2565120
232,2576640
233,2588160
234,2599680
235,2611200
236,2622720
237,2634240
238,2645760
239,2657280
240,2668800
241,2680320
242,2691840
243,2703360
244,2714880
245,2726400
246,2737920
247,2749440
248,2760960
249,2772480
250,2784000
251,2795520
252,2807040
253,2818560
254,2830080
255,2841600
256,2853120
257,2864640
258,2876160
259,2887680
260,2899200
261,2910720
262,2922240
263,2933760
264,2945280
265,2956800
266,2968320
267,2979840
268,2991360
269,3002880
270,3014400
271,3025920
272,3037440
273,3048960
274,3060480
275,3072000
276,3083520
277,3095040
278,3106560
279,3118080
280,3129600
281,3141120
282,3152640
283,3164160
284,3175680
285,3187200
286,3198720
287,3210240
288,3221760
289,3233280
290,3244800
291,3256320
292,3267840
293,3279360
294,3290880
295,3302400
296,3313920
297,3325440
298,3336960
299,3348480
300,3360000
301,3371520
302,3383040
303,3394560
304,3406080
305,3417600
306,3429120
307,3440640
308,3456000
309,3471360
310,3486720
311,3502080
312,3517440
313,3532800
314,3548160
315,3563520
316,3578880
317,3594240
318,3609600
319,3624960
320,3640320
321,3655680
322,3671040
323,3686400
324,3701760
325,3717120
326,3732480
327,3747840
328,3763200
329,3778560
330,3793920
331,3809280
332,3824640
333,3840000
334,3855360
335,3870720
336,3886080
337,3901440
338,3916800
339,3932160
340,3947520
341,3962880
342,3978240
343,3993600
344,4008960
345,4024320
346,4039680
347,4055040
348,4070400
349,4085760
350,4101120
351,4116480
352,4131840
353,4147200
354,4162560
355,4177920
356,4193280
357,4208640
358,4224000
359,4239360
360,4254720
361,4270080
362,4285440
363,4300800
364,4316160
365,4331520
366,4346880
367,4362240
368,4377600
369,4392960
370,4408320
371,4423680
372,4439040
373,4454400
374,4469760
375,4485120
376,4500480
377,4515840
378,4531200
379,4546560
380,4561920
381,4577280
382,4592640
383,4608000
384,4623360
385,4638720
386,4654080
387,4669440
388,4684800
389,4700160
390,4715520
391,4730880
392,4746240
393,4761600
394,4776960
395,4792320
396,4807680
397,4823040
398,4838400
399,4853760
400,4869120
401,4884480
402,4899840
403,4915200
404,4930560
405,4945920
406,4961280
407,4976640
408,4992000
409,5007360
410,5022720
411,5038080
412,5053440
413,5068800
414,5084160
415,5099520
416,5114880
417,5130240
418,5145600
419,5160960
420,5176320
421,5191680
422,5207040
423,5222400
424,5237760
425,5253120
426,5268480
427,5283840
428,5299200
429,5314560
430,5329920
431,5345280
432,5360640
433,5376000
434,5391360
435,5406720
436,5422080
437,5437440
438,5452800
439,5468160
440,5483520
441,5498880
442,5514240
443,5529600
444,5544960
445,5560320
446,5575680
447,5591040
448,5606400
449,5621760
450,5637120
451,5652480
452,5667840
453,5683200
454,5698560
455,5713920
456,5729280
457,5744640
458,5760000
459,5775360
460,5790720
461,5806080
462,5821440
463,5836800
464,5852160
465,5867520
466,5882880
467,5898240
468,5913600
469,5928960
470,5944320
471,5959680
472,5975040
473,5990400
474,6005760
475,6021120
476,6036480
477,6051840
478,6067200
479,6082560
480,6097920
481,6113280
482,6128640
483,6144000
484,6159360
485,6174720
486,6190080
487,6205440
488,6220800
489,6236160
490,6251520
491,6266880
492,6282240
493,6297600
494,6312960
495,6328320
496,6343680
497,6359040
498,6374400
499,6389760
500,6405120
501,6420480
502,6435840
503,6451200
504,6466560
505,6481920
506,6497280
507,6512640
508,6528000
509,6543360
510,6558720
511,6574080
512,6589440
513,6604800
514,6620160
515,6635520
516,6650880
517,6666240
518,6681600
519,6696960
520,6712320
521,6727680
522,6743040
523,6758400
524,6773760
525,6789120
526,6804480
527,6819840
528,6835200
529,6850560
530,6865920
531,6881280
532,6896640
533,6912000
534,6927360
535,6942720
536,6961920
537,6981120
538,7000320
539,7019520
540,7038720
541,7057920
542,7077120
543,7096320
544,7115520
545,7134720
546,7153920
547,7173120
548,7192320
549,7211520
550,7230720
551,7249920
552,7269120
553,7288320
554,7307520
555,7326720
556,7345920
557,7365120
558,7384320
559,7403520
560,7422720
561,7441920
562,7461120
563,7480320
564,7499520
565,7518720
566,7537920
567,7557120
568,7576320
569,7595520
570,7614720
571,7633920
572,7653120
573,7672320
574,7691520
575,7710720
576,7729920
577,7749120
578,7768320
579,7787520
580,7806720
581,7825920
582,7845120
583,7864320
584,7883520
585,7902720
586,7921920
587,7941120
588,7960320
589,7979520
590,7998720
591,8017920
592,8037120
593,8056320
594,8079360
595,8102400
596,8125440
597,8148480
598,8171520
599,8194560
600,8217600
601,8240640
602,8263680
603,8286720
604,8309760
605,8332800
606,8355840
607,8378880
608,8401920
609,8424960
610,8448000
611,8471040
612,8494080
613,8517120
614,8540160
615,8563200
616,8586240
617,8609280
618,8632320
619,8655360
620,8678400
621,8701440
622,8724480
623,8747520
624,8770560
625,8793600
626,8816640
627,8839680
628,8862720
629,8885760
630,8908800
631,8931840
632,8954880
633,8977920
634,9000960
635,9024000
636,9047040
637,9070080
638,9093120
639,9116160
640,9139200
641,9162240
642,9185280
643,9208320
644,9231360
645,9254400
646,9277440
647,9300480
648,9323520
649,9346560
650,9369600
651,9392640
652,9415680
653,9438720
654,9461760
655,9484800
656,9507840
657,9530880
658,9553920
659,9576960
660,9600000
661,9623040
662,9646080
663,9669120
664,9692160
665,9715200
666,9742080
667,9768960
668,9795840
669,9822720
670,9849600
671,9876480
672,9903360
673,9930240
674,9957120
675,9984000
676,10010880
677,10037760
678,10064640
679,10091520
680,10118400
681,10145280
682,10172160
683,10199040
684,10225920
685,10252800
686,10279680
687,10306560
688,10333440
689,10360320
690,10387200
691,10414080
692,10440960
693,10467840
694,10494720
695,10521600
696,10548480
697,10575360
698,10602240
699,10629120
700,10656000
701,10682880
702,10709760
703,10736640
704,10763520
705,10794240
706,10824960
707,10855680
708,10886400
709,10917120
710,10947840
711,10978560
712,11009280
713,11040000
714,11070720
715,11101440
716,11132160
717,11162880
718,11193600
719,11224320
720,11255040
721,11285760
722,11316480
723,11347200
724,11377920
725,11408640
726,11439360
727,11470080
728,11500800
729,11531520
730,11562240
731,11592960
732,11623680
733,11654400
734,11685120
735,11715840
736,11746560
737,11777280
738,11808000
739,11838720
740,11873280
741,11907840
742,11942400
743,11976960
744,12011520
745,12046080
746,12080640
747,12115200
748,12149760
749,12184320
750,12218880
751,12253440
752,12288000
753,12322560
754,12357120
755,12391680
756,12426240
757,12460800
758,12495360
759,12529920
760,12564480
761,12599040
762,12633600
763,12668160
764,12702720
765,12737280
766,12771840
767,12806400
768,12840960
769,12875520
770,12910080
771,12948480
772,12986880
773,13025280
774,13063680
775,13102080
776,13140480
777,13178880
778,13217280
779,13255680
780,13294080
781,13332480
782,13370880
783,13409280
784,13447680
785,13486080
786,13524480
787,13562880
788,13601280
789,13639680
790,13678080
791,13716480
792,13754880
793,13793280
794,13831680
795,13870080
796,13908480
797,13946880
798,13985280
799,14023680
800,14065920
801,14108160
802,14150400
803,14192640
804,14234880
805,14277120
806,14319360
807,14361600
808,14403840
809,14446080
810,14488320
811,14530560
812,14572800
813,14615040
814,14657280
815,14699520
816,14741760
817,14784000
818,14826240
819,14868480
820,14910720
821,14952960
822,14995200
823,15037440
824,15079680
825,15121920
826,15164160
827,15206400
828,15248640
829,15290880
830,15336960
831,15383040
832,15429120
833,15475200
834,15521280
835,15567360
836,15613440
837,15659520
838,15705600
839,15751680
840,15797760
841,15843840
842,15889920
843,15936000
844,15982080
845,16028160
846,16074240
847,16120320
848,16166400
849,16212480
850,16258560
851,16308480
852,16358400
853,16408320
854,16458240
855,16508160
856,16558080
857,16608000
858,16657920
859,16707840
860,16757760
861,16807680
862,16857600
863,16907520
864,16957440
865,17007360
866,17057280
867,17107200
868,17157120
869,17207040
870,17256960
871,17306880
872,17356800
873,17406720
874,17456640
875,17506560
876,17556480
877,17606400
878,17656320
879,17706240
880,17760000
881,17813760
882,17867520
883,17921280
884,17975040
885,18028800
886,18082560
887,18136320
888,18190080
889,18243840
890,18297600
891,18351360
892,18405120
893,18458880
894,18512640
895,18566400
896,18620160
897,18673920
898,18727680
899,18781440
900,18835200
901,18888960
902,18942720
903,18996480
904,19050240
905,19107840
906,19165440
907,19223040
908,19280640
909,19338240
910,19395840
911,19453440
912,19511040
913,19568640
914,19626240
915,19683840
916,19741440
917,19799040
918,19856640
919,19914240
920,19971840
921,20029440
922,20087040
923,20144640
924,20206080
925,20267520
926,20328960
927,20390400
928,20451840
929,20513280
930,20574720
931,20636160
932,20697600
933,20759040
934,20820480
935,20881920
936,20943360
937,21004800
938,21066240
939,21131520
940,21196800
941,21262080
942,21327360
943,21392640
944,21457920
945,21523200
946,21588480
947,21653760
948,21719040
949,21784320
950,21849600
951,21914880
952,21980160
953,22045440
954,22110720
955,22176000
956,22241280
957,22310400
958,22379520
959,22448640
960,22517760
961,22586880
962,22656000
963,22725120
964,22794240
965,22863360
966,22932480
967,23001600
968,23070720
969,23139840
970,23208960
971,23278080
972,23347200
973,23416320
974,23485440
975,23554560
976,23627520
977,23700480
978,23773440
979,23846400
980,23919360
981,23992320
