KeywordCount,Storage(Bits)
1,2147513216
2,2147543040
3,2147572864
4,2147602688
5,2147632512
6,2147662336
7,2147692160
8,2147721984
9,2147751808
10,2147781632
11,2147811456
12,2147841280
13,2147871104
14,2147900928
15,2147930752
16,2147960576
17,2147990400
18,2148020224
19,2148050048
20,2148079872
21,2148109696
22,2148139520
23,2148169344
24,2148199168
25,2148228992
26,2148258816
27,2148288640
28,2148318464
29,2148348288
30,2148378112
31,2148407936
32,2148437760
33,2148467584
34,2148497408
35,2148527232
36,2148557056
37,2148586880
38,2148616704
39,2148646528
40,2148676352
41,2148706176
42,2148736000
43,2148765824
44,2148795648
45,2148825472
46,2148855296
47,2148885120
48,2148914944
49,2148944768
50,2148974592
51,2149004416
52,2149034240
53,2149064064
54,2149093888
55,2149123712
56,2149153536
57,2149183360
58,2149213184
59,2149243008
60,2149272832
61,2149302656
62,2149332480
63,2149362304
64,2149392128
65,2149421952
66,2149451776
67,2149481600
68,2149511424
69,2149541248
70,2149571072
71,2149600896
72,2149630720
73,2149660544
74,2149690368
75,2149720192
76,2149750016
77,2149779840
78,2149809664
79,2149839488
80,2149869312
81,2149899136
82,2149928960
83,2149958784
84,2149988608
85,2150018432
86,2150048256
87,2150078080
88,2150107904
89,2150137728
90,2150167552
91,2150197376
92,2150227200
93,2150257024
94,2150286848
95,2150316672
96,2150346496
97,2150376320
98,2150406144
99,2150435968
100,2150465792
101,2150495616
102,2150525440
103,2150555264
104,2150585088
105,2150614912
106,2150644736
107,2150674560
108,2150704384
109,2150734208
110,2150764032
111,2150793856
112,2150823680
113,2150853504
114,2150883328
115,2150913152
116,2150942976
117,2150972800
118,2151002624
119,2151032448
120,2151062272
121,2151092096
122,2151121920
123,2151151744
124,2151181568
125,2151211392
126,2151241216
127,2151271040
128,2151300864
129,2151330688
130,2151360512
131,2151390336
132,2151420160
133,2151449984
134,2151479808
135,2151509632
136,2151539456
137,2151569280
138,2151599104
139,2151628928
140,2151658752
141,2151688576
142,2151718400
143,2151748224
144,2151778048
145,2151807872
146,2151837696
147,2151867520
148,2151897344
149,2151927168
150,2151956992
151,2151986816
152,2152016640
153,2152046464
154,2152076288
155,2152106112
156,2152135936
157,2152165760
158,2152195584
159,2152225408
160,2152255232
161,2152285056
162,2152314880
163,2152344704
164,2152374528
165,2152404352
166,2152434176
167,2152464000
168,2152493824
169,2152523648
170,2152553472
171,2152583296
172,2152613120
173,2152642944
174,2152672768
175,2152702592
176,2152732416
177,2152762240
178,2152792064
179,2152821888
180,2152851712
181,2152881536
182,2152911360
183,2152941184
184,2152971008
185,2153000832
186,2153030656
187,2153060480
188,2153090304
189,2153120128
190,2153149952
191,2153179776
192,2153209600
193,2153239424
194,2153269248
195,2153299072
196,2153328896
197,2153358720
198,2153388544
199,2153418368
200,2153448192
201,2153478016
202,2153507840
203,2153537664
204,2153567488
205,2153597312
206,2153627136
207,2153656960
208,2153686784
209,2153716608
210,2153746432
211,2153776256
212,2153806080
213,2153835904
214,2153865728
215,2153895552
216,2153925376
217,2153955200
218,2153985024
219,2154014848
220,2154044672
221,2154074496
222,2154104320
223,2154134144
224,2154163968
225,2154193792
226,2154223616
227,2154253440
228,2154283264
229,2154313088
230,2154342912
231,2154372736
232,2154402560
233,2154432384
234,2154462208
235,2154492032
236,2154521856
237,2154551680
238,2154581504
239,2154611328
240,2154641152
241,2154670976
242,2154700800
243,2154730624
244,2154760448
245,2154790272
246,2154820096
247,2154849920
248,2154879744
249,2154909568
250,2154939392
251,2154969216
252,2154999040
253,2155028864
254,2155058688
255,2155088512
256,2155118336
257,2155148160
258,2155177984
259,2155207808
260,2155237632
261,2155267456
262,2155297280
263,2155327104
264,2155356928
265,2155386752
266,2155416576
267,2155446400
268,2155476224
269,2155506048
270,2155535872
271,2155565696
272,2155595520
273,2155625344
274,2155655168
275,2155684992
276,2155714816
277,2155744640
278,2155774464
279,2155804288
280,2155834112
281,2155863936
282,2155893760
283,2155923584
284,2155953408
285,2155983232
286,2156013056
287,2156042880
288,2156072704
289,2156102528
290,2156132352
291,2156162176
292,2156192000
293,2156221824
294,2156251648
295,2156281472
296,2156311296
297,2156341120
298,2156370944
299,2156400768
300,2156430592
301,2156460416
302,2156490240
303,2156520064
304,2156549888
305,2156579712
306,2156609536
307,2156639360
308,2156669184
309,2156699008
310,2156728832
311,2156758656
312,2156788480
313,2156818304
314,2156848128
315,2156877952
316,2156907776
317,2156937600
318,2156967424
319,2156997248
320,2157027072
321,2157056896
322,2157086720
323,2157116544
324,2157146368
325,2157176192
326,2157206016
327,2157235840
