KeywordCount,Storage(Bits)
1,2147781632
2,2148885120
3,2149988608
4,2151092096
5,2152195584
6,2153328896
7,2154462208
8,2155595520
9,2156728832
10,2157862144
11,2159025280
12,2160188416
13,2161351552
14,2162514688
15,2163677824
16,2164840960
17,2166004096
18,2167167232
19,2168330368
20,2169493504
21,2170656640
22,2171819776
23,2172982912
24,2174146048
25,2175309184
26,2176472320
27,2177635456
28,2178798592
29,2179961728
30,2181154688
31,2182347648
32,2183540608
33,2184733568
34,2185926528
35,2187119488
36,2188312448
37,2189505408
38,2190698368
39,2191891328
40,2193084288
41,2194277248
42,2195470208
43,2196663168
44,2197856128
45,2199049088
46,2200242048
47,2201435008
48,2202627968
49,2203820928
50,2205013888
51,2206206848
52,2207399808
53,2208622592
54,2209845376
55,2211068160
56,2212290944
57,2213513728
58,2214736512
59,2215959296
60,2217182080
61,2218404864
62,2219627648
63,2220850432
64,2222073216
65,2223296000
66,2224518784
67,2225741568
68,2226964352
69,2228187136
70,2229409920
71,2230632704
72,2231855488
73,2233078272
74,2234301056
75,2235523840
76,2236746624
77,2237969408
78,2239192192
79,2240414976
80,2241637760
81,2242860544
82,2244083328
83,2245306112
84,2246528896
85,2247751680
86,2248974464
87,2250227072
88,2251479680
89,2252732288
90,2253984896
91,2255237504
92,2256490112
93,2257742720
94,2258995328
95,2260247936
96,2261500544
97,2262753152
98,2264005760
99,2265258368
100,2266510976
101,2267763584
102,2269016192
103,2270268800
104,2271521408
105,2272774016
106,2274026624
107,2275279232
108,2276531840
109,2277784448
110,2279037056
111,2280289664
112,2281542272
113,2282794880
114,2284047488
115,2285300096
116,2286552704
117,2287805312
118,2289057920
119,2290310528
120,2291563136
121,2292815744
122,2294068352
123,2295320960
124,2296573568
125,2297826176
126,2299078784
127,2300331392
128,2301613824
129,2302896256
130,2304178688
131,2305461120
132,2306743552
133,2308025984
134,2309308416
135,2310590848
136,2311873280
137,2313155712
138,2314438144
139,2315720576
140,2317003008
141,2318285440
142,2319567872
143,2320850304
144,2322132736
145,2323415168
146,2324697600
147,2325980032
148,2327262464
149,2328544896
150,2329827328
151,2331109760
152,2332392192
153,2333674624
154,2334957056
155,2336239488
156,2337521920
157,2338804352
158,2340086784
159,2341369216
160,2342651648
161,2343934080
162,2345216512
163,2346498944
164,2347781376
165,2349063808
166,2350346240
167,2351628672
168,2352911104
169,2354193536
170,2355475968
171,2356758400
172,2358040832
173,2359323264
174,2360605696
175,2361888128
176,2363170560
177,2364452992
178,2365735424
179,2367017856
180,2368300288
181,2369582720
182,2370865152
183,2372147584
184,2373430016
185,2374712448
186,2375994880
187,2377307136
188,2378619392
189,2379931648
190,2381243904
191,2382556160
192,2383868416
193,2385180672
194,2386492928
195,2387805184
196,2389117440
197,2390429696
198,2391741952
199,2393054208
200,2394366464
201,2395678720
202,2396990976
203,2398303232
204,2399615488
205,2400927744
206,2402240000
207,2403552256
208,2404864512
209,2406176768
210,2407489024
211,2408801280
212,2410113536
213,2411425792
214,2412738048
215,2414050304
216,2415362560
217,2416674816
218,2417987072
219,2419299328
220,2420611584
221,2421923840
222,2423236096
223,2424548352
224,2425860608
225,2427172864
226,2428485120
227,2429797376
228,2431109632
229,2432421888
230,2433734144
231,2435046400
232,2436358656
233,2437670912
234,2438983168
235,2440295424
236,2441607680
237,2442919936
238,2444232192
239,2445544448
240,2446856704
241,2448168960
242,2449481216
243,2450793472
244,2452105728
245,2453417984
246,2454730240
247,2456042496
248,2457354752
249,2458667008
250,2459979264
251,2461291520
252,2462603776
253,2463916032
254,2465228288
255,2466540544
256,2467852800
257,2469165056
258,2470477312
259,2471789568
260,2473101824
261,2474443904
262,2475785984
263,2477128064
264,2478470144
265,2479812224
266,2481154304
267,2482496384
268,2483838464
269,2485180544
270,2486522624
271,2487864704
272,2489206784
273,2490548864
274,2491890944
275,2493233024
276,2494575104
277,2495917184
278,2497259264
279,2498601344
280,2499943424
281,2501285504
282,2502627584
283,2503969664
284,2505311744
285,2506653824
286,2507995904
287,2509337984
288,2510680064
289,2512022144
290,2513364224
291,2514706304
292,2516048384
293,2517390464
294,2518732544
295,2520074624
296,2521416704
297,2522758784
298,2524100864
299,2525442944
300,2526785024
301,2528127104
302,2529469184
303,2530811264
304,2532153344
305,2533495424
306,2534837504
307,2536179584
308,2537521664
309,2538863744
310,2540205824
311,2541547904
312,2542889984
313,2544232064
314,2545574144
315,2546916224
316,2548258304
317,2549600384
318,2550942464
319,2552284544
320,2553626624
321,2554968704
322,2556310784
323,2557652864
324,2558994944
325,2560337024
326,2561679104
327,2563051008
328,2564422912
329,2565794816
330,2567166720
331,2568538624
332,2569910528
333,2571282432
334,2572654336
335,2574026240
336,2575398144
337,2576770048
338,2578141952
339,2579513856
340,2580885760
341,2582257664
342,2583629568
343,2585001472
344,2586373376
345,2587745280
346,2589117184
347,2590489088
348,2591860992
349,2593232896
350,2594604800
351,2595976704
352,2597348608
353,2598720512
354,2600092416
355,2601464320
356,2602836224
357,2604208128
358,2605580032
359,2606951936
360,2608323840
361,2609695744
362,2611067648
363,2612439552
364,2613811456
365,2615183360
366,2616555264
367,2617927168
368,2619299072
369,2620670976
370,2622042880
371,2623414784
372,2624786688
373,2626158592
374,2627530496
375,2628902400
376,2630274304
377,2631646208
378,2633018112
379,2634390016
380,2635761920
381,2637133824
382,2638505728
383,2639877632
384,2641249536
385,2642621440
386,2643993344
387,2645395072
388,2646796800
389,2648198528
390,2649600256
391,2651001984
392,2652403712
393,2653805440
394,2655207168
395,2656608896
396,2658010624
397,2659412352
398,2660814080
399,2662215808
400,2663617536
401,2665019264
402,2666420992
403,2667822720
404,2669224448
405,2670626176
406,2672027904
407,2673429632
408,2674831360
409,2676233088
410,2677634816
411,2679036544
412,2680438272
413,2681840000
414,2683241728
415,2684643456
416,2686045184
417,2687446912
418,2688848640
419,2690250368
420,2691652096
421,2693053824
422,2694455552
423,2695857280
424,2697259008
425,2698660736
426,2700062464
427,2701464192
428,2702865920
429,2704267648
430,2705669376
431,2707071104
432,2708472832
433,2709874560
434,2711276288
435,2712678016
436,2714079744
437,2715481472
438,2716883200
439,2718284928
440,2719686656
441,2721088384
442,2722490112
443,2723891840
444,2725293568
445,2726695296
446,2728097024
447,2729498752
448,2730930304
449,2732361856
450,2733793408
