KeywordCount,Storage(Bits)
1,2147513216
2,2147572864
3,2147632512
4,2147692160
5,2147751808
6,2147811456
7,2147871104
8,2147930752
9,2147990400
10,2148050048
11,2148109696
12,2148169344
13,2148228992
14,2148288640
15,2148348288
16,2148407936
17,2148467584
18,2148527232
19,2148586880
20,2148646528
21,2148706176
22,2148765824
23,2148825472
24,2148885120
25,2148974592
26,2149064064
27,2149153536
28,2149243008
29,2149332480
30,2149421952
31,2149511424
32,2149600896
33,2149690368
34,2149779840
35,2149869312
36,2149958784
37,2150048256
38,2150137728
39,2150227200
40,2150316672
41,2150406144
42,2150495616
43,2150585088
44,2150674560
45,2150764032
46,2150853504
47,2150942976
48,2151032448
49,2151121920
50,2151211392
51,2151300864
52,2151390336
53,2151479808
54,2151569280
55,2151658752
56,2151748224
57,2151837696
58,2151927168
59,2152016640
60,2152106112
61,2152195584
62,2152285056
63,2152374528
64,2152464000
65,2152553472
66,2152642944
67,2152732416
68,2152821888
69,2152911360
70,2153000832
71,2153090304
72,2153179776
73,2153269248
74,2153358720
75,2153448192
76,2153537664
77,2153627136
78,2153716608
79,2153806080
80,2153895552
81,2153985024
82,2154074496
83,2154163968
84,2154253440
85,2154342912
86,2154432384
87,2154521856
88,2154611328
89,2154700800
90,2154790272
91,2154879744
92,2154969216
93,2155058688
94,2155148160
95,2155237632
96,2155327104
97,2155416576
98,2155506048
99,2155595520
100,2155684992
101,2155774464
102,2155863936
103,2155953408
104,2156042880
105,2156132352
106,2156221824
107,2156311296
108,2156400768
109,2156490240
110,2156579712
111,2156669184
112,2156758656
113,2156848128
114,2156937600
115,2157027072
116,2157116544
117,2157206016
118,2157295488
119,2157384960
120,2157474432
121,2157563904
122,2157653376
123,2157742848
124,2157832320
125,2157921792
126,2158011264
127,2158100736
128,2158190208
129,2158279680
130,2158369152
131,2158458624
132,2158548096
133,2158637568
134,2158727040
135,2158816512
136,2158905984
137,2158995456
138,2159084928
139,2159174400
140,2159263872
141,2159353344
142,2159442816
143,2159532288
144,2159621760
145,2159711232
146,2159800704
147,2159890176
148,2159979648
149,2160069120
150,2160158592
151,2160248064
152,2160337536
153,2160427008
154,2160516480
155,2160605952
156,2160695424
157,2160784896
158,2160874368
159,2160963840
160,2161053312
161,2161142784
162,2161232256
163,2161321728
164,2161411200
165,2161500672
166,2161590144
167,2161679616
168,2161769088
169,2161858560
170,2161948032
171,2162037504
172,2162126976
173,2162216448
174,2162305920
175,2162395392
176,2162484864
177,2162574336
178,2162663808
179,2162753280
180,2162842752
181,2162932224
182,2163021696
183,2163111168
184,2163200640
185,2163290112
186,2163379584
187,2163469056
188,2163558528
189,2163648000
190,2163737472
191,2163826944
192,2163916416
193,2164005888
194,2164095360
195,2164184832
196,2164274304
197,2164363776
198,2164453248
199,2164542720
200,2164632192
201,2164721664
202,2164811136
203,2164900608
204,2164990080
205,2165079552
206,2165169024
207,2165258496
208,2165347968
209,2165437440
210,2165526912
211,2165616384
212,2165705856
213,2165795328
214,2165884800
215,2165974272
216,2166063744
217,2166153216
218,2166242688
219,2166332160
220,2166421632
221,2166511104
222,2166600576
223,2166690048
224,2166779520
225,2166868992
226,2166958464
227,2167047936
228,2167137408
229,2167226880
230,2167316352
231,2167405824
232,2167495296
233,2167584768
234,2167674240
235,2167763712
236,2167853184
237,2167942656
238,2168032128
239,2168121600
240,2168211072
241,2168300544
242,2168390016
243,2168479488
244,2168568960
245,2168658432
246,2168747904
247,2168837376
248,2168926848
249,2169016320
250,2169105792
251,2169195264
252,2169284736
253,2169374208
254,2169463680
255,2169553152
256,2169642624
257,2169732096
