KeywordCount,Storage(Bits)
1,776
2,1552
3,2328
4,3104
5,3880
6,4656
7,5432
8,6208
9,6984
10,7760
11,8536
12,9312
13,10088
14,10864
15,11640
16,12416
17,13192
18,13968
19,14744
20,15520
21,16296
22,17072
23,17848
24,18624
25,19400
26,20176
27,20952
28,21728
29,22504
30,23280
31,24056
32,24832
33,25608
34,26384
35,27160
36,27936
37,28712
38,29488
39,30264
40,31040
41,31816
42,32592
43,33368
44,34144
45,34920
46,35696
47,36472
48,37248
49,38024
50,38800
51,39576
52,40352
53,41128
54,41904
55,42680
56,43456
57,44232
58,45008
59,45784
60,46560
61,47336
62,48112
63,48888
64,49664
65,50440
66,51216
67,51992
68,52768
69,53544
70,54320
71,55096
72,55872
73,56648
74,57424
75,58200
76,58976
77,59752
78,60528
79,61304
80,62080
81,62856
82,63632
83,64408
84,65184
85,65960
86,66736
87,67512
88,68288
89,69064
90,69840
91,70616
92,71392
93,72168
94,72944
95,73720
96,74496
97,75272
98,76048
99,76824
100,77600
101,78376
102,79152
103,79928
104,80704
105,81480
106,82256
107,83032
108,83808
109,84584
110,85360
111,86136
112,86912
113,87688
114,88464
115,89240
116,90016
117,90792
118,91568
119,92344
120,93120
121,93896
122,94672
123,95448
124,96224
125,97000
126,97776
127,98552
128,99328
129,100104
130,100880
131,101656
132,102432
133,103208
134,103984
135,104760
136,105536
137,106312
138,107088
139,107864
140,108640
141,109416
142,110192
143,110968
144,111744
145,112520
146,113296
147,114072
148,114848
149,115624
150,116400
151,117176
152,117952
153,118728
154,119504
155,120280
156,121056
157,121832
158,122608
159,123384
160,124160
161,124936
162,125712
163,126488
164,127264
165,128040
166,128816
167,129592
168,130368
169,131144
170,131920
171,132696
172,133472
173,134248
174,135024
175,135800
176,136576
177,137352
178,138128
179,138904
180,139680
181,140456
182,141232
183,142008
184,142784
185,143560
186,144336
187,145112
188,145888
189,146664
190,147440
191,148216
192,148992
193,149768
194,150544
195,151320
196,152096
197,152872
198,153648
199,154424
200,155200
201,155976
202,156752
203,157528
204,158304
205,159080
206,159856
207,160632
208,161408
209,162184
210,162960
211,163736
212,164512
213,165288
214,166064
215,166840
216,167616
217,168392
218,169168
219,169944
220,170720
221,171496
222,172272
223,173048
224,173824
225,174600
226,175376
227,176152
228,176928
229,177704
230,178480
231,179256
232,180032
233,180808
234,181584
235,182360
236,183136
237,183912
238,184688
239,185464
240,186240
241,187016
242,187792
243,188568
244,189344
245,190120
246,190896
247,191672
248,192448
249,193224
250,194000
251,194776
252,195552
253,196328
254,197104
255,197880
256,198656
257,199432
258,200208
259,200984
260,201760
261,202536
262,203312
263,204088
264,204864
265,205640
266,206416
267,207192
268,207968
269,208744
270,209520
271,210296
