KeywordCount,Storage(Bits)
1,7760
2,36472
3,65184
4,93896
5,122608
6,152096
7,181584
8,211072
9,240560
10,270048
11,300312
12,330576
13,360840
14,391104
15,421368
16,451632
17,481896
18,512160
19,542424
20,572688
21,602952
22,633216
23,663480
24,693744
25,724008
26,754272
27,784536
28,814800
29,845064
30,876104
31,907144
32,938184
33,969224
34,1000264
35,1031304
36,1062344
37,1093384
38,1124424
39,1155464
40,1186504
41,1217544
42,1248584
43,1279624
44,1310664
45,1341704
46,1372744
47,1403784
48,1434824
49,1465864
50,1496904
51,1527944
52,1558984
53,1590800
54,1622616
55,1654432
56,1686248
57,1718064
58,1749880
59,1781696
60,1813512
61,1845328
62,1877144
63,1908960
64,1940776
65,1972592
66,2004408
67,2036224
68,2068040
69,2099856
70,2131672
71,2163488
72,2195304
73,2227120
74,2258936
75,2290752
76,2322568
77,2354384
78,2386200
79,2418016
80,2449832
81,2481648
82,2513464
83,2545280
84,2577096
85,2608912
86,2640728
87,2673320
88,2705912
89,2738504
90,2771096
91,2803688
92,2836280
93,2868872
94,2901464
95,2934056
96,2966648
97,2999240
98,3031832
99,3064424
100,3097016
101,3129608
102,3162200
103,3194792
104,3227384
105,3259976
106,3292568
107,3325160
108,3357752
109,3390344
110,3422936
111,3455528
112,3488120
113,3520712
114,3553304
115,3585896
116,3618488
117,3651080
118,3683672
119,3716264
120,3748856
121,3781448
122,3814040
123,3846632
124,3879224
125,3911816
126,3944408
127,3977000
128,4010368
129,4043736
130,4077104
131,4110472
132,4143840
133,4177208
134,4210576
135,4243944
136,4277312
137,4310680
138,4344048
139,4377416
140,4410784
141,4444152
142,4477520
143,4510888
144,4544256
145,4577624
146,4610992
147,4644360
148,4677728
149,4711096
150,4744464
151,4777832
152,4811200
153,4844568
154,4877936
155,4911304
156,4944672
157,4978040
158,5011408
159,5044776
160,5078144
161,5111512
162,5144880
163,5178248
164,5211616
165,5244984
166,5278352
167,5311720
168,5345088
169,5378456
170,5411824
171,5445192
172,5478560
173,5511928
174,5545296
175,5578664
176,5612032
177,5645400
178,5678768
179,5712136
180,5745504
181,5778872
182,5812240
183,5845608
184,5878976
185,5912344
186,5945712
187,5979856
188,6014000
189,6048144
190,6082288
191,6116432
192,6150576
193,6184720
194,6218864
195,6253008
196,6287152
197,6321296
198,6355440
199,6389584
200,6423728
201,6457872
202,6492016
203,6526160
204,6560304
205,6594448
206,6628592
207,6662736
208,6696880
209,6731024
210,6765168
211,6799312
212,6833456
213,6867600
214,6901744
215,6935888
216,6970032
217,7004176
218,7038320
219,7072464
220,7106608
221,7140752
222,7174896
223,7209040
224,7243184
225,7277328
226,7311472
227,7345616
228,7379760
229,7413904
230,7448048
231,7482192
232,7516336
233,7550480
234,7584624
235,7618768
236,7652912
237,7687056
238,7721200
239,7755344
240,7789488
241,7823632
242,7857776
243,7891920
244,7926064
245,7960208
246,7994352
247,8028496
248,8062640
249,8096784
250,8130928
251,8165072
252,8199216
253,8233360
254,8267504
255,8301648
256,8335792
257,8369936
258,8404080
259,8438224
260,8472368
261,8507288
262,8542208
