KeywordCount,Storage(Bits)
1,6720
2,31584
3,56448
4,81312
5,106176
6,131712
7,157248
8,182784
9,208320
10,233856
11,260064
12,286272
13,312480
14,338688
15,364896
16,391104
17,417312
18,443520
19,469728
20,495936
21,522144
22,548352
23,574560
24,600768
25,626976
26,653184
27,679392
28,705600
29,731808
30,758688
31,785568
32,812448
33,839328
34,866208
35,893088
36,919968
37,946848
38,973728
39,1000608
40,1027488
41,1054368
42,1081248
43,1108128
44,1135008
45,1161888
46,1188768
47,1215648
48,1242528
49,1269408
50,1296288
51,1323168
52,1350048
53,1377600
54,1405152
55,1432704
56,1460256
57,1487808
58,1515360
59,1542912
60,1570464
61,1598016
62,1625568
63,1653120
64,1680672
65,1708224
66,1735776
67,1763328
68,1790880
69,1818432
70,1845984
71,1873536
72,1901088
73,1928640
74,1956192
75,1983744
76,2011296
77,2038848
78,2066400
79,2093952
80,2121504
81,2149056
82,2176608
83,2204160
84,2231712
85,2259264
86,2286816
87,2315040
88,2343264
89,2371488
90,2399712
91,2427936
92,2456160
93,2484384
94,2512608
95,2540832
96,2569056
97,2597280
98,2625504
99,2653728
100,2681952
101,2710176
102,2738400
103,2766624
104,2794848
105,2823072
106,2851296
107,2879520
108,2907744
109,2935968
110,2964192
111,2992416
112,3020640
113,3048864
114,3077088
115,3105312
116,3133536
117,3161760
118,3189984
119,3218208
120,3246432
121,3274656
122,3302880
123,3331104
124,3359328
125,3387552
126,3415776
127,3444000
128,3472896
129,3501792
130,3530688
131,3559584
132,3588480
133,3617376
134,3646272
135,3675168
136,3704064
137,3732960
138,3761856
139,3790752
140,3819648
141,3848544
142,3877440
143,3906336
144,3935232
145,3964128
146,3993024
147,4021920
148,4050816
149,4079712
150,4108608
151,4137504
152,4166400
153,4195296
154,4224192
155,4253088
156,4281984
157,4310880
158,4339776
159,4368672
160,4397568
161,4426464
162,4455360
163,4484256
164,4513152
165,4542048
166,4570944
167,4599840
168,4628736
169,4657632
170,4686528
171,4715424
172,4744320
173,4773216
174,4802112
175,4831008
176,4859904
177,4888800
178,4917696
179,4946592
180,4975488
181,5004384
182,5033280
183,5062176
184,5091072
185,5119968
186,5148864
187,5178432
188,5208000
189,5237568
190,5267136
191,5296704
192,5326272
193,5355840
194,5385408
195,5414976
196,5444544
197,5474112
198,5503680
199,5533248
200,5562816
201,5592384
202,5621952
203,5651520
204,5681088
205,5710656
206,5740224
207,5769792
208,5799360
209,5828928
210,5858496
211,5888064
212,5917632
213,5947200
214,5976768
215,6006336
216,6035904
217,6065472
218,6095040
219,6124608
220,6154176
221,6183744
222,6213312
223,6242880
224,6272448
225,6302016
226,6331584
227,6361152
228,6390720
229,6420288
230,6449856
231,6479424
232,6508992
233,6538560
234,6568128
235,6597696
236,6627264
237,6656832
238,6686400
239,6715968
240,6745536
241,6775104
242,6804672
243,6834240
244,6863808
245,6893376
246,6922944
247,6952512
248,6982080
249,7011648
250,7041216
251,7070784
252,7100352
253,7129920
254,7159488
255,7189056
256,7218624
257,7248192
258,7277760
259,7307328
260,7336896
261,7367136
262,7397376
263,7427616
264,7457856
265,7488096
266,7518336
267,7548576
268,7578816
269,7609056
270,7639296
271,7669536
272,7699776
273,7730016
274,7760256
275,7790496
276,7820736
277,7850976
278,7881216
279,7911456
280,7941696
281,7971936
282,8002176
283,8032416
284,8062656
285,8092896
286,8123136
287,8153376
288,8183616
289,8213856
290,8244096
291,8274336
292,8304576
293,8334816
294,8365056
295,8395296
296,8425536
297,8455776
298,8486016
299,8516256
300,8546496
301,8576736
302,8606976
303,8637216
304,8667456
305,8697696
306,8727936
307,8758176
308,8788416
309,8818656
310,8848896
311,8879136
312,8909376
313,8939616
314,8969856
315,9000096
316,9030336
317,9060576
318,9090816
319,9121056
320,9151296
321,9181536
322,9211776
323,9242016
324,9272256
325,9302496
326,9332736
327,9363648
328,9394560
329,9425472
330,9456384
331,9487296
332,9518208
333,9549120
334,9580032
335,9610944
336,9641856
337,9672768
338,9703680
339,9734592
340,9765504
341,9796416
342,9827328
343,9858240
344,9889152
345,9920064
346,9950976
347,9981888
348,10012800
349,10043712
350,10074624
351,10105536
352,10136448
353,10167360
354,10198272
355,10229184
356,10260096
357,10291008
358,10321920
359,10352832
360,10383744
361,10414656
362,10445568
363,10476480
364,10507392
365,10538304
366,10569216
367,10600128
368,10631040
369,10661952
370,10692864
371,10723776
372,10754688
373,10785600
374,10816512
375,10847424
376,10878336
377,10909248
378,10940160
379,10971072
380,11001984
381,11032896
382,11063808
383,11094720
384,11125632
385,11156544
386,11187456
387,11219040
388,11250624
389,11282208
390,11313792
391,11345376
392,11376960
393,11408544
394,11440128
395,11471712
396,11503296
397,11534880
398,11566464
399,11598048
400,11629632
401,11661216
402,11692800
403,11724384
404,11755968
405,11787552
406,11819136
407,11850720
408,11882304
409,11913888
