KeywordCount,Storage(Bits)
1,672
2,1344
3,2016
4,2688
5,3360
6,4032
7,4704
8,5376
9,6048
10,6720
11,7392
12,8064
13,8736
14,9408
15,10080
16,10752
17,11424
18,12096
19,12768
20,13440
21,14112
22,14784
23,15456
24,16128
25,16800
26,17472
27,18144
28,18816
29,19488
30,20160
31,20832
32,21504
33,22176
34,22848
35,23520
36,24192
37,24864
38,25536
39,26208
40,26880
41,27552
42,28224
43,28896
44,29568
45,30240
46,30912
47,31584
48,32256
49,32928
50,33600
51,34272
52,34944
53,35616
54,36288
55,36960
56,37632
57,38304
58,38976
59,39648
60,40320
61,40992
62,41664
63,42336
64,43008
65,43680
66,44352
67,45024
68,45696
69,46368
70,47040
71,47712
72,48384
73,49056
74,49728
75,50400
76,51072
77,51744
78,52416
79,53088
80,53760
81,54432
82,55104
83,55776
84,56448
85,57120
86,57792
87,58464
88,59136
89,59808
90,60480
91,61152
92,61824
93,62496
94,63168
95,63840
96,64512
97,65184
98,65856
99,66528
100,67200
101,67872
102,68544
103,69216
104,69888
105,70560
106,71232
107,71904
108,72576
109,73248
110,73920
111,74592
112,75264
113,75936
114,76608
115,77280
116,77952
117,78624
118,79296
119,79968
120,80640
121,81312
122,81984
123,82656
124,83328
125,84000
126,84672
127,85344
128,86016
129,86688
130,87360
131,88032
132,88704
133,89376
134,90048
135,90720
136,91392
137,92064
138,92736
139,93408
140,94080
141,94752
142,95424
143,96096
144,96768
145,97440
146,98112
147,98784
148,99456
149,100128
150,100800
151,101472
152,102144
153,102816
154,103488
155,104160
156,104832
157,105504
158,106176
159,106848
160,107520
161,108192
162,108864
163,109536
164,110208
165,110880
166,111552
167,112224
168,112896
169,113568
170,114240
171,114912
172,115584
173,116256
174,116928
175,117600
176,118272
177,118944
178,119616
179,120288
180,120960
181,121632
182,122304
183,122976
184,123648
185,124320
186,124992
187,125664
188,126336
189,127008
190,127680
191,128352
192,129024
193,129696
194,130368
195,131040
196,131712
197,132384
198,133056
199,133728
200,134400
201,135072
202,135744
203,136416
204,137088
205,137760
206,138432
207,139104
208,139776
209,140448
210,141120
211,141792
212,142464
213,143136
214,143808
215,144480
216,145152
217,145824
218,146496
219,147168
220,147840
221,148512
222,149184
223,149856
224,150528
225,151200
226,151872
227,152544
228,153216
229,153888
230,154560
231,155232
232,155904
233,156576
234,157248
235,157920
236,158592
237,159264
238,159936
239,160608
240,161280
241,161952
242,162624
243,163296
244,163968
245,164640
246,165312
247,165984
248,166656
249,167328
250,168000
251,168672
252,169344
253,170016
254,170688
255,171360
256,172032
257,172704
258,173376
259,174048
260,174720
261,175392
262,176064
263,176736
264,177408
265,178080
266,178752
267,179424
268,180096
269,180768
270,181440
271,182112
272,182784
273,183456
274,184128
275,184800
276,185472
277,186144
278,186816
279,187488
280,188160
281,188832
282,189504
283,190176
284,190848
285,191520
286,192192
287,192864
288,193536
289,194208
290,194880
291,195552
292,196224
293,196896
294,197568
295,198240
296,198912
297,199584
298,200256
299,200928
300,201600
301,202272
302,202944
303,203616
304,204288
305,204960
306,205632
307,206304
308,206976
309,207648
310,208320
311,208992
312,209664
313,210336
314,211008
315,211680
316,212352
317,213024
318,213696
319,214368
320,215040
321,215712
322,216384
323,217056
324,217728
325,218400
326,219072
327,219744
328,220416
329,221088
330,221760
331,222432
332,223104
333,223776
334,224448
335,225120
336,225792
337,226464
338,227136
339,227808
340,228480
341,229152
342,229824
343,230496
344,231168
345,231840
346,232512
347,233184
348,233856
349,234528
350,235200
351,235872
352,236544
353,237216
354,237888
355,238560
356,239232
357,239904
358,240576
359,241248
360,241920
361,242592
362,243264
363,243936
364,244608
365,245280
366,245952
367,246624
368,247296
369,247968
370,248640
371,249312
372,249984
373,250656
374,251328
375,252000
376,252672
377,253344
378,254016
379,254688
380,255360
381,256032
382,256704
383,257376
384,258048
385,258720
386,259392
387,260064
388,260736
389,261408
390,262080
391,262752
392,263424
393,264096
394,264768
395,265440
396,266112
397,266784
398,267456
399,268128
400,268800
401,269472
402,270144
403,270816
404,271488
405,272160
406,272832
407,273504
408,274176
409,274848
410,275520
411,276192
412,276864
413,277536
414,278208
415,278880
416,279552
417,280224
418,280896
419,281568
420,282240
421,282912
422,283584
423,284256
424,284928
425,285600
426,286272
427,286944
428,287616
429,288288
430,288960
431,289632
432,290304
433,290976
434,291648
435,292320
436,292992
437,293664
438,294336
439,295008
440,295680
441,296352
442,297024
443,297696
444,298368
445,299040
446,299712
447,300384
448,301056
449,301728
450,302400
451,303072
452,303744
453,304416
454,305088
455,305760
456,306432
457,307104
458,307776
459,308448
460,309120
461,309792
462,310464
463,311136
464,311808
465,312480
466,313152
467,313824
468,314496
469,315168
470,315840
471,316512
472,317184
473,317856
474,318528
475,319200
476,319872
477,320544
478,321216
479,321888
480,322560
481,323232
482,323904
483,324576
484,325248
485,325920
486,326592
487,327264
488,327936
489,328608
490,329280
491,329952
492,330624
493,331296
494,331968
495,332640
496,333312
497,333984
498,334656
499,335328
500,336000
501,336672
502,337344
503,338016
504,338688
505,339360
506,340032
507,340704
508,341376
509,342048
510,342720
511,343392
512,344064
513,344736
514,345408
515,346080
516,346752
517,347424
518,348096
519,348768
520,349440
521,350112
522,350784
523,351456
524,352128
525,352800
526,353472
527,354144
528,354816
529,355488
530,356160
531,356832
532,357504
533,358176
534,358848
535,359520
536,360192
537,360864
538,361536
539,362208
540,362880
541,363552
542,364224
543,364896
544,365568
545,366240
546,366912
547,367584
