keyword     , clientTime, serverTime, totalTime, resultLength, payloadSize
F1438#F10031,      11473,      13898,     25372,            0,          48
F1438#F1021 ,         40,         32,        73,            0,          96
F1438#F10467,         50,         48,        99,            0,         144
F1438#F11486,         74,         56,       131,            0,         192
F1438#F10068,         88,         75,       164,            0,         240
F1438#F10259,        100,         91,       192,            0,         288
F1438#F12293,        128,        107,       236,            0,         336
F1438#F10311,        132,        117,       250,            0,         384
F1438#F13312,        148,        135,       284,            0,         432
F1438#F10800,        164,        150,       314,            0,         480
F1438#F1308 ,        175,        161,       337,            0,         528
F1438#F10693,        193,        187,       380,            0,         576
F1438#F11138,        204,        197,       402,            0,         624
F1438#F10159,        230,        207,       438,            0,         672
F1438#F11380,        242,        218,       460,            0,         720
F1438#F1047 ,        261,        235,       497,            0,         768
F1438#F10072,        281,        245,       526,            0,         816
F1438#F10516,        310,        259,       569,            0,         864
F1438#F10454,        311,        281,       592,            0,         912
F1438#F14280,        326,        300,       626,            0,         960
F1438#F10544,        338,        307,       646,            0,        1008
F1438#F10744,        370,        320,       691,            0,        1056
F1438#F10374,        374,        337,       712,            0,        1104
F1438#F1029 ,        400,        361,       762,            0,        1152
F1438#F12029,        403,        361,       765,            0,        1200
F1438#F10595,        437,        380,       818,            0,        1248
F1438#F10700,        441,        400,       842,            0,        1296
F1438#F10165,        451,        415,       866,            0,        1344
F1438#F10922,        480,        425,       905,            0,        1392
F1438#F10398,        483,        441,       925,            0,        1440
F1438#F10802,        499,        446,       946,            0,        1488
F1438#F10166,        510,        471,       982,            0,        1536
F1438#F13268,        563,        494,      1058,            0,        1584
F1438#F10043,        566,        576,      1143,            0,        1632
F1438#F11321,        582,        521,      1104,            0,        1680
F1438#F10115,        595,        534,      1130,            0,        1728
F1438#F11053,        603,        540,      1144,            0,        1776
F1438#F11114,        615,        569,      1184,            0,        1824
F1438#F10237,        637,        589,      1227,            0,        1872
F1438#F10942,        658,        581,      1239,            0,        1920
F1438#F10450,        655,        605,      1261,            0,        1968
F1438#F11220,        699,        662,      1362,            0,        2016
F1438#F10055,        722,        642,      1365,            0,        2064
F1438#F10494,        704,        661,      1366,            0,        2112
F1438#F10158,        747,        676,      1424,            0,        2160
F1438#F10205,        759,        685,      1444,            0,        2208
F1438#F10813,        766,        685,      1451,            0,        2256
F1438#F10081,        802,        806,      1608,            0,        2304
F1438#F10014,        823,        710,      1534,            0,        2352
F1438#F10136,        808,        760,      1569,            0,        2400
F1438#F11604,        846,        758,      1604,            0,        2448
F1438#F10195,        844,        772,      1617,            0,        2496
F1438#F10355,        887,        789,      1676,            0,        2544
F1438#F11076,        870,        797,      1668,            0,        2592
F1438#F10378,        899,        813,      1713,            0,        2640
F1438#F10547,        927,        826,      1754,            0,        2688
F1438#F10463,        917,        852,      1770,            0,        2736
