keyword,clientTime,serverTime,totalTime,resultLength,payloadSize
F10800#F1308,212,151,364,0,480
F10800#F10693,120,135,256,0,480
F10800#F11138,123,121,245,0,480
F10800#F10159,129,109,239,0,480
F10800#F11380,118,101,221,0,480
F10800#F1047,95,89,185,0,480
F10800#F10072,78,102,180,0,480
F10800#F10516,96,117,213,0,480
F10800#F10454,152,104,257,0,480
F10800#F14280,88,89,177,0,480
F10800#F10544,81,100,182,0,480
F10800#F10744,96,97,193,0,480
F10800#F10374,97,103,200,0,480
F10800#F1029,83,114,197,0,480
F10800#F12029,79,105,184,0,480
F10800#F10595,93,143,236,0,480
F10800#F10700,96,115,212,0,480
F10800#F10165,83,90,174,0,480
F10800#F10922,88,91,180,0,480
F10800#F10398,85,99,186,0,480
F10800#F10802,76,108,186,0,480
F10800#F10166,76,100,177,0,480
F10800#F13268,86,94,181,0,480
F10800#F10043,80,98,179,0,480
F10800#F11321,93,108,202,0,480
F10800#F10115,135,143,279,0,480
F10800#F11053,101,101,203,0,480
F10800#F11114,88,95,184,0,480
F10800#F10237,93,97,190,0,480
F10800#F10942,90,107,198,0,480
F10800#F10450,93,120,214,0,480
F10800#F11220,92,112,205,0,480
F10800#F10055,94,107,202,0,480
F10800#F10494,106,106,213,0,480
F10800#F10158,88,107,196,0,480
F10800#F10205,94,109,205,0,480
F10800#F10813,88,108,197,0,480
F10800#F10081,87,109,196,0,480
F10800#F10014,89,117,207,0,480
F10800#F10136,98,125,224,0,480
F10800#F11604,94,116,212,0,480
F10800#F10195,92,116,209,0,480
F10800#F10355,101,128,230,0,480
F10800#F11076,114,128,243,0,480
F10800#F10378,95,122,219,0,480
F10800#F10547,97,120,218,0,480
F10800#F10463,119,119,239,0,480
F10800#F10020,110,125,236,0,480
F10800#F10541,109,127,236,0,480
F10800#F10032,103,116,220,0,480
F10800#F10178,102,123,226,0,480
F10800#F10121,98,142,241,0,480
F10800#F10305,101,130,232,0,480
F10800#F10033,109,128,237,0,480
F10800#F10143,105,132,238,0,480
F10800#F10141,105,131,237,0,480
F10800#F10961,105,138,244,0,480
F10800#F10873,108,135,244,0,480
F10800#F10317,100,126,227,0,480
F10800#F10170,104,136,241,0,480
F10800#F10636,106,131,237,0,480
F10800#F10037,105,141,247,0,480
F10800#F1003,116,121,237,0,480
F10800#F10691,112,147,260,0,480
F10800#F10338,174,185,359,0,480
F10800#F1005,165,187,353,0,480
F10800#F10152,138,183,322,0,480
F10800#F10313,126,187,313,0,480
F10800#F10217,130,140,271,0,480
F10800#F10437,115,146,262,0,480
F10800#F10286,110,145,256,0,480
F10800#F1095,136,150,286,0,480
F10800#F10380,119,144,264,0,480
F10800#F10377,134,149,284,0,480
F10800#F10139,117,139,257,0,480
F10800#F1153,125,171,296,0,480
F10800#F10561,120,143,264,0,480
F10800#F10334,124,160,284,0,480
F10800#F10298,125,162,288,0,480
F10800#F10344,143,139,283,0,480
F10800#F10176,144,146,291,0,480
F10800#F10096,119,172,292,0,480
F10800#F11165,130,152,283,0,480
F10800#F11330,129,166,296,0,480
F10800#F10737,134,146,281,0,480
F10800#F10820,124,153,277,0,480
F10800#F10029,131,145,277,0,480
F10800#F10099,119,157,277,0,480
F10800#F11019,131,145,277,0,480
F10800#F10351,127,158,286,0,480
F10800#F10140,131,148,281,0,480
F10800#F10470,143,157,300,0,480
F10800#F10191,131,154,287,0,480
F10800#F11069,128,149,278,0,480
F10800#F1035,148,162,311,0,480
F10800#F10326,128,157,286,0,480
F10800#F10061,140,156,297,0,480
F10800#F10151,131,147,279,0,480
F10800#F10303,132,173,306,0,480
F10800#F10235,134,240,374,0,480
F10800#F10270,141,200,342,0,480
F10800#F10022,214,176,391,0,480
F10800#F10319,137,170,308,0,480
F10800#F10369,141,167,308,0,480
F10800#F10066,151,167,318,0,480
F10800#F10161,134,179,314,0,480
F10800#F10198,139,173,313,0,480
F10800#F10268,148,163,311,0,480
F10800#F1028,136,171,308,0,480
F10800#F10228,149,168,317,0,480
F10800#F11913,143,172,316,0,480
F10800#F10088,147,168,315,0,480
F10800#F10366,161,164,326,0,480
F10800#F10989,139,177,317,0,480
F10800#F10069,136,171,308,0,480
F10800#F10316,146,172,319,0,480
F10800#F10080,143,167,311,0,480
F10800#F10086,149,170,320,0,480
F10800#F10697,161,176,338,0,480
F10800#F10707,154,159,314,0,480
F10800#F10277,147,172,319,0,480
F10800#F10079,158,173,331,0,480
F10800#F10098,164,170,335,0,480
F10800#F10045,147,172,319,0,480
F10800#F10183,144,167,312,0,480
F10800#F10290,154,190,345,0,480
F10800#F10353,148,185,335,0,480
F10800#F10608,150,165,316,0,480
F10800#F1024,147,158,306,0,480
F10800#F10175,158,179,339,0,480
F10800#F10039,160,195,356,0,480
F10800#F10281,160,170,331,0,480
F10800#F10808,165,173,338,0,480
F10800#F10042,166,188,355,0,480
F10800#F10488,157,178,335,0,480
F10800#F10239,179,187,367,0,480
F10800#F10552,258,169,427,0,480
F10800#F10822,276,187,464,0,480
F10800#F10186,209,181,391,0,480
F10800#F10263,164,182,346,0,480
F10800#F10685,175,181,358,0,480
F10800#F10097,180,190,371,0,480
F10800#F10041,186,188,375,0,480
F10800#F10231,158,177,336,0,480
F10800#F10383,166,167,333,0,480
F10800#F10392,174,173,349,0,480
F10800#F10106,182,178,361,0,480
F10800#F10019,268,189,457,0,480
F10800#F10082,200,181,381,0,480
F10800#F10592,183,175,358,0,480
F10800#F10011,171,173,345,0,480
F10800#F10048,168,170,339,0,480
F10800#F1033,170,175,347,0,480
F10800#F10040,166,176,342,0,480
F10800#F10631,177,181,359,0,480
F10800#F10065,172,174,346,0,480
F10800#F10233,180,170,352,0,480
F10800#F10250,182,176,359,0,480
F10800#F10639,174,155,330,0,480
F10800#F10622,188,225,414,0,480
F10800#F1106,314,190,504,0,480
F10800#F10260,284,171,455,0,480
F10800#F10157,285,175,461,0,480
F10800#F10984,175,181,358,0,480
F10800#F10110,191,171,363,0,480
F10800#F1049,190,171,362,0,480
F10800#F10062,189,169,359,0,480
F10800#F10090,179,190,370,0,480
F10800#F10197,194,189,383,0,480
F10800#F10180,178,189,369,0,480
F10800#F10194,186,188,375,0,480
F10800#F10116,186,193,380,0,480
F10800#F10423,181,179,360,0,480
F10800#F10584,190,188,379,0,480
F10800#F10435,188,171,359,0,480
F10800#F10017,198,178,378,0,480
F10800#F10027,210,209,420,0,480
F10800#F10095,312,207,520,0,480
F10800#F10049,202,191,394,0,480
F10800#F10181,199,186,387,0,480
F10800#F10324,189,180,369,0,480
F10800#F10764,199,180,380,0,480
F10800#F11431,186,187,374,0,480
F10800#F10360,191,191,382,0,480
F10800#F10688,189,186,375,0,480
F10800#F10067,187,187,375,0,480
F10800#F10252,228,192,421,0,480
F10800#F10227,202,179,382,0,480
F10800#F1009,212,246,459,0,480
F10800#F10109,208,194,403,0,480
F10800#F10074,209,186,395,0,480
F10800#F10084,205,188,394,0,480
F10800#F10318,192,173,366,0,480
F10800#F10119,203,181,385,0,480
F10800#F10185,211,182,394,0,480
F10800#F11093,198,163,362,0,480
F10800#F10288,196,174,370,0,480
F10800#F10412,215,184,400,0,480
F10800#F10929,213,183,398,0,480
F10800#F10871,221,184,406,0,480
F10800#F10243,198,187,386,0,480
F10800#F10008,227,198,426,0,480
F10800#F1017,232,241,474,0,480
F10800#F10245,218,185,404,0,480
F10800#F10913,218,170,389,0,480
F10800#F10070,223,194,417,0,480
F10800#F10522,211,181,392,0,480
F10800#F10587,204,178,382,0,480
F10800#F11237,214,237,452,0,480
F10800#F11664,233,205,438,0,480
F10800#F10001,232,198,431,0,480
F10800#F10125,219,177,397,0,480
F10800#F11102,211,175,387,0,480
F10800#F10425,258,286,545,0,480
F10800#F10718,402,252,654,0,480
F10800#F10689,217,181,399,0,480
F10800#F10167,222,178,401,0,480
F10800#F1015,256,231,488,0,480
F10800#F10215,216,190,407,0,480
F10800#F10518,233,178,412,0,480
F10800#F10050,233,199,433,0,480
F10800#F10665,231,211,443,0,480
F10800#F10477,360,184,545,0,480
F10800#F10173,229,208,438,0,480
F10800#F10007,239,188,428,0,480
F10800#F11813,223,198,421,0,480
F10800#F10229,281,236,518,0,480
F10800#F10209,361,189,551,0,480
F10800#F11048,252,175,428,0,480
F10800#F10446,222,170,392,0,480
F10800#F10026,215,181,396,0,480
F10800#F10322,235,191,427,0,480
F10800#F10232,219,194,413,0,480
F10800#F10000,226,193,420,0,480
F10800#F10123,251,231,483,0,480
F10800#F10208,231,196,428,0,480
F10800#F10009,224,188,413,0,480
F10800#F11541,226,192,419,0,480
F10800#F11400,226,186,413,0,480
F10800#F10172,229,175,405,0,480
F10800#F10101,251,212,463,0,480
F10800#F11925,393,261,655,0,480
F10800#F10799,256,179,436,0,480
F10800#F1082,226,173,399,0,480
F10800#F1077,235,176,412,0,480
F10800#F10524,239,171,411,0,480
F10800#F11045,243,195,439,0,480
F10800#F1027,251,167,419,0,480
F10800#F10448,240,194,435,0,480
F10800#F10127,420,261,682,0,480
F10800#F10134,370,226,597,0,480
F10800#F1130,251,256,508,0,480
F10800#F10258,252,185,438,0,480
F10800#F11386,247,211,459,0,480
F10800#F10156,246,191,438,0,480
F10800#F1018,276,216,492,0,480
F10800#F10078,250,203,453,0,480
F10800#F11186,234,190,425,0,480
F10800#F10025,231,181,413,0,480
F10800#F10882,245,175,421,0,480
F10800#F10935,248,180,429,0,480
F10800#F10212,246,190,437,0,480
F10800#F10129,266,187,453,0,480
F10800#F10332,238,201,440,0,480
F10800#F10321,238,187,426,0,480
F10800#F10076,253,218,472,0,480
F10800#F11545,424,194,618,0,480
F10800#F11096,421,184,606,0,480
F10800#F10060,253,187,441,0,480
F10800#F10164,263,195,459,0,480
F10800#F10389,266,185,452,0,480
F10800#F10133,428,195,623,0,480
F10800#F10248,254,202,457,0,480
F10800#F11487,259,211,471,0,480
F10800#F1016,256,182,439,0,480
F10800#F10442,243,188,432,0,480
F10800#F11185,274,196,471,0,480
F10800#F10242,254,195,449,0,480
F10800#F11334,256,198,455,0,480
F10800#F10291,273,200,474,0,480
F10800#F11405,254,210,465,0,480
F10800#F1069,272,246,519,0,480
F10800#F11584,334,206,541,0,480
F10800#F10733,301,192,494,0,480
F10800#F10476,276,185,462,0,480
F10800#F10842,264,194,459,0,480
F10800#F11211,281,196,478,0,480
F10800#F10128,277,206,483,0,480
F10800#F10105,256,196,453,0,480
F10800#F10273,265,189,455,0,480
F10800#F10284,256,190,447,0,480
F10800#F10028,280,213,494,0,480
F10800#F10554,282,191,474,0,480
F10800#F10058,269,205,475,0,480
F10800#F10439,268,200,469,0,480
F10800#F11134,277,190,468,0,480
F10800#F11785,255,200,455,0,480
F10800#F10093,275,201,477,0,480
F10800#F1108,274,192,467,0,480
F10800#F10574,281,202,484,0,480
F10800#F10553,277,183,461,0,480
F10800#F10333,287,193,480,0,480
F10800#F1085,267,183,452,0,480
F10800#F10295,275,211,488,0,480
F10800#F10262,279,204,484,0,480
F10800#F10148,291,203,495,0,480
F10800#F10486,282,203,486,0,480
F10800#F1051,286,173,461,0,480
F10800#F10075,288,197,486,0,480
F10800#F10137,291,222,513,0,480
F10800#F11306,296,218,515,0,480
F10800#F10840,282,189,472,0,480
F10800#F10144,269,203,472,0,480
F10800#F10030,287,198,487,0,480
F10800#F10682,293,189,483,0,480
F10800#F10003,274,209,484,0,480
F10800#F10331,287,197,485,0,480
F10800#F10803,286,199,487,0,480
F10800#F1004,288,185,474,0,480
F10800#F10569,284,219,504,0,480
F10800#F10051,296,206,502,0,480
F10800#F11141,295,194,490,0,480
F10800#F1310,279,199,480,0,480
F10800#F10363,287,211,499,0,480
F10800#F10677,311,212,524,0,480
F10800#F10753,550,266,817,0,480
F10800#F10196,314,257,572,0,480
F10800#F10251,293,208,502,0,480
F10800#F10473,291,198,490,0,480
F10800#F10327,297,212,510,0,480
F10800#F1081,280,212,492,0,480
F10800#F1007,295,197,493,0,480
F10800#F10969,295,192,488,0,480
F10800#F10107,304,218,523,0,480
F10800#F10359,291,216,509,0,480
F10800#F10002,308,283,592,0,480
F10800#F1008,294,226,521,0,480
F10800#F12082,295,197,492,0,480
F10800#F10059,279,220,501,0,480
F10800#F10269,298,205,503,0,480
F10800#F1105,305,201,507,0,480
F10800#F10184,339,278,618,0,480
F10800#F10701,322,225,547,0,480
F10800#F10883,294,196,491,0,480
F10800#F1057,314,212,527,0,480
