keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize
F10800#F1308 ,        242,        167,       411,            0,         480
F10800#F10693,        120,        166,       288,            0,         480
F10800#F11138,        147,        105,       253,            0,         480
F10800#F10159,         84,         59,       144,            0,         480
F10800#F11380,        107,         85,       193,            0,         480
F10800#F1047 ,        107,         53,       160,            0,         480
F10800#F10072,         77,        113,       191,            0,         480
F10800#F10516,         74,         86,       161,            0,         480
F10800#F10454,         81,         73,       155,            0,         480
F10800#F14280,         80,         50,       131,            0,         480
F10800#F10544,         90,         54,       145,            0,         480
F10800#F10744,         60,         41,       102,            0,         480
F10800#F10374,         69,         94,       164,            0,         480
F10800#F1029 ,         57,         78,       135,            0,         480
F10800#F12029,         52,         36,        89,            0,         480
F10800#F10595,         48,         37,        86,            0,         480
F10800#F10700,         57,         39,        96,            0,         480
F10800#F10165,         54,         53,       108,            0,         480
F10800#F10922,         51,         37,        88,            0,         480
F10800#F10398,         58,         49,       107,            0,         480
F10800#F10802,         53,         38,        91,            0,         480
F10800#F10166,         48,         43,        91,            0,         480
F10800#F13268,         52,         36,        88,            0,         480
F10800#F10043,         52,         32,        84,            0,         480
F10800#F11321,         44,         30,        75,            0,         480
F10800#F10115,         46,         73,       120,            0,         480
F10800#F11053,         45,         85,       130,            0,         480
F10800#F11114,         46,         33,        80,            0,         480
F10800#F10237,         54,         39,        94,            0,         480
F10800#F10942,         51,         38,        90,            0,         480
F10800#F10450,         57,         34,        92,            0,         480
F10800#F11220,         46,         34,        81,            0,         480
F10800#F10055,         49,         36,        86,            0,         480
F10800#F10494,         53,         35,        88,            0,         480
F10800#F10158,         52,         38,        90,            0,         480
F10800#F10205,         49,         39,        89,            0,         480
F10800#F10813,         55,         36,        92,            0,         480
F10800#F10081,         55,         37,        94,            0,         480
F10800#F10014,         51,         87,       139,            0,         480
F10800#F10136,         50,         40,        91,            0,         480
F10800#F11604,         48,         35,        83,            0,         480
F10800#F10195,         59,         35,        95,            0,         480
F10800#F10355,         95,         36,       131,            0,         480
F10800#F11076,         49,         36,        86,            0,         480
F10800#F10378,         49,         34,        83,            0,         480
F10800#F10547,         86,         36,       122,            0,         480
F10800#F10463,         50,         40,        91,            0,         480
F10800#F10020,         48,         49,        98,            0,         480
F10800#F10541,         54,         49,       103,            0,         480
F10800#F10032,         54,         39,        95,            0,         480
F10800#F10178,         52,         80,       133,            0,         480
F10800#F10121,         47,         37,        84,            0,         480
F10800#F10305,         47,         38,        85,            0,         480
F10800#F10033,         61,         88,       149,            0,         480
F10800#F10143,         49,         40,        90,            0,         480
F10800#F10141,         50,         45,        95,            0,         480
F10800#F10961,         52,         37,        90,            0,         480
F10800#F10873,         46,         85,       131,            0,         480
F10800#F10317,         51,         41,        93,            0,         480
F10800#F10170,         47,         36,        84,            0,         480
F10800#F10636,         52,         81,       135,            0,         480
F10800#F10037,         91,         46,       138,            0,         480
F10800#F1003 ,         50,         86,       137,            0,         480
F10800#F10691,         49,         37,        87,            0,         480
F10800#F10338,         50,         36,        86,            0,         480
F10800#F1005 ,         49,         34,        84,            0,         480
