keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F10800#F1308,196,145,343,0,480,10,11
F10800#F10693,105,97,203,0,480,10,12
F10800#F11138,92,97,190,0,480,10,13
F10800#F10159,103,91,195,0,480,10,14
F10800#F11380,98,104,204,0,480,10,15
F10800#F1047,83,80,164,0,480,10,16
F10800#F10072,70,92,164,0,480,10,17
F10800#F10516,70,83,155,0,480,10,18
F10800#F10454,72,97,170,0,480,10,19
F10800#F14280,74,115,190,0,480,10,20
F10800#F10544,66,65,133,0,480,10,21
F10800#F10744,65,70,135,0,480,10,22
F10800#F10374,90,87,179,0,480,10,23
F10800#F1029,66,76,143,0,480,10,24
F10800#F12029,77,78,156,0,480,10,25
F10800#F10595,76,78,156,0,480,10,26
F10800#F10700,72,92,165,0,480,10,27
F10800#F10165,67,80,148,0,480,10,28
F10800#F10922,80,92,174,0,480,10,29
F10800#F10398,68,90,159,0,480,10,30
F10800#F10802,70,77,148,0,480,10,31
F10800#F10166,79,84,163,0,480,10,32
F10800#F13268,74,86,161,0,480,10,33
F10800#F10043,78,90,169,0,480,10,34
F10800#F11321,78,87,165,0,480,10,35
F10800#F10115,70,87,158,0,480,10,36
F10800#F11053,74,92,167,0,480,10,37
F10800#F11114,93,85,179,0,480,10,38
F10800#F10237,79,90,170,0,480,10,39
F10800#F10942,80,92,173,0,480,10,40
F10800#F10450,86,88,175,0,480,10,41
F10800#F11220,92,91,184,0,480,10,42
F10800#F10055,86,113,200,0,480,10,43
F10800#F10494,77,98,176,0,480,10,44
F10800#F10158,84,141,226,0,480,10,45
F10800#F10205,91,112,204,0,480,10,46
F10800#F10813,85,112,198,0,480,10,47
F10800#F10081,91,113,205,0,480,10,48
F10800#F10014,93,110,204,0,480,10,49
F10800#F10136,90,106,197,0,480,10,50
F10800#F11604,93,110,204,0,480,10,51
F10800#F10195,89,104,195,0,480,10,52
F10800#F10355,99,122,222,0,480,10,53
F10800#F11076,91,116,208,0,480,10,54
F10800#F10378,87,116,204,0,480,10,55
F10800#F10547,89,117,207,0,480,10,56
F10800#F10463,94,114,210,0,480,10,57
F10800#F10020,111,110,223,0,480,10,58
F10800#F10541,117,113,231,0,480,10,59
F10800#F10032,99,165,265,0,480,10,60
F10800#F10178,97,124,222,0,480,10,61
F10800#F10121,94,119,214,0,480,10,62
