keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1, w2
F10800#F1308 ,        235,         97,       335,            0,         480, 10,    11
F10800#F10693,        108,         71,       181,            0,         480, 10,    12
F10800#F11138,        105,         59,       166,            0,         480, 10,    13
F10800#F10159,         67,         46,       114,            0,         480, 10,    14
F10800#F11380,         98,         52,       152,            0,         480, 10,    15
F10800#F1047 ,         94,         45,       141,            0,         480, 10,    16
F10800#F10072,         82,         49,       132,            0,         480, 10,    17
F10800#F10516,         72,         42,       115,            0,         480, 10,    18
F10800#F10454,         72,         42,       115,            0,         480, 10,    19
F10800#F14280,        159,         45,       206,            0,         480, 10,    20
F10800#F10544,        108,         40,       150,            0,         480, 10,    21
F10800#F10744,         56,         42,       100,            0,         480, 10,    22
F10800#F10374,         60,         38,        99,            0,         480, 10,    23
F10800#F1029 ,         58,         39,        99,            0,         480, 10,    24
F10800#F12029,         60,         40,       102,            0,         480, 10,    25
F10800#F10595,         48,         34,        83,            0,         480, 10,    26
F10800#F10700,         52,         83,       136,            0,         480, 10,    27
F10800#F10165,         56,         94,       152,            0,         480, 10,    28
F10800#F10922,         42,         81,       125,            0,         480, 10,    29
F10800#F10398,         47,         40,        89,            0,         480, 10,    30
F10800#F10802,         46,         36,        82,            0,         480, 10,    31
F10800#F10166,         50,         65,       116,            0,         480, 10,    32
F10800#F13268,         49,         80,       131,            0,         480, 10,    33
F10800#F10043,         56,         36,        93,            0,         480, 10,    34
F10800#F11321,         40,         86,       127,            0,         480, 10,    35
F10800#F10115,         49,         38,        88,            0,         480, 10,    36
F10800#F11053,         47,         31,        79,            0,         480, 10,    37
F10800#F11114,         45,         36,        83,            0,         480, 10,    38
F10800#F10237,         46,         35,        83,            0,         480, 10,    39
F10800#F10942,         46,         35,        82,            0,         480, 10,    40
F10800#F10450,         57,         80,       138,            0,         480, 10,    41
F10800#F11220,         48,         82,       131,            0,         480, 10,    42
F10800#F10055,         53,         86,       141,            0,         480, 10,    43
F10800#F10494,         53,         41,        95,            0,         480, 10,    44
F10800#F10158,         48,         35,        84,            0,         480, 10,    45
F10800#F10205,         70,         35,       105,            0,         480, 10,    46
F10800#F10813,         48,         40,        89,            0,         480, 10,    47
F10800#F10081,         49,         79,       129,            0,         480, 10,    48
F10800#F10014,         50,         37,        88,            0,         480, 10,    49
F10800#F10136,         52,         84,       137,            0,         480, 10,    50
F10800#F11604,         53,        104,       159,            0,         480, 10,    51
F10800#F10195,         69,         44,       114,            0,         480, 10,    52
F10800#F10355,         65,         53,       120,            0,         480, 10,    53
F10800#F11076,         56,         41,        99,            0,         480, 10,    54
F10800#F10378,         60,         39,       101,            0,         480, 10,    55
F10800#F10547,         55,         36,        92,            0,         480, 10,    56
F10800#F10463,         47,         33,        81,            0,         480, 10,    57
F10800#F10020,         43,         36,        80,            0,         480, 10,    58
F10800#F10541,         44,         35,        80,            0,         480, 10,    59
F10800#F10032,         52,         33,        86,            0,         480, 10,    60
F10800#F10178,         50,         80,       131,            0,         480, 10,    61
F10800#F10121,         46,         83,       130,            0,         480, 10,    62
F10800#F10305,         49,         85,       134,            0,         480, 10,    63
F10800#F10033,         49,         79,       130,            0,         480, 10,    64
F10800#F10143,         45,         72,       119,            0,         480, 10,    65
F10800#F10141,         44,         37,        82,            0,         480, 10,    66
F10800#F10961,         49,         38,        87,            0,         480, 10,    67
F10800#F10873,         56,         84,       141,            0,         480, 10,    68
F10800#F10317,         54,         38,        94,            0,         480, 10,    69
F10800#F10170,         47,         36,        85,            0,         480, 10,    70
F10800#F10636,         44,         32,        77,            0,         480, 10,    71
F10800#F10037,         43,         34,        78,            0,         480, 10,    72
F10800#F1003 ,         46,         81,       128,            0,         480, 10,    73
F10800#F10691,         51,         32,        84,            0,         480, 10,    74
F10800#F10338,         47,         33,        81,            0,         480, 10,    75
F10800#F1005 ,         49,         37,        88,            0,         480, 10,    76
F10800#F10152,         48,         33,        82,            0,         480, 10,    77
F10800#F10313,         46,         33,        80,            0,         480, 10,    78
F10800#F10217,         49,         32,        82,            0,         480, 10,    79
F10800#F10437,         45,         92,       139,            0,         480, 10,    80
F10800#F10286,         49,         38,        88,            0,         480, 10,    81
F10800#F1095 ,         66,         80,       147,            0,         480, 10,    82
F10800#F10380,         46,         36,        83,            0,         480, 10,    83
F10800#F10377,         49,         32,        82,            0,         480, 10,    84
F10800#F10139,         49,         35,        85,            0,         480, 10,    85
F10800#F1153 ,         47,         85,       133,            0,         480, 10,    86
F10800#F10561,         46,         35,        83,            0,         480, 10,    87
F10800#F10334,         43,         34,        78,            0,         480, 10,    88
F10800#F10298,         42,         30,        73,            0,         480, 10,    89
F10800#F10344,         55,         33,        89,            0,         480, 10,    90
F10800#F10176,         57,         36,        93,            0,         480, 10,    91
F10800#F10096,         55,         33,        89,            0,         480, 10,    92
F10800#F11165,         85,         79,       165,            0,         480, 10,    93
F10800#F11330,         43,         33,        77,            0,         480, 10,    94
F10800#F10737,         45,         83,       129,            0,         480, 10,    95
F10800#F10820,         46,         33,        80,            0,         480, 10,    96
F10800#F10029,         48,         83,       133,            0,         480, 10,    97
F10800#F10099,         46,         74,       121,            0,         480, 10,    98
F10800#F11019,         41,         31,        73,            0,         480, 10,    99
F10800#F10351,         41,         41,        83,            0,         480, 10,   100
F10800#F10140,         51,         86,       138,            0,         480, 10,   101
F10800#F10470,         88,         38,       128,            0,         480, 10,   102
F10800#F10191,         48,         34,        82,            0,         480, 10,   103
F10800#F11069,         43,         32,        76,            0,         480, 10,   104
F10800#F1035 ,         46,         32,        79,            0,         480, 10,   105
F10800#F10326,         45,         31,        76,            0,         480, 10,   106
F10800#F10061,         47,         78,       126,            0,         480, 10,   107
F10800#F10151,         48,         79,       128,            0,         480, 10,   108
F10800#F10303,         43,         32,        76,            0,         480, 10,   109
F10800#F10235,         44,         36,        81,            0,         480, 10,   110
F10800#F10270,         48,         37,        86,            0,         480, 10,   111
F10800#F10022,         51,         34,        86,            0,         480, 10,   112
F10800#F10319,         49,         35,        84,            0,         480, 10,   113
F10800#F10369,         52,         39,        92,            0,         480, 10,   114
F10800#F10066,         47,         83,       131,            0,         480, 10,   115
F10800#F10161,         83,         79,       163,            0,         480, 10,   116
F10800#F10198,         51,         38,        89,            0,         480, 10,   117
F10800#F10268,         49,         35,        85,            0,         480, 10,   118
F10800#F1028 ,         90,         39,       130,            0,         480, 10,   119
F10800#F10228,         49,         86,       137,            0,         480, 10,   120
F10800#F11913,         52,         42,        96,            0,         480, 10,   121
F10800#F10088,         43,         40,        84,            0,         480, 10,   122
F10800#F10366,         85,         35,       121,            0,         480, 10,   123
F10800#F10989,         57,         36,        95,            0,         480, 10,   124
F10800#F10069,         50,         34,        85,            0,         480, 10,   125
F10800#F10316,         47,         35,        83,            0,         480, 10,   126
F10800#F10080,         46,         83,       130,            0,         480, 10,   127
