keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F10031#F1438,103,35,141,0,36,1,16644
F1021#F1438,119,42,162,0,72,2,16644
F10467#F1438,89,47,138,0,108,3,16644
F11486#F1438,106,56,164,0,144,4,16644
F10068#F1438,104,51,156,0,180,5,16644
F10259#F1438,100,64,166,0,216,6,16644
F12293#F1438,66,99,167,0,252,7,16644
F10311#F1438,144,136,282,0,288,8,16644
F13312#F1438,140,70,212,0,324,9,16644
F10800#F1438,88,57,146,0,360,10,16644
F1308#F1438,119,131,252,0,396,11,16644
F10693#F1438,86,60,148,0,432,12,16644
F11138#F1438,97,88,186,0,468,13,16644
F10159#F1438,118,62,182,0,504,14,16644
F11380#F1438,92,70,163,0,540,15,16644
F1047#F1438,92,65,158,0,576,16,16644
F10072#F1438,80,47,128,0,612,17,16644
F10516#F1438,73,46,120,0,648,18,16644
F10454#F1438,81,55,138,0,684,19,16644
F14280#F1438,115,109,226,0,720,20,16644
F10544#F1438,107,71,180,0,756,21,16644
F10744#F1438,118,69,188,0,792,22,16644
F10374#F1438,97,123,222,0,828,23,16644
F1029#F1438,105,73,179,0,864,24,16644
F12029#F1438,106,81,188,0,900,25,16644
F10595#F1438,106,72,179,0,936,26,16644
F10700#F1438,136,78,216,0,972,27,16644
F10165#F1438,95,110,207,0,1008,28,16644
F10922#F1438,99,116,217,0,1044,29,16644
F10398#F1438,100,83,184,0,1080,30,16644
F10802#F1438,102,77,180,0,1116,31,16644
F10166#F1438,107,94,203,0,1152,32,16644
F13268#F1438,111,120,232,0,1188,33,16644
F10043#F1438,106,77,184,0,1224,34,16644
F11321#F1438,127,77,205,0,1260,35,16644
F10115#F1438,131,139,271,0,1296,36,16644
F11053#F1438,125,80,207,0,1332,37,16644
F11114#F1438,115,78,194,0,1368,38,16644
F10237#F1438,149,80,230,0,1404,39,16644
F10942#F1438,127,77,205,0,1440,40,16644
F10450#F1438,138,70,209,0,1476,41,16644
F11220#F1438,137,80,218,0,1512,42,16644
F10055#F1438,132,86,219,0,1548,43,16644
F10494#F1438,134,82,218,0,1584,44,16644
F10158#F1438,155,80,237,0,1620,45,16644
F10205#F1438,135,134,270,0,1656,46,16644
F10813#F1438,131,87,219,0,1692,47,16644
F10081#F1438,143,136,281,0,1728,48,16644
F10014#F1438,134,85,220,0,1764,49,16644
F10136#F1438,147,87,235,0,1800,50,16644
F11604#F1438,168,130,298,0,1836,51,16644
F10195#F1438,150,99,249,0,1872,52,16644
F10355#F1438,170,91,262,0,1908,53,16644
F11076#F1438,170,100,271,0,1944,54,16644
F10378#F1438,159,148,308,0,1980,55,16644
F10547#F1438,160,104,265,0,2016,56,16644
F10463#F1438,167,99,267,0,2052,57,16644
F10020#F1438,172,107,280,0,2088,58,16644
F10541#F1438,174,316,491,0,2124,59,16644
F10032#F1438,197,99,297,0,2160,60,16644
F10178#F1438,178,97,276,0,2196,61,16644
F10121#F1438,167,98,267,0,2232,62,16644
F10305#F1438,190,112,304,0,2268,63,16644
F10033#F1438,189,99,290,0,2304,64,16644
F10143#F1438,182,112,295,0,2340,65,16644
F10141#F1438,169,112,282,0,2376,66,16644
F10961#F1438,178,113,292,0,2412,67,16644
F10873#F1438,190,118,309,0,2448,68,16644
F10317#F1438,185,114,300,0,2484,69,16644
F10170#F1438,177,165,344,0,2520,70,16644
F10636#F1438,180,119,300,0,2556,71,16644
F10037#F1438,186,119,306,0,2592,72,16644
F1003#F1438,186,120,307,0,2628,73,16644
F10691#F1438,176,165,342,0,2664,74,16644
F10338#F1438,192,124,317,0,2700,75,16644
F1005#F1438,187,125,313,0,2736,76,16644
F10152#F1438,183,125,310,0,2772,77,16644
F10313#F1438,201,182,383,0,2808,78,16644
F10217#F1438,191,180,372,0,2844,79,16644
F10437#F1438,198,132,332,0,2880,80,16644
F10286#F1438,205,132,338,0,2916,81,16644
F1095#F1438,199,132,332,0,2952,82,16644
F10380#F1438,205,133,339,0,2988,83,16644
F10377#F1438,204,135,340,0,3024,84,16644
F10139#F1438,204,130,335,0,3060,85,16644
F1153#F1438,209,138,348,0,3096,86,16644
F10561#F1438,224,140,365,0,3132,87,16644
F10334#F1438,263,158,422,0,3168,88,16644
F10298#F1438,292,152,446,0,3204,89,16644
F10344#F1438,282,141,424,0,3240,90,16644
F10176#F1438,246,123,370,0,3276,91,16644
F10096#F1438,228,116,345,0,3312,92,16644
F11165#F1438,234,119,355,0,3348,93,16644
F11330#F1438,231,120,353,0,3384,94,16644
F10737#F1438,233,120,353,0,3420,95,16644
F10820#F1438,234,123,358,0,3456,96,16644
F10029#F1438,234,123,358,0,3492,97,16644
F10099#F1438,243,164,407,0,3528,98,16644
F11019#F1438,239,118,359,0,3564,99,16644
F10351#F1438,259,120,381,0,3600,100,16644
F10140#F1438,241,125,367,0,3636,101,16644
F10470#F1438,263,125,390,0,3672,102,16644
F10191#F1438,245,171,417,0,3708,103,16644
F11069#F1438,253,129,383,0,3744,104,16644
F1035#F1438,253,127,381,0,3780,105,16644
F10326#F1438,255,124,380,0,3816,106,16644
F10061#F1438,268,123,391,0,3852,107,16644
F10151#F1438,262,164,427,0,3888,108,16644
F10303#F1438,312,170,483,0,3924,109,16644
F10235#F1438,265,137,403,0,3960,110,16644
F10270#F1438,277,128,406,0,3996,111,16644
F10022#F1438,277,138,416,0,4032,112,16644
F10319#F1438,282,126,409,0,4068,113,16644
F10369#F1438,277,177,456,0,4104,114,16644
F10066#F1438,275,132,408,0,4140,115,16644
F10161#F1438,277,138,416,0,4176,116,16644
F10198#F1438,303,142,446,0,4212,117,16644
F10268#F1438,293,130,424,0,4248,118,16644
F1028#F1438,283,139,423,0,4284,119,16644
F10228#F1438,287,143,430,0,4320,120,16644
F11913#F1438,298,169,468,0,4356,121,16644
F10088#F1438,295,137,434,0,4392,122,16644
F10366#F1438,304,133,439,0,4428,123,16644
F10989#F1438,311,189,501,0,4464,124,16644
F10069#F1438,296,135,432,0,4500,125,16644
F10316#F1438,295,132,428,0,4536,126,16644
F10080#F1438,312,213,526,0,4572,127,16644
F10086#F1438,310,151,462,0,4608,128,16644
F10697#F1438,300,145,445,0,4644,129,16644
F10707#F1438,303,134,437,0,4680,130,16644
