keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F10800#F1308,231,102,333,0,480,10,11
F10800#F10693,108,74,182,0,480,10,12
F10800#F11138,104,63,167,0,480,10,13
F10800#F10159,71,50,121,0,480,10,14
F10800#F11380,98,57,155,0,480,10,15
F10800#F1047,93,48,141,0,480,10,16
F10800#F10072,81,53,134,0,480,10,17
F10800#F10516,72,46,118,0,480,10,18
F10800#F10454,72,48,120,0,480,10,19
F10800#F14280,150,52,202,0,480,10,20
F10800#F10544,104,42,146,0,480,10,21
F10800#F10744,57,45,102,0,480,10,22
F10800#F10374,63,43,106,0,480,10,23
F10800#F1029,59,43,102,0,480,10,24
F10800#F12029,62,44,106,0,480,10,25
F10800#F10595,51,38,89,0,480,10,26
F10800#F10700,54,84,138,0,480,10,27
F10800#F10165,57,93,150,0,480,10,28
F10800#F10922,46,82,128,0,480,10,29
F10800#F10398,49,45,94,0,480,10,30
F10800#F10802,48,40,88,0,480,10,31
F10800#F10166,53,67,120,0,480,10,32
F10800#F13268,52,81,133,0,480,10,33
F10800#F10043,58,41,99,0,480,10,34
F10800#F11321,44,86,130,0,480,10,35
F10800#F10115,51,43,94,0,480,10,36
F10800#F11053,50,37,87,0,480,10,37
F10800#F11114,50,41,91,0,480,10,38
F10800#F10237,49,40,89,0,480,10,39
F10800#F10942,49,41,90,0,480,10,40
F10800#F10450,60,81,141,0,480,10,41
F10800#F11220,52,83,135,0,480,10,42
F10800#F10055,56,89,145,0,480,10,43
F10800#F10494,55,47,102,0,480,10,44
F10800#F10158,52,46,98,0,480,10,45
F10800#F10205,72,43,115,0,480,10,46
F10800#F10813,52,47,99,0,480,10,47
F10800#F10081,53,82,135,0,480,10,48
F10800#F10014,54,44,98,0,480,10,49
F10800#F10136,56,86,142,0,480,10,50
F10800#F11604,57,105,162,0,480,10,51
F10800#F10195,71,50,121,0,480,10,52
F10800#F10355,68,60,128,0,480,10,53
F10800#F11076,60,48,108,0,480,10,54
F10800#F10378,63,47,110,0,480,10,55
F10800#F10547,58,44,102,0,480,10,56
F10800#F10463,52,41,93,0,480,10,57
F10800#F10020,50,43,93,0,480,10,58
F10800#F10541,51,43,94,0,480,10,59
F10800#F10032,57,46,103,0,480,10,60
F10800#F10178,55,84,139,0,480,10,61
F10800#F10121,51,87,138,0,480,10,62
F10800#F10305,53,88,141,0,480,10,63
F10800#F10033,53,83,136,0,480,10,64
F10800#F10143,50,76,126,0,480,10,65
F10800#F10141,49,45,94,0,480,10,66
F10800#F10961,54,46,100,0,480,10,67
F10800#F10873,62,88,150,0,480,10,68
F10800#F10317,59,47,106,0,480,10,69
F10800#F10170,52,46,98,0,480,10,70
F10800#F10636,50,41,91,0,480,10,71
