keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F10800#F1308,180,97,0,277,0,480,10,11
F10800#F10693,111,111,0,222,0,480,10,12
F10800#F11138,104,118,0,222,0,480,10,13
F10800#F10159,74,53,0,127,0,480,10,14
F10800#F11380,69,57,0,126,0,480,10,15
F10800#F1047,54,58,0,112,0,480,10,16
F10800#F10072,60,42,0,102,0,480,10,17
F10800#F10516,49,44,0,93,0,480,10,18
F10800#F10454,48,38,0,86,0,480,10,19
F10800#F14280,52,38,0,90,0,480,10,20
F10800#F10544,50,36,0,86,0,480,10,21
F10800#F10744,84,47,0,131,0,480,10,22
F10800#F10374,60,44,0,104,0,480,10,23
F10800#F1029,55,82,0,137,0,480,10,24
F10800#F12029,52,42,0,94,0,480,10,25
F10800#F10595,49,39,0,88,0,480,10,26
F10800#F10700,70,41,0,111,0,480,10,27
F10800#F10165,55,42,0,97,0,480,10,28
F10800#F10922,49,42,0,91,0,480,10,29
F10800#F10398,48,40,0,88,0,480,10,30
F10800#F10802,48,42,0,90,0,480,10,31
F10800#F10166,44,79,0,123,0,480,10,32
F10800#F13268,47,36,0,83,0,480,10,33
F10800#F10043,48,46,0,94,0,480,10,34
F10800#F11321,49,83,0,132,0,480,10,35
F10800#F10115,48,40,0,88,0,480,10,36
F10800#F11053,91,41,0,132,0,480,10,37
F10800#F11114,50,43,0,93,0,480,10,38
F10800#F10237,51,41,0,92,0,480,10,39
F10800#F10942,53,82,0,135,0,480,10,40
F10800#F10450,51,42,0,93,0,480,10,41
F10800#F11220,54,44,0,98,0,480,10,42
F10800#F10055,50,44,0,94,0,480,10,43
F10800#F10494,58,44,0,102,0,480,10,44
F10800#F10158,51,44,0,95,0,480,10,45
F10800#F10205,52,43,0,95,0,480,10,46
F10800#F10813,51,44,0,95,0,480,10,47
F10800#F10081,51,45,0,96,0,480,10,48
F10800#F10014,51,42,0,93,0,480,10,49
F10800#F10136,50,43,0,93,0,480,10,50
F10800#F11604,49,44,0,93,0,480,10,51
F10800#F10195,48,45,0,93,0,480,10,52
F10800#F10355,48,44,0,92,0,480,10,53
F10800#F11076,50,44,0,94,0,480,10,54
F10800#F10378,60,88,0,148,0,480,10,55
F10800#F10547,49,89,0,138,0,480,10,56
F10800#F10463,53,47,0,100,0,480,10,57
F10800#F10020,56,42,0,98,0,480,10,58
F10800#F10541,86,89,0,175,0,480,10,59
F10800#F10032,52,43,0,95,0,480,10,60
F10800#F10178,53,44,0,97,0,480,10,61
F10800#F10121,53,82,0,135,0,480,10,62
F10800#F10305,56,44,0,100,0,480,10,63
F10800#F10033,89,51,0,140,0,480,10,64
F10800#F10143,54,45,0,99,0,480,10,65
F10800#F10141,57,94,0,151,0,480,10,66
F10800#F10961,56,48,0,104,0,480,10,67
F10800#F10873,53,53,0,106,0,480,10,68
F10800#F10317,75,46,0,121,0,480,10,69
F10800#F10170,56,44,0,100,0,480,10,70
F10800#F10636,58,98,0,156,0,480,10,71
F10800#F10037,58,52,0,110,0,480,10,72
F10800#F1003,106,80,0,186,0,480,10,73
F10800#F10691,71,52,0,123,0,480,10,74
F10800#F10338,58,48,0,106,0,480,10,75
F10800#F1005,51,42,0,93,0,480,10,76
F10800#F10152,50,46,0,96,0,480,10,77
F10800#F10313,54,47,0,101,0,480,10,78
F10800#F10217,86,90,0,176,0,480,10,79
F10800#F10437,56,47,0,103,0,480,10,80
F10800#F10286,54,46,0,100,0,480,10,81
