keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F10031#F1438,10810.0,11760.0,22570.0,0,36,1,16644
F1021#F1438,85.0,65.0,150.0,0,72,2,16644
F10467#F1438,86.0,55.5,141.5,0,108,3,16644
F11486#F1438,73.0,46.0,119.0,0,144,4,16644
F10068#F1438,91.25,57.5,148.75,0,180,5,16644
F10259#F1438,91.0,69.0,160.0,0,216,6,16644
F12293#F1438,98.0,75.0,173.0,0,252,7,16644
F10311#F1438,112.0,85.71428571428571,197.71428571428572,0,288,8,16644
F13312#F1438,98.0,79.0,177.0,0,324,9,16644
F10800#F1438,78.0,54.0,132.0,0,360,10,16644
F1308#F1438,74.0,59.400000000000006,133.4,0,396,11,16644
F10693#F1438,80.72727272727272,67.0,147.72727272727272,0,432,12,16644
F11138#F1438,87.45454545454544,72.58333333333333,160.03787878787875,0,468,13,16644
F10159#F1438,94.18181818181816,82.0,176.18181818181816,0,504,14,16644
F11380#F1438,103.0,91.0,194.0,0,540,15,16644
F1047#F1438,88.0,84.0,172.0,0,576,16,16644
F10072#F1438,93.5,84.0,177.5,0,612,17,16644
F10516#F1438,99.0,66.0,165.0,0,648,18,16644
F10454#F1438,106.0,69.66666666666667,175.66666666666669,0,684,19,16644
F14280#F1438,106.0,70.0,176.0,0,720,20,16644
F10544#F1438,97.0,82.0,179.0,0,756,21,16644
F10744#F1438,110.0,85.90476190476191,195.90476190476193,0,792,22,16644
F10374#F1438,129.0,92.0,221.0,0,828,23,16644
F1029#F1438,113.0,106.0,219.0,0,864,24,16644
F12029#F1438,106.0,85.0,191.0,0,900,25,16644
F10595#F1438,121.0,88.4,209.4,0,936,26,16644
F10700#F1438,127.0,91.80000000000001,218.8,0,972,27,16644
F10165#F1438,131.7037037037037,95.2,226.90370370370368,0,1008,28,16644
F10922#F1438,150.0,107.0,257.0,0,1044,29,16644
F10398#F1438,125.0,109.0,234.0,0,1080,30,16644
F10802#F1438,129.16666666666669,99.0,228.16666666666669,0,1116,31,16644
F10166#F1438,143.0,114.0,257.0,0,1152,32,16644
F13268#F1438,147.46875,107.0,254.46875,0,1188,33,16644
F10043#F1438,140.0,113.0,253.0,0,1224,34,16644
F11321#F1438,144.1176470588235,96.0,240.1176470588235,0,1260,35,16644
F10115#F1438,148.23529411764702,98.74285714285713,246.97815126050415,0,1296,36,16644
F11053#F1438,152.35294117647052,104.0,256.3529411764705,0,1332,37,16644
F11114#F1438,155.0,114.0,269.0,0,1368,38,16644
F10237#F1438,154.0,114.0,268.0,0,1404,39,16644
F10942#F1438,150.0,104.0,254.0,0,1440,40,16644
F10450#F1438,142.0,117.0,259.0,0,1476,41,16644
F11220#F1438,150.0,113.0,263.0,0,1512,42,16644
F10055#F1438,154.0,128.0,282.0,0,1548,43,16644
F10494#F1438,165.0,126.0,291.0,0,1584,44,16644
F10158#F1438,154.0,117.0,271.0,0,1620,45,16644
F10205#F1438,174.0,118.0,292.0,0,1656,46,16644
