keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F16238,191,213,406,0,360,10,37
F19998#F16235,136,136,273,0,360,10,38
F19998#F16214,140,141,282,0,360,10,39
F19998#F16208,148,151,300,0,360,10,40
F19998#F16184,176,176,353,0,360,10,41
F19998#F16130,165,191,357,0,360,10,42
F19998#F16090,98,112,211,0,360,10,43
F19998#F16023,108,146,255,0,360,10,44
F19998#F15924,130,103,233,0,360,10,45
F19998#F15885,142,164,307,0,360,10,46
F19998#F15849,102,233,335,0,360,10,47
F19998#F15747,145,137,284,0,360,10,48
F19998#F15700,98,112,211,0,360,10,49
F19998#F15569,101,119,221,0,360,10,50
F19998#F15547,90,111,202,0,360,10,51
F19998#F15477,82,106,189,0,360,10,52
F19998#F15415,102,114,217,0,360,10,53
F19998#F15343,111,114,226,0,360,10,54
F19998#F15199,86,124,210,0,360,10,55
F19998#F15114,94,117,212,0,360,10,56
F19998#F15029,90,119,210,0,360,10,57
F19998#F15003,94,120,214,0,360,10,58
F19998#F14877,94,115,210,0,360,10,59
F19998#F14805,101,104,206,0,360,10,60
F19998#F14736,103,117,221,0,360,10,61
F19998#F14645,97,121,219,0,360,10,62
F19998#F14621,97,116,215,0,360,10,63
F19998#F14498,119,124,243,0,360,10,64
F19998#F14396,99,119,218,0,360,10,65
F19998#F14377,93,118,212,0,360,10,66
F19998#F14270,103,120,224,0,360,10,67
F19998#F14173,122,122,245,0,360,10,68
F19998#F14061,105,119,224,0,360,10,69
F19998#F13990,97,123,222,0,360,10,70
F19998#F13973,111,130,242,0,360,10,71
F19998#F13834,99,127,227,0,360,10,72
F19998#F13757,113,125,239,0,360,10,73
F19998#F13740,110,119,230,0,360,10,74
F19998#F13640,102,127,230,0,360,10,75
F19998#F13574,100,138,239,0,360,10,76
F19998#F13494,99,129,229,0,360,10,77
F19998#F13434,97,118,216,0,360,10,78
F19998#F13361,104,133,237,0,360,10,79
F19998#F13313,134,144,279,0,360,10,80
F19998#F13182,112,144,257,0,360,10,81
F19998#F13093,111,127,239,0,360,10,82
