keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F16238,214,110,0,327,0,360,10,37
F19998#F16235,147,78,0,226,0,360,10,38
F19998#F16214,85,49,0,136,0,360,10,39
F19998#F16208,58,47,0,106,0,360,10,40
F19998#F16184,51,41,0,93,0,360,10,41
F19998#F16130,52,37,0,91,0,360,10,42
F19998#F16090,88,38,0,128,0,360,10,43
F19998#F16023,62,40,0,103,0,360,10,44
F19998#F15924,50,34,0,85,0,360,10,45
F19998#F15885,52,34,0,87,0,360,10,46
F19998#F15849,52,36,0,90,0,360,10,47
F19998#F15747,50,36,0,87,0,360,10,48
F19998#F15700,96,35,0,132,0,360,10,49
F19998#F15569,58,86,0,146,0,360,10,50
F19998#F15547,91,38,0,131,0,360,10,51
F19998#F15477,60,43,0,104,0,360,10,52
F19998#F15415,128,49,0,179,0,360,10,53
F19998#F15343,64,47,0,112,0,360,10,54
F19998#F15199,65,39,0,105,0,360,10,55
F19998#F15114,58,36,0,96,0,360,10,56
F19998#F15029,56,45,0,102,0,360,10,57
F19998#F15003,45,39,0,85,0,360,10,58
F19998#F14877,51,42,0,94,0,360,10,59
F19998#F14805,48,37,0,86,0,360,10,60
F19998#F14736,48,35,0,84,0,360,10,61
F19998#F14645,49,43,0,93,0,360,10,62
F19998#F14621,50,82,0,133,0,360,10,63
F19998#F14498,53,51,0,105,0,360,10,64
F19998#F14396,90,43,0,135,0,360,10,65
F19998#F14377,52,38,0,91,0,360,10,66
F19998#F14270,48,39,0,88,0,360,10,67
F19998#F14173,50,84,0,135,0,360,10,68
F19998#F14061,48,34,0,83,0,360,10,69
F19998#F13990,51,79,0,131,0,360,10,70
F19998#F13973,45,47,0,93,0,360,10,71
F19998#F13834,54,35,0,90,0,360,10,72
F19998#F13757,53,41,0,95,0,360,10,73
F19998#F13740,50,37,0,89,0,360,10,74
F19998#F13640,56,80,0,136,0,360,10,75
F19998#F13574,49,92,0,141,0,360,10,76
F19998#F13494,48,41,0,90,0,360,10,77
F19998#F13434,48,43,0,92,0,360,10,78
F19998#F13361,45,36,0,82,0,360,10,79
F19998#F13313,49,40,0,90,0,360,10,80
F19998#F13182,50,82,0,134,0,360,10,81
F19998#F13093,49,77,0,128,0,360,10,82
F19998#F13082,46,39,0,87,0,360,10,83
F19998#F13005,43,37,0,82,0,360,10,84
F19998#F12930,56,37,0,94,0,360,10,85
F19998#F12893,96,92,0,189,0,360,10,86
F19998#F12810,146,54,0,203,0,360,10,87
F19998#F12745,63,45,0,110,0,360,10,88
F19998#F12626,59,47,0,108,0,360,10,89
F19998#F12547,57,40,0,99,0,360,10,90
F19998#F12523,78,39,0,118,0,360,10,91
F19998#F12401,56,40,0,98,0,360,10,92
F19998#F12337,58,86,0,146,0,360,10,93
F19998#F12284,60,85,0,146,0,360,10,94
F19998#F12231,51,86,0,139,0,360,10,95
F19998#F12103,55,39,0,95,0,360,10,96
F19998#F12020,90,37,0,128,0,360,10,97
F19998#F11994,49,42,0,92,0,360,10,98
F19998#F11907,47,37,0,86,0,360,10,99
