keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F16238,191.0,213.0,404.0,0,360,10,37
F19998#F16235,98.0,112.0,210.0,0,360,10,38
F19998#F16214,98.0,112.0,210.0,0,360,10,39
F19998#F16208,98.0,112.0,210.0,0,360,10,40
F19998#F16184,98.0,112.0,210.0,0,360,10,41
F19998#F16130,98.0,112.0,210.0,0,360,10,42
F19998#F16090,98.0,112.0,210.0,0,360,10,43
F19998#F16023,108.0,103.0,211.0,0,360,10,44
F19998#F15924,102.0,103.0,205.0,0,360,10,45
F19998#F15885,98.0,112.0,210.0,0,360,10,46
F19998#F15849,102.0,117.0,219.0,0,360,10,47
F19998#F15747,98.0,112.0,210.0,0,360,10,48
F19998#F15700,98.0,112.0,210.0,0,360,10,49
F19998#F15569,101.0,119.0,220.0,0,360,10,50
F19998#F15547,90.0,111.0,201.0,0,360,10,51
F19998#F15477,82.0,106.0,188.0,0,360,10,52
F19998#F15415,102.0,114.0,216.0,0,360,10,53
F19998#F15343,86.0,114.0,200.0,0,360,10,54
F19998#F15199,86.0,124.0,210.0,0,360,10,55
F19998#F15114,94.0,117.0,211.0,0,360,10,56
F19998#F15029,90.0,119.0,209.0,0,360,10,57
F19998#F15003,94.0,120.0,214.0,0,360,10,58
F19998#F14877,94.0,115.0,209.0,0,360,10,59
F19998#F14805,101.0,104.0,205.0,0,360,10,60
F19998#F14736,103.0,117.0,220.0,0,360,10,61
F19998#F14645,97.0,121.0,218.0,0,360,10,62
F19998#F14621,97.0,116.0,213.0,0,360,10,63
F19998#F14498,99.0,124.0,223.0,0,360,10,64
F19998#F14396,99.0,119.0,218.0,0,360,10,65
F19998#F14377,93.0,118.0,211.0,0,360,10,66
F19998#F14270,103.0,120.0,223.0,0,360,10,67
F19998#F14173,122.0,122.0,244.0,0,360,10,68
F19998#F14061,105.0,119.0,224.0,0,360,10,69
F19998#F13990,97.0,123.0,220.0,0,360,10,70
F19998#F13973,111.0,130.0,241.0,0,360,10,71
F19998#F13834,99.0,127.0,226.0,0,360,10,72
F19998#F13757,113.0,125.0,238.0,0,360,10,73
F19998#F13740,110.0,119.0,229.0,0,360,10,74
F19998#F13640,102.0,127.0,229.0,0,360,10,75
F19998#F13574,100.0,138.0,238.0,0,360,10,76
F19998#F13494,99.0,129.0,228.0,0,360,10,77
F19998#F13434,97.0,118.0,215.0,0,360,10,78
F19998#F13361,104.0,133.0,237.0,0,360,10,79
F19998#F13313,101.0,104.0,205.0,0,360,10,80
F19998#F13182,112.0,144.0,256.0,0,360,10,81
F19998#F13093,111.0,127.0,238.0,0,360,10,82
F19998#F13082,106.0,137.0,243.0,0,360,10,83
F19998#F13005,111.0,145.0,256.0,0,360,10,84
F19998#F12930,112.0,141.0,253.0,0,360,10,85
F19998#F12893,115.0,135.0,250.0,0,360,10,86
F19998#F12810,127.0,136.0,263.0,0,360,10,87
F19998#F12745,111.0,132.0,243.0,0,360,10,88
F19998#F12626,109.0,138.0,247.0,0,360,10,89
F19998#F12547,113.0,127.0,240.0,0,360,10,90
F19998#F12523,111.0,135.0,246.0,0,360,10,91
F19998#F12401,121.0,143.0,264.0,0,360,10,92
F19998#F12337,115.0,140.0,255.0,0,360,10,93
F19998#F12284,115.0,140.0,255.0,0,360,10,94
F19998#F12231,136.0,139.0,275.0,0,360,10,95
F19998#F12103,121.0,142.0,263.0,0,360,10,96
F19998#F12020,121.0,150.0,271.0,0,360,10,97
F19998#F11994,131.0,141.0,272.0,0,360,10,98
F19998#F11907,120.0,158.0,278.0,0,360,10,99
F19998#F11843,142.0,168.0,310.0,0,360,10,100
F19998#F11784,120.0,160.0,280.0,0,360,10,101
F19998#F11768,129.0,135.0,264.0,0,360,10,102
F19998#F11701,120.0,135.0,255.0,0,360,10,103
F19998#F11646,131.0,145.0,276.0,0,360,10,104
F19998#F11583,116.0,142.0,258.0,0,360,10,105
F19998#F11512,122.0,133.0,255.0,0,360,10,106
F19998#F11426,134.0,145.0,279.0,0,360,10,107
F19998#F11379,131.0,145.0,276.0,0,360,10,108
F19998#F11334,126.0,132.0,258.0,0,360,10,109
F19998#F11220,124.0,138.0,262.0,0,360,10,110
F19998#F11134,121.0,145.0,266.0,0,360,10,111
F19998#F11048,140.0,133.0,273.0,0,360,10,112
F19998#F11011,139.0,138.0,277.0,0,360,10,113
F19998#F10940,140.0,146.0,286.0,0,360,10,114
F19998#F10916,129.0,141.0,270.0,0,360,10,115
F19998#F10815,122.0,139.0,261.0,0,360,10,116
F19998#F10780,128.0,147.0,275.0,0,360,10,117
F19998#F10738,136.0,149.0,285.0,0,360,10,118
F19998#F10630,134.0,149.0,283.0,0,360,10,119
F19998#F10622,134.0,149.0,283.0,0,360,10,120
F19998#F10552,134.0,149.0,283.0,0,360,10,121
F19998#F10454,134.0,149.0,283.0,0,360,10,122
F19998#F10413,136.0,160.0,296.0,0,360,10,123
F19998#F10362,111.0,127.0,238.0,0,360,10,124
F19998#F10306,101.0,104.0,205.0,0,360,10,125
F19998#F10226,101.0,104.0,205.0,0,360,10,126
F19998#F10177,101.0,104.0,205.0,0,360,10,127
F19998#F10108,101.0,104.0,205.0,0,360,10,128
F19998#F10044,101.0,104.0,205.0,0,360,10,129
F19998#F10035,101.0,104.0,205.0,0,360,10,130
F19998#F9978,101.0,104.0,205.0,0,360,10,131
F19998#F9916,101.0,104.0,205.0,0,360,10,132
F19998#F9872,101.0,104.0,205.0,0,360,10,133
F19998#F9779,101.0,104.0,205.0,0,360,10,134
F19998#F9774,101.0,104.0,205.0,0,360,10,135
F19998#F9692,101.0,104.0,205.0,0,360,10,136
F19998#F9644,101.0,104.0,205.0,0,360,10,137
F19998#F9570,101.0,104.0,205.0,0,360,10,138
F19998#F9522,101.0,104.0,205.0,0,360,10,139
F19998#F9501,101.0,104.0,205.0,0,360,10,140
