keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F0,222,149,374,0,480,10,26946
F16238#F0,239.0,159.0,498.0,0,1332,37,26946
F16235#F0,203.0,183.0,486.0,0,1368,38,26946
F16214#F0,263.0,153.0,416.0,0,1404,39,26946
F16208#F0,226.0,167.0,393.0,0,1440,40,26946
F16184#F0,227.0,148.0,375.0,0,1476,41,26946
F16130#F0,170.0,132.0,302.0,0,1512,42,26946
F16090#F0,171.0,154.0,325.0,0,1548,43,26946
F16023#F0,203.0,121.0,324.0,0,1584,44,26946
F15924#F0,204.0,119.0,323.0,0,1620,45,26946
F15885#F0,181.0,128.0,309.0,0,1656,46,26946
F15849#F0,181.0,133.0,314.0,0,1692,47,26946
F15747#F0,191.0,144.0,335.0,0,1728,48,26946
F15700#F0,177.0,130.0,307.0,0,1764,49,26946
F15569#F0,192.0,136.0,328.0,0,1800,50,26946
F15547#F0,219.0,139.0,358.0,0,1836,51,26946
F15477#F0,184.0,133.0,317.0,0,1872,52,26946
F15415#F0,188.0,129.0,317.0,0,1908,53,26946
F15343#F0,198.0,134.0,332.0,0,1944,54,26946
F15199#F0,201.0,146.0,347.0,0,1980,55,26946
F15114#F0,216.0,126.0,342.0,0,2016,56,26946
F15029#F0,231.0,138.0,369.0,0,2052,57,26946
F15003#F0,234.0,131.0,365.0,0,2088,58,26946
F14877#F0,196.0,146.0,342.0,0,2124,59,26946
F14805#F0,199.32203389830508,144.0,343.3220338983051,0,2160,60,26946
F14736#F0,200.0,152.0,352.0,0,2196,61,26946
F14645#F0,206.0,166.0,372.0,0,2232,62,26946
F14621#F0,213.0,147.0,360.0,0,2268,63,26946
F14498#F0,217.0,150.0,367.0,0,2304,64,26946
F14396#F0,214.0,139.0,353.0,0,2340,65,26946
F14377#F0,227.0,153.0,380.0,0,2376,66,26946
F14270#F0,235.0,159.0,394.0,0,2412,67,26946
F14173#F0,233.0,164.0,397.0,0,2448,68,26946
F14061#F0,242.0,171.0,413.0,0,2484,69,26946
F13990#F0,251.0,155.0,406.0,0,2520,70,26946
F13973#F0,221.0,155.0,376.0,0,2556,71,26946
F13834#F0,242.0,160.0,402.0,0,2592,72,26946
F13757#F0,228.0,161.0,389.0,0,2628,73,26946
F13740#F0,239.0,162.0,401.0,0,2664,74,26946
F13640#F0,236.0,159.0,395.0,0,2700,75,26946
F13574#F0,261.0,165.0,426.0,0,2736,76,26946
F13494#F0,256.0,165.0,421.0,0,2772,77,26946
F13434#F0,250.0,155.0,405.0,0,2808,78,26946
F13361#F0,239.0,172.0,411.0,0,2844,79,26946
F13313#F0,257.0,162.0,419.0,0,2880,80,26946
F13182#F0,246.0,171.0,417.0,0,2916,81,26946
F13093#F0,283.0,175.0,458.0,0,2952,82,26946
F13082#F0,265.0,170.0,435.0,0,2988,83,26946
F13005#F0,269.0,179.0,448.0,0,3024,84,26946
F12930#F0,276.0,178.0,454.0,0,3060,85,26946
F12893#F0,279.0,171.0,450.0,0,3096,86,26946
F12810#F0,275.0,176.0,451.0,0,3132,87,26946
F12745#F0,264.0,176.0,440.0,0,3168,88,26946
F12626#F0,274.0,175.0,449.0,0,3204,89,26946
F12547#F0,280.0,180.0,460.0,0,3240,90,26946
F12523#F0,274.0,178.0,452.0,0,3276,91,26946
F12401#F0,290.0,180.0,470.0,0,3312,92,26946
F12337#F0,287.0,179.0,466.0,0,3348,93,26946
F12284#F0,319.0,193.0,512.0,0,3384,94,26946
F12231#F0,296.0,208.0,504.0,0,3420,95,26946
F12103#F0,323.0,190.0,513.0,0,3456,96,26946
F12020#F0,281.0,182.0,463.0,0,3492,97,26946
F11994#F0,321.0,188.0,509.0,0,3528,98,26946
F11907#F0,308.0,202.0,510.0,0,3564,99,26946
F11843#F0,317.0,191.0,508.0,0,3600,100,26946
F11784#F0,309.0,196.0,505.0,0,3636,101,26946
F11768#F0,320.0,195.0,515.0,0,3672,102,26946
F11701#F0,311.0,198.0,509.0,0,3708,103,26946
F11646#F0,326.0,198.0,524.0,0,3744,104,26946
F11583#F0,314.0,192.0,506.0,0,3780,105,26946
F11512#F0,319.0,187.0,506.0,0,3816,106,26946
F11426#F0,309.0,182.0,491.0,0,3852,107,26946
F11379#F0,307.0,199.0,506.0,0,3888,108,26946
F11334#F0,327.0,189.0,516.0,0,3924,109,26946
F11220#F0,319.0,195.0,514.0,0,3960,110,26946
F11134#F0,334.0,194.0,528.0,0,3996,111,26946
F11048#F0,325.0,210.0,535.0,0,4032,112,26946
F11011#F0,349.0,198.0,547.0,0,4068,113,26946
F10940#F0,342.0,231.0,573.0,0,4104,114,26946
F10916#F0,325.0,233.0,558.0,0,4140,115,26946
F10815#F0,320.0,243.0,563.0,0,4176,116,26946
F10780#F0,333.0,212.0,545.0,0,4212,117,26946
F10738#F0,333.0,212.0,545.0,0,4248,118,26946
F10630#F0,349.0,200.0,549.0,0,4284,119,26946
F10622#F0,347.0,206.0,553.0,0,4320,120,26946
F10552#F0,341.0,197.0,538.0,0,4356,121,26946
F10454#F0,351.0,210.0,561.0,0,4392,122,26946
F10413#F0,378.0,201.0,579.0,0,4428,123,26946
F10362#F0,379.0,219.0,598.0,0,4464,124,26946
F10306#F0,369.0,225.0,594.0,0,4500,125,26946
F10226#F0,396.0,239.0,635.0,0,4536,126,26946
F10177#F0,397.0,260.0,657.0,0,4572,127,26946
F10108#F0,448.0,229.0,677.0,0,4608,128,26946
F10044#F0,387.0,220.0,607.0,0,4644,129,26946
F10035#F0,406.0,225.0,631.0,0,4680,130,26946
F9978#F0,407.0,226.73076923076923,633.7307692307693,0,4716,131,26946
F9916#F0,409.0,230.0,639.0,0,4752,132,26946
F9872#F0,383.0,231.0,614.0,0,4788,133,26946
F9779#F0,438.0,244.0,682.0,0,4824,134,26946
F9774#F0,446.0,241.0,687.0,0,4860,135,26946
F9692#F0,490.0,248.0,738.0,0,4896,136,26946
F9644#F0,423.0,246.0,669.0,0,4932,137,26946
F9570#F0,412.0,247.0,659.0,0,4968,138,26946
F9522#F0,437.0,241.0,678.0,0,5004,139,26946
F9501#F0,410.0,265.0,675.0,0,5040,140,26946
F9411#F0,434.0,247.0,681.0,0,5076,141,26946
F9379#F0,486.0,271.0,757.0,0,5112,142,26946
F9330#F0,466.0,280.0,746.0,0,5148,143,26946
F9283#F0,422.0,245.0,667.0,0,5184,144,26946
F9252#F0,423.0,228.0,651.0,0,5220,145,26946
F9204#F0,418.0,237.0,655.0,0,5256,146,26946
F9126#F0,439.0,262.0,701.0,0,5292,147,26946
F9093#F0,430.0,253.0,683.0,0,5328,148,26946
F9029#F0,420.0,263.0,683.0,0,5364,149,26946
F8952#F0,414.0,242.0,656.0,0,5400,150,26946
F8913#F0,421.0,242.0,663.0,0,5436,151,26946
F8877#F0,410.0,239.0,649.0,0,5472,152,26946
F8831#F0,415.0,253.0,668.0,0,5508,153,26946
F8798#F0,413.0,243.0,656.0,0,5544,154,26946
F8754#F0,448.0,280.0,728.0,0,5580,155,26946
F8716#F0,445.0,268.0,713.0,0,5616,156,26946
F8648#F0,428.0,251.0,679.0,0,5652,157,26946
F8637#F0,462.0,255.0,717.0,0,5688,158,26946
F8593#F0,475.0,277.0,752.0,0,5724,159,26946
F8536#F0,472.0,267.0,739.0,0,5760,160,26946
F8501#F0,452.0,275.0,727.0,0,5796,161,26946
F8435#F0,434.0,245.0,679.0,0,5832,162,26946
F8407#F0,457.0,261.0,718.0,0,5868,163,26946
F8312#F0,475.0,252.0,727.0,0,5904,164,26946
F8251#F0,458.0,244.0,702.0,0,5940,165,26946
F8226#F0,481.0,250.0,731.0,0,5976,166,26946
F8185#F0,463.0,253.0,716.0,0,6012,167,26946
F8157#F0,456.0,259.0,715.0,0,6048,168,26946
