keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F16238,214,121,340,0,480,10,37
F19998#F16235,148,66,216,0,480,10,38
F19998#F16214,132,73,206,0,480,10,39
F19998#F16208,96,66,163,0,480,10,40
F19998#F16184,85,110,196,0,480,10,41
F19998#F16130,157,112,271,0,480,10,42
F19998#F16090,62,40,104,0,480,10,43
F19998#F16023,94,41,136,0,480,10,44
F19998#F15924,60,45,107,0,480,10,45
F19998#F15885,55,37,93,0,480,10,46
F19998#F15849,58,45,104,0,480,10,47
F19998#F15747,64,41,107,0,480,10,48
F19998#F15700,56,45,103,0,480,10,49
F19998#F15569,100,42,144,0,480,10,50
F19998#F15547,57,54,112,0,480,10,51
F19998#F15477,54,46,102,0,480,10,52
F19998#F15415,59,45,105,0,480,10,53
F19998#F15343,50,43,94,0,480,10,54
F19998#F15199,52,38,91,0,480,10,55
F19998#F15114,56,37,95,0,480,10,56
F19998#F15029,59,90,149,0,480,10,57
F19998#F15003,52,40,93,0,480,10,58
F19998#F14877,59,88,148,0,480,10,59
F19998#F14805,51,44,96,0,480,10,60
F19998#F14736,49,34,85,0,480,10,61
F19998#F14645,93,92,186,0,480,10,62
F19998#F14621,51,35,87,0,480,10,63
F19998#F14498,57,89,147,0,480,10,64
F19998#F14396,47,90,139,0,480,10,65
F19998#F14377,59,33,93,0,480,10,66
F19998#F14270,54,39,94,0,480,10,67
F19998#F14173,58,92,151,0,480,10,68
F19998#F14061,54,36,91,0,480,10,69
F19998#F13990,60,89,150,0,480,10,70
F19998#F13973,53,40,94,0,480,10,71
F19998#F13834,51,40,92,0,480,10,72
F19998#F13757,57,43,101,0,480,10,73
F19998#F13740,53,37,91,0,480,10,74
F19998#F13640,49,36,87,0,480,10,75
F19998#F13574,52,36,89,0,480,10,76
F19998#F13494,51,85,138,0,480,10,77
F19998#F13434,56,39,96,0,480,10,78
F19998#F13361,53,38,92,0,480,10,79
F19998#F13313,59,36,96,0,480,10,80
F19998#F13182,53,37,90,0,480,10,81
F19998#F13093,50,84,135,0,480,10,82
F19998#F13082,49,40,91,0,480,10,83
F19998#F13005,43,81,125,0,480,10,84
F19998#F12930,59,40,100,0,480,10,85
F19998#F12893,54,93,148,0,480,10,86
F19998#F12810,54,64,119,0,480,10,87
F19998#F12745,65,92,159,0,480,10,88
F19998#F12626,52,87,140,0,480,10,89
F19998#F12547,55,42,98,0,480,10,90
F19998#F12523,60,43,104,0,480,10,91
F19998#F12401,55,39,96,0,480,10,92
F19998#F12337,53,39,94,0,480,10,93
F19998#F12284,49,88,139,0,480,10,94
F19998#F12231,70,40,112,0,480,10,95
F19998#F12103,56,42,99,0,480,10,96
F19998#F12020,53,41,95,0,480,10,97
F19998#F11994,93,42,137,0,480,10,98
F19998#F11907,49,38,88,0,480,10,99
F19998#F11843,50,35,87,0,480,10,100
F19998#F11784,70,65,136,0,480,10,101
F19998#F11768,69,99,169,0,480,10,102
F19998#F11701,56,73,130,0,480,10,103
F19998#F11646,61,40,102,0,480,10,104
F19998#F11583,58,41,100,0,480,10,105
F19998#F11512,103,43,147,0,480,10,106
F19998#F11426,60,43,105,0,480,10,107
F19998#F11379,102,41,144,0,480,10,108
F19998#F11334,62,42,105,0,480,10,109
F19998#F11220,67,36,104,0,480,10,110
F19998#F11134,51,83,135,0,480,10,111
F19998#F11048,54,45,101,0,480,10,112
F19998#F11011,68,40,109,0,480,10,113
F19998#F10940,51,82,134,0,480,10,114
F19998#F10916,52,39,93,0,480,10,115
F19998#F10815,52,41,95,0,480,10,116
F19998#F10780,55,37,93,0,480,10,117
F19998#F10738,59,41,101,0,480,10,118
F19998#F10630,92,35,128,0,480,10,119
F19998#F10622,58,42,101,0,480,10,120
F19998#F10552,64,45,111,0,480,10,121
F19998#F10454,53,38,92,0,480,10,122
F19998#F10413,59,38,98,0,480,10,123
F19998#F10362,93,43,137,0,480,10,124
F19998#F10306,52,40,94,0,480,10,125
F19998#F10226,52,101,154,0,480,10,126
F19998#F10177,53,43,97,0,480,10,127
F19998#F10108,51,35,87,0,480,10,128
F19998#F10044,54,41,97,0,480,10,129
F19998#F10035,54,85,140,0,480,10,130
F19998#F9978,57,45,103,0,480,10,131
F19998#F9916,57,41,99,0,480,10,132
F19998#F9872,52,34,89,0,480,10,133
F19998#F9779,51,33,86,0,480,10,134
F19998#F9774,54,79,134,0,480,10,135
F19998#F9692,51,98,150,0,480,10,136
F19998#F9644,59,41,101,0,480,10,137
F19998#F9570,53,36,90,0,480,10,138
F19998#F9522,60,37,98,0,480,10,139
F19998#F9501,53,41,96,0,480,10,140
F19998#F9411,62,41,104,0,480,10,141
F19998#F9379,51,40,92,0,480,10,142
F19998#F9330,51,40,92,0,480,10,143
F19998#F9283,99,43,143,0,480,10,144
F19998#F9252,58,45,106,0,480,10,145
F19998#F9204,54,40,95,0,480,10,146
F19998#F9126,59,91,151,0,480,10,147
F19998#F9093,56,58,116,0,480,10,148
F19998#F9029,63,46,110,0,480,10,149
F19998#F8952,55,41,97,0,480,10,150
F19998#F8913,76,42,119,0,480,10,151
F19998#F8877,68,92,161,0,480,10,152
F19998#F8831,51,39,91,0,480,10,153
F19998#F8798,52,43,96,0,480,10,154
F19998#F8754,58,43,102,0,480,10,155
F19998#F8716,58,49,109,0,480,10,156
F19998#F8648,57,37,96,0,480,10,157
F19998#F8637,58,42,101,0,480,10,158
F19998#F8593,53,38,92,0,480,10,159
F19998#F8536,58,37,96,0,480,10,160
F19998#F8501,55,84,140,0,480,10,161
F19998#F8435,59,89,149,0,480,10,162
F19998#F8407,52,45,98,0,480,10,163
F19998#F8312,111,47,160,0,480,10,164
F19998#F8251,65,41,107,0,480,10,165
F19998#F8226,72,56,129,0,480,10,166
F19998#F8185,69,74,145,0,480,10,167
F19998#F8157,73,38,112,0,480,10,168
F19998#F8081,69,45,115,0,480,10,169
F19998#F8066,104,38,143,0,480,10,170
F19998#F8026,102,44,147,0,480,10,171
F19998#F7966,57,44,102,0,480,10,172
F19998#F7911,60,40,101,0,480,10,173
F19998#F7888,70,83,154,0,480,10,174
F19998#F7847,55,37,94,0,480,10,175
F19998#F7811,82,44,126,0,480,10,176
F19998#F7747,63,91,156,0,480,10,177
F19998#F7737,59,41,101,0,480,10,178
F19998#F7681,61,96,158,0,480,10,179
F19998#F7667,74,44,119,0,480,10,180
F19998#F7595,59,37,97,0,480,10,181
F19998#F7556,61,37,98,0,480,10,182
F19998#F7515,95,88,184,0,480,10,183
F19998#F7474,56,41,98,0,480,10,184
F19998#F7446,65,42,109,0,480,10,185
F19998#F7393,54,37,92,0,480,10,186
F19998#F7352,52,38,92,0,480,10,187
F19998#F7344,56,87,144,0,480,10,188
F19998#F7302,66,39,107,0,480,10,189
F19998#F7261,59,41,101,0,480,10,190
F19998#F7230,63,45,109,0,480,10,191
F19998#F7189,58,47,106,0,480,10,192
F19998#F7172,56,40,97,0,480,10,193
F19998#F7136,59,93,153,0,480,10,194
F19998#F7074,57,84,142,0,480,10,195
F19998#F7021,58,40,100,0,480,10,196
F19998#F7007,56,39,96,0,480,10,197
F19998#F6947,54,38,93,0,480,10,198
F19998#F6930,52,39,92,0,480,10,199
F19998#F6882,64,38,103,0,480,10,200
F19998#F6853,61,88,150,0,480,10,201
F19998#F6826,51,43,95,0,480,10,202
F19998#F6766,55,86,141,0,480,10,203
F19998#F6717,55,45,101,0,480,10,204
