keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F6542#F8109,121.0,33.0,154.0,0,48,1,9738
F8396#F8109,144.0,37.0,181.0,0,96,2,9738
F8975#F8109,130.0,41.0,171.0,0,144,3,9738
F5981#F8109,111.0,54.666666666666664,165.66666666666666,0,192,4,9738
F7550#F8109,103.0,68.33333333333333,171.33333333333331,0,240,5,9738
F1014#F8109,83.0,81.99999999999999,165.0,0,288,6,9738
F6976#F8109,95.0,83.0,178.0,0,336,7,9738
F8581#F8109,71.0,45.0,116.0,0,384,8,9738
F4784#F8109,79.875,50.625,130.5,0,432,9,9738
F285#F8109,76.0,53.0,129.0,0,480,10,9738
F9078#F8109,88.0,58.300000000000004,146.3,0,528,11,9738
F931#F8109,98.0,54.0,152.0,0,576,12,9738
F9327#F8109,86.5,49.0,135.5,0,624,13,9738
F9803#F8109,75.0,52.76923076923077,127.76923076923077,0,672,14,9738
F8361#F8109,80.35714285714286,53.0,133.35714285714286,0,720,15,9738
F6479#F8109,83.0,56.53333333333333,139.53333333333333,0,768,16,9738
F9786#F8109,88.1875,53.0,141.1875,0,816,17,9738
F1812#F8109,99.0,58.0,157.0,0,864,18,9738
F1453#F8109,91.0,61.22222222222222,152.22222222222223,0,912,19,9738
F5044#F8109,107.0,66.0,173.0,0,960,20,9738
F7699#F8109,100.0,76.0,176.0,0,1008,21,9738
F4127#F8109,82.0,62.0,144.0,0,1056,22,9738
F4989#F8109,96.0,70.0,166.0,0,1104,23,9738
F2777#F8109,100.17391304347825,64.0,164.17391304347825,0,1152,24,9738
F35#F8109,103.0,66.66666666666667,169.66666666666669,0,1200,25,9738
F5631#F8109,105.0,69.33333333333334,174.33333333333334,0,1248,26,9738
F6021#F8109,119.0,77.0,196.0,0,1296,27,9738
F5385#F8109,110.0,73.0,183.0,0,1344,28,9738
F215#F8109,116.0,70.0,186.0,0,1392,29,9738
F5570#F8109,102.0,66.0,168.0,0,1440,30,9738
F6094#F8109,118.0,68.2,186.2,0,1488,31,9738
F3769#F8109,110.0,70.0,180.0,0,1536,32,9738
F5287#F8109,113.4375,83.0,196.4375,0,1584,33,9738
F5424#F8109,135.0,79.0,214.0,0,1632,34,9738
F3964#F8109,124.0,81.3235294117647,205.3235294117647,0,1680,35,9738
F1813#F8109,133.0,87.0,220.0,0,1728,36,9738
F7267#F8109,114.0,89.41666666666666,203.41666666666666,0,1776,37,9738
F5517#F8109,123.0,82.70833333333333,205.70833333333331,0,1824,38,9738
F9774#F8109,126.23684210526316,76.0,202.23684210526318,0,1872,39,9738
F8700#F8109,129.0,84.0,213.0,0,1920,40,9738
F3987#F8109,127.0,86.1,213.1,0,1968,41,9738
F9914#F8109,128.0,88.2,216.2,0,2016,42,9738
F9286#F8109,137.0,81.0,218.0,0,2064,43,9738
F5382#F8109,158.0,91.0,249.0,0,2112,44,9738
F6186#F8109,141.0,86.0,227.0,0,2160,45,9738
F5597#F8109,136.0,100.0,236.0,0,2208,46,9738
F3875#F8109,149.0,85.0,234.0,0,2256,47,9738
F5577#F8109,146.0,86.80851063829786,232.80851063829786,0,2304,48,9738
F3105#F8109,148.0,88.61702127659572,236.61702127659572,0,2352,49,9738
F6035#F8109,157.0,90.4255319148936,247.4255319148936,0,2400,50,9738
F2790#F8109,158.0,90.0,248.0,0,2448,51,9738
F5436#F8109,150.0,80.0,230.0,0,2496,52,9738
F3901#F8109,179.0,81.53846153846153,260.53846153846155,0,2544,53,9738
F2506#F8109,176.0,92.0,268.0,0,2592,54,9738
F3919#F8109,165.0,93.70370370370371,258.7037037037037,0,2640,55,9738
F8132#F8109,151.0,95.4074074074074,246.4074074074074,0,2688,56,9738
F9882#F8109,160.0,96.0,256.0,0,2736,57,9738
F748#F8109,171.0,99.0,270.0,0,2784,58,9738
F7607#F8109,199.0,100.0,299.0,0,2832,59,9738
F1268#F8109,162.0,101.69491525423729,263.6949152542373,0,2880,60,9738
F1717#F8109,165.0,100.0,265.0,0,2928,61,9738
F6082#F8109,191.0,102.0,293.0,0,2976,62,9738
F2782#F8109,194.0,96.0,290.0,0,3024,63,9738
F780#F8109,194.0,107.0,301.0,0,3072,64,9738
F3905#F8109,193.0,112.0,305.0,0,3120,65,9738
F1880#F8109,209.0,110.0,319.0,0,3168,66,9738
F7721#F8109,182.0,106.0,288.0,0,3216,67,9738
F6747#F8109,193.0,107.58208955223881,300.5820895522388,0,3264,68,9738
F1761#F8109,179.0,113.0,292.0,0,3312,69,9738
F3795#F8109,199.0,102.0,301.0,0,3360,70,9738
F3911#F8109,197.0,97.0,294.0,0,3408,71,9738
F1165#F8109,205.0,98.36619718309859,303.3661971830986,0,3456,72,9738
F460#F8109,198.0,105.0,303.0,0,3504,73,9738
F1760#F8109,205.0,106.43835616438356,311.43835616438355,0,3552,74,9738
F2687#F8109,215.0,107.87671232876714,322.87671232876716,0,3600,75,9738
F3566#F8109,211.0,103.0,314.0,0,3648,76,9738
F8692#F8109,194.0,101.0,295.0,0,3696,77,9738
F2393#F8109,217.0,115.0,332.0,0,3744,78,9738
F1877#F8109,235.0,114.0,349.0,0,3792,79,9738
F6179#F8109,216.0,135.0,351.0,0,3840,80,9738
F3893#F8109,219.0,136.6875,355.6875,0,3888,81,9738
F6377#F8109,219.0,118.0,337.0,0,3936,82,9738
F4550#F8109,219.0,108.0,327.0,0,3984,83,9738
F3853#F8109,220.0,114.0,334.0,0,4032,84,9738
F7737#F8109,216.0,115.35714285714285,331.35714285714283,0,4080,85,9738
F4864#F8109,246.0,116.7142857142857,362.71428571428567,0,4128,86,9738
F6884#F8109,236.0,128.0,364.0,0,4176,87,9738
F9242#F8109,242.0,129.4712643678161,371.4712643678161,0,4224,88,9738
F3988#F8109,246.0,130.9425287356322,376.9425287356322,0,4272,89,9738
F1554#F8109,242.0,132.4137931034483,374.4137931034483,0,4320,90,9738
F3147#F8109,238.0,119.0,357.0,0,4368,91,9738
F5025#F8109,230.0,116.0,346.0,0,4416,92,9738
F8445#F8109,232.0,121.0,353.0,0,4464,93,9738
F5058#F8109,250.0,122.3010752688172,372.3010752688172,0,4512,94,9738
F3282#F8109,266.0,123.0,389.0,0,4560,95,9738
F3207#F8109,242.0,120.0,362.0,0,4608,96,9738
F1222#F8109,253.0,118.0,371.0,0,4656,97,9738
F7001#F8109,267.0,119.21649484536081,386.2164948453608,0,4704,98,9738
F5141#F8109,264.0,121.0,385.0,0,4752,99,9738
F2367#F8109,256.0,123.0,379.0,0,4800,100,9738
F1417#F8109,270.0,124.23,394.23,0,4848,101,9738
F1143#F8109,271.0,125.46000000000001,396.46000000000004,0,4896,102,9738
F2472#F8109,271.0,118.0,389.0,0,4944,103,9738
F2721#F8109,278.0,125.0,403.0,0,4992,104,9738
F7660#F8109,263.0,124.0,387.0,0,5040,105,9738
F5807#F8109,273.0,125.18095238095238,398.18095238095236,0,5088,106,9738
F1181#F8109,267.0,131.0,398.0,0,5136,107,9738
F4828#F8109,266.0,124.0,390.0,0,5184,108,9738
F4793#F8109,290.0,130.0,420.0,0,5232,109,9738
F1558#F8109,256.0,131.1926605504587,387.1926605504587,0,5280,110,9738
F9771#F8109,269.0,148.0,417.0,0,5328,111,9738
F463#F8109,298.0,145.0,443.0,0,5376,112,9738
F8942#F8109,276.0,127.0,403.0,0,5424,113,9738
F3448#F8109,289.0,128.12389380530973,417.12389380530976,0,5472,114,9738
F2465#F8109,284.0,136.0,420.0,0,5520,115,9738
F3403#F8109,281.0,131.0,412.0,0,5568,116,9738
F6049#F8109,282.0,132.0,414.0,0,5616,117,9738
F7354#F8109,288.0,132.0,420.0,0,5664,118,9738
F1129#F8109,303.0,130.0,433.0,0,5712,119,9738
F1177#F8109,296.0,138.0,434.0,0,5760,120,9738
F2339#F8109,294.0,138.0,432.0,0,5808,121,9738
F1373#F8109,310.0,145.0,455.0,0,5856,122,9738
F1618#F8109,301.0,139.0,440.0,0,5904,123,9738
F2329#F8109,296.0,139.0,435.0,0,5952,124,9738
F1089#F8109,306.0,150.0,456.0,0,6000,125,9738
F1749#F8109,304.0,146.0,450.0,0,6048,126,9738
F638#F8109,327.0,144.0,471.0,0,6096,127,9738
F1582#F8109,315.0,138.0,453.0,0,6144,128,9738
F2212#F8109,320.0,146.0,466.0,0,6192,129,9738
F529#F8109,320.0,147.0,467.0,0,6240,130,9738
F3949#F8109,313.0,146.0,459.0,0,6288,131,9738
F4626#F8109,357.0,150.0,507.0,0,6336,132,9738
F2543#F8109,324.0,154.0,478.0,0,6384,133,9738
F2348#F8109,315.0,155.1578947368421,470.1578947368421,0,6432,134,9738
F3970#F8109,323.0,157.0,480.0,0,6480,135,9738
