keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F285#F9078,171,164,52,337,0,360,10,11
F285#F931,107,83,23,191,0,360,10,12
F285#F9327,131,101,35,233,0,360,10,13
F285#F9803,90,93,25,184,0,360,10,14
F285#F8361,85,77,30,162,0,360,10,15
F285#F6479,76,76,31,153,0,360,10,16
F285#F9786,66,77,27,145,0,360,10,17
F285#F1812,78,95,36,174,0,360,10,18
F285#F1453,89,79,29,169,0,360,10,19
F285#F5044,79,74,25,154,0,360,10,20
F285#F7699,65,73,27,139,0,360,10,21
F285#F4127,71,78,33,150,0,360,10,22
F285#F4989,75,80,37,156,0,360,10,23
F285#F2777,72,79,34,151,0,360,10,24
F285#F35,69,74,31,144,0,360,10,25
F285#F5631,75,84,38,160,0,360,10,26
F285#F6021,68,77,32,146,0,360,10,27
F285#F5385,71,87,38,159,0,360,10,28
F285#F215,79,77,38,157,0,360,10,29
F285#F5570,79,79,38,159,0,360,10,30
F285#F6094,81,82,42,164,0,360,10,31
F285#F3769,78,85,44,163,0,360,10,32
F285#F5287,83,79,39,163,0,360,10,33
F285#F5424,77,82,43,160,0,360,10,34
F285#F3964,82,93,48,176,0,360,10,35
F285#F1813,83,101,56,185,0,360,10,36
F285#F7267,88,109,55,198,0,360,10,37
F285#F5517,85,117,70,202,0,360,10,38
F285#F9774,89,110,66,200,0,360,10,39
F285#F8700,105,122,78,228,0,360,10,40
F285#F3987,136,112,66,248,0,360,10,41
F285#F9914,99,107,64,207,0,360,10,42
F285#F9286,137,128,81,266,0,360,10,43
F285#F5382,94,141,65,236,0,360,10,44
F285#F6186,143,141,88,285,0,360,10,45
F285#F5597,215,159,65,374,0,360,10,46
F285#F3875,125,99,55,225,0,360,10,47
F285#F5577,89,103,55,193,0,360,10,48
F285#F3105,97,102,61,201,0,360,10,49
F285#F6035,101,106,62,208,0,360,10,50
F285#F2790,138,104,62,244,0,360,10,51
F285#F5436,94,108,62,202,0,360,10,52
F285#F3901,97,107,61,205,0,360,10,53
F285#F2506,91,102,57,194,0,360,10,54
F285#F3919,91,105,62,198,0,360,10,55
F285#F8132,101,102,61,203,0,360,10,56
F285#F9882,91,111,66,203,0,360,10,57
F285#F748,94,107,61,202,0,360,10,58
F285#F7607,103,123,75,227,0,360,10,59
F285#F1268,95,118,66,214,0,360,10,60
F285#F1717,102,112,68,215,0,360,10,61
F285#F6082,110,118,70,229,0,360,10,62
F285#F2782,97,108,69,206,0,360,10,63
F285#F780,103,109,66,213,0,360,10,64
F285#F3905,97,122,74,220,0,360,10,65
F285#F1880,107,117,71,225,0,360,10,66
F285#F7721,103,112,72,216,0,360,10,67
F285#F6747,104,124,82,228,0,360,10,68
F285#F1761,106,126,83,233,0,360,10,69
F285#F3795,119,137,91,257,0,360,10,70
F285#F3911,98,118,74,217,0,360,10,71
F285#F1165,99,124,78,224,0,360,10,72
F285#F460,97,120,68,217,0,360,10,73
F285#F1760,106,126,76,233,0,360,10,74
F285#F2687,102,136,88,239,0,360,10,75
F285#F3566,107,129,82,236,0,360,10,76
F285#F8692,109,127,80,237,0,360,10,77
F285#F2393,111,122,82,234,0,360,10,78
F285#F1877,106,141,94,247,0,360,10,79
F285#F6179,113,141,87,255,0,360,10,80
F285#F3893,128,127,84,256,0,360,10,81
F285#F6377,115,127,81,243,0,360,10,82
F285#F4550,120,135,86,256,0,360,10,83
F285#F3853,123,131,87,255,0,360,10,84
F285#F7737,139,140,90,280,0,360,10,85
F285#F4864,129,126,74,256,0,360,10,86
F285#F6884,120,133,92,254,0,360,10,87
F285#F9242,118,121,76,239,0,360,10,88
F285#F3988,118,124,79,243,0,360,10,89
F285#F1554,120,125,77,246,0,360,10,90
F285#F3147,116,142,91,260,0,360,10,91
F285#F5025,117,124,80,242,0,360,10,92
F285#F8445,118,163,113,282,0,360,10,93
