keyword   , clientTime, serverTime, exTime, totalTime, resultLength, payloadSize, w1, w2
F285#F9078,        60,         78,      0,       278,            0,         360, 10,   11
F285#F931 ,        60,         94,      0,       230,            0,         360, 10,   12
F285#F9327,        61,        119,      0,       240,            0,         360, 10,   13
F285#F9803,        62,         74,      0,       176,            0,         360, 10,   14
F285#F8361,         99,         88,      0,       187,            0,         360, 10,   15
F285#F6479,         85,        101,      0,       186,            0,         360, 10,   16
F285#F9786,         79,        104,      0,       183,            0,         360, 10,   17
F285#F1812,         81,         56,      0,       137,            0,         360, 10,   18
F285#F1453,         71,         86,      0,       157,            0,         360, 10,   19
F285#F5044,        107,         47,      0,       154,            0,         360, 10,   20
F285#F7699,         67,         49,      0,       116,            0,         360, 10,   21
F285#F4127,         86,        112,      0,       198,            0,         360, 10,   22
F285#F4989,        71,         57,      0,       178,            0,         360, 10,   23
F285#F2777,        72,        112,      0,       384,            0,         360, 10,   24
F285#F35  ,         73,         43,      0,       116,            0,         360, 10,   25
F285#F5631,         99,         73,      0,       172,            0,         360, 10,   26
F285#F6021,         62,         51,      0,       113,            0,         360, 10,   27
F285#F5385,         59,         85,      0,       144,            0,         360, 10,   28
F285#F215 ,         79,         52,      0,       131,            0,         360, 10,   29
F285#F5570,         59,         42,      0,       101,            0,         360, 10,   30
F285#F6094,         53,         48,      0,       101,            0,         360, 10,   31
F285#F3769,         62,         44,      0,       106,            0,         360, 10,   32
F285#F5287,         54,         85,      0,       139,            0,         360, 10,   33
F285#F5424,         58,         51,      0,       109,            0,         360, 10,   34
F285#F3964,         64,         44,      0,       108,            0,         360, 10,   35
F285#F1813,         57,         42,      0,        99,            0,         360, 10,   36
F285#F7267,         58,         45,      0,       103,            0,         360, 10,   37
F285#F5517,         61,         46,      0,       107,            0,         360, 10,   38
F285#F9774,         56,         43,      0,        99,            0,         360, 10,   39
F285#F8700,         60,         47,      0,       107,            0,         360, 10,   40
F285#F3987,         90,         81,      0,       171,            0,         360, 10,   41
F285#F9914,         65,         45,      0,       110,            0,         360, 10,   42
F285#F9286,         60,         42,      0,       102,            0,         360, 10,   43
F285#F5382,         58,         50,      0,       108,            0,         360, 10,   44
F285#F6186,         58,         47,      0,       105,            0,         360, 10,   45
F285#F5597,         97,         44,      0,       141,            0,         360, 10,   46
F285#F3875,         63,         89,      0,       152,            0,         360, 10,   47
F285#F5577,         56,         44,      0,       100,            0,         360, 10,   48
F285#F3105,         57,         43,      0,       100,            0,         360, 10,   49
F285#F6035,         62,         41,      0,       103,            0,         360, 10,   50
F285#F2790,         59,         46,      0,       105,            0,         360, 10,   51
F285#F5436,         62,         86,      0,       148,            0,         360, 10,   52
F285#F3901,         55,         49,      0,       104,            0,         360, 10,   53
F285#F2506,         62,         89,      0,       151,            0,         360, 10,   54
F285#F3919,         57,         43,      0,       100,            0,         360, 10,   55
F285#F8132,         58,         85,      0,       143,            0,         360, 10,   56
F285#F9882,         65,         42,      0,       107,            0,         360, 10,   57
F285#F748 ,         56,         49,      0,       105,            0,         360, 10,   58
F285#F7607,         64,         47,      0,       111,            0,         360, 10,   59
F285#F1268,         56,         47,      0,       103,            0,         360, 10,   60
F285#F1717,         58,         46,      0,       104,            0,         360, 10,   61
F285#F6082,         99,         47,      0,       146,            0,         360, 10,   62
F285#F2782,         59,         51,      0,       110,            0,         360, 10,   63
F285#F780 ,         58,         47,      0,       105,            0,         360, 10,   64
F285#F3905,         64,         57,      0,       121,            0,         360, 10,   65
F285#F1880,         67,         45,      0,       112,            0,         360, 10,   66
F285#F7721,         62,         45,      0,       107,            0,         360, 10,   67
F285#F6747,         65,         47,      0,       112,            0,         360, 10,   68
F285#F1761,         56,         49,      0,       105,            0,         360, 10,   69
F285#F3795,         57,         89,      0,       146,            0,         360, 10,   70
