keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F0#F7   ,       299 ,       177 ,      478 ,           0 ,        480
F0#F1   ,       232 ,       249 ,      482 ,           0 ,        480
F0#F2   ,       900 ,      1224 ,     2125 ,           0 ,        480
F0#F3   ,      7525 ,      9212 ,    16738 ,           0 ,        480
F0#F4   ,     73804 ,     55092 ,   128897 ,           0 ,        480
F0#F5   ,    722260 ,    473036 ,  1195298 ,           0 ,        480
F0#F6   ,   8944406 ,   8261467 , 17205875 ,           0 ,        480
F1#F6   ,      1497 ,      1355 ,     2853 ,           0 ,       4800
F2#F6   ,     14865 ,     13585 ,    28452 ,           0 ,      48000
F3#F6   ,    188548 ,    150722 ,   339289 ,           0 ,     480000
F4#F6   ,   1637972 ,   1448168 ,  3086325 ,           0 ,    4800000
F5#F6   ,  15952264 ,  14352831 , 30307148 ,           0 ,   48000000
F13#F6  , 165413985 , 154557622 ,319991507 ,           0 ,  480000000
