keyword       ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F24246#F35798 ,        11 ,         2 ,       16 ,           1 ,         93
F26058#F38169 ,        22 ,         9 ,       33 ,           7 ,        748
F457#F15241   ,       161 ,        59 ,      220 ,          35 ,       5310
F62532#F15114 ,         2 ,         1 ,        4 ,           1 ,         93
F37132#F62283 ,         2 ,         0 ,        3 ,           0 ,         92
F2958#F6934   ,       160 ,        81 ,      242 ,          61 ,       8315
F29629#F50883 ,        27 ,        14 ,       42 ,           7 ,       1392
F52605#F49058 ,         8 ,         3 ,       12 ,           2 ,        372
F42050#F2458  ,        16 ,         7 ,       24 ,           5 ,        837
F36254#F43672 ,        33 ,        17 ,       51 ,          13 ,       1772
F11896#F44969 ,        20 ,         9 ,       31 ,          11 ,       1030
F3909#F59272  ,         3 ,         1 ,        5 ,           1 ,        185
F41795#F27576 ,        16 ,         7 ,       24 ,           8 ,        844
F2999#F20262  ,        64 ,        29 ,       94 ,          25 ,       2989
F8525#F26798  ,        12 ,         6 ,       19 ,           6 ,        656
F59733#F41500 ,         2 ,         1 ,        4 ,           0 ,         92
F49195#F46528 ,         5 ,         2 ,        8 ,           2 ,        280
F26843#F46242 ,         8 ,         3 ,       12 ,           3 ,        372
F40583#F28826 ,        36 ,        19 ,       57 ,          16 ,       1961
F38843#F42223 ,        19 ,         8 ,       28 ,           6 ,        930
F10183#F59310 ,         4 ,         1 ,        6 ,           1 ,        186
F60824#F56307 ,         2 ,         1 ,        4 ,           0 ,         92
F39720#F52890 ,        18 ,         8 ,       27 ,           5 ,        930
F53391#F24437 ,        10 ,         6 ,       17 ,           4 ,        559
F55048#F24688 ,        10 ,         5 ,       16 ,           4 ,        557
F17480#F62906 ,         2 ,         1 ,        4 ,           1 ,         93
F22593#F38594 ,        37 ,        18 ,       56 ,           9 ,       1948
F1642#F61189  ,         2 ,         0 ,        3 ,           1 ,         93
F38885#F24171 ,        25 ,        14 ,       40 ,           9 ,       1302
F60353#F27483 ,         9 ,         1 ,       11 ,           1 ,         94
F36386#F3771  ,        25 ,        14 ,       40 ,          11 ,       1401
F35791#F35783 ,         1 ,         1 ,        3 ,           0 ,         92
F29543#F44082 ,        10 ,         4 ,       16 ,           0 ,        552
F56421#F23162 ,         2 ,         0 ,        4 ,           1 ,         93
F48150#F16730 ,        20 ,         9 ,       30 ,           8 ,       1027
F32167#F48740 ,         3 ,         1 ,        5 ,           1 ,        185
F47087#F25311 ,         7 ,         3 ,       12 ,           2 ,        370
F17021#F29910 ,        25 ,        13 ,       38 ,          11 ,       1306
F11017#F51717 ,        28 ,        13 ,       43 ,           7 ,       1483
F21385#F11576 ,        26 ,        12 ,       39 ,           7 ,       1392
F4854#F48290  ,         9 ,         3 ,       13 ,           4 ,        374
F3496#F62535  ,         2 ,         0 ,        3 ,           1 ,         94
F58390#F49861 ,         2 ,         1 ,        4 ,           0 ,         92
F52209#F58202 ,         3 ,         1 ,        6 ,           0 ,        184
F32175#F54382 ,         1 ,         1 ,        3 ,           0 ,         92
F51949#F55988 ,        15 ,         6 ,       22 ,           3 ,        650
F12617#F35280 ,         4 ,         2 ,        6 ,           1 ,        186
F754#F40813   ,        15 ,         7 ,       22 ,           8 ,        752
F61890#F11570 ,         1 ,         0 ,        3 ,           0 ,         92
F46162#F45533 ,        10 ,         4 ,       16 ,           4 ,        557
F61711#F53614 ,         2 ,         1 ,        4 ,           1 ,         93
F20924#F4508  ,        84 ,        39 ,      123 ,          30 ,       4108
F57126#F4272  ,         3 ,         2 ,        6 ,           1 ,        186
F14692#F1529  ,        95 ,        51 ,      147 ,          35 ,       5219
F21381#F4772  ,        25 ,        12 ,       38 ,          10 ,       1306
F39842#F60584 ,         2 ,         1 ,        4 ,           0 ,         92
F54528#F39519 ,         9 ,         4 ,       15 ,           4 ,        467
F17576#F21754 ,         2 ,         0 ,        3 ,           1 ,         93
F60230#F62817 ,         2 ,         1 ,        4 ,           0 ,         92
F34731#F43115 ,         4 ,         2 ,        8 ,           1 ,        277
F48398#F962   ,         8 ,         3 ,       12 ,           3 ,        373
F19158#F25032 ,        66 ,        26 ,       93 ,          25 ,       2989
F28213#F39050 ,        21 ,        12 ,       34 ,           5 ,       1113
F14611#F59055 ,         2 ,         0 ,        4 ,           1 ,         94
F45828#F8419  ,         3 ,         2 ,        6 ,           2 ,        187
F2758#F30923  ,         3 ,         1 ,        6 ,           2 ,        186
F52551#F61696 ,         2 ,         1 ,        3 ,           0 ,         92
F16044#F20392 ,        35 ,        19 ,       55 ,          18 ,       1965
F53978#F38847 ,         4 ,         1 ,        7 ,           0 ,        184
F40856#F34921 ,         8 ,         3 ,       12 ,           1 ,        462
F10420#F27963 ,        15 ,         7 ,       24 ,           9 ,        843
F6436#F4970   ,        27 ,        12 ,       40 ,          12 ,       1399
F6585#F10415  ,        41 ,        21 ,       63 ,          16 ,       2144
F49441#F6340  ,        15 ,         8 ,       24 ,           8 ,        844
F53873#F32236 ,        11 ,         1 ,       13 ,           0 ,         92
F21747#F31730 ,        11 ,         4 ,       16 ,           2 ,        555
F4815#F15632  ,       117 ,        61 ,      179 ,          44 ,       6428
F10317#F37978 ,        10 ,         5 ,       16 ,           3 ,        558
F52380#F42236 ,         7 ,         3 ,       11 ,           2 ,        372
F44397#F34211 ,        25 ,        14 ,       40 ,           6 ,       1298
F49383#F16405 ,        30 ,        17 ,       48 ,          11 ,       1677
F25274#F42129 ,        31 ,        10 ,       42 ,           8 ,       1209
F35442#F17051 ,         1 ,         0 ,        3 ,           1 ,         93
F11521#F11840 ,        33 ,        17 ,       51 ,          13 ,       1861
F61173#F27526 ,         1 ,         0 ,        3 ,           0 ,         92
F1598#F4877   ,       102 ,        54 ,      157 ,          45 ,       5517
F62878#F31375 ,         1 ,         0 ,        3 ,           1 ,         93
F28558#F62327 ,         2 ,         1 ,        3 ,           1 ,         93
F47324#F25660 ,         2 ,         0 ,        3 ,           0 ,         92
F57898#F34567 ,         3 ,         2 ,        6 ,           2 ,        186
F4755#F11840  ,        34 ,        13 ,       48 ,          13 ,       1862
F41800#F22473 ,        18 ,         9 ,       27 ,           7 ,       1023
F33746#F23605 ,        20 ,         6 ,       27 ,           6 ,        653
F50542#F24824 ,         5 ,         2 ,        8 ,           3 ,        281
F28036#F13852 ,        52 ,        27 ,       79 ,          23 ,       2711
F59044#F23571 ,         8 ,         3 ,       12 ,           2 ,        372
F40782#F22566 ,         9 ,         4 ,       14 ,           2 ,        464
F39751#F25312 ,         3 ,         1 ,        6 ,           2 ,        187
F13664#F5675  ,        67 ,        32 ,      101 ,          22 ,       3628
F23244#F52991 ,         8 ,         4 ,       13 ,           2 ,        463
F54135#F45471 ,         8 ,         3 ,       13 ,           3 ,        465
F46650#F48765 ,        17 ,         7 ,       24 ,           7 ,        839
F17860#F20917 ,        58 ,        25 ,       85 ,          18 ,       2792
F15548#F36720 ,        10 ,         4 ,       15 ,           5 ,        560
F13456#F7466  ,       103 ,        53 ,      157 ,          37 ,       5682
F63263#F9303  ,         2 ,         0 ,        4 ,           1 ,         94
F22294#F45407 ,        23 ,        11 ,       34 ,           6 ,       1205
F25994#F61924 ,         1 ,         1 ,        3 ,           1 ,         94
F11538#F30424 ,        40 ,        20 ,       61 ,          16 ,       2142
F789#F13260   ,        68 ,        31 ,      101 ,          23 ,       3442
F24504#F22388 ,        11 ,         5 ,       17 ,           5 ,        560
F8043#F21441  ,        38 ,        18 ,       58 ,          17 ,       2053
F24055#F56142 ,         1 ,         0 ,        3 ,           1 ,         93
F13096#F5112  ,        88 ,        45 ,      134 ,          27 ,       4834
F61622#F30423 ,         2 ,         0 ,        3 ,           1 ,         93
F13929#F29974 ,        14 ,         3 ,       18 ,           3 ,        373
F2164#F27095  ,        26 ,        14 ,       41 ,          11 ,       1397
F24699#F40274 ,        28 ,        12 ,       41 ,           6 ,       1299
F8338#F15187  ,       121 ,        68 ,      190 ,          47 ,       6815
F13683#F22982 ,        68 ,        31 ,      100 ,          29 ,       3183
F58736#F51541 ,         5 ,         2 ,        8 ,           1 ,        277
F42967#F4575  ,        15 ,         5 ,       21 ,           7 ,        747
F56352#F29439 ,         2 ,         0 ,        3 ,           0 ,         92
F51153#F1510  ,        25 ,        12 ,       38 ,          10 ,       1307
F28386#F56126 ,         5 ,         2 ,        8 ,           1 ,        277
F13853#F1750  ,        36 ,        17 ,       54 ,          15 ,       1958
F45288#F56532 ,        17 ,         7 ,       25 ,           9 ,        935
F61245#F62464 ,         1 ,         0 ,        3 ,           0 ,         92
F2676#F58562  ,         5 ,         2 ,        8 ,           1 ,        278
F8148#F48172  ,         5 ,         2 ,        8 ,           3 ,        282
F50296#F39375 ,        26 ,        11 ,       38 ,           7 ,       1302
F48065#F33296 ,         7 ,         2 ,       10 ,           0 ,        276
F61158#F1621  ,         2 ,         1 ,        3 ,           1 ,         95
F10589#F40937 ,        28 ,        13 ,       42 ,          12 ,       1494
F30450#F33264 ,         2 ,         1 ,        3 ,           0 ,         92
F9094#F23375  ,        82 ,        33 ,      116 ,          30 ,       3642
F21911#F63172 ,         1 ,         0 ,        3 ,           1 ,         94
F2273#F25824  ,        49 ,        24 ,       74 ,          21 ,       2524
F19773#F48342 ,        19 ,         8 ,       28 ,           8 ,        933
F37346#F56351 ,         3 ,         1 ,        5 ,           1 ,        186
F1369#F44212  ,         1 ,         0 ,        3 ,           1 ,         93
F29520#F7691  ,         2 ,         0 ,        3 ,           1 ,         93
F57524#F25531 ,         2 ,         1 ,        3 ,           1 ,         93
F15195#F26748 ,        35 ,        16 ,       52 ,          14 ,       1866
F56319#F63656 ,         2 ,         0 ,        3 ,           0 ,         92
F12800#F33265 ,         1 ,         0 ,        3 ,           1 ,         93
F3709#F44661  ,        24 ,        10 ,       34 ,           9 ,       1211
F57344#F10361 ,        12 ,         5 ,       18 ,           7 ,        655
F20555#F44086 ,         9 ,         4 ,       13 ,           5 ,        468
F24754#F23172 ,        66 ,        32 ,       99 ,          15 ,       3154
F6509#F6860   ,        86 ,        40 ,      128 ,          36 ,       4668
F16393#F21911 ,        55 ,        27 ,       83 ,          21 ,       2985
F6806#F27085  ,        23 ,         2 ,       26 ,           3 ,        280
F13665#F51673 ,         2 ,         1 ,        4 ,           0 ,         92
F43756#F12114 ,        17 ,         9 ,       28 ,           8 ,        933
F35589#F61753 ,         1 ,         1 ,        3 ,           1 ,         94
F17478#F10040 ,        89 ,        49 ,      139 ,          31 ,       4847
F26052#F29467 ,        33 ,        17 ,       51 ,          13 ,       1861
F10826#F19437 ,        23 ,        10 ,       34 ,          10 ,       1211
F13629#F35017 ,         4 ,         1 ,        6 ,           1 ,        186
F16127#F43345 ,        24 ,        12 ,       37 ,          13 ,       1313
F5070#F5679   ,        73 ,        32 ,      106 ,          22 ,       3442
F45902#F50366 ,        12 ,         5 ,       18 ,           5 ,        651
F7948#F24551  ,        58 ,        28 ,       86 ,          24 ,       3082
