keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F35581#F35143,58,14,74,4,805,10,11
F35581#F24201,48,10,60,7,810,10,12
F35581#F21118,47,7,55,6,808,10,13
F35581#F33425,45,7,53,7,809,10,14
F35581#F20519,45,7,54,7,810,10,15
F35581#F32912,45,6,52,6,807,10,16
F35581#F17229,44,9,55,6,807,10,17
F35581#F32079,45,7,53,5,806,10,18
F35581#F21084,44,7,52,7,810,10,19
F35581#F17383,44,7,53,7,809,10,20
F35581#F7283,46,7,54,7,810,10,21
F35581#F20660,47,7,55,8,811,10,22
F35581#F18748,56,8,65,8,812,10,23
F35581#F16647,46,11,58,8,811,10,24
F35581#F30252,44,7,53,8,811,10,25
F35581#F19339,35,5,42,9,813,10,26
F35581#F22762,27,6,34,8,811,10,27
F35581#F20846,27,5,33,8,811,10,28
F35581#F21793,25,5,30,8,812,10,29
F35581#F16441,28,5,35,9,813,10,30
F35581#F22556,25,4,31,9,813,10,31
F35581#F11863,26,5,32,7,809,10,32
F35581#F29911,27,5,33,9,813,10,33
F35581#F20402,27,5,33,10,815,10,34
F35581#F8225,36,5,43,9,813,10,35
F35581#F22266,26,5,32,8,811,10,36
F35581#F1724,26,5,32,9,813,10,37
F35581#F28867,26,5,33,9,813,10,38
F35581#F16683,25,5,32,8,811,10,39
F35581#F6436,26,5,33,7,809,10,40
F35581#F8846,28,5,34,7,809,10,41
F35581#F18880,25,5,31,9,813,10,42
F35581#F19895,26,5,32,8,811,10,43
F35581#F13787,27,5,32,10,815,10,44
F35581#F4172,28,5,34,7,809,10,45
F35581#F21305,26,5,32,7,810,10,46
F35581#F6217,34,6,41,9,813,10,47
F35581#F7381,24,6,32,9,813,10,48
F35581#F21879,26,5,33,8,811,10,49
F35581#F7391,27,5,33,8,811,10,50
F35581#F18412,26,5,32,7,809,10,51
F35581#F13096,24,5,31,10,815,10,52
F35581#F18811,31,5,36,10,815,10,53
F35581#F10859,24,7,32,8,811,10,54
F35581#F22327,23,5,29,9,813,10,55
F35581#F2728,25,5,31,8,811,10,56
F35581#F14185,26,6,33,8,811,10,57
F35581#F14080,25,6,32,9,813,10,58
F35581#F114,29,5,35,9,813,10,59
F35581#F23260,33,5,39,9,813,10,60
F35581#F3391,27,6,34,8,811,10,61
F35581#F11128,27,5,33,8,811,10,62
F35581#F14297,24,5,30,8,811,10,63
F35581#F6603,26,5,32,9,813,10,64
F35581#F1275,27,5,33,10,815,10,65
F35581#F7639,25,5,31,9,813,10,66
F35581#F7097,25,4,30,9,813,10,67
F35581#F2205,24,5,30,10,815,10,68
F35581#F190,26,4,32,8,811,10,69
F35581#F13509,26,5,32,8,811,10,70
F35581#F6594,26,5,32,8,811,10,71
F35581#F12642,34,5,41,9,813,10,72
F35581#F1148,26,5,32,9,813,10,73
F35581#F9159,27,5,33,10,815,10,74
F35581#F3917,27,5,33,10,815,10,75
F35581#F12991,24,5,30,9,813,10,76
F35581#F7012,25,4,30,10,815,10,77
F35581#F2512,26,5,32,8,811,10,78
F35581#F5800,26,5,32,9,813,10,79
F35581#F8522,25,5,31,8,811,10,80
F35581#F3384,24,5,30,8,811,10,81
F35581#F19939,26,5,32,7,809,10,82
F35581#F11528,25,6,32,8,811,10,83
F35581#F18521,46,4,51,8,811,10,84
F35581#F10468,29,5,35,9,813,10,85
F35581#F2804,25,5,31,9,813,10,86
F35581#F12044,26,6,33,8,811,10,87
F35581#F3535,26,5,32,7,809,10,88
F35581#F2425,26,5,32,8,811,10,89
F35581#F6093,27,5,33,10,815,10,90
F35581#F9011,25,6,32,9,813,10,91
F35581#F345,27,5,33,10,815,10,92
F35581#F1930,25,5,31,9,813,10,93
F35581#F2870,26,5,32,9,813,10,94
F35581#F9736,26,5,32,8,811,10,95
F35581#F5655,34,5,40,9,814,10,96
F35581#F4323,24,5,30,9,813,10,97
F35581#F2352,27,5,32,9,813,10,98
F35581#F12100,26,5,32,7,809,10,99
F35581#F4980,26,5,32,9,813,10,100
F35581#F12129,27,5,32,10,815,10,101
F35581#F124,25,5,31,8,811,10,102
F35581#F18393,27,5,33,9,813,10,103
F35581#F9006,26,5,32,10,815,10,104
F35581#F1611,27,5,32,9,813,10,105
F35581#F12954,26,5,32,8,811,10,106
F35581#F7245,27,4,33,9,813,10,107
F35581#F9239,37,5,43,10,815,10,108
F35581#F1311,25,7,34,8,811,10,109
F35581#F1270,26,4,32,9,813,10,110
F35581#F1237,26,5,32,9,813,10,111
F35581#F996,26,5,32,10,815,10,112
F35581#F3484,30,5,36,9,813,10,113
F35581#F5780,26,5,32,9,813,10,114
F35581#F9968,27,6,34,9,813,10,115
F35581#F6946,24,5,29,10,815,10,116
F35581#F2632,28,5,33,8,811,10,117
F35581#F1231,27,6,34,7,809,10,118
F35581#F1100,26,5,32,8,811,10,119
F35581#F2445,37,5,43,9,813,10,120
F35581#F3812,28,6,34,10,815,10,121
F35581#F177,27,5,33,10,815,10,122
F35581#F5239,26,5,32,10,815,10,123
F35581#F3278,25,5,31,9,813,10,124
F35581#F2018,26,5,31,8,811,10,125
F35581#F7291,26,4,31,9,813,10,126
F35581#F2651,26,5,32,10,815,10,127
F35581#F9144,27,5,32,10,815,10,128
F35581#F1590,24,4,29,10,815,10,129
F35581#F299,26,5,31,8,811,10,130
F35581#F1107,25,4,30,10,815,10,131
F35581#F28,36,5,42,10,815,10,132
F35581#F621,24,5,30,10,815,10,133
F35581#F2958,25,5,32,10,815,10,134
F35581#F3582,27,5,33,10,815,10,135
F35581#F5596,26,5,32,10,815,10,136
F35581#F2212,27,5,33,10,815,10,137
F35581#F3770,26,6,33,10,815,10,138
F35581#F2934,26,5,32,10,815,10,139
F35581#F7484,26,5,33,9,813,10,140
F35581#F2538,26,5,32,9,813,10,141
F35581#F1132,26,5,32,9,813,10,142
F35581#F391,27,4,33,9,813,10,143
F35581#F3826,35,5,41,10,815,10,144
F35581#F511,25,5,31,10,815,10,145
F35581#F6213,25,5,31,10,815,10,146
F35581#F2112,26,5,32,10,815,10,147
F35581#F2474,23,4,29,9,813,10,148
F35581#F608,28,4,33,10,815,10,149
F35581#F4180,26,5,32,10,815,10,150
F35581#F4053,25,6,32,10,815,10,151
F35581#F525,27,6,34,10,815,10,152
F35581#F3302,26,5,33,10,815,10,153
F35581#F863,27,5,34,10,815,10,154
F35581#F774,24,5,30,10,815,10,155
F35581#F637,35,5,40,10,815,10,158
F35581#F46,27,5,32,10,815,10,160
F35581#F103,27,5,33,10,815,10,166
F35581#F1438,26,5,32,10,815,10,168
F35581#F133,27,4,33,10,815,10,175
F35581#F78,27,5,32,9,813,10,176
