keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize
F0#F7   ,        90 ,        14 ,      111 ,           0 ,       1120
F0#F1   ,        42 ,        11 ,       55 ,           0 ,       1120
F0#F2   ,        38 ,         9 ,       49 ,           0 ,       1120
F0#F3   ,        40 ,         8 ,       51 ,           0 ,       1120
F0#F4   ,        40 ,        10 ,       53 ,           0 ,       1120
F0#F5   ,        40 ,         8 ,       50 ,           1 ,       1128
F0#F6   ,        38 ,         8 ,       49 ,           4 ,       1152
F1#F6   ,       313 ,       107 ,      423 ,          52 ,      11591
F2#F6   ,      2217 ,       874 ,     3095 ,         520 ,     115863
F3#F6   ,     21988 ,      8344 ,    30385 ,        4947 ,    1156835
F4#F6   ,    227145 ,     87531 ,   315467 ,       49557 ,   11569011
F5#F6   ,   2303962 ,    878568 ,  3190065 ,      500181 ,  115723604
F13#F6  ,  27269883 ,   9800493 , 37140688 ,     4999732 , 1157218663
