keyword, clientTime, serverTime, totalTime, resultLength, payloadSize
F0#F7  ,         38,         14,        54,            0,        1120
F0#F1  ,         33,          8,        42,            0,        1120
F0#F2  ,         22,          7,        31,            0,        1120
F0#F3  ,         22,          7,        31,            0,        1120
F0#F4  ,         37,          7,        45,            0,        1120
F0#F5  ,         24,          8,        33,            1,        1128
F0#F6  ,         28,          8,        37,            4,        1152
F1#F6  ,        211,        101,       314,           52,       11591
F2#F6  ,       2222,        956,      3181,          520,      115863
F3#F6  ,      22469,      10312,     32830,         4947,     1156835
F4#F6  ,     237203,     110741,    348744,        49557,    11569011
F5#F6  ,    2159627,    1055673,   3222478,       500181,   115723604
F13#F6 ,   24015271,   10377061,  34459594,      4999732,  1157218663
