keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F1308 ,        250,        130,       386,            0,         400, 10
F10800#F10693,        213,         85,       302,            0,         400, 10
F10800#F11138,        146,         89,       237,            0,         400, 10
F10800#F10159,         74,         69,       144,            0,         400, 10
F10800#F11380,         68,         81,       151,            0,         400, 10
F10800#F1047 ,        134,         71,       207,            0,         400, 10
F10800#F10072,         86,         82,       169,            0,         400, 10
F10800#F10516,        109,         68,       178,            0,         400, 10
F10800#F10454,         74,         80,       154,            0,         400, 10
F10800#F14280,        109,         85,       196,            0,         400, 10
F10800#F10544,         93,        101,       195,            0,         400, 10
F10800#F10744,        103,         73,       177,            0,         400, 10
F10800#F10374,         81,         72,       154,            0,         400, 10
F10800#F1029 ,         87,         77,       165,            0,         400, 10
F10800#F12029,         83,         64,       148,            0,         400, 10
F10800#F10595,        110,         90,       201,            0,         400, 10
F10800#F10700,         85,         85,       171,            0,         400, 10
F10800#F10165,        125,         81,       207,            0,         400, 10
F10800#F10922,         81,         70,       152,            0,         400, 10
F10800#F10398,        144,         87,       231,            0,         400, 10
F10800#F10802,         96,         70,       167,            0,         400, 10
F10800#F10166,         80,         72,       153,            0,         400, 10
F10800#F13268,         81,         68,       150,            0,         400, 10
F10800#F10043,         96,         66,       164,            0,         400, 10
F10800#F11321,         81,         67,       149,            0,         400, 10
F10800#F10115,         73,         70,       144,            0,         400, 10
F10800#F11053,         78,         72,       151,            0,         400, 10
F10800#F11114,         85,         66,       154,            1,         400, 10
F10800#F10237,         79,         78,       158,            0,         400, 10
F10800#F10942,         79,         67,       147,            0,         400, 10
F10800#F10450,         81,         67,       149,            0,         400, 10
F10800#F11220,         88,         69,       157,            0,         400, 10
F10800#F10055,         75,         72,       148,            0,         400, 10
F10800#F10494,         81,         66,       148,            0,         400, 10
F10800#F10158,         80,         65,       146,            0,         400, 10
F10800#F10205,         81,         65,       146,            0,         400, 10
F10800#F10813,         83,         66,       150,            0,         400, 10
F10800#F10081,        106,         89,       196,            0,         400, 10
F10800#F10014,         97,         65,       162,            0,         400, 10
F10800#F10136,         80,         64,       145,            0,         400, 10
F10800#F11604,         86,         68,       155,            0,         400, 10
F10800#F10195,         72,         67,       140,            0,         400, 10
F10800#F10355,         77,         68,       145,            0,         400, 10
F10800#F11076,         76,         69,       146,            0,         400, 10
F10800#F10378,         79,        133,       213,            0,         400, 10
F10800#F10547,         77,         64,       142,            0,         400, 10
F10800#F10463,         82,         64,       148,            0,         400, 10
F10800#F10020,         80,         69,       150,            0,         400, 10
F10800#F10541,         77,         64,       142,            0,         400, 10
F10800#F10032,         83,         64,       149,            0,         400, 10
F10800#F10178,         79,         64,       144,            0,         400, 10
F10800#F10121,         76,         69,       146,            0,         400, 10
